dataset,index
cciea_OC_DO,location
cciea_B_AS_DIET,diet_species_cohort
cciea_OC_ARG,location
cciea_SM_ORWA_CH_ABND,population
cciea_SM_CA_CO_ABND,population
cciea_GF_ABND,species_group
cciea_EI_SIMP,population
cciea_GF_STAT,species_group
cciea_EI_SP_RICH,population
cciea_EI_SCAV_RAT,population
cciea_B_PR_ANOM,species_cohort
cciea_B_B_MORT,species_cohort
cciea_HB_SWE,location
cciea_EI_WH_ENT,species
cciea_MM_cetacean,common_name
cciea_MM_cetacean,scientific_name
cciea_B_AS_DENS,species_cohort
cciea_EI_CRAB_FINF,population
cciea_EI_DOMACID,site
cciea_EI_DOMACID,county
cciea_EI_DOMACID,region
cciea_EI_DOMACID,species
cciea_EI_DOMACID_MON_clam,region
cciea_EI_DOMACID_MON_crab,region
cciea_EI_FBC,species_group
cciea_EI_FBC_2020,species_group
cciea_EI_FBN,species_group
cciea_EI_FBN_2020,species_group
cciea_EI_FBS,species_group
cciea_EI_FBS_2020,species_group
cciea_EI_JELLY_CC,species_group
cciea_EI_JELLY_OW,species_group
cciea_EI_MTL,population
cciea_EI_RREAS_diversity_grid,taxa
cciea_EI_RREAS_diversity_list,timeseries
cciea_HB_AUGMX,location
cciea_HB_FLO1,location
cciea_HB_FLO1_CH,location
cciea_HB_FLO7,location
cciea_HB_FLO7_CH,location
cciea_HD_ESI_VESS,vessel_category
cciea_HD_Fish_Dep,location
cciea_HD_Fish_Eng,location
cciea_HD_Fish_Eng,region
cciea_HD_Fish_Rel,location
cciea_HD_Fish_Rel,region
cciea_HD_PU,use_type
cciea_HD_Soc_Vuln_Indx,region
cciea_HD_Soc_Vuln_Indx,location
