time,encounter_rate,species_cohort
1994-01-01T00:00:00Z,0.007,Cassins auklet encounter rate (Ce CC)
1995-01-01T00:00:00Z,0.003,Cassins auklet encounter rate (Ce CC)
1996-01-01T00:00:00Z,0.002,Cassins auklet encounter rate (Ce CC)
1997-01-01T00:00:00Z,0.01,Cassins auklet encounter rate (Ce CC)
1998-01-01T00:00:00Z,0.01,Cassins auklet encounter rate (Ce CC)
1999-01-01T00:00:00Z,0.005,Cassins auklet encounter rate (Ce CC)
2000-01-01T00:00:00Z,0,Cassins auklet encounter rate (Ce CC)
2001-01-01T00:00:00Z,0.017,Cassins auklet encounter rate (Ce CC)
2002-01-01T00:00:00Z,0.004,Cassins auklet encounter rate (Ce CC)
2003-01-01T00:00:00Z,0.007,Cassins auklet encounter rate (Ce CC)
2004-01-01T00:00:00Z,0.177,Cassins auklet encounter rate (Ce CC)
2005-01-01T00:00:00Z,0.026,Cassins auklet encounter rate (Ce CC)
2006-01-01T00:00:00Z,0.011,Cassins auklet encounter rate (Ce CC)
2007-01-01T00:00:00Z,0.004,Cassins auklet encounter rate (Ce CC)
2008-01-01T00:00:00Z,0.004,Cassins auklet encounter rate (Ce CC)
2009-01-01T00:00:00Z,0.003,Cassins auklet encounter rate (Ce CC)
2010-01-01T00:00:00Z,0.008,Cassins auklet encounter rate (Ce CC)
2011-01-01T00:00:00Z,0.007,Cassins auklet encounter rate (Ce CC)
2012-01-01T00:00:00Z,0.001,Cassins auklet encounter rate (Ce CC)
2013-01-01T00:00:00Z,0.007,Cassins auklet encounter rate (Ce CC)
2014-01-01T00:00:00Z,0.989,Cassins auklet encounter rate (Ce CC)
2015-01-01T00:00:00Z,0.016,Cassins auklet encounter rate (Ce CC)
2016-01-01T00:00:00Z,0,Cassins auklet encounter rate (Ce CC)
2017-01-01T00:00:00Z,0.008,Cassins auklet encounter rate (Ce CC)
2018-01-01T00:00:00Z,0.02,Cassins auklet encounter rate (Ce CC)
2019-01-01T00:00:00Z,0.002,Cassins auklet encounter rate (Ce CC)
1994-01-01T00:00:00Z,0.13,Common murre encounter rate(Ce CC)
1995-01-01T00:00:00Z,0.598,Common murre encounter rate(Ce CC)
1996-01-01T00:00:00Z,0.174,Common murre encounter rate(Ce CC)
1997-01-01T00:00:00Z,0.532,Common murre encounter rate(Ce CC)
1998-01-01T00:00:00Z,0.417,Common murre encounter rate(Ce CC)
1999-01-01T00:00:00Z,0.177,Common murre encounter rate(Ce CC)
2000-01-01T00:00:00Z,0.204,Common murre encounter rate(Ce CC)
2001-01-01T00:00:00Z,0.273,Common murre encounter rate(Ce CC)
2002-01-01T00:00:00Z,0.3,Common murre encounter rate(Ce CC)
2003-01-01T00:00:00Z,0.301,Common murre encounter rate(Ce CC)
2004-01-01T00:00:00Z,0.24,Common murre encounter rate(Ce CC)
