time,fork_length
1993-01-01T00:00:00Z,89.0
1994-01-01T00:00:00Z,97.0
1995-01-01T00:00:00Z,135.0
1996-01-01T00:00:00Z,93.0
1997-01-01T00:00:00Z,152.0
1998-01-01T00:00:00Z,89.0
1999-01-01T00:00:00Z,118.0
2000-01-01T00:00:00Z,122.0
2001-01-01T00:00:00Z,139.0
2002-01-01T00:00:00Z,135.0
2003-01-01T00:00:00Z,143.0
2004-01-01T00:00:00Z,127.0
2005-01-01T00:00:00Z,136.0
2006-01-01T00:00:00Z,NaN
2007-01-01T00:00:00Z,130.0
2008-01-01T00:00:00Z,137.0
2009-01-01T00:00:00Z,94.0
2010-01-01T00:00:00Z,105.0
2011-01-01T00:00:00Z,125.0
2012-01-01T00:00:00Z,97.0
2013-01-01T00:00:00Z,123.0
2014-01-01T00:00:00Z,90.0
2015-01-01T00:00:00Z,88.0
2016-01-01T00:00:00Z,86.0
2017-01-01T00:00:00Z,120.0
2018-01-01T00:00:00Z,125.0
2019-01-01T00:00:00Z,120.0
2020-01-01T00:00:00Z,122.0
