time,productivity_anomaly,species_cohort
1971-01-01T00:00:00Z,0.175,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1972-01-01T00:00:00Z,0.025,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1973-01-01T00:00:00Z,-0.505,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1974-01-01T00:00:00Z,-0.355,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1975-01-01T00:00:00Z,-0.425,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1976-01-01T00:00:00Z,-0.855,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1977-01-01T00:00:00Z,-0.045,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1978-01-01T00:00:00Z,-1.025,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1979-01-01T00:00:00Z,0.265,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1980-01-01T00:00:00Z,0.195,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1981-01-01T00:00:00Z,-0.025,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1982-01-01T00:00:00Z,-0.155,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1983-01-01T00:00:00Z,-1.405,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1984-01-01T00:00:00Z,-0.195,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1985-01-01T00:00:00Z,1.425,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1986-01-01T00:00:00Z,-0.115,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1987-01-01T00:00:00Z,0.565,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1988-01-01T00:00:00Z,0.375,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1989-01-01T00:00:00Z,-0.175,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1990-01-01T00:00:00Z,-0.615,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1991-01-01T00:00:00Z,0.325,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1992-01-01T00:00:00Z,-0.905,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1993-01-01T00:00:00Z,-0.845,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1994-01-01T00:00:00Z,1.165,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1995-01-01T00:00:00Z,0.525,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1996-01-01T00:00:00Z,0.785,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1997-01-01T00:00:00Z,0.485,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1998-01-01T00:00:00Z,-1.055,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1999-01-01T00:00:00Z,0.855,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2000-01-01T00:00:00Z,0.945,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2001-01-01T00:00:00Z,0.485,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2002-01-01T00:00:00Z,0.595,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2003-01-01T00:00:00Z,-0.475,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2004-01-01T00:00:00Z,0.725,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2005-01-01T00:00:00Z,0.465,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2006-01-01T00:00:00Z,0.565,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2007-01-01T00:00:00Z,0.705,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2008-01-01T00:00:00Z,-1.055,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2009-01-01T00:00:00Z,-1.405,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2010-01-01T00:00:00Z,-0.645,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2011-01-01T00:00:00Z,-1.345,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2012-01-01T00:00:00Z,-1.375,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2013-01-01T00:00:00Z,1.025,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2014-01-01T00:00:00Z,0.815,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2015-01-01T00:00:00Z,0.315,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2016-01-01T00:00:00Z,0.175,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2017-01-01T00:00:00Z,0.505,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2018-01-01T00:00:00Z,0.515,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2019-01-01T00:00:00Z,0.465,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1971-01-01T00:00:00Z,0.018,Cassins auklet productivity anomaly (Cen CC - SEFI)
1972-01-01T00:00:00Z,0.018,Cassins auklet productivity anomaly (Cen CC - SEFI)
1973-01-01T00:00:00Z,0.108,Cassins auklet productivity anomaly (Cen CC - SEFI)
1974-01-01T00:00:00Z,-0.002,Cassins auklet productivity anomaly (Cen CC - SEFI)
1975-01-01T00:00:00Z,-0.022,Cassins auklet productivity anomaly (Cen CC - SEFI)
1976-01-01T00:00:00Z,-0.062,Cassins auklet productivity anomaly (Cen CC - SEFI)
1977-01-01T00:00:00Z,0.008,Cassins auklet productivity anomaly (Cen CC - SEFI)
1978-01-01T00:00:00Z,-0.042,Cassins auklet productivity anomaly (Cen CC - SEFI)
1979-01-01T00:00:00Z,0.148,Cassins auklet productivity anomaly (Cen CC - SEFI)
1980-01-01T00:00:00Z,-0.142,Cassins auklet productivity anomaly (Cen CC - SEFI)
1981-01-01T00:00:00Z,0.018,Cassins auklet productivity anomaly (Cen CC - SEFI)
1982-01-01T00:00:00Z,-0.042,Cassins auklet productivity anomaly (Cen CC - SEFI)
1983-01-01T00:00:00Z,-0.502,Cassins auklet productivity anomaly (Cen CC - SEFI)
1984-01-01T00:00:00Z,-0.002,Cassins auklet productivity anomaly (Cen CC - SEFI)
