time,productivity_anomaly,species_cohort
2008-01-01T00:00:00Z,-0.354,Brandts cormorant productivity anomaly (No CC)
2009-01-01T00:00:00Z,0.096,Brandts cormorant productivity anomaly (No CC)
2010-01-01T00:00:00Z,-0.654,Brandts cormorant productivity anomaly (No CC)
2011-01-01T00:00:00Z,-0.484,Brandts cormorant productivity anomaly (No CC)
2012-01-01T00:00:00Z,-0.724,Brandts cormorant productivity anomaly (No CC)
2013-01-01T00:00:00Z,-0.334,Brandts cormorant productivity anomaly (No CC)
2014-01-01T00:00:00Z,-0.184,Brandts cormorant productivity anomaly (No CC)
2015-01-01T00:00:00Z,0.796,Brandts cormorant productivity anomaly (No CC)
2016-01-01T00:00:00Z,-0.034,Brandts cormorant productivity anomaly (No CC)
2017-01-01T00:00:00Z,-0.114,Brandts cormorant productivity anomaly (No CC)
2018-01-01T00:00:00Z,0.786,Brandts cormorant productivity anomaly (No CC)
2019-01-01T00:00:00Z,1.206,Brandts cormorant productivity anomaly (No CC)
2020-01-01T00:00:00Z,0.216,Brandts cormorant productivity anomaly (No CC)
2007-01-01T00:00:00Z,0.135,Common murre productivity anomaly (No CC)
2008-01-01T00:00:00Z,0.365,Common murre productivity anomaly (No CC)
2009-01-01T00:00:00Z,0.365,Common murre productivity anomaly (No CC)
2010-01-01T00:00:00Z,0.275,Common murre productivity anomaly (No CC)
2011-01-01T00:00:00Z,-0.185,Common murre productivity anomaly (No CC)
2012-01-01T00:00:00Z,-0.135,Common murre productivity anomaly (No CC)
2013-01-01T00:00:00Z,-0.165,Common murre productivity anomaly (No CC)
2014-01-01T00:00:00Z,-0.235,Common murre productivity anomaly (No CC)
2015-01-01T00:00:00Z,-0.405,Common murre productivity anomaly (No CC)
2016-01-01T00:00:00Z,-0.385,Common murre productivity anomaly (No CC)
2017-01-01T00:00:00Z,-0.405,Common murre productivity anomaly (No CC)
2018-01-01T00:00:00Z,0.385,Common murre productivity anomaly (No CC)
2019-01-01T00:00:00Z,0.385,Common murre productivity anomaly (No CC)
2020-01-01T00:00:00Z,-0.376,Common murre productivity anomaly (No CC)
2008-01-01T00:00:00Z,-0.129,Pelagic cormorant productivity anomaly (No CC)
2009-01-01T00:00:00Z,-0.829,Pelagic cormorant productivity anomaly (No CC)
2010-01-01T00:00:00Z,-0.619,Pelagic cormorant productivity anomaly (No CC)
2011-01-01T00:00:00Z,-0.969,Pelagic cormorant productivity anomaly (No CC)
2012-01-01T00:00:00Z,0.091,Pelagic cormorant productivity anomaly (No CC)
2013-01-01T00:00:00Z,1.161,Pelagic cormorant productivity anomaly (No CC)
2014-01-01T00:00:00Z,0.241,Pelagic cormorant productivity anomaly (No CC)
2015-01-01T00:00:00Z,-0.969,Pelagic cormorant productivity anomaly (No CC)
2016-01-01T00:00:00Z,0.401,Pelagic cormorant productivity anomaly (No CC)
2017-01-01T00:00:00Z,0.681,Pelagic cormorant productivity anomaly (No CC)
2018-01-01T00:00:00Z,1.301,Pelagic cormorant productivity anomaly (No CC)
2019-01-01T00:00:00Z,-0.359,Pelagic cormorant productivity anomaly (No CC)
2020-01-01T00:00:00Z,1.511,Pelagic cormorant productivity anomaly (No CC)
