time,population,biomass_ratio,Seup,Selo
2003-01-01T00:00:00Z,Coastwide,0.05307506,0.060021784,0.04612834
2004-01-01T00:00:00Z,Coastwide,0.055876132,0.06253383,0.049218435
2005-01-01T00:00:00Z,Coastwide,0.12751661,0.15386564,0.10116761
2006-01-01T00:00:00Z,Coastwide,0.08805152,0.10094806,0.075154975
2007-01-01T00:00:00Z,Coastwide,0.079358734,0.08890685,0.069810613999999993
2008-01-01T00:00:00Z,Coastwide,0.09513026,0.10439884,0.08586167
2009-01-01T00:00:00Z,Coastwide,0.18906839,0.22078337,0.1573534
2010-01-01T00:00:00Z,Coastwide,0.29050463,0.32259265,0.2584166
2011-01-01T00:00:00Z,Coastwide,0.25212666,0.30673653,0.19751681
2012-01-01T00:00:00Z,Coastwide,0.15207429,0.16691732,0.13723125
2013-01-01T00:00:00Z,Coastwide,0.10231512,0.11430435,0.0903259
2014-01-01T00:00:00Z,Coastwide,0.12911767,0.14726274,0.11097259
2015-01-01T00:00:00Z,Coastwide,0.1931518,0.23573491,0.15056868
2016-01-01T00:00:00Z,Coastwide,0.17622842,0.19346547,0.15899135
2017-01-01T00:00:00Z,Coastwide,0.2050827,0.22175299,0.1884124
2018-01-01T00:00:00Z,Coastwide,0.14617099,0.16621806,0.12612393
2003-01-01T00:00:00Z,North,0.04885039,0.05625623,0.041444555
2004-01-01T00:00:00Z,North,0.0546845,0.06367193,0.045697074
2005-01-01T00:00:00Z,North,0.1735597,0.21653911,0.13058026
2006-01-01T00:00:00Z,North,0.11588074,0.13793363,0.09382785
2007-01-01T00:00:00Z,North,0.10113608,0.11642089,0.085851274
2008-01-01T00:00:00Z,North,0.09832917,0.1103087,0.08634964
2009-01-01T00:00:00Z,North,0.15250418,0.17970748,0.12530087
2010-01-01T00:00:00Z,North,0.30543345,0.35277286,0.25809407
2011-01-01T00:00:00Z,North,0.31296605,0.40403444,0.22189766
2012-01-01T00:00:00Z,North,0.17305289,0.19119017,0.1549156
2013-01-01T00:00:00Z,North,0.1243576,0.14115447,0.10756073
2014-01-01T00:00:00Z,North,0.16364823,0.19332822,0.13396826
2015-01-01T00:00:00Z,North,0.21592297,0.27843052,0.15341541
2016-01-01T00:00:00Z,North,0.2144195,0.24021907,0.18861993
2017-01-01T00:00:00Z,North,0.2654612,0.29181203,0.23911041
2018-01-01T00:00:00Z,North,0.17460155,0.20622984,0.14297326
2003-01-01T00:00:00Z,South,0.06218741,0.07655097,0.047823854
2004-01-01T00:00:00Z,South,0.058019515,0.06802763,0.048011392
2005-01-01T00:00:00Z,South,0.04128546,0.053404372,0.029166548
2006-01-01T00:00:00Z,South,0.039699387,0.044323727,0.03507505
2007-01-01T00:00:00Z,South,0.035983816,0.04058898,0.031378653
2008-01-01T00:00:00Z,South,0.08991695,0.104692325,0.07514157
2009-01-01T00:00:00Z,South,0.24886574,0.31350327,0.18422821
2010-01-01T00:00:00Z,South,0.2662684,0.30754077,0.22499608
2011-01-01T00:00:00Z,South,0.1495831,0.18655498,0.112611204
2012-01-01T00:00:00Z,South,0.11878029,0.14369424,0.09386634
2013-01-01T00:00:00Z,South,0.057498544,0.07271317,0.042283926
2014-01-01T00:00:00Z,South,0.066489,0.0796823,0.053295717
2015-01-01T00:00:00Z,South,0.15689431,0.21338473,0.100403905
2016-01-01T00:00:00Z,South,0.111557394,0.13209856,0.09101624
2017-01-01T00:00:00Z,South,0.097865105,0.11158729,0.084142916
2018-01-01T00:00:00Z,South,0.09904791,0.12019536,0.07790045
