time,region,domoic_acid_concentration
1989-11-15T00:00:00Z,WA Coast,20.0
1990-04-15T00:00:00Z,WA Coast,13.0
1990-10-15T00:00:00Z,WA Coast,16.0
1991-04-15T00:00:00Z,WA Coast,1.0
1991-05-15T00:00:00Z,WA Coast,3.0
1991-06-15T00:00:00Z,WA Coast,5.0
1991-10-15T00:00:00Z,WA Coast,66.0
1991-11-15T00:00:00Z,WA Coast,100.0
1991-12-15T00:00:00Z,WA Coast,61.0
1992-01-15T00:00:00Z,WA Coast,47.0
1992-02-15T00:00:00Z,WA Coast,63.0
1992-03-15T00:00:00Z,WA Coast,66.0
1992-04-15T00:00:00Z,WA Coast,47.0
1992-05-15T00:00:00Z,WA Coast,14.0
1992-06-15T00:00:00Z,WA Coast,11.0
1992-07-15T00:00:00Z,WA Coast,8.0
1992-08-15T00:00:00Z,WA Coast,14.0
1992-09-15T00:00:00Z,WA Coast,22.0
1992-10-15T00:00:00Z,WA Coast,25.0
1992-11-15T00:00:00Z,WA Coast,20.0
1992-12-15T00:00:00Z,WA Coast,14.0
1993-01-15T00:00:00Z,WA Coast,13.0
1993-02-15T00:00:00Z,WA Coast,22.0
1993-03-15T00:00:00Z,WA Coast,12.0
1993-04-15T00:00:00Z,WA Coast,17.0
1993-05-15T00:00:00Z,WA Coast,12.0
1993-06-15T00:00:00Z,WA Coast,6.0
1993-07-15T00:00:00Z,WA Coast,3.0
1993-08-15T00:00:00Z,WA Coast,3.0
1993-09-15T00:00:00Z,WA Coast,2.0
1993-10-15T00:00:00Z,WA Coast,6.0
1993-11-15T00:00:00Z,WA Coast,23.0
1993-12-15T00:00:00Z,WA Coast,19.0
1994-01-15T00:00:00Z,WA Coast,28.0
1994-02-15T00:00:00Z,WA Coast,22.0
1994-03-15T00:00:00Z,WA Coast,23.0
1994-04-15T00:00:00Z,WA Coast,10.0
1994-05-15T00:00:00Z,WA Coast,8.0
1994-06-15T00:00:00Z,WA Coast,8.0
1994-07-15T00:00:00Z,WA Coast,7.0
1994-08-15T00:00:00Z,WA Coast,5.0
1994-09-15T00:00:00Z,WA Coast,63.0
1994-10-15T00:00:00Z,WA Coast,55.0
1994-11-15T00:00:00Z,WA Coast,37.0
1994-12-15T00:00:00Z,WA Coast,45.0
1995-01-15T00:00:00Z,WA Coast,27.0
1995-02-15T00:00:00Z,WA Coast,26.0
1995-03-15T00:00:00Z,WA Coast,21.0
1995-04-15T00:00:00Z,WA Coast,30.0
1995-05-15T00:00:00Z,WA Coast,30.0
1995-06-15T00:00:00Z,WA Coast,17.0
1995-07-15T00:00:00Z,WA Coast,30.0
1995-08-15T00:00:00Z,WA Coast,15.0
1995-09-15T00:00:00Z,WA Coast,7.0
1995-10-15T00:00:00Z,WA Coast,13.0
1995-11-15T00:00:00Z,WA Coast,5.0
1995-12-15T00:00:00Z,WA Coast,2.0
1996-01-15T00:00:00Z,WA Coast,4.0
1996-02-15T00:00:00Z,WA Coast,4.0
1996-03-15T00:00:00Z,WA Coast,4.0
1996-04-15T00:00:00Z,WA Coast,6.0
1996-05-15T00:00:00Z,WA Coast,6.0
1996-06-15T00:00:00Z,WA Coast,7.0
1996-07-15T00:00:00Z,WA Coast,5.0
1996-08-15T00:00:00Z,WA Coast,4.0
1996-09-15T00:00:00Z,WA Coast,4.0
1996-10-15T00:00:00Z,WA Coast,4.0
1996-11-15T00:00:00Z,WA Coast,3.0
1996-12-15T00:00:00Z,WA Coast,3.0
1997-01-15T00:00:00Z,WA Coast,2.0
1997-02-15T00:00:00Z,WA Coast,2.0
1997-03-15T00:00:00Z,WA Coast,2.0
1997-04-15T00:00:00Z,WA Coast,3.0
1997-05-15T00:00:00Z,WA Coast,2.0
1997-07-15T00:00:00Z,WA Coast,1.0
1997-10-15T00:00:00Z,WA Coast,0.0
1998-01-15T00:00:00Z,WA Coast,0.0
1998-02-15T00:00:00Z,WA Coast,0.0
1998-03-15T00:00:00Z,WA Coast,0.0
1998-05-15T00:00:00Z,WA Coast,0.0
1998-06-15T00:00:00Z,WA Coast,0.0
1998-07-15T00:00:00Z,WA Coast,9.0
1998-08-15T00:00:00Z,WA Coast,14.0
1998-09-15T00:00:00Z,WA Coast,94.0
1998-10-15T00:00:00Z,WA Coast,287.0
1998-11-15T00:00:00Z,WA Coast,295.0
1998-12-15T00:00:00Z,WA Coast,152.0
1999-01-15T00:00:00Z,WA Coast,255.0
1999-02-15T00:00:00Z,WA Coast,214.0
1999-03-15T00:00:00Z,WA Coast,185.0
1999-04-15T00:00:00Z,WA Coast,236.0
1999-05-15T00:00:00Z,WA Coast,71.0
1999-06-15T00:00:00Z,WA Coast,81.0
1999-07-15T00:00:00Z,WA Coast,15.0
1999-08-15T00:00:00Z,WA Coast,21.0
1999-09-15T00:00:00Z,WA Coast,45.0
1999-10-15T00:00:00Z,WA Coast,22.0
1999-11-15T00:00:00Z,WA Coast,38.0
1999-12-15T00:00:00Z,WA Coast,19.0
2000-01-15T00:00:00Z,WA Coast,18.0
2000-02-15T00:00:00Z,WA Coast,24.0
2000-03-15T00:00:00Z,WA Coast,35.0
2000-04-15T00:00:00Z,WA Coast,11.0
2000-05-15T00:00:00Z,WA Coast,14.0
2000-06-15T00:00:00Z,WA Coast,16.0
2000-07-15T00:00:00Z,WA Coast,6.0
2000-08-15T00:00:00Z,WA Coast,7.0
2000-09-15T00:00:00Z,WA Coast,18.0
2000-10-15T00:00:00Z,WA Coast,10.0
2000-11-15T00:00:00Z,WA Coast,8.0
2000-12-15T00:00:00Z,WA Coast,7.0
2001-01-15T00:00:00Z,WA Coast,7.0
2001-02-15T00:00:00Z,WA Coast,5.0
2001-03-15T00:00:00Z,WA Coast,24.0
2001-04-15T00:00:00Z,WA Coast,28.0
2001-05-15T00:00:00Z,WA Coast,30.0
2001-06-15T00:00:00Z,WA Coast,22.0
2001-07-15T00:00:00Z,WA Coast,19.0
2001-08-15T00:00:00Z,WA Coast,13.0
2001-09-15T00:00:00Z,WA Coast,52.0
2001-10-15T00:00:00Z,WA Coast,10.0
2001-11-15T00:00:00Z,WA Coast,10.0
2001-12-15T00:00:00Z,WA Coast,7.0
2002-01-15T00:00:00Z,WA Coast,9.0
2002-02-15T00:00:00Z,WA Coast,7.0
2002-03-15T00:00:00Z,WA Coast,5.0
2002-04-15T00:00:00Z,WA Coast,9.0
2002-05-15T00:00:00Z,WA Coast,11.0
2002-06-15T00:00:00Z,WA Coast,5.0
2002-07-15T00:00:00Z,WA Coast,4.0
2002-08-15T00:00:00Z,WA Coast,2.0
2002-09-15T00:00:00Z,WA Coast,27.0
2002-10-15T00:00:00Z,WA Coast,188.0
2002-11-15T00:00:00Z,WA Coast,150.0
2002-12-15T00:00:00Z,WA Coast,118.0
2003-01-15T00:00:00Z,WA Coast,107.0
2003-02-15T00:00:00Z,WA Coast,108.0
2003-03-15T00:00:00Z,WA Coast,90.0
2003-04-15T00:00:00Z,WA Coast,97.0
2003-05-15T00:00:00Z,WA Coast,88.0
2003-06-15T00:00:00Z,WA Coast,66.0
2003-07-15T00:00:00Z,WA Coast,43.0
2003-08-15T00:00:00Z,WA Coast,38.0
2003-09-15T00:00:00Z,WA Coast,40.0
2003-10-15T00:00:00Z,WA Coast,25.0
2003-11-15T00:00:00Z,WA Coast,22.0
2003-12-15T00:00:00Z,WA Coast,18.0
2004-01-15T00:00:00Z,WA Coast,28.0
2004-02-15T00:00:00Z,WA Coast,28.0
2004-03-15T00:00:00Z,WA Coast,17.0
2004-04-15T00:00:00Z,WA Coast,19.0
2004-05-15T00:00:00Z,WA Coast,14.0
2004-06-15T00:00:00Z,WA Coast,10.0
2004-07-15T00:00:00Z,WA Coast,7.0
2004-08-15T00:00:00Z,WA Coast,49.0
2004-09-15T00:00:00Z,WA Coast,30.0
2004-10-15T00:00:00Z,WA Coast,29.0
2004-11-15T00:00:00Z,WA Coast,23.0
2004-12-15T00:00:00Z,WA Coast,22.0
2005-01-15T00:00:00Z,WA Coast,28.0
2005-02-15T00:00:00Z,WA Coast,24.0
