time,region,domoic_acid_concentration
1990-01-15T00:00:00Z,WA Coast,1.0
1991-11-15T00:00:00Z,WA Coast,22.0
1991-12-15T00:00:00Z,WA Coast,39.0
1992-01-15T00:00:00Z,WA Coast,38.0
1992-02-15T00:00:00Z,WA Coast,35.0
1992-07-15T00:00:00Z,WA Coast,2.0
1992-10-15T00:00:00Z,WA Coast,2.0
1992-11-15T00:00:00Z,WA Coast,11.0
1993-03-15T00:00:00Z,WA Coast,5.0
1993-10-15T00:00:00Z,WA Coast,2.0
1993-11-15T00:00:00Z,WA Coast,6.0
1993-12-15T00:00:00Z,WA Coast,13.0
1994-01-15T00:00:00Z,WA Coast,7.0
1994-02-15T00:00:00Z,WA Coast,10.0
1994-10-15T00:00:00Z,WA Coast,24.0
1994-11-15T00:00:00Z,WA Coast,6.0
1994-12-15T00:00:00Z,WA Coast,5.0
1995-01-15T00:00:00Z,WA Coast,5.0
1995-02-15T00:00:00Z,WA Coast,5.0
1995-03-15T00:00:00Z,WA Coast,5.0
1995-05-15T00:00:00Z,WA Coast,5.0
1995-10-15T00:00:00Z,WA Coast,2.0
1995-11-15T00:00:00Z,WA Coast,2.0
1996-03-15T00:00:00Z,WA Coast,2.0
1996-05-15T00:00:00Z,WA Coast,0.0
1996-10-15T00:00:00Z,WA Coast,2.0
1996-11-15T00:00:00Z,WA Coast,2.0
1998-10-15T00:00:00Z,WA Coast,40.0
1998-11-15T00:00:00Z,WA Coast,39.0
1998-12-15T00:00:00Z,WA Coast,22.0
1999-01-15T00:00:00Z,WA Coast,12.0
1999-02-15T00:00:00Z,WA Coast,7.0
1999-03-15T00:00:00Z,WA Coast,36.0
1999-04-15T00:00:00Z,WA Coast,1.0
1999-10-15T00:00:00Z,WA Coast,2.0
1999-11-15T00:00:00Z,WA Coast,0.0
1999-12-15T00:00:00Z,WA Coast,7.0
2000-01-15T00:00:00Z,WA Coast,1.0
2000-02-15T00:00:00Z,WA Coast,0.0
2000-10-15T00:00:00Z,WA Coast,0.0
2000-12-15T00:00:00Z,WA Coast,0.0
2001-03-15T00:00:00Z,WA Coast,3.0
2001-10-15T00:00:00Z,WA Coast,3.0
2002-10-15T00:00:00Z,WA Coast,35.0
2002-11-15T00:00:00Z,WA Coast,38.0
2002-12-15T00:00:00Z,WA Coast,52.0
2003-01-15T00:00:00Z,WA Coast,55.0
2003-02-15T00:00:00Z,WA Coast,60.0
2003-03-15T00:00:00Z,WA Coast,59.0
2003-04-15T00:00:00Z,WA Coast,33.0
2003-05-15T00:00:00Z,WA Coast,15.0
2003-06-15T00:00:00Z,WA Coast,41.0
2003-10-15T00:00:00Z,WA Coast,6.0
2003-12-15T00:00:00Z,WA Coast,2.0
2005-11-15T00:00:00Z,WA Coast,2.0
2006-10-15T00:00:00Z,WA Coast,1.0
2006-11-15T00:00:00Z,WA Coast,1.0
2007-11-15T00:00:00Z,WA Coast,0.0
2009-11-15T00:00:00Z,WA Coast,0.0
2012-10-15T00:00:00Z,WA Coast,10.0
2012-11-15T00:00:00Z,WA Coast,3.0
2015-05-15T00:00:00Z,WA Coast,41.0
2015-06-15T00:00:00Z,WA Coast,65.0
2015-07-15T00:00:00Z,WA Coast,99.0
2015-08-15T00:00:00Z,WA Coast,86.0
2015-09-15T00:00:00Z,WA Coast,28.0
2015-10-15T00:00:00Z,WA Coast,15.0
2015-11-15T00:00:00Z,WA Coast,54.0
2015-12-15T00:00:00Z,WA Coast,19.0
2016-10-15T00:00:00Z,WA Coast,13.0
2016-11-15T00:00:00Z,WA Coast,14.0
