time,species_group,mean_cpue,Seup,Selo
1990-01-01T00:00:00Z,YOY anchovy,0.05445886,0.10095794,0.007959786
1991-01-01T00:00:00Z,YOY anchovy,0.09236237,0.12302395000000001,0.061700784
1992-01-01T00:00:00Z,YOY anchovy,1.0336972,1.2392466,0.828148
1993-01-01T00:00:00Z,YOY anchovy,2.0878432,2.309068,1.8666184
1994-01-01T00:00:00Z,YOY anchovy,1.4434862,1.622601,1.2643714
1995-01-01T00:00:00Z,YOY anchovy,0.23928517,0.3020149,0.17655544
1996-01-01T00:00:00Z,YOY anchovy,1.007246,1.1812053,0.8332867
1997-01-01T00:00:00Z,YOY anchovy,1.0881811,1.2760282,0.9003341
1998-01-01T00:00:00Z,YOY anchovy,0.082998596,0.11959228,0.04640492
1999-01-01T00:00:00Z,YOY anchovy,0.044171397,0.07072901,0.017613778
2000-01-01T00:00:00Z,YOY anchovy,0.0,0,0
2001-01-01T00:00:00Z,YOY anchovy,0.06404955,0.10458061,0.023518486
2002-01-01T00:00:00Z,YOY anchovy,0.016397199,0.032794397,-3.54262e-10
2003-01-01T00:00:00Z,YOY anchovy,0.0,0,0
2004-01-01T00:00:00Z,YOY anchovy,0.013732654,0.027465308,3.82584e-10
2005-01-01T00:00:00Z,YOY anchovy,0.0,0,0
2006-01-01T00:00:00Z,YOY anchovy,0.0,0,0
2007-01-01T00:00:00Z,YOY anchovy,0.008059851,0.016119702,3.28393e-11
2008-01-01T00:00:00Z,YOY anchovy,0.0,0,0
2009-01-01T00:00:00Z,YOY anchovy,0.0,0,0
2010-01-01T00:00:00Z,YOY anchovy,0.03792066,0.068251394,0.007589933
2011-01-01T00:00:00Z,YOY anchovy,0.0,0,0
2012-01-01T00:00:00Z,YOY anchovy,0.0,0,0
2013-01-01T00:00:00Z,YOY anchovy,0.0,0,0
2014-01-01T00:00:00Z,YOY anchovy,0.04776575,0.07493474,0.020596761
2015-01-01T00:00:00Z,YOY anchovy,2.5145059,2.7356658,2.2933462
2016-01-01T00:00:00Z,YOY anchovy,1.058441,1.2800637,0.8368183
2017-01-01T00:00:00Z,YOY anchovy,0.30847993,0.43728656,0.17967327
2018-01-01T00:00:00Z,YOY anchovy,1.5591823,1.814234,1.3041306
2019-01-01T00:00:00Z,YOY anchovy,0.5723713,0.7004652,0.44427747
1990-01-01T00:00:00Z,Adult anchovy,0.95005643,1.1578276,0.7422852
1991-01-01T00:00:00Z,Adult anchovy,0.0,0,0
1992-01-01T00:00:00Z,Adult anchovy,1.0462333,1.2702352,0.82223153
1993-01-01T00:00:00Z,Adult anchovy,0.35738784,0.49559954,0.21917617
1994-01-01T00:00:00Z,Adult anchovy,0.47999957,0.66872144,0.2912777
1995-01-01T00:00:00Z,Adult anchovy,1.5027834,1.8130358,1.1925309
1996-01-01T00:00:00Z,Adult anchovy,0.32982835,0.43570405,0.22395264
1997-01-01T00:00:00Z,Adult anchovy,0.65425,0.84781265,0.46068737
1998-01-01T00:00:00Z,Adult anchovy,0.9709571,1.1858515,0.7560627
1999-01-01T00:00:00Z,Adult anchovy,1.0657446,1.288482,0.8430074
2000-01-01T00:00:00Z,Adult anchovy,0.29667613,0.41745403,0.17589824
2001-01-01T00:00:00Z,Adult anchovy,0.28352675,0.38012305,0.18693043
2002-01-01T00:00:00Z,Adult anchovy,0.053485356,0.08031522,0.026655499
2003-01-01T00:00:00Z,Adult anchovy,0.19066352,0.25499728,0.12632973
2004-01-01T00:00:00Z,Adult anchovy,1.5227511,1.7478535,1.2976487
2005-01-01T00:00:00Z,Adult anchovy,1.9030201,2.1325133,1.6735269
2006-01-01T00:00:00Z,Adult anchovy,1.8732733,2.1089184,1.6376282
2007-01-01T00:00:00Z,Adult anchovy,0.75763214,0.95589805,0.5593662
2008-01-01T00:00:00Z,Adult anchovy,0.069775306,0.122270614,0.017279997
2009-01-01T00:00:00Z,Adult anchovy,0.06539228,0.09914741,0.031637155
2010-01-01T00:00:00Z,Adult anchovy,0.01754803,0.029876564,0.005219496
2011-01-01T00:00:00Z,Adult anchovy,0.014440566,0.028881133,-2.87491e-10
2012-01-01T00:00:00Z,Adult anchovy,0.0,0,0
2013-01-01T00:00:00Z,Adult anchovy,0.13405764,0.21347362,0.054641653
2014-01-01T00:00:00Z,Adult anchovy,0.07664155,0.12628464,0.026998451
2015-01-01T00:00:00Z,Adult anchovy,0.01664564,0.03329128,2.15876e-10
2016-01-01T00:00:00Z,Adult anchovy,0.0,0,0
2017-01-01T00:00:00Z,Adult anchovy,0.07751351,0.12643458,0.02859243
2018-01-01T00:00:00Z,Adult anchovy,2.4465477,2.856464,2.0366316
2019-01-01T00:00:00Z,Adult anchovy,4.8605256,5.2539372,4.467114
1990-01-01T00:00:00Z,YOY sardine,0.0,0,0
1991-01-01T00:00:00Z,YOY sardine,0.0,0,0
1992-01-01T00:00:00Z,YOY sardine,0.0,0,0
1993-01-01T00:00:00Z,YOY sardine,0.0,0,0
1994-01-01T00:00:00Z,YOY sardine,0.0,0,0
1995-01-01T00:00:00Z,YOY sardine,0.031116014,0.05467833,0.007553703
1996-01-01T00:00:00Z,YOY sardine,0.0,0,0
1997-01-01T00:00:00Z,YOY sardine,0.009366854,0.018733708,2.13535e-10
1998-01-01T00:00:00Z,YOY sardine,0.4192679,0.51671493,0.32182086
1999-01-01T00:00:00Z,YOY sardine,0.009001911,0.018003821,-4.05304e-10
2000-01-01T00:00:00Z,YOY sardine,0.0,0,0
2001-01-01T00:00:00Z,YOY sardine,0.0,0,0
2002-01-01T00:00:00Z,YOY sardine,0.0,0,0
2003-01-01T00:00:00Z,YOY sardine,0.0,0,0
2004-01-01T00:00:00Z,YOY sardine,0.0,0,0
2005-01-01T00:00:00Z,YOY sardine,0.0,0,0
2006-01-01T00:00:00Z,YOY sardine,0.0,0,0
2007-01-01T00:00:00Z,YOY sardine,0.0,0,0
2008-01-01T00:00:00Z,YOY sardine,0.0,0,0
2009-01-01T00:00:00Z,YOY sardine,0.03269614,0.05786089,0.007531391
2010-01-01T00:00:00Z,YOY sardine,0.008774015,0.01754803,1.58011e-11
2011-01-01T00:00:00Z,YOY sardine,0.0,0,0
2012-01-01T00:00:00Z,YOY sardine,0.0,0,0
2013-01-01T00:00:00Z,YOY sardine,0.0,0,0
2014-01-01T00:00:00Z,YOY sardine,0.0,0,0
2015-01-01T00:00:00Z,YOY sardine,0.99649656,1.1502311,0.842762
2016-01-01T00:00:00Z,YOY sardine,0.1037096,0.1481664,0.0592528
2017-01-01T00:00:00Z,YOY sardine,0.0,0,0
2018-01-01T00:00:00Z,YOY sardine,0.48361936,0.5878316,0.3794071
2019-01-01T00:00:00Z,YOY sardine,0.0,0,0
1990-01-01T00:00:00Z,Adult sardine,0.00866434,0.01732868,2.10267e-10
1991-01-01T00:00:00Z,Adult sardine,0.03417262,0.05439986,0.013945384
1992-01-01T00:00:00Z,Adult sardine,0.03798067,0.060968213,0.014993123
1993-01-01T00:00:00Z,Adult sardine,0.027725887,0.055451773,-2.48888e-10
1994-01-01T00:00:00Z,Adult sardine,0.109733924,0.17406017,0.045407675
1995-01-01T00:00:00Z,Adult sardine,0.51904964,0.67082906,0.36727026
1996-01-01T00:00:00Z,Adult sardine,0.15311866,0.23933868,0.066898614
1997-01-01T00:00:00Z,Adult sardine,0.5207082,0.6507006,0.39071575
1998-01-01T00:00:00Z,Adult sardine,0.81303555,0.98172075,0.64435035
1999-01-01T00:00:00Z,Adult sardine,0.2189426,0.31168914,0.12619609
2000-01-01T00:00:00Z,Adult sardine,0.20402974,0.28758746,0.12047203
2001-01-01T00:00:00Z,Adult sardine,0.3479294,0.4453197,0.25053906
2002-01-01T00:00:00Z,Adult sardine,0.11888874,0.17385614,0.06392134
2003-01-01T00:00:00Z,Adult sardine,0.07029782,0.098479204,0.042116445
2004-01-01T00:00:00Z,Adult sardine,0.35271907,0.444561,0.2608771
2005-01-01T00:00:00Z,Adult sardine,0.90320253,1.0411692,0.7652359
2006-01-01T00:00:00Z,Adult sardine,0.55974674,0.6973229,0.42217058
2007-01-01T00:00:00Z,Adult sardine,0.7173407,0.8543641,0.58031726
2008-01-01T00:00:00Z,Adult sardine,0.7704784,0.96520424,0.5757526
2009-01-01T00:00:00Z,Adult sardine,0.1862073,0.25789905,0.11451554
2010-01-01T00:00:00Z,Adult sardine,0.0,0,0
2011-01-01T00:00:00Z,Adult sardine,0.0,0,0
2012-01-01T00:00:00Z,Adult sardine,0.045452274,0.08120533,0.009699214
2013-01-01T00:00:00Z,Adult sardine,0.011363069,0.022726137,5.0889e-10
2014-01-01T00:00:00Z,Adult sardine,0.03601314,0.057059743,0.014966538
2015-01-01T00:00:00Z,Adult sardine,0.0,0,0
2016-01-01T00:00:00Z,Adult sardine,0.0,0,0
2017-01-01T00:00:00Z,Adult sardine,0.0,0,0
2018-01-01T00:00:00Z,Adult sardine,0.1426921,0.22532497,0.06005923
2019-01-01T00:00:00Z,Adult sardine,0.8200955,0.9936022,0.6465888
1990-01-01T00:00:00Z,YOY rockfish,1.3038791,1.457065,1.1506933
1991-01-01T00:00:00Z,YOY rockfish,2.3493574,2.4898045,2.20891
1992-01-01T00:00:00Z,YOY rockfish,1.4113802,1.6164976,1.2062627
1993-01-01T00:00:00Z,YOY rockfish,3.0587986,3.2470345,2.8705626
1994-01-01T00:00:00Z,YOY rockfish,1.2663636,1.4125512,1.1201761
1995-01-01T00:00:00Z,YOY rockfish,0.9260309,1.0468982,0.8051636
1996-01-01T00:00:00Z,YOY rockfish,1.9175088,2.0819614,1.7530562
