time,species_group,mean_cpue,Seup,Selo
1990-01-01T00:00:00Z,Adult anchovy,0.30724862,NA,NA
1991-01-01T00:00:00Z,Adult anchovy,-0.9799422,NA,NA
1992-01-01T00:00:00Z,Adult anchovy,0.5843082,NA,NA
1993-01-01T00:00:00Z,Adult anchovy,-0.28057227,NA,NA
1994-01-01T00:00:00Z,Adult anchovy,0.21238482,NA,NA
1995-01-01T00:00:00Z,Adult anchovy,1.390373,NA,NA
1996-01-01T00:00:00Z,Adult anchovy,-0.43345535,NA,NA
1997-01-01T00:00:00Z,Adult anchovy,0.12787472,NA,NA
1998-01-01T00:00:00Z,Adult anchovy,0.51348495,NA,NA
1999-01-01T00:00:00Z,Adult anchovy,0.7298137,NA,NA
2000-01-01T00:00:00Z,Adult anchovy,-0.3581867,NA,NA
2001-01-01T00:00:00Z,Adult anchovy,-0.623975,NA,NA
2002-01-01T00:00:00Z,Adult anchovy,-0.80718243,NA,NA
2003-01-01T00:00:00Z,Adult anchovy,-0.7864933,NA,NA
2004-01-01T00:00:00Z,Adult anchovy,0.65533227,NA,NA
2005-01-01T00:00:00Z,Adult anchovy,0.8330564,NA,NA
2006-01-01T00:00:00Z,Adult anchovy,0.7965926,NA,NA
2007-01-01T00:00:00Z,Adult anchovy,0.3343798,NA,NA
2008-01-01T00:00:00Z,Adult anchovy,-0.75301725,NA,NA
2009-01-01T00:00:00Z,Adult anchovy,-0.76718366,NA,NA
2010-01-01T00:00:00Z,Adult anchovy,-0.94446105,NA,NA
2011-01-01T00:00:00Z,Adult anchovy,-0.8950718,NA,NA
2012-01-01T00:00:00Z,Adult anchovy,-0.9799422,NA,NA
2013-01-01T00:00:00Z,Adult anchovy,-0.77868146,NA,NA
2014-01-01T00:00:00Z,Adult anchovy,-0.83628964,NA,NA
2015-01-01T00:00:00Z,Adult anchovy,-0.94730526,NA,NA
2016-01-01T00:00:00Z,Adult anchovy,-0.9799422,NA,NA
2017-01-01T00:00:00Z,Adult anchovy,-0.8174458,NA,NA
2018-01-01T00:00:00Z,Adult anchovy,1.7982928,NA,NA
2019-01-01T00:00:00Z,Adult anchovy,2.4752495,NA,NA
2020-01-01T00:00:00Z,Adult anchovy,2.210756,NA,NA
1990-01-01T00:00:00Z,YOY rockfish,-0.5291645,NA,NA
1991-01-01T00:00:00Z,YOY rockfish,0.36210144,NA,NA
1992-01-01T00:00:00Z,YOY rockfish,-0.2292335,NA,NA
1993-01-01T00:00:00Z,YOY rockfish,0.9288628,NA,NA
1994-01-01T00:00:00Z,YOY rockfish,-0.60744965,NA,NA
1995-01-01T00:00:00Z,YOY rockfish,-0.8402661,NA,NA
1996-01-01T00:00:00Z,YOY rockfish,-0.11815885,NA,NA
1997-01-01T00:00:00Z,YOY rockfish,-0.17265624,NA,NA
1998-01-01T00:00:00Z,YOY rockfish,-1.2843093,NA,NA
1999-01-01T00:00:00Z,YOY rockfish,-0.8167594,NA,NA
2000-01-01T00:00:00Z,YOY rockfish,0.14672866,NA,NA
2001-01-01T00:00:00Z,YOY rockfish,0.63226235,NA,NA
2002-01-01T00:00:00Z,YOY rockfish,0.6945945,NA,NA
2003-01-01T00:00:00Z,YOY rockfish,-0.20993423,NA,NA
2004-01-01T00:00:00Z,YOY rockfish,0.3389734,NA,NA
2005-01-01T00:00:00Z,YOY rockfish,-1.4789891,NA,NA
2006-01-01T00:00:00Z,YOY rockfish,-1.2922757,NA,NA
2007-01-01T00:00:00Z,YOY rockfish,-0.85454196,NA,NA
2008-01-01T00:00:00Z,YOY rockfish,-0.51498985,NA,NA
2009-01-01T00:00:00Z,YOY rockfish,0.098275855,NA,NA
2010-01-01T00:00:00Z,YOY rockfish,0.07172423,NA,NA
2011-01-01T00:00:00Z,YOY rockfish,0.30071917,NA,NA
2012-01-01T00:00:00Z,YOY rockfish,-0.6228367,NA,NA
2013-01-01T00:00:00Z,YOY rockfish,2.2326176,NA,NA
