time,species_group,mean_density,Seup,Selo
1998-01-01T00:00:00Z,CA Market squid,0.3234,0.435,0.211
1999-01-01T00:00:00Z,CA Market squid,0.3805,0.484,0.277
2000-01-01T00:00:00Z,CA Market squid,0.0634,0.101,0.026
2001-01-01T00:00:00Z,CA Market squid,0.2301,0.325,0.135
2002-01-01T00:00:00Z,CA Market squid,0.3762,0.477,0.276
2003-01-01T00:00:00Z,CA Market squid,0.555,0.675,0.435
2004-01-01T00:00:00Z,CA Market squid,0.3068,0.376,0.238
2005-01-01T00:00:00Z,CA Market squid,0.1242,0.188,0.06
2006-01-01T00:00:00Z,CA Market squid,0.3093,0.398,0.22
2007-01-01T00:00:00Z,CA Market squid,0.072,0.099,0.045
2008-01-01T00:00:00Z,CA Market squid,0.042,0.055,0.029
2009-01-01T00:00:00Z,CA Market squid,0.0094,0.014,0.005
2010-01-01T00:00:00Z,CA Market squid,0.1335,0.201,0.066
2011-01-01T00:00:00Z,CA Market squid,0.2349,0.308,0.162
2012-01-01T00:00:00Z,CA Market squid,0.2633,0.347,0.18
2013-01-01T00:00:00Z,CA Market squid,0.1681,0.214,0.122
2014-01-01T00:00:00Z,CA Market squid,0.6082,0.739,0.477
2015-01-01T00:00:00Z,CA Market squid,0.545,0.631,0.459
2016-01-01T00:00:00Z,CA Market squid,0.4503,0.547,0.354
2017-01-01T00:00:00Z,CA Market squid,0.3576,0.439,0.276
2018-01-01T00:00:00Z,CA Market squid,0.856,0.981,0.731
2019-01-01T00:00:00Z,CA Market squid,1.15347,1.29039,1.01655
1998-01-01T00:00:00Z,Subyearling Chinook,0.1791,0.263,0.095
1999-01-01T00:00:00Z,Subyearling Chinook,0.023,0.037,0.009
2000-01-01T00:00:00Z,Subyearling Chinook,0.0974,0.132,0.063
2001-01-01T00:00:00Z,Subyearling Chinook,0.0523,0.075,0.03
2002-01-01T00:00:00Z,Subyearling Chinook,0.1559,0.194,0.118
2003-01-01T00:00:00Z,Subyearling Chinook,0.312,0.374,0.25
2004-01-01T00:00:00Z,Subyearling Chinook,0.1678,0.205,0.131
2005-01-01T00:00:00Z,Subyearling Chinook,0.0639,0.092,0.036
2006-01-01T00:00:00Z,Subyearling Chinook,0.1844,0.231,0.138
2007-01-01T00:00:00Z,Subyearling Chinook,0.114,0.156,0.072
2008-01-01T00:00:00Z,Subyearling Chinook,0.1564,0.19,0.123
2009-01-01T00:00:00Z,Subyearling Chinook,0.2528,0.312,0.194
2010-01-01T00:00:00Z,Subyearling Chinook,0.298,0.357,0.239
2011-01-01T00:00:00Z,Subyearling Chinook,0.1574,0.191,0.123
2012-01-01T00:00:00Z,Subyearling Chinook,0.0793,0.108,0.051
2013-01-01T00:00:00Z,Subyearling Chinook,0.1503,0.199,0.101
2014-01-01T00:00:00Z,Subyearling Chinook,0.1219,0.156,0.088
