time,species_group,mean_density,Seup,Selo
1998-01-01T00:00:00Z,YOY Sablefish,0.0,0,0
1999-01-01T00:00:00Z,YOY Sablefish,0.0,0,0
2000-01-01T00:00:00Z,YOY Sablefish,0.0,0,0
2001-01-01T00:00:00Z,YOY Sablefish,0.009,0.015,0.002
2002-01-01T00:00:00Z,YOY Sablefish,0.0,0,0
2003-01-01T00:00:00Z,YOY Sablefish,0.021,0.037,0.005
2004-01-01T00:00:00Z,YOY Sablefish,0.161,0.22,0.103
2005-01-01T00:00:00Z,YOY Sablefish,0.124,0.17,0.077
2006-01-01T00:00:00Z,YOY Sablefish,0.102,0.148,0.056
2007-01-01T00:00:00Z,YOY Sablefish,0.05,0.093,0.006
2008-01-01T00:00:00Z,YOY Sablefish,0.0,0,0
2009-01-01T00:00:00Z,YOY Sablefish,0.107,0.161,0.053
2010-01-01T00:00:00Z,YOY Sablefish,0.0,0,0
2011-01-01T00:00:00Z,YOY Sablefish,0.0,0,0
2012-01-01T00:00:00Z,YOY Sablefish,0.017,0.028,0.006
2013-01-01T00:00:00Z,YOY Sablefish,0.175,0.241,0.109
2014-01-01T00:00:00Z,YOY Sablefish,0.007,0.015,0
2015-01-01T00:00:00Z,YOY Sablefish,0.0,0,0
2016-01-01T00:00:00Z,YOY Sablefish,0.12,0.173,0.067
2017-01-01T00:00:00Z,YOY Sablefish,0.02,0.039,0
2018-01-01T00:00:00Z,YOY Sablefish,0.024,0.043,0.006
2019-01-01T00:00:00Z,YOY Sablefish,0.0,0,0
2020-01-01T00:00:00Z,YOY Sablefish,0.584,0.686,0.482
1999-01-01T00:00:00Z,Chrysaora Sea Nettle,0.078,0.104,0.051
2000-01-01T00:00:00Z,Chrysaora Sea Nettle,0.332,0.407,0.257
2001-01-01T00:00:00Z,Chrysaora Sea Nettle,0.595,0.748,0.443
2002-01-01T00:00:00Z,Chrysaora Sea Nettle,1.0,1.163,0.836
2003-01-01T00:00:00Z,Chrysaora Sea Nettle,0.679,0.826,0.531
2004-01-01T00:00:00Z,Chrysaora Sea Nettle,1.051,1.232,0.87
2005-01-01T00:00:00Z,Chrysaora Sea Nettle,0.497,0.635,0.358
2006-01-01T00:00:00Z,Chrysaora Sea Nettle,0.657,0.801,0.513
2007-01-01T00:00:00Z,Chrysaora Sea Nettle,0.415,0.547,0.282
2008-01-01T00:00:00Z,Chrysaora Sea Nettle,0.69,0.835,0.546
2009-01-01T00:00:00Z,Chrysaora Sea Nettle,0.513,0.638,0.387
2010-01-01T00:00:00Z,Chrysaora Sea Nettle,0.418,0.503,0.334
2011-01-01T00:00:00Z,Chrysaora Sea Nettle,0.412,0.509,0.315
2012-01-01T00:00:00Z,Chrysaora Sea Nettle,0.268,0.358,0.178
2013-01-01T00:00:00Z,Chrysaora Sea Nettle,0.592,0.713,0.471
2014-01-01T00:00:00Z,Chrysaora Sea Nettle,0.57,0.685,0.456
2015-01-01T00:00:00Z,Chrysaora Sea Nettle,0.066,0.093,0.039
2016-01-01T00:00:00Z,Chrysaora Sea Nettle,0.142,0.204,0.08
2017-01-01T00:00:00Z,Chrysaora Sea Nettle,0.384,0.479,0.288
2018-01-01T00:00:00Z,Chrysaora Sea Nettle,0.64,0.758,0.521
2019-01-01T00:00:00Z,Chrysaora Sea Nettle,0.504,0.61,0.398
2020-01-01T00:00:00Z,Chrysaora Sea Nettle,0.404,0.524,0.284
1999-01-01T00:00:00Z,Aequorea Water Jelly,0.641,0.806,0.475
2000-01-01T00:00:00Z,Aequorea Water Jelly,0.666,0.81,0.523
2001-01-01T00:00:00Z,Aequorea Water Jelly,0.233,0.307,0.158
2002-01-01T00:00:00Z,Aequorea Water Jelly,0.684,0.794,0.575
2003-01-01T00:00:00Z,Aequorea Water Jelly,0.343,0.441,0.245
2004-01-01T00:00:00Z,Aequorea Water Jelly,0.578,0.666,0.489
2005-01-01T00:00:00Z,Aequorea Water Jelly,0.107,0.145,0.069
2006-01-01T00:00:00Z,Aequorea Water Jelly,0.76,0.889,0.632
2007-01-01T00:00:00Z,Aequorea Water Jelly,0.055,0.09,0.02
2008-01-01T00:00:00Z,Aequorea Water Jelly,0.367,0.448,0.285
2009-01-01T00:00:00Z,Aequorea Water Jelly,0.239,0.326,0.151
2010-01-01T00:00:00Z,Aequorea Water Jelly,0.264,0.315,0.212
2011-01-01T00:00:00Z,Aequorea Water Jelly,0.154,0.213,0.095
