time,species_group,abundance
1990-01-01T00:00:00Z,Chrysaora,0.24779785
1991-01-01T00:00:00Z,Chrysaora,0.28291398
1992-01-01T00:00:00Z,Chrysaora,1.3821577
1993-01-01T00:00:00Z,Chrysaora,0.53113115
1994-01-01T00:00:00Z,Chrysaora,0.46806106
1995-01-01T00:00:00Z,Chrysaora,0.7257264
1996-01-01T00:00:00Z,Chrysaora,0.49990398
1997-01-01T00:00:00Z,Chrysaora,0.6561637
1998-01-01T00:00:00Z,Chrysaora,0.07728543
1999-01-01T00:00:00Z,Chrysaora,0.0
2000-01-01T00:00:00Z,Chrysaora,0.77232665
2001-01-01T00:00:00Z,Chrysaora,0.45869282
2002-01-01T00:00:00Z,Chrysaora,NaN
2003-01-01T00:00:00Z,Chrysaora,NaN
2004-01-01T00:00:00Z,Chrysaora,NaN
2005-01-01T00:00:00Z,Chrysaora,0.03451259
2006-01-01T00:00:00Z,Chrysaora,0.13077773
2007-01-01T00:00:00Z,Chrysaora,0.20142134
2008-01-01T00:00:00Z,Chrysaora,0.37498128
2009-01-01T00:00:00Z,Chrysaora,0.19019523
2010-01-01T00:00:00Z,Chrysaora,1.1918848
2011-01-01T00:00:00Z,Chrysaora,0.96821934
2012-01-01T00:00:00Z,Chrysaora,0.50738955
2013-01-01T00:00:00Z,Chrysaora,0.31975865
2014-01-01T00:00:00Z,Chrysaora,0.48955974
2015-01-01T00:00:00Z,Chrysaora,0.11460293
1990-01-01T00:00:00Z,Aurelia,0.16503473
1991-01-01T00:00:00Z,Aurelia,0.027451374
1992-01-01T00:00:00Z,Aurelia,0.0
1993-01-01T00:00:00Z,Aurelia,0.036954112
1994-01-01T00:00:00Z,Aurelia,0.094917364
1995-01-01T00:00:00Z,Aurelia,0.4232408
1996-01-01T00:00:00Z,Aurelia,0.09058179
1997-01-01T00:00:00Z,Aurelia,1.272389
1998-01-01T00:00:00Z,Aurelia,0.015934419
1999-01-01T00:00:00Z,Aurelia,0.0
2000-01-01T00:00:00Z,Aurelia,0.4025318
2001-01-01T00:00:00Z,Aurelia,0.7789615
2002-01-01T00:00:00Z,Aurelia,NaN
2003-01-01T00:00:00Z,Aurelia,NaN
2004-01-01T00:00:00Z,Aurelia,NaN
2005-01-01T00:00:00Z,Aurelia,0.07701635
2006-01-01T00:00:00Z,Aurelia,0.030580023
2007-01-01T00:00:00Z,Aurelia,0.077070124
2008-01-01T00:00:00Z,Aurelia,1.2340488
2009-01-01T00:00:00Z,Aurelia,0.35998046
2010-01-01T00:00:00Z,Aurelia,0.0
2011-01-01T00:00:00Z,Aurelia,0.47341982
2012-01-01T00:00:00Z,Aurelia,0.0
2013-01-01T00:00:00Z,Aurelia,0.20708358
2014-01-01T00:00:00Z,Aurelia,0.06021095
2015-01-01T00:00:00Z,Aurelia,0.011748257
