time,species_group,mean_cpue
1999-01-01T00:00:00Z,Aequorea,2873.656
2000-01-01T00:00:00Z,Aequorea,735.459
2001-01-01T00:00:00Z,Aequorea,86.197
2002-01-01T00:00:00Z,Aequorea,651.493
2003-01-01T00:00:00Z,Aequorea,176.657
2004-01-01T00:00:00Z,Aequorea,348.493
2005-01-01T00:00:00Z,Aequorea,14.565
2006-01-01T00:00:00Z,Aequorea,1359.337
2007-01-01T00:00:00Z,Aequorea,11.074
2008-01-01T00:00:00Z,Aequorea,189.805
2009-01-01T00:00:00Z,Aequorea,242.846
2010-01-01T00:00:00Z,Aequorea,57.195
2011-01-01T00:00:00Z,Aequorea,48.463
2012-01-01T00:00:00Z,Aequorea,2099.585
2013-01-01T00:00:00Z,Aequorea,32.07
2014-01-01T00:00:00Z,Aequorea,697.339
2015-01-01T00:00:00Z,Aequorea,2503.31
2016-01-01T00:00:00Z,Aequorea,173.176
1999-01-01T00:00:00Z,Chrysaora,15.65
2000-01-01T00:00:00Z,Chrysaora,74.25
2001-01-01T00:00:00Z,Chrysaora,3703.19
2002-01-01T00:00:00Z,Chrysaora,3432.01
2003-01-01T00:00:00Z,Chrysaora,1279.25
2004-01-01T00:00:00Z,Chrysaora,10919.47
2005-01-01T00:00:00Z,Chrysaora,611.97
2006-01-01T00:00:00Z,Chrysaora,3093.27
2007-01-01T00:00:00Z,Chrysaora,4104.27
2008-01-01T00:00:00Z,Chrysaora,3209.17
2009-01-01T00:00:00Z,Chrysaora,1569.31
2010-01-01T00:00:00Z,Chrysaora,222.27
2011-01-01T00:00:00Z,Chrysaora,394.59
2012-01-01T00:00:00Z,Chrysaora,617.34
2013-01-01T00:00:00Z,Chrysaora,1787.69
2014-01-01T00:00:00Z,Chrysaora,942.73
2015-01-01T00:00:00Z,Chrysaora,0.48
2016-01-01T00:00:00Z,Chrysaora,4.631
