time,mean_length,std_dev,Seup,Selo
2007-11-08T00:00:00Z,14.326589,1.4396827,15.766272,12.886907
2007-12-11T00:00:00Z,15.176009,1.4805892,16.656599,13.69542
2008-02-17T00:00:00Z,14.073841,1.5961949,15.670036,12.477647
2008-03-05T00:00:00Z,14.102537,1.4798472,15.582384,12.62269
2008-04-22T00:00:00Z,NaN,NaN,NA,NA
2008-05-16T00:00:00Z,16.081062,2.033698,18.11476,14.047364
2008-06-20T00:00:00Z,17.270111,2.1393862,19.409498,15.130725
2008-09-16T00:00:00Z,13.321851,1.8090274,15.130878,11.512824
2008-10-28T00:00:00Z,15.281953,1.6734987,16.955452,13.608454
2009-01-14T00:00:00Z,14.44076,1.5845711,16.025331,12.856189
2009-02-17T00:00:00Z,13.029093,1.4264345,14.455527,11.602658
2009-03-19T00:00:00Z,13.121678,1.2317865,14.353464,11.889892
2009-04-12T00:00:00Z,15.150717,1.3750304,16.525747,13.775686
2009-04-21T00:00:00Z,16.28428,1.4284788,17.712759,14.855802
2009-06-01T00:00:00Z,15.93157,1.646381,17.577951,14.285189
2009-08-04T00:00:00Z,16.392307,1.9811708,18.373478,14.411136
2009-09-14T00:00:00Z,12.453872,2.6618323,15.115704,9.792039
2009-10-29T00:00:00Z,11.30177,1.4669763,12.768746,9.834794
2010-01-31T00:00:00Z,12.788733,1.0763059,13.865038,11.712426
2010-02-18T00:00:00Z,12.55878,1.6553868,14.214167,10.903394
2010-04-13T00:00:00Z,10.119333,1.1844046,11.303738,8.934929
2010-07-14T00:00:00Z,NaN,NaN,NA,NA
2010-12-10T00:00:00Z,10.759091,1.8521117,12.611203,8.90698
2011-01-29T00:00:00Z,NaN,NaN,NA,NA
2011-02-20T00:00:00Z,10.889912,1.2725464,12.162458,9.617366
2011-04-16T00:00:00Z,11.564117,2.7154648,14.279582,8.848653
2011-05-27T00:00:00Z,14.986106,2.4705088,17.456614,12.515596
2011-06-28T00:00:00Z,15.3082,2.5625346,17.870735,12.745666
2011-07-14T00:00:00Z,14.133819,2.5712497,16.705069,11.562569
2011-08-02T00:00:00Z,15.751307,1.5433015,17.294607,14.208005
2011-09-12T00:00:00Z,11.564385,1.5621773,13.126563,10.002208
2011-09-29T00:00:00Z,11.86,0.0,11.86,11.86
2011-10-10T00:00:00Z,10.268121,1.2903787,11.558499,8.977742
2011-10-30T00:00:00Z,NaN,NaN,NA,NA
2011-11-15T00:00:00Z,10.518272,1.1763135,11.694586,9.341959
2011-12-06T00:00:00Z,10.286929,1.1045344,11.391463,9.182395
2012-01-29T00:00:00Z,11.104039,1.0119249,12.115964,10.092114
2012-02-21T00:00:00Z,12.442469,1.0573807,13.499849,11.385088
2012-03-08T00:00:00Z,13.160922,1.2325561,14.393478,11.928366
2012-04-05T00:00:00Z,13.292075,1.1076713,14.399746,12.184403
2012-04-19T00:00:00Z,12.091011,1.5700487,13.661059,10.520963
2012-05-22T00:00:00Z,14.711043,0.9971595,15.708203,13.713884
2012-06-05T00:00:00Z,14.350654,2.3899395,16.740593,11.960713
2012-06-24T00:00:00Z,11.636474,1.4159446,13.052418,10.220529
2012-08-04T00:00:00Z,14.537426,1.9872358,16.524662,12.55019
2012-09-06T00:00:00Z,11.59853,1.5748035,13.173333,10.023726
2012-09-21T00:00:00Z,12.622476,1.6015904,14.224067,11.020885
2012-10-22T00:00:00Z,12.968125,2.5903132,15.558438,10.377811
2012-11-26T00:00:00Z,11.178899,1.7482401,12.927139,9.430659
2012-12-14T00:00:00Z,9.572059,1.3539567,10.926016,8.218102
2013-01-16T00:00:00Z,11.364421,2.287032,13.651453,9.077389
2013-02-15T00:00:00Z,11.024954,2.1227846,13.147738,8.902169
2013-03-11T00:00:00Z,11.953594,0.93161,12.885204,11.021984
2013-05-02T00:00:00Z,16.907143,1.6555132,18.562656,15.25163
2013-05-06T00:00:00Z,14.86292,2.2219434,17.084864,12.640977
2013-05-13T00:00:00Z,14.447649,2.7781758,17.225824,11.669474
2013-05-29T00:00:00Z,14.609293,1.7305735,16.339867,12.878719
2013-06-18T00:00:00Z,15.944514,2.0903642,18.034878,13.85415
2013-06-26T00:00:00Z,15.862101,2.5250669,18.387167,13.337034
2013-07-17T00:00:00Z,15.868159,1.902222,17.770382,13.965938
2013-07-23T00:00:00Z,13.517937,2.3019977,15.819934,11.215939
2013-08-05T00:00:00Z,14.239264,2.2668586,16.506123,11.9724045
2013-08-26T00:00:00Z,13.913585,2.1155243,16.02911,11.79806
2013-09-12T00:00:00Z,14.637278,1.6334187,16.270697,13.003859
2013-10-15T00:00:00Z,14.854779,1.598229,16.453009,13.256551
2013-10-24T00:00:00Z,12.613888,2.2351737,14.849062,10.378715
2013-11-12T00:00:00Z,14.272857,1.7114781,15.984335,12.561379
2014-01-02T00:00:00Z,11.228426,2.1102948,13.338721,9.118131
2014-01-16T00:00:00Z,11.479399,1.7797364,13.259134,9.699662
2014-02-24T00:00:00Z,11.639693,1.0034786,12.643172,10.636214
2014-04-02T00:00:00Z,14.194757,1.5912185,15.785976,12.603539
2014-04-28T00:00:00Z,15.576256,1.3001577,16.876413,14.276097
2014-06-12T00:00:00Z,15.33681,2.000454,17.337263,13.336356
2014-07-15T00:00:00Z,13.119293,3.4787164,16.59801,9.640576
2014-08-28T00:00:00Z,10.20625,3.8744545,14.080705,6.331795
2014-09-16T00:00:00Z,8.455313,1.8012594,10.256573,6.6540537
2014-10-27T00:00:00Z,9.182406,1.0127062,10.195112,8.1697
2014-12-03T00:00:00Z,9.33,0.0,9.33,9.33
2015-01-05T00:00:00Z,8.652745,0.8255106,9.478256,7.8272347
2015-01-13T00:00:00Z,9.035609,0.82068026,9.856289,8.214929
2015-02-13T00:00:00Z,10.954232,0.5080545,11.462286,10.4461775
2015-03-10T00:00:00Z,12.867771,0.9203289,13.7881,11.947443
2015-04-27T00:00:00Z,11.624494,2.1248672,13.749361,9.499626
2015-05-13T00:00:00Z,12.426287,3.0957773,15.522064,9.33051
2015-07-02T00:00:00Z,10.629697,2.221573,12.85127,8.408124
2015-08-02T00:00:00Z,8.956255,1.1048335,10.061089,7.8514214
2015-08-11T00:00:00Z,10.261271,2.1634235,12.424695,8.097848
2015-09-15T00:00:00Z,8.917615,1.5906372,10.508252,7.3269777
2015-10-19T00:00:00Z,10.705046,1.605489,12.3105345,9.099557
2015-11-22T00:00:00Z,9.762885,1.2274772,10.990362,8.535408
2016-01-24T00:00:00Z,9.654615,1.2685937,10.923209,8.386022
2016-02-09T00:00:00Z,9.626,1.6944815,11.320481,7.9315186
2016-03-18T00:00:00Z,10.188673,2.041316,12.22999,8.147357
2016-04-19T00:00:00Z,11.037893,2.4815943,13.519487,8.556299
2016-05-12T00:00:00Z,10.025038,2.2297218,12.254759,7.7953157
2016-06-14T00:00:00Z,11.167574,1.8325937,13.000168,9.334981
2016-07-18T00:00:00Z,11.447861,2.5869415,14.034801999999999,8.860919
2016-08-29T00:00:00Z,10.25747,1.9903133,12.247784,8.267157
2016-09-14T00:00:00Z,10.385577,1.5146722,11.9002495,8.870905
2016-11-21T00:00:00Z,9.851385,1.4915241,11.342909,8.35986
2016-12-13T00:00:00Z,10.1990385,1.4214963,11.620535,8.777542
2017-01-27T00:00:00Z,11.189846,1.4145755,12.604422,9.77527
2017-02-13T00:00:00Z,12.147312,1.1051869,13.2525,11.042126
2017-04-04T00:00:00Z,9.679519,1.8479567,11.527475,7.831562
2017-04-25T00:00:00Z,11.999576,2.7770884,14.776664,9.2224865
2017-05-30T00:00:00Z,12.577492,1.9920886,14.56958,10.5854025
2017-07-05T00:00:00Z,12.680827,1.4022261,14.083053,11.278601
2017-09-05T00:00:00Z,13.3361635,2.0239537,15.360117,11.312209
2017-10-04T00:00:00Z,13.382024,2.5584283,15.940453,10.823596
2017-12-05T00:00:00Z,10.7802,1.7276957,12.507895,9.052505
2018-02-08T00:00:00Z,11.636401,1.5324004,13.168802,10.104001
2018-03-06T00:00:00Z,12.767902,1.1437674,13.91167,11.624135
2018-04-25T00:00:00Z,15.1478195,1.5089573,16.656776,13.638863
2018-06-19T00:00:00Z,14.68495,2.8224666,17.507416,11.862483
2018-07-23T00:00:00Z,14.120047,2.4184942,16.538542,11.701553
2018-08-30T00:00:00Z,14.454055,1.6184639,16.07252,12.83559
2018-09-26T00:00:00Z,12.853996,2.049134,14.90313,10.804862
2018-10-23T00:00:00Z,11.436489,2.2364428,13.672932,9.200047
2018-12-04T00:00:00Z,11.057322,1.5507019,12.608024,9.50662
2019-01-22T00:00:00Z,11.519671,1.5297055,13.0493765,9.989965
2019-02-28T00:00:00Z,10.634117,1.6379125,12.27203,8.996205
2019-04-03T00:00:00Z,12.5929575,2.221158,14.814116,10.371799
2019-04-18T00:00:00Z,7.4579635,0.9904172,8.44838,6.4675465
2019-06-11T00:00:00Z,11.7844515,2.3907356,14.175187,9.393716
2019-07-09T00:00:00Z,10.207143,0.6692204,10.876363,9.537923
2019-08-19T00:00:00Z,12.594228,2.5144272,15.108655,10.0798
