time,population,mean_trophic_level,Seup,Selo
2003-01-01T00:00:00Z,Coastwide,3.7168715,3.7262635,3.7074795
2004-01-01T00:00:00Z,Coastwide,3.724248,3.734052,3.7144442
2005-01-01T00:00:00Z,Coastwide,3.6962895,3.7044058,3.6881735
2006-01-01T00:00:00Z,Coastwide,3.7079413,3.7165406,3.699342
2007-01-01T00:00:00Z,Coastwide,3.6866584,3.6943045,3.6790123
2008-01-01T00:00:00Z,Coastwide,3.666538,3.6738918,3.6591842
2009-01-01T00:00:00Z,Coastwide,3.6549437,3.6616569,3.6482306
2010-01-01T00:00:00Z,Coastwide,3.6484945,3.654946,3.6420429
2011-01-01T00:00:00Z,Coastwide,3.6627483,3.6694424,3.6560543
2012-01-01T00:00:00Z,Coastwide,3.6491964,3.6561756,3.6422172
2013-01-01T00:00:00Z,Coastwide,3.6515296,3.6594908,3.643568
2014-01-01T00:00:00Z,Coastwide,3.6563776,3.6632726,3.6494825
2015-01-01T00:00:00Z,Coastwide,3.6560047,3.6628325,3.6491768
2016-01-01T00:00:00Z,Coastwide,3.6549728,3.6615696,3.648376
2017-01-01T00:00:00Z,Coastwide,3.6438818,3.6500375,3.6377258
2018-01-01T00:00:00Z,Coastwide,3.6248186,3.6314182,3.6182191
2003-01-01T00:00:00Z,North,3.7619321,3.7742064,3.7496576
2004-01-01T00:00:00Z,North,3.773371,3.7866328,3.7601092
2005-01-01T00:00:00Z,North,3.7291534,3.7399752,3.7183316
2006-01-01T00:00:00Z,North,3.7349937,3.74737,3.7226171
2007-01-01T00:00:00Z,North,3.712589,3.723304,3.701874
2008-01-01T00:00:00Z,North,3.6813354,3.6914475,3.6712234
2009-01-01T00:00:00Z,North,3.679215,3.6890504,3.6693795
2010-01-01T00:00:00Z,North,3.6607633,3.6699002,3.651626
2011-01-01T00:00:00Z,North,3.6863332,3.695941,3.6767256
2012-01-01T00:00:00Z,North,3.6679723,3.67787,3.6580749
2013-01-01T00:00:00Z,North,3.6426105,3.652985,3.6322358
2014-01-01T00:00:00Z,North,3.6670625,3.6764526,3.6576724
2015-01-01T00:00:00Z,North,3.6790628,3.6890967,3.6690288
2016-01-01T00:00:00Z,North,3.67327,3.6826901,3.66385
2017-01-01T00:00:00Z,North,3.6572514,3.665559,3.6489437
2018-01-01T00:00:00Z,North,3.6310484,3.6403344,3.6217625
2003-01-01T00:00:00Z,South,3.6184657,3.6302223,3.606709
2004-01-01T00:00:00Z,South,3.635367,3.6479955,3.6227384
2005-01-01T00:00:00Z,South,3.633964,3.6454272,3.622501
2006-01-01T00:00:00Z,South,3.6597972,3.6707566,3.6488376
2007-01-01T00:00:00Z,South,3.6335473,3.6431255,3.6239693
2008-01-01T00:00:00Z,South,3.6423705,3.6530738,3.6316671
2009-01-01T00:00:00Z,South,3.614844,3.6231294,3.6065586
2010-01-01T00:00:00Z,South,3.628354,3.637256,3.6194522
2011-01-01T00:00:00Z,South,3.6224244,3.6309674,3.6138816
2012-01-01T00:00:00Z,South,3.619477,3.628911,3.6100428
2013-01-01T00:00:00Z,South,3.6700406,3.6824245,3.6576567
2014-01-01T00:00:00Z,South,3.636117,3.6462538,3.62598
2015-01-01T00:00:00Z,South,3.6185105,3.627107,3.6099138
2016-01-01T00:00:00Z,South,3.6227877,3.6314182,3.6141572
2017-01-01T00:00:00Z,South,3.619887,3.6289935,3.610781
2018-01-01T00:00:00Z,South,3.6143513,3.6236858,3.6050167
