time,taxa,abundance,abundance_error,richness,richness_error,diversity,diversity_error,evenness,evenness_error
1990-01-01T00:00:00Z,All Taxa,9.95097,10.420666,8.844156,4.8587008,0.41802415,0.5182946,0.21307556,0.26354685
1991-01-01T00:00:00Z,All Taxa,11.115632,11.923528,12.5,4.5301733,0.42511436,0.67310965,0.1682028,0.25916618
1992-01-01T00:00:00Z,All Taxa,10.298515,11.252072,8.219178,4.472902,0.5244004,0.5342272,0.26211926,0.2632351
1993-01-01T00:00:00Z,All Taxa,11.012492,11.645685,13.90411,5.2603455,0.5279126,0.58789176,0.21262224,0.24590266
1994-01-01T00:00:00Z,All Taxa,11.238591,12.045231,10.534246,3.8154736,0.33032617,0.47297102,0.14540325,0.21058618
1995-01-01T00:00:00Z,All Taxa,10.431716,10.862231,8.541667,3.9750543,0.36794287,0.46600544,0.18596838,0.22131154
1996-01-01T00:00:00Z,All Taxa,9.672373,10.539008,11.178082,4.4201007,0.71927905,0.5811954,0.30876148,0.25900412
1997-01-01T00:00:00Z,All Taxa,10.271098,11.006706,9.971831,4.753861,0.3438317,0.45602044,0.16957302,0.2366828
1998-01-01T00:00:00Z,All Taxa,8.113382,9.048629,5.9466667,3.5293875,0.60192055,0.5700197,0.37061095,0.32021633
1999-01-01T00:00:00Z,All Taxa,9.516168,10.105868,8.351352,3.501203,0.33785185,0.43996388,0.16504163,0.21487412
2000-01-01T00:00:00Z,All Taxa,11.037669,11.8316345,9.554217,4.025083,0.24775253,0.41586533,0.12892318,0.21640591
2001-01-01T00:00:00Z,All Taxa,11.428197,12.088026,12.72,4.250787,0.26166776,0.34779748,0.11424859,0.1677259
2002-01-01T00:00:00Z,All Taxa,9.278656,10.216031,14.655738,4.5966845,0.75488436,0.66556835,0.28872368,0.2552419
2003-01-01T00:00:00Z,All Taxa,10.2483225,10.788956,10.792208,3.7252257,0.40150437,0.49365976,0.17217721,0.21802706
2004-01-01T00:00:00Z,All Taxa,9.924107,10.434349,14.842857,5.4417486,0.5815811,0.5914823,0.23396145,0.25012562
2005-01-01T00:00:00Z,All Taxa,9.806819,10.487857,8.074627,4.138926,0.38100046,0.4653507,0.20001434,0.25211358
2006-01-01T00:00:00Z,All Taxa,10.446532,11.27138,5.913793,3.4401371,0.27650565,0.4181313,0.2185972,0.33374316
2007-01-01T00:00:00Z,All Taxa,11.470984,12.283273,7.24,3.4399874,0.26614568,0.4583569,0.1526062,0.26052147
2008-01-01T00:00:00Z,All Taxa,12.041131,12.902772,9.321428,3.9539344,0.0696443,0.13255867,0.031660482,0.05746754
2009-01-01T00:00:00Z,All Taxa,11.309411,11.883308,11.636364,4.75115,0.31547102,0.49756613,0.15448952,0.26917633
2010-01-01T00:00:00Z,All Taxa,10.552831,10.875768,12.69697,4.3816743,0.34200406,0.45938075,0.14178413,0.19890279
2011-01-01T00:00:00Z,All Taxa,10.962481,11.940124,11.44186,4.119075,0.140098,0.28178298,0.0559525,0.10404108
2012-01-01T00:00:00Z,All Taxa,11.722364,12.386473,6.5636363,3.0897899,0.13862573,0.2638758,0.074366465,0.13305202
2013-01-01T00:00:00Z,All Taxa,11.954878,12.703238,13.769231,5.170108,0.30307403,0.4585782,0.12613353,0.19362289
2014-01-01T00:00:00Z,All Taxa,11.859883,12.429475,14.403509,3.6295397,0.3031914,0.44708955,0.11489914,0.16890606
2015-01-01T00:00:00Z,All Taxa,10.817299,11.654201,21.982143,5.949763,1.0175031,0.80784506,0.338783,0.27178714
2016-01-01T00:00:00Z,All Taxa,10.539058,10.832159,15.5625,5.6902537,0.65094876,0.61287475,0.24793528,0.23846349
2017-01-01T00:00:00Z,All Taxa,12.239802,13.345929,12.264706,7.0035005,0.17757209,0.24618216,0.08566357,0.1390634
2018-01-01T00:00:00Z,All Taxa,11.467086,11.71961,12.404762,4.542802,0.23209786,0.36064905,0.09249015,0.140447
1990-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,5.504645,7.3445163,4.857143,3.4363165,0.9623432,0.52556276,0.6738081,0.29750982
1991-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,5.06379,5.7245193,9.4,3.8006504,1.4669633,0.4816146,0.6868501,0.16977032
1992-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,4.7166624,6.1090946,3.9315069,3.3430223,0.8023491,0.5787289,0.6196808,0.34450048
1993-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,7.6146297,8.719755,8.657535,4.031884,1.0699273,0.60518044,0.5422114,0.27117622
1994-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,5.122822,6.1327686,5.808219,2.2952702,1.1100322,0.44188526,0.6621262,0.21724379
1995-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,3.2462747,3.4632897,4.1527777,2.5100346,0.9824817,0.5604171,0.74079543,0.25833204
1996-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,5.0157366,5.389019,6.3150687,2.4145203,1.1929649,0.4216891,0.6919703,0.2033927
1997-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,4.8135576,6.028674,4.830986,3.1531658,0.90550053,0.59385824,0.6518913,0.30435327
1998-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,2.6256342,3.6491718,1.7866666,1.7028857,0.42200154,0.51255226,0.51465994,0.45800325
1999-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,4.8196273,5.575268,5.2702703,2.608192,0.848156,0.51236993,0.56837034,0.28895766
2000-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,4.8131633,5.426406,6.192771,3.0859945,1.149702,0.5098329,0.69972247,0.23249522
2001-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,5.36423,6.082885,8.52,3.0374243,1.382886,0.39382187,0.6830834,0.16920973
2002-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,5.402382,5.782301,10.721312,4.107437,1.5863273,0.40202218,0.69919115,0.15613434
2003-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,4.2365503,5.3841414,5.857143,2.5011275,1.2773215,0.4468732,0.7764255,0.20569406
2004-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,6.197404,7.1921387,9.285714,4.0005174,1.235079,0.6697051,0.5882802,0.2857103
2005-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,1.8933817,2.4575915,1.8507463,1.6900218,0.477331,0.5489426,0.562641,0.43969253
2006-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,1.3905954,1.7443306,1.5,1.5361149,0.41054064,0.52419275,0.49383566,0.47112668
2007-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,2.7429883,3.085167,3.32,2.3258827,0.8133067,0.60164005,0.7249412,0.32022098
2008-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,3.3115852,3.664571,4.714286,2.9168367,1.0611248,0.62768537,0.7173142,0.2795535
2009-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,4.2026553,4.500609,7.6060605,3.9686418,1.3916358,0.4857286,0.76794106,0.18832533
2010-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,4.552281,4.5704503,8.469697,3.0393305,1.4142934,0.4417224,0.69078916,0.18290345
2011-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,5.084721,5.4987125,8.604651,3.478776,1.5700519,0.2907927,0.76717937,0.12394211
2012-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,4.5036407,5.0014553,3.7818182,2.2500281,0.76025426,0.4563667,0.6553421,0.27782345
2013-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,7.2377505,7.720412,9.923077,4.072125,1.3727046,0.43245912,0.6235661,0.15595248
2014-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,5.788027,5.9062357,10.087719,2.5091312,1.5158824,0.37530804,0.6677511,0.1599629
2015-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,7.4485836,8.718604,14.464286,4.3650026,1.6908584,0.3299391,0.6491971,0.14047748
2016-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,7.600538,8.333887,9.770833,4.033053,1.0904148,0.47994632,0.4996623,0.23326844
2017-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,6.0507736,7.1902256,8.088235,4.8640156,1.2443007,0.48021936,0.67312485,0.24815948
2018-01-01T00:00:00Z,Young of the Year Rockfish/Groundfish,5.7337265,6.5810313,7.047619,3.491819,1.1462511,0.54318774,0.65598065,0.25526187
1990-01-01T00:00:00Z,Forage,5.7036524,6.3989267,3.6233766,2.3733108,0.56238174,0.4507565,0.48021933,0.2823442
1991-01-01T00:00:00Z,Forage,6.148278,7.73088,2.9,1.9662889,0.51262754,0.45729655,0.5489939,0.3614245
1992-01-01T00:00:00Z,Forage,6.1739287,6.2428713,4.0410957,2.1044817,0.5545777,0.44303137,0.44095245,0.29787177
1993-01-01T00:00:00Z,Forage,6.1554976,6.898735,4.9041095,2.2121155,0.8219306,0.45725772,0.5647352,0.24828461
