time,metric,timeseries,data,error,SEup,SElo
1990-01-01T00:00:00Z,Abundance (log(CPUE+1)),All Taxa,9.95097,10.420666,20.371635,-0.4696958
1991-01-01T00:00:00Z,Abundance (log(CPUE+1)),All Taxa,11.115632,11.923528,23.03916,-0.8078954
1992-01-01T00:00:00Z,Abundance (log(CPUE+1)),All Taxa,10.298515,11.252072,21.550589,-0.9535569
1993-01-01T00:00:00Z,Abundance (log(CPUE+1)),All Taxa,11.012492,11.645685,22.658178,-0.63319284
1994-01-01T00:00:00Z,Abundance (log(CPUE+1)),All Taxa,11.238591,12.045231,23.283821,-0.80664015
1995-01-01T00:00:00Z,Abundance (log(CPUE+1)),All Taxa,10.431716,10.862231,21.293947,-0.4305146
1996-01-01T00:00:00Z,Abundance (log(CPUE+1)),All Taxa,9.672373,10.539008,20.211382,-0.8666349
1997-01-01T00:00:00Z,Abundance (log(CPUE+1)),All Taxa,10.271098,11.006706,21.277805,-0.73560834
1998-01-01T00:00:00Z,Abundance (log(CPUE+1)),All Taxa,8.113382,9.048629,17.162012,-0.9352463
1999-01-01T00:00:00Z,Abundance (log(CPUE+1)),All Taxa,9.516168,10.105868,19.622036,-0.5897009
2000-01-01T00:00:00Z,Abundance (log(CPUE+1)),All Taxa,11.037669,11.8316345,22.869303,-0.79396546
2001-01-01T00:00:00Z,Abundance (log(CPUE+1)),All Taxa,11.428197,12.088026,23.516224,-0.6598293
2002-01-01T00:00:00Z,Abundance (log(CPUE+1)),All Taxa,9.278656,10.216031,19.494688,-0.937375
2003-01-01T00:00:00Z,Abundance (log(CPUE+1)),All Taxa,10.2483225,10.788956,21.037277,-0.5406326
2004-01-01T00:00:00Z,Abundance (log(CPUE+1)),All Taxa,9.924107,10.434349,20.358456,-0.51024234
2005-01-01T00:00:00Z,Abundance (log(CPUE+1)),All Taxa,9.806819,10.487857,20.294676,-0.6810376
2006-01-01T00:00:00Z,Abundance (log(CPUE+1)),All Taxa,10.446532,11.27138,21.717913,-0.8248485
2007-01-01T00:00:00Z,Abundance (log(CPUE+1)),All Taxa,11.470984,12.283273,23.754257,-0.8122886
2008-01-01T00:00:00Z,Abundance (log(CPUE+1)),All Taxa,12.041131,12.902772,24.943903,-0.8616404
