time,population,simpson_diversity,Seup,Selo
2003-01-01T00:00:00Z,Coastwide,0.6502635,0.6589223,0.6416046
2004-01-01T00:00:00Z,Coastwide,0.66209257,0.6706699,0.6535153
2005-01-01T00:00:00Z,Coastwide,0.6721203,0.6791782,0.66506237
2006-01-01T00:00:00Z,Coastwide,0.6530576,0.6607731,0.6453421
2007-01-01T00:00:00Z,Coastwide,0.65794396,0.66514415,0.6507438
2008-01-01T00:00:00Z,Coastwide,0.6327913,0.64029306,0.62528944
2009-01-01T00:00:00Z,Coastwide,0.63069016,0.6384886,0.6228918
2010-01-01T00:00:00Z,Coastwide,0.66382116,0.6709117,0.6567306
2011-01-01T00:00:00Z,Coastwide,0.675265,0.68264264,0.6678874
2012-01-01T00:00:00Z,Coastwide,0.65079165,0.6585736,0.64300966
2013-01-01T00:00:00Z,Coastwide,0.66260904,0.6711463,0.65407187
2014-01-01T00:00:00Z,Coastwide,0.67201847,0.6793648,0.66467214
2015-01-01T00:00:00Z,Coastwide,0.69607127,0.7030466,0.689096
2016-01-01T00:00:00Z,Coastwide,0.69769543,0.70431525,0.6910757
2017-01-01T00:00:00Z,Coastwide,0.6672762,0.67429423,0.6602581
2018-01-01T00:00:00Z,Coastwide,0.65474844,0.66161495,0.64788187
2003-01-01T00:00:00Z,North,0.66262424,0.67373526,0.6515132
2004-01-01T00:00:00Z,North,0.6968598,0.70723087,0.6864887
2005-01-01T00:00:00Z,North,0.70313334,0.71161693,0.69464976
2006-01-01T00:00:00Z,North,0.66662806,0.6773945,0.65586156
2007-01-01T00:00:00Z,North,0.66664577,0.6764154,0.65687615
2008-01-01T00:00:00Z,North,0.6498668,0.66045076,0.6392828
2009-01-01T00:00:00Z,North,0.6490369,0.6597795,0.63829434
2010-01-01T00:00:00Z,North,0.69085115,0.7005161,0.68118626
2011-01-01T00:00:00Z,North,0.7018724,0.71187925,0.6918655
2012-01-01T00:00:00Z,North,0.67451024,0.68461686,0.66440356
2013-01-01T00:00:00Z,North,0.6769684,0.6879293,0.6660076
2014-01-01T00:00:00Z,North,0.69063467,0.7002239,0.68104535
2015-01-01T00:00:00Z,North,0.72655386,0.7355888,0.7175189
2016-01-01T00:00:00Z,North,0.72541773,0.73428494,0.7165505
2017-01-01T00:00:00Z,North,0.69352084,0.7026459,0.68439585
2018-01-01T00:00:00Z,North,0.6667273,0.67664456,0.65681005
2003-01-01T00:00:00Z,South,0.62544096,0.6391379,0.611744
2004-01-01T00:00:00Z,South,0.6046611,0.61836255,0.59095967
2005-01-01T00:00:00Z,South,0.6138339,0.6254018,0.6022661
2006-01-01T00:00:00Z,South,0.6288516,0.63972545,0.61797774
2007-01-01T00:00:00Z,South,0.6405637,0.65106666,0.6300608
2008-01-01T00:00:00Z,South,0.60431236,0.6147153,0.59390944
2009-01-01T00:00:00Z,South,0.6001309,0.6113339,0.588928
2010-01-01T00:00:00Z,South,0.6196735,0.62969214,0.60965484
2011-01-01T00:00:00Z,South,0.6323094,0.64290655,0.62171215
2012-01-01T00:00:00Z,South,0.61159724,0.6235584,0.5996361
2013-01-01T00:00:00Z,South,0.63346386,0.64698696,0.6199408
2014-01-01T00:00:00Z,South,0.63913697,0.6505305,0.6277434
2015-01-01T00:00:00Z,South,0.6490213,0.6595057,0.6385369
2016-01-01T00:00:00Z,South,0.6515539,0.6610479,0.64206
2017-01-01T00:00:00Z,South,0.6220571,0.632728,0.6113862
2018-01-01T00:00:00Z,South,0.63517356,0.64438534,0.6259617
