time,population,species_richness,Seup,Selo
2003-01-01T00:00:00Z,Coastwide,31.844467,34.266556,29.422377
2004-01-01T00:00:00Z,Coastwide,32.624172,33.98079,31.267557
2005-01-01T00:00:00Z,Coastwide,33.576115,35.77528,31.376945
2006-01-01T00:00:00Z,Coastwide,35.391285,37.4569,33.32567
2007-01-01T00:00:00Z,Coastwide,35.279217,36.84814,33.71029
2008-01-01T00:00:00Z,Coastwide,35.162136,37.17318,33.151096
2009-01-01T00:00:00Z,Coastwide,36.97578,38.7872,35.16436
2010-01-01T00:00:00Z,Coastwide,36.76255,38.540173,34.98493
2011-01-01T00:00:00Z,Coastwide,35.729042,37.834694,33.62339
2012-01-01T00:00:00Z,Coastwide,33.230637,34.997375,31.4639
2013-01-01T00:00:00Z,Coastwide,33.027905,34.60613,31.449678
2014-01-01T00:00:00Z,Coastwide,34.615135,36.019753,33.210518
2015-01-01T00:00:00Z,Coastwide,37.257847,39.37135,35.14434
2016-01-01T00:00:00Z,Coastwide,34.156624,35.56017,32.75308
2017-01-01T00:00:00Z,Coastwide,34.823803,36.693314,32.95429
2018-01-01T00:00:00Z,Coastwide,33.9063,35.60863,32.203968
2003-01-01T00:00:00Z,North,28.58534,31.001034,26.16965
2004-01-01T00:00:00Z,North,31.64249,33.673183,29.611797
2005-01-01T00:00:00Z,North,33.00336,35.82838,30.178337
2006-01-01T00:00:00Z,North,31.742296,34.354294,29.130297
2007-01-01T00:00:00Z,North,32.022392,34.527542,29.517242
2008-01-01T00:00:00Z,North,32.85321,35.45266,30.253765
2009-01-01T00:00:00Z,North,33.642994,36.08954,31.196447
2010-01-01T00:00:00Z,North,34.55927,37.38558,31.732964
2011-01-01T00:00:00Z,North,31.555302,33.783096,29.327507
2012-01-01T00:00:00Z,North,31.890467,33.853863,29.92707
2013-01-01T00:00:00Z,North,32.57431,34.857647,30.290976
2014-01-01T00:00:00Z,North,33.07327,35.34717,30.799364
2015-01-01T00:00:00Z,North,33.87096,36.850338,30.891582
2016-01-01T00:00:00Z,North,32.548244,34.923126,30.173365
2017-01-01T00:00:00Z,North,32.07025,34.42029,29.720211
2018-01-01T00:00:00Z,North,31.445175,33.917572,28.972778
2003-01-01T00:00:00Z,South,34.700306,38.69447,30.706144
2004-01-01T00:00:00Z,South,33.484383,35.51409,31.454672
2005-01-01T00:00:00Z,South,34.077995,37.77616,30.37983
2006-01-01T00:00:00Z,South,38.58875,41.38318,35.79432
2007-01-01T00:00:00Z,South,38.133038,39.470963,36.79511
2008-01-01T00:00:00Z,South,37.185356,40.29344,34.077267
2009-01-01T00:00:00Z,South,39.896168,42.16922,37.62311
2010-01-01T00:00:00Z,South,38.693195,40.999695,36.386696
2011-01-01T00:00:00Z,South,39.386322,42.29574,36.476902
2012-01-01T00:00:00Z,South,34.404972,37.445293,31.364655
2013-01-01T00:00:00Z,South,33.42537,35.919098,30.93164
2014-01-01T00:00:00Z,South,35.966213,37.812378,34.12005
2015-01-01T00:00:00Z,South,40.225636,43.006912,37.444355
2016-01-01T00:00:00Z,South,35.56598,37.292072,33.83989
2017-01-01T00:00:00Z,South,37.236626,39.98848,34.48477
2018-01-01T00:00:00Z,South,36.062885,38.34926,33.776512
