time,species,number_of_entanglements
2000-01-01T00:00:00Z,Blue Whale,0
2001-01-01T00:00:00Z,Blue Whale,0
2002-01-01T00:00:00Z,Blue Whale,0
2003-01-01T00:00:00Z,Blue Whale,0
2004-01-01T00:00:00Z,Blue Whale,0
2005-01-01T00:00:00Z,Blue Whale,0
2006-01-01T00:00:00Z,Blue Whale,0
2007-01-01T00:00:00Z,Blue Whale,0
2008-01-01T00:00:00Z,Blue Whale,0
2009-01-01T00:00:00Z,Blue Whale,0
2010-01-01T00:00:00Z,Blue Whale,0
2011-01-01T00:00:00Z,Blue Whale,0
2012-01-01T00:00:00Z,Blue Whale,0
2013-01-01T00:00:00Z,Blue Whale,0
2014-01-01T00:00:00Z,Blue Whale,0
2015-01-01T00:00:00Z,Blue Whale,1
2016-01-01T00:00:00Z,Blue Whale,3
2017-01-01T00:00:00Z,Blue Whale,3
2018-01-01T00:00:00Z,Blue Whale,0
2019-01-01T00:00:00Z,Blue Whale,0
2020-01-01T00:00:00Z,Blue Whale,0
2000-01-01T00:00:00Z,Gray Whale,6
2001-01-01T00:00:00Z,Gray Whale,0
2002-01-01T00:00:00Z,Gray Whale,3
2003-01-01T00:00:00Z,Gray Whale,5
2004-01-01T00:00:00Z,Gray Whale,7
2005-01-01T00:00:00Z,Gray Whale,6
2006-01-01T00:00:00Z,Gray Whale,3
2007-01-01T00:00:00Z,Gray Whale,5
2008-01-01T00:00:00Z,Gray Whale,0
2009-01-01T00:00:00Z,Gray Whale,4
2010-01-01T00:00:00Z,Gray Whale,6
2011-01-01T00:00:00Z,Gray Whale,2
2012-01-01T00:00:00Z,Gray Whale,11
2013-01-01T00:00:00Z,Gray Whale,10
2014-01-01T00:00:00Z,Gray Whale,6
2015-01-01T00:00:00Z,Gray Whale,10
2016-01-01T00:00:00Z,Gray Whale,3
2017-01-01T00:00:00Z,Gray Whale,12
2018-01-01T00:00:00Z,Gray Whale,11
2019-01-01T00:00:00Z,Gray Whale,8
2020-01-01T00:00:00Z,Gray Whale,6
2000-01-01T00:00:00Z,Humpback Whale,3
2001-01-01T00:00:00Z,Humpback Whale,1
2002-01-01T00:00:00Z,Humpback Whale,0
2003-01-01T00:00:00Z,Humpback Whale,5
2004-01-01T00:00:00Z,Humpback Whale,3
2005-01-01T00:00:00Z,Humpback Whale,3
2006-01-01T00:00:00Z,Humpback Whale,5
2007-01-01T00:00:00Z,Humpback Whale,4
2008-01-01T00:00:00Z,Humpback Whale,4
2009-01-01T00:00:00Z,Humpback Whale,2
2010-01-01T00:00:00Z,Humpback Whale,7
2011-01-01T00:00:00Z,Humpback Whale,5
2012-01-01T00:00:00Z,Humpback Whale,3
2013-01-01T00:00:00Z,Humpback Whale,0
2014-01-01T00:00:00Z,Humpback Whale,16
2015-01-01T00:00:00Z,Humpback Whale,31
2016-01-01T00:00:00Z,Humpback Whale,48
2017-01-01T00:00:00Z,Humpback Whale,17
2018-01-01T00:00:00Z,Humpback Whale,34
2019-01-01T00:00:00Z,Humpback Whale,17
2020-01-01T00:00:00Z,Humpback Whale,10
2000-01-01T00:00:00Z,Fin Whale,0
2001-01-01T00:00:00Z,Fin Whale,0
2002-01-01T00:00:00Z,Fin Whale,0
2003-01-01T00:00:00Z,Fin Whale,0
2004-01-01T00:00:00Z,Fin Whale,0
2005-01-01T00:00:00Z,Fin Whale,0
2006-01-01T00:00:00Z,Fin Whale,1
2007-01-01T00:00:00Z,Fin Whale,0
2008-01-01T00:00:00Z,Fin Whale,0
2009-01-01T00:00:00Z,Fin Whale,2
2010-01-01T00:00:00Z,Fin Whale,0
2011-01-01T00:00:00Z,Fin Whale,1
2012-01-01T00:00:00Z,Fin Whale,0
2013-01-01T00:00:00Z,Fin Whale,0
2014-01-01T00:00:00Z,Fin Whale,0
2015-01-01T00:00:00Z,Fin Whale,2
2016-01-01T00:00:00Z,Fin Whale,0
2017-01-01T00:00:00Z,Fin Whale,0
2018-01-01T00:00:00Z,Fin Whale,1
2019-01-01T00:00:00Z,Fin Whale,0
2020-01-01T00:00:00Z,Fin Whale,0
2000-01-01T00:00:00Z,Killer Whale,0
2001-01-01T00:00:00Z,Killer Whale,0
2002-01-01T00:00:00Z,Killer Whale,0
2003-01-01T00:00:00Z,Killer Whale,0
2004-01-01T00:00:00Z,Killer Whale,0
2005-01-01T00:00:00Z,Killer Whale,0
2006-01-01T00:00:00Z,Killer Whale,0
2007-01-01T00:00:00Z,Killer Whale,0
2008-01-01T00:00:00Z,Killer Whale,0
2009-01-01T00:00:00Z,Killer Whale,0
2010-01-01T00:00:00Z,Killer Whale,0
2011-01-01T00:00:00Z,Killer Whale,0
2012-01-01T00:00:00Z,Killer Whale,0
2013-01-01T00:00:00Z,Killer Whale,0
2014-01-01T00:00:00Z,Killer Whale,0
2015-01-01T00:00:00Z,Killer Whale,1
2016-01-01T00:00:00Z,Killer Whale,1
2017-01-01T00:00:00Z,Killer Whale,0
2018-01-01T00:00:00Z,Killer Whale,0
2019-01-01T00:00:00Z,Killer Whale,0
2020-01-01T00:00:00Z,Killer Whale,0
2000-01-01T00:00:00Z,Minke Whale,0
2001-01-01T00:00:00Z,Minke Whale,0
2002-01-01T00:00:00Z,Minke Whale,0
2003-01-01T00:00:00Z,Minke Whale,0
2004-01-01T00:00:00Z,Minke Whale,0
2005-01-01T00:00:00Z,Minke Whale,0
2006-01-01T00:00:00Z,Minke Whale,0
2007-01-01T00:00:00Z,Minke Whale,0
2008-01-01T00:00:00Z,Minke Whale,0
2009-01-01T00:00:00Z,Minke Whale,0
2010-01-01T00:00:00Z,Minke Whale,1
2011-01-01T00:00:00Z,Minke Whale,1
2012-01-01T00:00:00Z,Minke Whale,0
2013-01-01T00:00:00Z,Minke Whale,0
2014-01-01T00:00:00Z,Minke Whale,0
2015-01-01T00:00:00Z,Minke Whale,0
2016-01-01T00:00:00Z,Minke Whale,0
2017-01-01T00:00:00Z,Minke Whale,0
2018-01-01T00:00:00Z,Minke Whale,0
2019-01-01T00:00:00Z,Minke Whale,1
2020-01-01T00:00:00Z,Minke Whale,0
2000-01-01T00:00:00Z,Sperm Whale,0
2001-01-01T00:00:00Z,Sperm Whale,0
2002-01-01T00:00:00Z,Sperm Whale,0
2003-01-01T00:00:00Z,Sperm Whale,0
2004-01-01T00:00:00Z,Sperm Whale,0
2005-01-01T00:00:00Z,Sperm Whale,0
2006-01-01T00:00:00Z,Sperm Whale,0
2007-01-01T00:00:00Z,Sperm Whale,0
2008-01-01T00:00:00Z,Sperm Whale,0
2009-01-01T00:00:00Z,Sperm Whale,0
2010-01-01T00:00:00Z,Sperm Whale,2
2011-01-01T00:00:00Z,Sperm Whale,0
2012-01-01T00:00:00Z,Sperm Whale,0
2013-01-01T00:00:00Z,Sperm Whale,0
2014-01-01T00:00:00Z,Sperm Whale,0
2015-01-01T00:00:00Z,Sperm Whale,0
2016-01-01T00:00:00Z,Sperm Whale,0
2017-01-01T00:00:00Z,Sperm Whale,0
2018-01-01T00:00:00Z,Sperm Whale,0
2019-01-01T00:00:00Z,Sperm Whale,0
2020-01-01T00:00:00Z,Sperm Whale,1
2000-01-01T00:00:00Z,Unidentified Whale,0
2001-01-01T00:00:00Z,Unidentified Whale,0
2002-01-01T00:00:00Z,Unidentified Whale,0
2003-01-01T00:00:00Z,Unidentified Whale,0
2004-01-01T00:00:00Z,Unidentified Whale,0
2005-01-01T00:00:00Z,Unidentified Whale,1
2006-01-01T00:00:00Z,Unidentified Whale,0
2007-01-01T00:00:00Z,Unidentified Whale,2
2008-01-01T00:00:00Z,Unidentified Whale,2
2009-01-01T00:00:00Z,Unidentified Whale,0
2010-01-01T00:00:00Z,Unidentified Whale,0
2011-01-01T00:00:00Z,Unidentified Whale,0
2012-01-01T00:00:00Z,Unidentified Whale,0
2013-01-01T00:00:00Z,Unidentified Whale,1
2014-01-01T00:00:00Z,Unidentified Whale,1
2015-01-01T00:00:00Z,Unidentified Whale,8
2016-01-01T00:00:00Z,Unidentified Whale,0
2017-01-01T00:00:00Z,Unidentified Whale,0
2018-01-01T00:00:00Z,Unidentified Whale,0
2019-01-01T00:00:00Z,Unidentified Whale,0
2020-01-01T00:00:00Z,Unidentified Whale,0
2000-01-01T00:00:00Z,Unidentified Other,0
2001-01-01T00:00:00Z,Unidentified Other,0
2002-01-01T00:00:00Z,Unidentified Other,0
2003-01-01T00:00:00Z,Unidentified Other,0
2004-01-01T00:00:00Z,Unidentified Other,0
2005-01-01T00:00:00Z,Unidentified Other,1
2006-01-01T00:00:00Z,Unidentified Other,1
2007-01-01T00:00:00Z,Unidentified Other,2
2008-01-01T00:00:00Z,Unidentified Other,2
2009-01-01T00:00:00Z,Unidentified Other,2
2010-01-01T00:00:00Z,Unidentified Other,3
2011-01-01T00:00:00Z,Unidentified Other,2
2012-01-01T00:00:00Z,Unidentified Other,0
2013-01-01T00:00:00Z,Unidentified Other,1
2014-01-01T00:00:00Z,Unidentified Other,1
2015-01-01T00:00:00Z,Unidentified Other,11
2016-01-01T00:00:00Z,Unidentified Other,1
2017-01-01T00:00:00Z,Unidentified Other,0
2018-01-01T00:00:00Z,Unidentified Other,1
2019-01-01T00:00:00Z,Unidentified Other,1
2020-01-01T00:00:00Z,Unidentified Other,1
2000-01-01T00:00:00Z,Grand Total,9
2001-01-01T00:00:00Z,Grand Total,1
2002-01-01T00:00:00Z,Grand Total,3
2003-01-01T00:00:00Z,Grand Total,10
2004-01-01T00:00:00Z,Grand Total,10
2005-01-01T00:00:00Z,Grand Total,10
2006-01-01T00:00:00Z,Grand Total,9
