time,species_group,abundance_index
2003-01-01T00:00:00Z,Spotted ratfish,29980.135
2004-01-01T00:00:00Z,Spotted ratfish,22119.275
2005-01-01T00:00:00Z,Spotted ratfish,39347.06
2006-01-01T00:00:00Z,Spotted ratfish,20958.863
2007-01-01T00:00:00Z,Spotted ratfish,26108.34
2008-01-01T00:00:00Z,Spotted ratfish,24047.268
2009-01-01T00:00:00Z,Spotted ratfish,18172.98
2010-01-01T00:00:00Z,Spotted ratfish,17014.18
2011-01-01T00:00:00Z,Spotted ratfish,24490.084
2012-01-01T00:00:00Z,Spotted ratfish,72155.766
2013-01-01T00:00:00Z,Spotted ratfish,25001.41
2014-01-01T00:00:00Z,Spotted ratfish,40445.562
2015-01-01T00:00:00Z,Spotted ratfish,32493.121
2003-01-01T00:00:00Z,Longnose skate,47995.61
2004-01-01T00:00:00Z,Longnose skate,54672.883
2005-01-01T00:00:00Z,Longnose skate,48744.465
2006-01-01T00:00:00Z,Longnose skate,53898.496
2007-01-01T00:00:00Z,Longnose skate,51019.164
2008-01-01T00:00:00Z,Longnose skate,54702.62
2009-01-01T00:00:00Z,Longnose skate,48511.633
2010-01-01T00:00:00Z,Longnose skate,55865.387
2011-01-01T00:00:00Z,Longnose skate,52281.203
2012-01-01T00:00:00Z,Longnose skate,55690.95
2013-01-01T00:00:00Z,Longnose skate,60361.574
2014-01-01T00:00:00Z,Longnose skate,54410.37
2015-01-01T00:00:00Z,Longnose skate,54060.88
2003-01-01T00:00:00Z,Arrowtooth flounder,44127.14
2004-01-01T00:00:00Z,Arrowtooth flounder,35960.465
2005-01-01T00:00:00Z,Arrowtooth flounder,42154.895
2006-01-01T00:00:00Z,Arrowtooth flounder,44570.086
2007-01-01T00:00:00Z,Arrowtooth flounder,34006.773
2008-01-01T00:00:00Z,Arrowtooth flounder,37056.457
2009-01-01T00:00:00Z,Arrowtooth flounder,51416.22
2010-01-01T00:00:00Z,Arrowtooth flounder,52163.887
2011-01-01T00:00:00Z,Arrowtooth flounder,56857.844
2012-01-01T00:00:00Z,Arrowtooth flounder,55239.457
2013-01-01T00:00:00Z,Arrowtooth flounder,60916.855
2014-01-01T00:00:00Z,Arrowtooth flounder,69198.414
2015-01-01T00:00:00Z,Arrowtooth flounder,39054.867
2003-01-01T00:00:00Z,English sole,17967.57
2004-01-01T00:00:00Z,English sole,23527.22
2005-01-01T00:00:00Z,English sole,15806.493
2006-01-01T00:00:00Z,English sole,10468.273
2007-01-01T00:00:00Z,English sole,8928.117
2008-01-01T00:00:00Z,English sole,7494.6743
2009-01-01T00:00:00Z,English sole,8018.6377
2010-01-01T00:00:00Z,English sole,9214.129
2011-01-01T00:00:00Z,English sole,9298.576
2012-01-01T00:00:00Z,English sole,10563.263
2013-01-01T00:00:00Z,English sole,13768.063
2014-01-01T00:00:00Z,English sole,17249.996
2015-01-01T00:00:00Z,English sole,16994.924
2003-01-01T00:00:00Z,Flathead sole,4126.928
2004-01-01T00:00:00Z,Flathead sole,1813.6117
2005-01-01T00:00:00Z,Flathead sole,1830.7441
2006-01-01T00:00:00Z,Flathead sole,1255.5251
2007-01-01T00:00:00Z,Flathead sole,297.12262
2008-01-01T00:00:00Z,Flathead sole,323.04074
2009-01-01T00:00:00Z,Flathead sole,435.01053
2010-01-01T00:00:00Z,Flathead sole,740.3053
2011-01-01T00:00:00Z,Flathead sole,1334.8812
2012-01-01T00:00:00Z,Flathead sole,611.51843
2013-01-01T00:00:00Z,Flathead sole,1218.5681
2014-01-01T00:00:00Z,Flathead sole,2046.587
2015-01-01T00:00:00Z,Flathead sole,4469.3076
2003-01-01T00:00:00Z,Pacific sanddab,138590.02
