time,species_group,relative_stock_status
1910-01-01T00:00:00Z,Dover sole,1.0
1911-01-01T00:00:00Z,Dover sole,1.0
1912-01-01T00:00:00Z,Dover sole,0.99998724
1913-01-01T00:00:00Z,Dover sole,0.9999617
1914-01-01T00:00:00Z,Dover sole,0.9999234
1915-01-01T00:00:00Z,Dover sole,0.9998723
1916-01-01T00:00:00Z,Dover sole,0.99980843
1917-01-01T00:00:00Z,Dover sole,0.99972117
1918-01-01T00:00:00Z,Dover sole,0.99947435
1919-01-01T00:00:00Z,Dover sole,0.9991508
1920-01-01T00:00:00Z,Dover sole,0.998789
1921-01-01T00:00:00Z,Dover sole,0.99844426
1922-01-01T00:00:00Z,Dover sole,0.9979675
1923-01-01T00:00:00Z,Dover sole,0.99725026
1924-01-01T00:00:00Z,Dover sole,0.9964543
1925-01-01T00:00:00Z,Dover sole,0.99540293
1926-01-01T00:00:00Z,Dover sole,0.99428135
1927-01-01T00:00:00Z,Dover sole,0.9932002
1928-01-01T00:00:00Z,Dover sole,0.991936
1929-01-01T00:00:00Z,Dover sole,0.9907271
1930-01-01T00:00:00Z,Dover sole,0.98938423
1931-01-01T00:00:00Z,Dover sole,0.9881626
1932-01-01T00:00:00Z,Dover sole,0.98713887
1933-01-01T00:00:00Z,Dover sole,0.9861727
1934-01-01T00:00:00Z,Dover sole,0.98527455
1935-01-01T00:00:00Z,Dover sole,0.9842998
1936-01-01T00:00:00Z,Dover sole,0.9831399
1937-01-01T00:00:00Z,Dover sole,0.98182034
1938-01-01T00:00:00Z,Dover sole,0.9804008
1939-01-01T00:00:00Z,Dover sole,0.9790302
1940-01-01T00:00:00Z,Dover sole,0.9770211
1941-01-01T00:00:00Z,Dover sole,0.9748758
1942-01-01T00:00:00Z,Dover sole,0.97262836
1943-01-01T00:00:00Z,Dover sole,0.96994036
1944-01-01T00:00:00Z,Dover sole,0.96469843
1945-01-01T00:00:00Z,Dover sole,0.9620977
1946-01-01T00:00:00Z,Dover sole,0.9584009
1947-01-01T00:00:00Z,Dover sole,0.9538528
1948-01-01T00:00:00Z,Dover sole,0.9496516
1949-01-01T00:00:00Z,Dover sole,0.9438457
1950-01-01T00:00:00Z,Dover sole,0.93593067
1951-01-01T00:00:00Z,Dover sole,0.9252766
1952-01-01T00:00:00Z,Dover sole,0.9136839
1953-01-01T00:00:00Z,Dover sole,0.90068233
1954-01-01T00:00:00Z,Dover sole,0.8920245
1955-01-01T00:00:00Z,Dover sole,0.8821281
1956-01-01T00:00:00Z,Dover sole,0.87248915
1957-01-01T00:00:00Z,Dover sole,0.862763
1958-01-01T00:00:00Z,Dover sole,0.8538179
1959-01-01T00:00:00Z,Dover sole,0.84485364
1960-01-01T00:00:00Z,Dover sole,0.8371791
1961-01-01T00:00:00Z,Dover sole,0.82868946
1962-01-01T00:00:00Z,Dover sole,0.82404983
1963-01-01T00:00:00Z,Dover sole,0.82153636
1964-01-01T00:00:00Z,Dover sole,0.8214129
1965-01-01T00:00:00Z,Dover sole,0.8259653
1966-01-01T00:00:00Z,Dover sole,0.8346146
1967-01-01T00:00:00Z,Dover sole,0.8458518
1968-01-01T00:00:00Z,Dover sole,0.85971105
1969-01-01T00:00:00Z,Dover sole,0.8724998
1970-01-01T00:00:00Z,Dover sole,0.88211745
1971-01-01T00:00:00Z,Dover sole,0.89215434
1972-01-01T00:00:00Z,Dover sole,0.9062584
1973-01-01T00:00:00Z,Dover sole,0.91845334
1974-01-01T00:00:00Z,Dover sole,0.93214446
1975-01-01T00:00:00Z,Dover sole,0.9452056
1976-01-01T00:00:00Z,Dover sole,0.95226514
1977-01-01T00:00:00Z,Dover sole,0.9526099
1978-01-01T00:00:00Z,Dover sole,0.9483917
1979-01-01T00:00:00Z,Dover sole,0.9365862
1980-01-01T00:00:00Z,Dover sole,0.91459054
1981-01-01T00:00:00Z,Dover sole,0.89306736
1982-01-01T00:00:00Z,Dover sole,0.86835396
1983-01-01T00:00:00Z,Dover sole,0.83836246
1984-01-01T00:00:00Z,Dover sole,0.81176335
1985-01-01T00:00:00Z,Dover sole,0.78771394
1986-01-01T00:00:00Z,Dover sole,0.76313245
1987-01-01T00:00:00Z,Dover sole,0.7441739
1988-01-01T00:00:00Z,Dover sole,0.7254579
1989-01-01T00:00:00Z,Dover sole,0.708402
1990-01-01T00:00:00Z,Dover sole,0.69040745
1991-01-01T00:00:00Z,Dover sole,0.67640346
1992-01-01T00:00:00Z,Dover sole,0.65894747
1993-01-01T00:00:00Z,Dover sole,0.6446604
1994-01-01T00:00:00Z,Dover sole,0.6356174
1995-01-01T00:00:00Z,Dover sole,0.6387906
1996-01-01T00:00:00Z,Dover sole,0.6467248
1997-01-01T00:00:00Z,Dover sole,0.6570277
1998-01-01T00:00:00Z,Dover sole,0.67435396
1999-01-01T00:00:00Z,Dover sole,0.69915676
2000-01-01T00:00:00Z,Dover sole,0.7251025
2001-01-01T00:00:00Z,Dover sole,0.74916464
2002-01-01T00:00:00Z,Dover sole,0.7693832
2003-01-01T00:00:00Z,Dover sole,0.78405756
2004-01-01T00:00:00Z,Dover sole,0.794933
2005-01-01T00:00:00Z,Dover sole,0.8068513
2006-01-01T00:00:00Z,Dover sole,0.8184376
2007-01-01T00:00:00Z,Dover sole,0.83192444
2008-01-01T00:00:00Z,Dover sole,0.84298074
2009-01-01T00:00:00Z,Dover sole,0.84901017
2010-01-01T00:00:00Z,Dover sole,0.84670097
2011-01-01T00:00:00Z,Dover sole,0.8374877
1916-01-01T00:00:00Z,Arrowtooth,1.0
1917-01-01T00:00:00Z,Arrowtooth,1.0
1918-01-01T00:00:00Z,Arrowtooth,1.0
1919-01-01T00:00:00Z,Arrowtooth,1.0
1920-01-01T00:00:00Z,Arrowtooth,1.0
1921-01-01T00:00:00Z,Arrowtooth,1.0
1922-01-01T00:00:00Z,Arrowtooth,1.0
1923-01-01T00:00:00Z,Arrowtooth,1.0
1924-01-01T00:00:00Z,Arrowtooth,1.0
1925-01-01T00:00:00Z,Arrowtooth,1.0
1926-01-01T00:00:00Z,Arrowtooth,1.0
1927-01-01T00:00:00Z,Arrowtooth,1.0
1928-01-01T00:00:00Z,Arrowtooth,1.0
1929-01-01T00:00:00Z,Arrowtooth,1.0
