time,flow_anomaly_1_day_max,Seup,Selo,location
1981-01-01T00:00:00Z,0.28418854,0.6151842,-0.047869608,Washington coast
1982-01-01T00:00:00Z,-0.11325974,0.2179909,-0.44490466,Washington coast
1983-01-01T00:00:00Z,-0.16668071,0.16470866,-0.49822134,Washington coast
1984-01-01T00:00:00Z,0.14418714,0.47540748,-0.18769138,Washington coast
1985-01-01T00:00:00Z,-1.1250854,-0.7936414,-1.4565313,Washington coast
1986-01-01T00:00:00Z,-0.06476001,0.26647758,-0.3964518,Washington coast
1987-01-01T00:00:00Z,0.54876465,0.8800707,0.2171807,Washington coast
1988-01-01T00:00:00Z,-0.9953907,-0.66390055,-1.326833,Washington coast
1989-01-01T00:00:00Z,-1.0407668,-0.7091414,-1.3721251,Washington coast
1990-01-01T00:00:00Z,0.87670505,1.2082916,0.5453486,Washington coast
1991-01-01T00:00:00Z,1.3692732,1.7013351,1.0378283,Washington coast
1992-01-01T00:00:00Z,-0.35972703,-0.028634274,-0.6915983,Washington coast
1993-01-01T00:00:00Z,-1.2859894,-0.95448774,-1.6173954,Washington coast
1994-01-01T00:00:00Z,-0.34782135,-0.016689641,-0.67969537,Washington coast
1995-01-01T00:00:00Z,0.5868902,0.91792053,0.2540276,Washington coast
1996-01-01T00:00:00Z,1.6267954,1.9580402,1.2951007,Washington coast
1997-01-01T00:00:00Z,1.3666435,1.6976374,1.0345798,Washington coast
1998-01-01T00:00:00Z,-0.7758379,-0.44444242,-1.107327,Washington coast
1999-01-01T00:00:00Z,0.42663053,0.7577359,0.09458637,Washington coast
2000-01-01T00:00:00Z,0.28497732,0.616207,-0.046746947,Washington coast
2001-01-01T00:00:00Z,-1.8261853,-1.494502,-2.1574717,Washington coast
2002-01-01T00:00:00Z,0.29665974,0.62792134,-0.034969456,Washington coast
2003-01-01T00:00:00Z,0.007594689,0.33929595,-0.32390705,Washington coast
2004-01-01T00:00:00Z,0.044991005,0.37627864,-0.2866616,Washington coast
2005-01-01T00:00:00Z,-0.35912716,-0.02745531,-0.6904261,Washington coast
2006-01-01T00:00:00Z,0.00861719,0.33989796,-0.32329488,Washington coast
2007-01-01T00:00:00Z,0.5354919,0.8673067,0.2040549,Washington coast
2008-01-01T00:00:00Z,1.2651731,1.5974016,0.9322617,Washington coast
2009-01-01T00:00:00Z,1.4003619,1.7335203,1.0686826,Washington coast
2010-01-01T00:00:00Z,-0.35332575,-0.022366188,-0.68562514,Washington coast
2011-01-01T00:00:00Z,0.02982185,0.36125863,-0.30171305,Washington coast
2012-01-01T00:00:00Z,-0.8055332,-0.47406438,-1.1369648,Washington coast
2013-01-01T00:00:00Z,-0.51452416,-0.18295217,-0.84588695,Washington coast
2014-01-01T00:00:00Z,-0.51996094,-0.18883534,-0.8521244,Washington coast
2015-01-01T00:00:00Z,-0.15678653,0.17483878,-0.4882758,Washington coast
2016-01-01T00:00:00Z,0.33538395,0.6663565,0.00319653,Washington coast
2017-01-01T00:00:00Z,-0.5557173,-0.22438794,-0.8874275,Washington coast
2018-01-01T00:00:00Z,-0.07267173,0.25834733,-0.40478557,Washington coast
1981-01-01T00:00:00Z,0.40209773,0.6269634,0.1779341,Upper Willamette River
1982-01-01T00:00:00Z,1.0077692,1.2331408,0.7835161,Upper Willamette River
1983-01-01T00:00:00Z,0.14828257,0.37268242,-0.07586291,Upper Willamette River
1984-01-01T00:00:00Z,-0.15821014,0.06591596,-0.38254812,Upper Willamette River
1985-01-01T00:00:00Z,-0.19010997,0.03479717,-0.41422516,Upper Willamette River
1986-01-01T00:00:00Z,1.156988,1.3810002,0.9325547,Upper Willamette River
1987-01-01T00:00:00Z,-0.29592103,-0.07189045,-0.5203537,Upper Willamette River
1988-01-01T00:00:00Z,-0.26510894,-0.039950833,-0.48927873,Upper Willamette River
1989-01-01T00:00:00Z,-0.44676697,-0.22237295,-0.6729553,Upper Willamette River
1990-01-01T00:00:00Z,-0.21351549,0.012526229,-0.44260433,Upper Willamette River
1991-01-01T00:00:00Z,-0.7105796,-0.4861766,-0.9347002,Upper Willamette River
1992-01-01T00:00:00Z,-0.59023565,-0.3662471,-0.8147171,Upper Willamette River
1993-01-01T00:00:00Z,-0.3388055,-0.11412415,-0.5629074,Upper Willamette River
1994-01-01T00:00:00Z,-1.4396979,-1.2151103,-1.6638314,Upper Willamette River
1995-01-01T00:00:00Z,0.23822488,0.46415147,0.013765036,Upper Willamette River
1996-01-01T00:00:00Z,2.6835365,2.9083824,2.4563277,Upper Willamette River
1997-01-01T00:00:00Z,1.5970575,1.8219337,1.372947,Upper Willamette River
1998-01-01T00:00:00Z,-0.5260568,-0.3019401,-0.7503407,Upper Willamette River
1999-01-01T00:00:00Z,0.99706835,1.2215437,0.7729592,Upper Willamette River
2000-01-01T00:00:00Z,0.38160726,0.60603446,0.15525483,Upper Willamette River
2001-01-01T00:00:00Z,-1.9264164,-1.7014167,-2.1506011,Upper Willamette River
2002-01-01T00:00:00Z,-0.24190126,-0.017814076,-0.46621302,Upper Willamette River
2003-01-01T00:00:00Z,-0.5312091,-0.3065975,-0.7553188,Upper Willamette River
2004-01-01T00:00:00Z,-0.42354932,-0.19943577,-0.64784414,Upper Willamette River
