time,flow_anomaly_1_day_max,Seup,Selo,location
1981-01-01T00:00:00Z,0.61363345,0.9735103,0.25574216,Columbia Glaciated
1982-01-01T00:00:00Z,0.59759486,0.9525335,0.24197283,Columbia Glaciated
1983-01-01T00:00:00Z,0.24278253,0.59776664,-0.112650104,Columbia Glaciated
1984-01-01T00:00:00Z,-0.20936023,0.14803869,-0.5685402,Columbia Glaciated
1985-01-01T00:00:00Z,-0.48410535,-0.1292657,-0.8398293,Columbia Glaciated
1986-01-01T00:00:00Z,0.085198656,0.44067734,-0.2706684,Columbia Glaciated
1987-01-01T00:00:00Z,-0.29511508,0.060491472,-0.6501832,Columbia Glaciated
1988-01-01T00:00:00Z,-0.7809846,-0.42600048,-1.136368,Columbia Glaciated
1989-01-01T00:00:00Z,-0.36254877,-0.0062193233,-0.7200567,Columbia Glaciated
1990-01-01T00:00:00Z,-0.14230077,0.21251097,-0.4982407,Columbia Glaciated
1991-01-01T00:00:00Z,0.56322503,0.91933227,0.20741518,Columbia Glaciated
1992-01-01T00:00:00Z,-1.0662118,-0.711271,-1.4216492,Columbia Glaciated
1993-01-01T00:00:00Z,-0.35654688,-0.0014285563,-0.7118382,Columbia Glaciated
1994-01-01T00:00:00Z,-0.988051,-0.6330628,-1.343436,Columbia Glaciated
1995-01-01T00:00:00Z,0.012087056,0.36695316,-0.34356356,Columbia Glaciated
1996-01-01T00:00:00Z,2.2961211,2.6568937,1.9378095,Columbia Glaciated
1997-01-01T00:00:00Z,1.4791273,1.8378301,1.1182655,Columbia Glaciated
1998-01-01T00:00:00Z,-0.11028256,0.24538547,-0.46740362,Columbia Glaciated
1999-01-01T00:00:00Z,0.50733566,0.8630335,0.1513301,Columbia Glaciated
2000-01-01T00:00:00Z,-0.37692118,-0.022026327,-0.7330014,Columbia Glaciated
2001-01-01T00:00:00Z,-1.2448343,-0.8899833,-1.6006316,Columbia Glaciated
2002-01-01T00:00:00Z,0.36777192,0.7240624,0.0117459195,Columbia Glaciated
2003-01-01T00:00:00Z,-0.20576835,0.15059769,-0.56163466,Columbia Glaciated
2004-01-01T00:00:00Z,-0.8440095,-0.48835084,-1.1990509,Columbia Glaciated
2005-01-01T00:00:00Z,-0.8319008,-0.47680882,-1.1872023,Columbia Glaciated
