time,SWE_anomaly,Seup,Selo,location
1969-01-01T00:00:00Z,0.784506,1.5634912,0.0048244474,Columbia Glaciated
1970-01-01T00:00:00Z,-0.18614116,0.5333806,-0.9066252,Columbia Glaciated
1971-01-01T00:00:00Z,1.3573925,2.0786726,0.6381673,Columbia Glaciated
1972-01-01T00:00:00Z,1.9671744,2.687504,1.2457083,Columbia Glaciated
1973-01-01T00:00:00Z,-0.42568508,0.29352173,-1.1465157,Columbia Glaciated
1974-01-01T00:00:00Z,2.0500572,2.7710369,1.3303663,Columbia Glaciated
1975-01-01T00:00:00Z,0.700279,1.4009365,-4.9028784E-4,Columbia Glaciated
1976-01-01T00:00:00Z,0.69846314,1.3925445,0.00456436,Columbia Glaciated
1977-01-01T00:00:00Z,-1.2391924,-0.55338997,-1.9285015,Columbia Glaciated
1978-01-01T00:00:00Z,-0.21628413,0.4709011,-0.9037287,Columbia Glaciated
1979-01-01T00:00:00Z,-0.48978037,-0.08120619,-0.899738,Columbia Glaciated
1980-01-01T00:00:00Z,0.1369929,0.5677844,-0.29337385,Columbia Glaciated
1981-01-01T00:00:00Z,-1.0415134,-0.6417963,-1.4419851,Columbia Glaciated
1982-01-01T00:00:00Z,1.0655881,1.3904718,0.7397079,Columbia Glaciated
1983-01-01T00:00:00Z,0.5473728,0.8784375,0.21499628,Columbia Glaciated
1984-01-01T00:00:00Z,-0.39123264,-0.07706405,-0.7061813,Columbia Glaciated
1985-01-01T00:00:00Z,0.21050808,0.5241509,-0.10515903,Columbia Glaciated
1986-01-01T00:00:00Z,-0.61798143,-0.30591738,-0.9310264,Columbia Glaciated
1987-01-01T00:00:00Z,-0.45150822,-0.13960388,-0.7648711,Columbia Glaciated
1988-01-01T00:00:00Z,-0.3790926,-0.06999614,-0.6890054,Columbia Glaciated
1989-01-01T00:00:00Z,0.36607534,0.6754754,0.05641155,Columbia Glaciated
1990-01-01T00:00:00Z,0.12822606,0.4330309,-0.1786636,Columbia Glaciated
1991-01-01T00:00:00Z,0.40252325,0.7031154,0.10214493,Columbia Glaciated
1992-01-01T00:00:00Z,-0.9094456,-0.61772233,-1.2017623,Columbia Glaciated
1993-01-01T00:00:00Z,-0.76523304,-0.4735977,-1.0581933,Columbia Glaciated
1994-01-01T00:00:00Z,-0.6815894,-0.38975993,-0.9737517,Columbia Glaciated
1995-01-01T00:00:00Z,0.09800459,0.38710582,-0.19190563,Columbia Glaciated
1996-01-01T00:00:00Z,0.15402095,0.4435965,-0.13525087,Columbia Glaciated
1997-01-01T00:00:00Z,2.1066182,2.3956473,1.8150358,Columbia Glaciated
1998-01-01T00:00:00Z,-0.14961322,0.14003839,-0.4388525,Columbia Glaciated
1999-01-01T00:00:00Z,1.7255665,2.015685,1.436434,Columbia Glaciated
2000-01-01T00:00:00Z,0.18411312,0.4731182,-0.10571395,Columbia Glaciated
2001-01-01T00:00:00Z,-1.2733598,-0.99101675,-1.5570769,Columbia Glaciated
2002-01-01T00:00:00Z,0.7400444,1.0231317,0.45742187,Columbia Glaciated
2003-01-01T00:00:00Z,-0.22189347,0.061493393,-0.5044085,Columbia Glaciated
2004-01-01T00:00:00Z,-0.4142562,-0.13194351,-0.69651437,Columbia Glaciated
2005-01-01T00:00:00Z,-1.6071213,-1.3249623,-1.8895801,Columbia Glaciated
2006-01-01T00:00:00Z,0.59170073,0.87421095,0.30951187,Columbia Glaciated
2007-01-01T00:00:00Z,-0.36632976,-0.08429124,-0.6478928,Columbia Glaciated
