time,fishing_dependence,location
2000-01-01T00:00:00Z,11.816106,"Astoria city, Oregon"
2005-01-01T00:00:00Z,13.720919,"Astoria city, Oregon"
2010-01-01T00:00:00Z,10.412225,"Astoria city, Oregon"
2014-01-01T00:00:00Z,11.91,"Astoria city, Oregon"
2000-01-01T00:00:00Z,4.385364,"Bellingham city, Washington"
2005-01-01T00:00:00Z,5.652548,"Bellingham city, Washington"
2010-01-01T00:00:00Z,5.0360546,"Bellingham city, Washington"
2014-01-01T00:00:00Z,3.36,"Bellingham city, Washington"
2000-01-01T00:00:00Z,5.502359,"Bodega Bay CDP, California"
2005-01-01T00:00:00Z,10.860946,"Bodega Bay CDP, California"
2010-01-01T00:00:00Z,8.083568,"Bodega Bay CDP, California"
2014-01-01T00:00:00Z,14.33,"Bodega Bay CDP, California"
2000-01-01T00:00:00Z,4.078092,"Coos Bay city, Oregon"
2005-01-01T00:00:00Z,8.048333,"Coos Bay city, Oregon"
2010-01-01T00:00:00Z,9.595891,"Coos Bay city, Oregon"
2014-01-01T00:00:00Z,9.21,"Coos Bay city, Oregon"
2000-01-01T00:00:00Z,4.993417,"Crescent City city, California"
2005-01-01T00:00:00Z,3.8517587,"Crescent City city, California"
2010-01-01T00:00:00Z,5.3984885,"Crescent City city, California"
2014-01-01T00:00:00Z,5.18,"Crescent City city, California"
2000-01-01T00:00:00Z,2.252626,"El Granada CDP, California"
2005-01-01T00:00:00Z,1.8812499,"El Granada CDP, California"
2010-01-01T00:00:00Z,5.544773,"El Granada CDP, California"
2014-01-01T00:00:00Z,7.18,"El Granada CDP, California"
2000-01-01T00:00:00Z,4.131015,"Eureka city, California"
2005-01-01T00:00:00Z,2.7754588,"Eureka city, California"
2010-01-01T00:00:00Z,3.7057993,"Eureka city, California"
2014-01-01T00:00:00Z,4.06,"Eureka city, California"
2000-01-01T00:00:00Z,4.706862,"Fort Bragg city, California"
2005-01-01T00:00:00Z,2.2180324,"Fort Bragg city, California"
2010-01-01T00:00:00Z,4.2138853,"Fort Bragg city, California"
2014-01-01T00:00:00Z,6.84,"Fort Bragg city, California"
2000-01-01T00:00:00Z,1.606987,"Garibaldi city, Oregon"
2005-01-01T00:00:00Z,4.09543,"Garibaldi city, Oregon"
2010-01-01T00:00:00Z,7.11293,"Garibaldi city, Oregon"
2014-01-01T00:00:00Z,6.56,"Garibaldi city, Oregon"
2000-01-01T00:00:00Z,1.968924,"Half Moon Bay city, California"
2005-01-01T00:00:00Z,1.6460549,"Half Moon Bay city, California"
2010-01-01T00:00:00Z,4.8092675,"Half Moon Bay city, California"
2014-01-01T00:00:00Z,7.18,"Half Moon Bay city, California"
2000-01-01T00:00:00Z,5.659027,"Ilwaco city, Washington"
2005-01-01T00:00:00Z,6.0057445,"Ilwaco city, Washington"
2010-01-01T00:00:00Z,8.333273,"Ilwaco city, Washington"
2014-01-01T00:00:00Z,8.79,"Ilwaco city, Washington"
2000-01-01T00:00:00Z,16.920357,"Los Angeles city, California"
2005-01-01T00:00:00Z,9.490441,"Los Angeles city, California"
2010-01-01T00:00:00Z,12.362216,"Los Angeles city, California"
2014-01-01T00:00:00Z,6.44,"Los Angeles city, California"
2000-01-01T00:00:00Z,31.356358,"Moss Landing CDP, California"
2005-01-01T00:00:00Z,23.609364,"Moss Landing CDP, California"
2010-01-01T00:00:00Z,25.440779,"Moss Landing CDP, California"
2014-01-01T00:00:00Z,32.81,"Moss Landing CDP, California"
2000-01-01T00:00:00Z,4.907749,"Neah Bay CDP, Washington"
2005-01-01T00:00:00Z,7.1955833,"Neah Bay CDP, Washington"
2010-01-01T00:00:00Z,5.3106503,"Neah Bay CDP, Washington"
2014-01-01T00:00:00Z,0.89,"Neah Bay CDP, Washington"
2000-01-01T00:00:00Z,13.335528,"Newport city, Oregon"
2005-01-01T00:00:00Z,11.211217,"Newport city, Oregon"
2010-01-01T00:00:00Z,11.970025,"Newport city, Oregon"
2014-01-01T00:00:00Z,18.24,"Newport city, Oregon"
2000-01-01T00:00:00Z,6.178224,"Port Hueneme city, California"
2005-01-01T00:00:00Z,2.7321699,"Port Hueneme city, California"
2010-01-01T00:00:00Z,3.6445565,"Port Hueneme city, California"
2014-01-01T00:00:00Z,2.56,"Port Hueneme city, California"
2000-01-01T00:00:00Z,4.379263,"San Diego city, California"
2005-01-01T00:00:00Z,2.9321938,"San Diego city, California"
2010-01-01T00:00:00Z,4.5646944,"San Diego city, California"
2014-01-01T00:00:00Z,4.78,"San Diego city, California"
2000-01-01T00:00:00Z,5.132149,"San Francisco city, California"
2005-01-01T00:00:00Z,3.162876,"San Francisco city, California"
2010-01-01T00:00:00Z,3.5882392,"San Francisco city, California"
2014-01-01T00:00:00Z,5.73,"San Francisco city, California"
2000-01-01T00:00:00Z,3.857166,"Santa Barbara city, California"
2005-01-01T00:00:00Z,1.8592471,"Santa Barbara city, California"
2010-01-01T00:00:00Z,3.6188717,"Santa Barbara city, California"
2014-01-01T00:00:00Z,3.95,"Santa Barbara city, California"
2000-01-01T00:00:00Z,3.832371,"Tokeland CDP, Washington"
2005-01-01T00:00:00Z,9.603648,"Tokeland CDP, Washington"
2010-01-01T00:00:00Z,8.452684,"Tokeland CDP, Washington"
2014-01-01T00:00:00Z,6.33,"Tokeland CDP, Washington"
2000-01-01T00:00:00Z,2.950384,"Trinidad city, California"
2005-01-01T00:00:00Z,2.618771,"Trinidad city, California"
2010-01-01T00:00:00Z,4.6413665,"Trinidad city, California"
2014-01-01T00:00:00Z,5.37,"Trinidad city, California"
2000-01-01T00:00:00Z,9.820044,"Westport city, Washington"
2005-01-01T00:00:00Z,20.474655,"Westport city, Washington"
2010-01-01T00:00:00Z,19.18717,"Westport city, Washington"
2014-01-01T00:00:00Z,20.88,"Westport city, Washington"
2000-01-01T00:00:00Z,4.4586,"Winchester Bay CDP, Oregon"
2005-01-01T00:00:00Z,6.1868052,"Winchester Bay CDP, Oregon"
2010-01-01T00:00:00Z,6.637164,"Winchester Bay CDP, Oregon"
2014-01-01T00:00:00Z,6.09,"Winchester Bay CDP, Oregon"
2000-01-01T00:00:00Z,-0.279896,"McKinleyville CDP, California"
2005-01-01T00:00:00Z,-0.13191319,"McKinleyville CDP, California"
2010-01-01T00:00:00Z,-0.021524038,"McKinleyville CDP, California"
2014-01-01T00:00:00Z,0.12,"McKinleyville CDP, California"
2000-01-01T00:00:00Z,3.834891,"San Buenaventura (Ventura) city, California"
2005-01-01T00:00:00Z,1.5083696,"San Buenaventura (Ventura) city, California"
2010-01-01T00:00:00Z,5.4503827,"San Buenaventura (Ventura) city, California"
2014-01-01T00:00:00Z,4.85,"San Buenaventura (Ventura) city, California"
