time,fishing_engagement,location,region
2005-01-01T00:00:00Z,1.98395,"Anacortes, WA",WA
2006-01-01T00:00:00Z,1.6371,"Anacortes, WA",WA
2007-01-01T00:00:00Z,1.7427,"Anacortes, WA",WA
2008-01-01T00:00:00Z,2.19774,"Anacortes, WA",WA
2009-01-01T00:00:00Z,1.65827,"Anacortes, WA",WA
2010-01-01T00:00:00Z,1.71581,"Anacortes, WA",WA
2011-01-01T00:00:00Z,3.47139,"Anacortes, WA",WA
2012-01-01T00:00:00Z,1.58264,"Anacortes, WA",WA
2013-01-01T00:00:00Z,2.13091,"Anacortes, WA",WA
2014-01-01T00:00:00Z,1.59773,"Anacortes, WA",WA
2015-01-01T00:00:00Z,1.83358,"Anacortes, WA",WA
2016-01-01T00:00:00Z,2.87221,"Anacortes, WA",WA
2017-01-01T00:00:00Z,2.35464,"Anacortes, WA",WA
2018-01-01T00:00:00Z,4.903314,"Anacortes, WA",WA
2005-01-01T00:00:00Z,12.32803,"Astoria, OR",OR
2006-01-01T00:00:00Z,11.8797,"Astoria, OR",OR
2007-01-01T00:00:00Z,11.30533,"Astoria, OR",OR
2008-01-01T00:00:00Z,10.74521,"Astoria, OR",OR
2009-01-01T00:00:00Z,10.15464,"Astoria, OR",OR
2010-01-01T00:00:00Z,10.01152,"Astoria, OR",OR
2011-01-01T00:00:00Z,8.94767,"Astoria, OR",OR
2012-01-01T00:00:00Z,11.84015,"Astoria, OR",OR
2013-01-01T00:00:00Z,13.26924,"Astoria, OR",OR
2014-01-01T00:00:00Z,11.16307,"Astoria, OR",OR
2015-01-01T00:00:00Z,12.78803,"Astoria, OR",OR
2016-01-01T00:00:00Z,12.58675,"Astoria, OR",OR
2017-01-01T00:00:00Z,11.10444,"Astoria, OR",OR
2018-01-01T00:00:00Z,14.998841,"Astoria, OR",OR
2005-01-01T00:00:00Z,5.64405,"Bellingham, WA",WA
2006-01-01T00:00:00Z,4.97232,"Bellingham, WA",WA
2007-01-01T00:00:00Z,5.36566,"Bellingham, WA",WA
2008-01-01T00:00:00Z,5.27201,"Bellingham, WA",WA
2009-01-01T00:00:00Z,4.86451,"Bellingham, WA",WA
2010-01-01T00:00:00Z,5.75636,"Bellingham, WA",WA
2011-01-01T00:00:00Z,2.94916,"Bellingham, WA",WA
2012-01-01T00:00:00Z,3.01464,"Bellingham, WA",WA
2013-01-01T00:00:00Z,3.70889,"Bellingham, WA",WA
2014-01-01T00:00:00Z,3.47757,"Bellingham, WA",WA
2015-01-01T00:00:00Z,3.47268,"Bellingham, WA",WA
2016-01-01T00:00:00Z,5.75634,"Bellingham, WA",WA
2017-01-01T00:00:00Z,4.553,"Bellingham, WA",WA
2018-01-01T00:00:00Z,5.082527,"Bellingham, WA",WA
2005-01-01T00:00:00Z,3.85253,"Bodega Bay, CA",CCA
2006-01-01T00:00:00Z,2.76311,"Bodega Bay, CA",CCA
2007-01-01T00:00:00Z,3.1151,"Bodega Bay, CA",CCA
2008-01-01T00:00:00Z,2.13525,"Bodega Bay, CA",CCA
2009-01-01T00:00:00Z,2.05445,"Bodega Bay, CA",CCA
2010-01-01T00:00:00Z,3.50327,"Bodega Bay, CA",CCA
2011-01-01T00:00:00Z,2.77657,"Bodega Bay, CA",CCA
2012-01-01T00:00:00Z,4.20712,"Bodega Bay, CA",CCA
2013-01-01T00:00:00Z,4.06356,"Bodega Bay, CA",CCA
2014-01-01T00:00:00Z,4.37971,"Bodega Bay, CA",CCA
2015-01-01T00:00:00Z,3.09972,"Bodega Bay, CA",CCA
2016-01-01T00:00:00Z,4.2494,"Bodega Bay, CA",CCA
2017-01-01T00:00:00Z,4.53029,"Bodega Bay, CA",CCA
2018-01-01T00:00:00Z,2.0746865,"Bodega Bay, CA",CCA
2005-01-01T00:00:00Z,1.2182,"Brookings, OR",OR
2006-01-01T00:00:00Z,2.28452,"Brookings, OR",OR
2007-01-01T00:00:00Z,2.62546,"Brookings, OR",OR
2008-01-01T00:00:00Z,2.46899,"Brookings, OR",OR
2009-01-01T00:00:00Z,2.81596,"Brookings, OR",OR
2010-01-01T00:00:00Z,3.08608,"Brookings, OR",OR
2011-01-01T00:00:00Z,4.10242,"Brookings, OR",OR
2012-01-01T00:00:00Z,2.85698,"Brookings, OR",OR
2013-01-01T00:00:00Z,3.63425,"Brookings, OR",OR
2014-01-01T00:00:00Z,3.84042,"Brookings, OR",OR
2015-01-01T00:00:00Z,3.34947,"Brookings, OR",OR
2016-01-01T00:00:00Z,3.31161,"Brookings, OR",OR
2017-01-01T00:00:00Z,2.73131,"Brookings, OR",OR
2018-01-01T00:00:00Z,5.602232,"Brookings, OR",OR
2005-01-01T00:00:00Z,7.64852,"Coos Bay, OR",OR
2006-01-01T00:00:00Z,6.22888,"Coos Bay, OR",OR
2007-01-01T00:00:00Z,8.2371,"Coos Bay, OR",OR
2008-01-01T00:00:00Z,8.09546,"Coos Bay, OR",OR
2009-01-01T00:00:00Z,9.12732,"Coos Bay, OR",OR
2010-01-01T00:00:00Z,9.9004,"Coos Bay, OR",OR
2011-01-01T00:00:00Z,9.88978,"Coos Bay, OR",OR
2012-01-01T00:00:00Z,7.22366,"Coos Bay, OR",OR
2013-01-01T00:00:00Z,8.24361,"Coos Bay, OR",OR
2014-01-01T00:00:00Z,9.09313,"Coos Bay, OR",OR
2015-01-01T00:00:00Z,9.84009,"Coos Bay, OR",OR
2016-01-01T00:00:00Z,7.8714,"Coos Bay, OR",OR
2017-01-01T00:00:00Z,8.15094,"Coos Bay, OR",OR
2018-01-01T00:00:00Z,7.5650506,"Coos Bay, OR",OR
2005-01-01T00:00:00Z,3.46326,"Crescent City, CA",NCA
2006-01-01T00:00:00Z,4.483,"Crescent City, CA",NCA
2007-01-01T00:00:00Z,3.88023,"Crescent City, CA",NCA
2008-01-01T00:00:00Z,4.24837,"Crescent City, CA",NCA
2009-01-01T00:00:00Z,4.95242,"Crescent City, CA",NCA
2010-01-01T00:00:00Z,5.09471,"Crescent City, CA",NCA
2011-01-01T00:00:00Z,6.76507,"Crescent City, CA",NCA
2012-01-01T00:00:00Z,5.07498,"Crescent City, CA",NCA
2013-01-01T00:00:00Z,5.34274,"Crescent City, CA",NCA
2014-01-01T00:00:00Z,4.3074,"Crescent City, CA",NCA
2015-01-01T00:00:00Z,3.60909,"Crescent City, CA",NCA
2016-01-01T00:00:00Z,4.64894,"Crescent City, CA",NCA
2017-01-01T00:00:00Z,3.34857,"Crescent City, CA",NCA
2018-01-01T00:00:00Z,5.0527735,"Crescent City, CA",NCA
2005-01-01T00:00:00Z,3.36018,"El Granada, CA",CCA
2006-01-01T00:00:00Z,1.41976,"El Granada, CA",CCA
2007-01-01T00:00:00Z,1.85221,"El Granada, CA",CCA
2008-01-01T00:00:00Z,1.94716,"El Granada, CA",CCA
