time,fishing_reliance,location,region
2005-01-01T00:00:00Z,1.76,"Albion, CA",NCA
2006-01-01T00:00:00Z,-0.941,"Albion, CA",NCA
2007-01-01T00:00:00Z,2.3111,"Albion, CA",NCA
2008-01-01T00:00:00Z,3.04,"Albion, CA",NCA
2009-01-01T00:00:00Z,0.0,"Albion, CA",NCA
2010-01-01T00:00:00Z,3.58988,"Albion, CA",NCA
2011-01-01T00:00:00Z,2.23726,"Albion, CA",NCA
2012-01-01T00:00:00Z,2.0455,"Albion, CA",NCA
2013-01-01T00:00:00Z,3.42515,"Albion, CA",NCA
2014-01-01T00:00:00Z,1.59521,"Albion, CA",NCA
2015-01-01T00:00:00Z,0.7648,"Albion, CA",NCA
2016-01-01T00:00:00Z,0.33239,"Albion, CA",NCA
2017-01-01T00:00:00Z,0.63903,"Albion, CA",NCA
2005-01-01T00:00:00Z,1.60295,"Astoria, OR",OR
2006-01-01T00:00:00Z,1.12511,"Astoria, OR",OR
2007-01-01T00:00:00Z,1.08922,"Astoria, OR",OR
2008-01-01T00:00:00Z,1.11387,"Astoria, OR",OR
2009-01-01T00:00:00Z,1.11313,"Astoria, OR",OR
2010-01-01T00:00:00Z,1.40092,"Astoria, OR",OR
2011-01-01T00:00:00Z,1.99379,"Astoria, OR",OR
2012-01-01T00:00:00Z,2.14552,"Astoria, OR",OR
2013-01-01T00:00:00Z,2.0158,"Astoria, OR",OR
2014-01-01T00:00:00Z,1.23026,"Astoria, OR",OR
2015-01-01T00:00:00Z,1.31779,"Astoria, OR",OR
2016-01-01T00:00:00Z,1.72154,"Astoria, OR",OR
2017-01-01T00:00:00Z,1.97144,"Astoria, OR",OR
2005-01-01T00:00:00Z,-0.06841,"Avalon, CA",SCA
2006-01-01T00:00:00Z,-0.06651,"Avalon, CA",SCA
2007-01-01T00:00:00Z,-0.05381,"Avalon, CA",SCA
2008-01-01T00:00:00Z,0.05313,"Avalon, CA",SCA
2009-01-01T00:00:00Z,-0.06372,"Avalon, CA",SCA
2010-01-01T00:00:00Z,0.04128,"Avalon, CA",SCA
2011-01-01T00:00:00Z,-0.04274,"Avalon, CA",SCA
2012-01-01T00:00:00Z,-0.03225,"Avalon, CA",SCA
2013-01-01T00:00:00Z,0.04179,"Avalon, CA",SCA
2014-01-01T00:00:00Z,0.02414,"Avalon, CA",SCA
2015-01-01T00:00:00Z,0.03575,"Avalon, CA",SCA
2016-01-01T00:00:00Z,-0.04602,"Avalon, CA",SCA
2017-01-01T00:00:00Z,0.08301,"Avalon, CA",SCA
2018-01-01T00:00:00Z,-0.0319976,"Avalon, CA",SCA
2005-01-01T00:00:00Z,0.71,"Avila Beach, CA",CCA
2006-01-01T00:00:00Z,0.00765,"Avila Beach, CA",CCA
2007-01-01T00:00:00Z,0.0,"Avila Beach, CA",CCA
2008-01-01T00:00:00Z,0.0,"Avila Beach, CA",CCA
2009-01-01T00:00:00Z,0.59017,"Avila Beach, CA",CCA
2010-01-01T00:00:00Z,0.5536,"Avila Beach, CA",CCA
2011-01-01T00:00:00Z,0.84033,"Avila Beach, CA",CCA
2012-01-01T00:00:00Z,0.86297,"Avila Beach, CA",CCA
2013-01-01T00:00:00Z,1.70106,"Avila Beach, CA",CCA
2014-01-01T00:00:00Z,0.82441,"Avila Beach, CA",CCA
2015-01-01T00:00:00Z,1.0653,"Avila Beach, CA",CCA
2016-01-01T00:00:00Z,0.70891,"Avila Beach, CA",CCA
2017-01-01T00:00:00Z,0.83229,"Avila Beach, CA",CCA
2005-01-01T00:00:00Z,8.49393,"Bay Center, WA",WA
2006-01-01T00:00:00Z,9.73099,"Bay Center, WA",WA
2007-01-01T00:00:00Z,7.97713,"Bay Center, WA",WA
2008-01-01T00:00:00Z,8.66945,"Bay Center, WA",WA
2009-01-01T00:00:00Z,6.14348,"Bay Center, WA",WA
2010-01-01T00:00:00Z,4.30445,"Bay Center, WA",WA
2011-01-01T00:00:00Z,5.24795,"Bay Center, WA",WA
2012-01-01T00:00:00Z,2.06612,"Bay Center, WA",WA
2013-01-01T00:00:00Z,3.19761,"Bay Center, WA",WA
2014-01-01T00:00:00Z,1.846,"Bay Center, WA",WA
2015-01-01T00:00:00Z,1.32575,"Bay Center, WA",WA
2016-01-01T00:00:00Z,0.64193,"Bay Center, WA",WA
2017-01-01T00:00:00Z,1.37836,"Bay Center, WA",WA
2005-01-01T00:00:00Z,0.0,"Beaver, OR",OR
2006-01-01T00:00:00Z,5.30742,"Beaver, OR",OR
2007-01-01T00:00:00Z,3.37024,"Beaver, OR",OR
2008-01-01T00:00:00Z,3.49544,"Beaver, OR",OR
2009-01-01T00:00:00Z,0.0,"Beaver, OR",OR
2010-01-01T00:00:00Z,-0.12628,"Beaver, OR",OR
2011-01-01T00:00:00Z,-0.12736,"Beaver, OR",OR
2012-01-01T00:00:00Z,-0.12025,"Beaver, OR",OR
2013-01-01T00:00:00Z,-0.12738,"Beaver, OR",OR
2014-01-01T00:00:00Z,-0.1096,"Beaver, OR",OR
2015-01-01T00:00:00Z,-0.10568,"Beaver, OR",OR
2016-01-01T00:00:00Z,0.0,"Beaver, OR",OR
2017-01-01T00:00:00Z,0.0,"Beaver, OR",OR
2005-01-01T00:00:00Z,6.93656,"Bodega Bay, CA",CCA
2006-01-01T00:00:00Z,6.98058,"Bodega Bay, CA",CCA
2007-01-01T00:00:00Z,6.2982,"Bodega Bay, CA",CCA
2008-01-01T00:00:00Z,4.55175,"Bodega Bay, CA",CCA
2009-01-01T00:00:00Z,4.0948,"Bodega Bay, CA",CCA
2010-01-01T00:00:00Z,6.67664,"Bodega Bay, CA",CCA
2011-01-01T00:00:00Z,6.73989,"Bodega Bay, CA",CCA
2012-01-01T00:00:00Z,7.75388,"Bodega Bay, CA",CCA
2013-01-01T00:00:00Z,10.51827,"Bodega Bay, CA",CCA
2014-01-01T00:00:00Z,9.81198,"Bodega Bay, CA",CCA
2015-01-01T00:00:00Z,6.4687,"Bodega Bay, CA",CCA
2016-01-01T00:00:00Z,8.07807,"Bodega Bay, CA",CCA
2017-01-01T00:00:00Z,9.84011,"Bodega Bay, CA",CCA
2018-01-01T00:00:00Z,2.0739882,"Bodega Bay, CA",CCA
2005-01-01T00:00:00Z,1.25826,"Bolinas, CA",CCA
2006-01-01T00:00:00Z,0.19965,"Bolinas, CA",CCA
2007-01-01T00:00:00Z,0.29197,"Bolinas, CA",CCA
2008-01-01T00:00:00Z,0.43375,"Bolinas, CA",CCA
2009-01-01T00:00:00Z,0.21517,"Bolinas, CA",CCA
2010-01-01T00:00:00Z,0.54012,"Bolinas, CA",CCA
2011-01-01T00:00:00Z,0.41081,"Bolinas, CA",CCA
2012-01-01T00:00:00Z,0.27291,"Bolinas, CA",CCA
2013-01-01T00:00:00Z,0.18676,"Bolinas, CA",CCA
2014-01-01T00:00:00Z,0.43748,"Bolinas, CA",CCA
2015-01-01T00:00:00Z,0.61615,"Bolinas, CA",CCA
2016-01-01T00:00:00Z,0.37775,"Bolinas, CA",CCA
2017-01-01T00:00:00Z,0.156,"Bolinas, CA",CCA
2018-01-01T00:00:00Z,0.09646045,"Bolinas, CA",CCA
2005-01-01T00:00:00Z,7.23988,"Chinook, WA",WA
2006-01-01T00:00:00Z,3.22672,"Chinook, WA",WA
2007-01-01T00:00:00Z,6.27467,"Chinook, WA",WA
2008-01-01T00:00:00Z,7.51817,"Chinook, WA",WA
2009-01-01T00:00:00Z,4.3084,"Chinook, WA",WA
2010-01-01T00:00:00Z,3.50669,"Chinook, WA",WA
2011-01-01T00:00:00Z,6.45678,"Chinook, WA",WA
2012-01-01T00:00:00Z,8.00238,"Chinook, WA",WA
2013-01-01T00:00:00Z,10.87168,"Chinook, WA",WA
2014-01-01T00:00:00Z,5.2293,"Chinook, WA",WA
2015-01-01T00:00:00Z,4.00157,"Chinook, WA",WA
2016-01-01T00:00:00Z,4.80215,"Chinook, WA",WA
2017-01-01T00:00:00Z,5.30944,"Chinook, WA",WA
2005-01-01T00:00:00Z,-0.13757,"Cloverdale, CA",CCA
2006-01-01T00:00:00Z,0.0,"Cloverdale, CA",CCA
2007-01-01T00:00:00Z,0.0,"Cloverdale, CA",CCA
2008-01-01T00:00:00Z,0.0,"Cloverdale, CA",CCA
2009-01-01T00:00:00Z,0.0,"Cloverdale, CA",CCA
2010-01-01T00:00:00Z,0.4872,"Cloverdale, CA",CCA
2011-01-01T00:00:00Z,0.22988,"Cloverdale, CA",CCA
2012-01-01T00:00:00Z,0.56306,"Cloverdale, CA",CCA
2013-01-01T00:00:00Z,2.76518,"Cloverdale, CA",CCA
2014-01-01T00:00:00Z,0.47085,"Cloverdale, CA",CCA
2015-01-01T00:00:00Z,-0.10568,"Cloverdale, CA",CCA
2016-01-01T00:00:00Z,0.34424,"Cloverdale, CA",CCA
2017-01-01T00:00:00Z,0.0,"Cloverdale, CA",CCA
2005-01-01T00:00:00Z,0.0,"Comptche, CA",CCA
2006-01-01T00:00:00Z,0.0,"Comptche, CA",CCA
2007-01-01T00:00:00Z,0.0,"Comptche, CA",CCA
2008-01-01T00:00:00Z,0.0,"Comptche, CA",CCA
2009-01-01T00:00:00Z,0.0,"Comptche, CA",CCA
2010-01-01T00:00:00Z,0.19525,"Comptche, CA",CCA
2011-01-01T00:00:00Z,0.18511,"Comptche, CA",CCA
2012-01-01T00:00:00Z,0.44833,"Comptche, CA",CCA
2013-01-01T00:00:00Z,1.02268,"Comptche, CA",CCA
2014-01-01T00:00:00Z,0.91561,"Comptche, CA",CCA
2015-01-01T00:00:00Z,1.77415,"Comptche, CA",CCA
2016-01-01T00:00:00Z,2.66727,"Comptche, CA",CCA
2017-01-01T00:00:00Z,0.77842,"Comptche, CA",CCA
2005-01-01T00:00:00Z,0.43034,"Crescent City, CA",NCA
2006-01-01T00:00:00Z,0.8467,"Crescent City, CA",NCA
2007-01-01T00:00:00Z,0.61351,"Crescent City, CA",NCA
2008-01-01T00:00:00Z,0.64553,"Crescent City, CA",NCA
2009-01-01T00:00:00Z,0.72102,"Crescent City, CA",NCA
2010-01-01T00:00:00Z,0.70001,"Crescent City, CA",NCA
2011-01-01T00:00:00Z,1.0588,"Crescent City, CA",NCA
2012-01-01T00:00:00Z,0.96835,"Crescent City, CA",NCA
2013-01-01T00:00:00Z,0.99576,"Crescent City, CA",NCA
2014-01-01T00:00:00Z,0.78799,"Crescent City, CA",NCA
2015-01-01T00:00:00Z,0.65944,"Crescent City, CA",NCA
2016-01-01T00:00:00Z,0.81255,"Crescent City, CA",NCA
2017-01-01T00:00:00Z,0.70078,"Crescent City, CA",NCA
2018-01-01T00:00:00Z,0.43766737,"Crescent City, CA",NCA
2005-01-01T00:00:00Z,-0.0846,"Dana Point, CA",SCA
2006-01-01T00:00:00Z,-0.08766,"Dana Point, CA",SCA
2007-01-01T00:00:00Z,-0.08719,"Dana Point, CA",SCA
2008-01-01T00:00:00Z,-0.07494,"Dana Point, CA",SCA
2009-01-01T00:00:00Z,-0.1008,"Dana Point, CA",SCA
2010-01-01T00:00:00Z,-0.06718,"Dana Point, CA",SCA
2011-01-01T00:00:00Z,-0.08223,"Dana Point, CA",SCA
2012-01-01T00:00:00Z,-0.08572,"Dana Point, CA",SCA
2013-01-01T00:00:00Z,-0.07664,"Dana Point, CA",SCA
2014-01-01T00:00:00Z,-0.07777,"Dana Point, CA",SCA
2015-01-01T00:00:00Z,-0.06843,"Dana Point, CA",SCA
2016-01-01T00:00:00Z,-0.06874,"Dana Point, CA",SCA
2017-01-01T00:00:00Z,-0.07478,"Dana Point, CA",SCA
2018-01-01T00:00:00Z,-0.046058428,"Dana Point, CA",SCA
2005-01-01T00:00:00Z,-0.13757,"Del Mar, CA",SCA
2006-01-01T00:00:00Z,0.0,"Del Mar, CA",SCA
2007-01-01T00:00:00Z,0.0,"Del Mar, CA",SCA
2008-01-01T00:00:00Z,0.0,"Del Mar, CA",SCA
2009-01-01T00:00:00Z,-0.16017,"Del Mar, CA",SCA
2010-01-01T00:00:00Z,-0.11399,"Del Mar, CA",SCA
2011-01-01T00:00:00Z,-0.0647,"Del Mar, CA",SCA
2012-01-01T00:00:00Z,-0.12025,"Del Mar, CA",SCA
2013-01-01T00:00:00Z,-0.12738,"Del Mar, CA",SCA
2014-01-01T00:00:00Z,-0.09099,"Del Mar, CA",SCA
2015-01-01T00:00:00Z,-0.07354,"Del Mar, CA",SCA
2016-01-01T00:00:00Z,0.0,"Del Mar, CA",SCA
2017-01-01T00:00:00Z,0.0,"Del Mar, CA",SCA
2005-01-01T00:00:00Z,0.18215,"Dillon Beach, CA",CCA
2006-01-01T00:00:00Z,0.6776,"Dillon Beach, CA",CCA
2007-01-01T00:00:00Z,0.6865,"Dillon Beach, CA",CCA
2008-01-01T00:00:00Z,0.74399,"Dillon Beach, CA",CCA
2009-01-01T00:00:00Z,0.05456,"Dillon Beach, CA",CCA
2010-01-01T00:00:00Z,0.38343,"Dillon Beach, CA",CCA
2011-01-01T00:00:00Z,1.85431,"Dillon Beach, CA",CCA
2012-01-01T00:00:00Z,0.42553,"Dillon Beach, CA",CCA
2013-01-01T00:00:00Z,-0.12738,"Dillon Beach, CA",CCA
2014-01-01T00:00:00Z,0.38739,"Dillon Beach, CA",CCA
2015-01-01T00:00:00Z,0.18858,"Dillon Beach, CA",CCA
2016-01-01T00:00:00Z,0.0,"Dillon Beach, CA",CCA
2017-01-01T00:00:00Z,0.30549,"Dillon Beach, CA",CCA
2005-01-01T00:00:00Z,0.69947,"El Granada, CA",CCA
2006-01-01T00:00:00Z,-0.09651,"El Granada, CA",CCA
2007-01-01T00:00:00Z,0.06428,"El Granada, CA",CCA
2008-01-01T00:00:00Z,0.11911,"El Granada, CA",CCA
2009-01-01T00:00:00Z,0.64413,"El Granada, CA",CCA
2010-01-01T00:00:00Z,0.47147,"El Granada, CA",CCA
2011-01-01T00:00:00Z,0.55895,"El Granada, CA",CCA
2012-01-01T00:00:00Z,0.85364,"El Granada, CA",CCA
2013-01-01T00:00:00Z,0.35634,"El Granada, CA",CCA
2014-01-01T00:00:00Z,0.62348,"El Granada, CA",CCA
2015-01-01T00:00:00Z,0.44514,"El Granada, CA",CCA
2016-01-01T00:00:00Z,0.54928,"El Granada, CA",CCA
2017-01-01T00:00:00Z,-0.02664,"El Granada, CA",CCA
2018-01-01T00:00:00Z,-0.05904379,"El Granada, CA",CCA
2005-01-01T00:00:00Z,0.0149,"Eureka, CA",NCA
2006-01-01T00:00:00Z,0.08043,"Eureka, CA",NCA
2007-01-01T00:00:00Z,0.08765,"Eureka, CA",NCA
2008-01-01T00:00:00Z,0.09493,"Eureka, CA",NCA
2009-01-01T00:00:00Z,0.08707,"Eureka, CA",NCA
2010-01-01T00:00:00Z,0.09024,"Eureka, CA",NCA
2011-01-01T00:00:00Z,0.10694,"Eureka, CA",NCA
2012-01-01T00:00:00Z,0.1623,"Eureka, CA",NCA
2013-01-01T00:00:00Z,0.06512,"Eureka, CA",NCA
2014-01-01T00:00:00Z,0.10067,"Eureka, CA",NCA
2015-01-01T00:00:00Z,0.0761,"Eureka, CA",NCA
2016-01-01T00:00:00Z,0.07399,"Eureka, CA",NCA
2017-01-01T00:00:00Z,0.12735,"Eureka, CA",NCA
2018-01-01T00:00:00Z,0.024727795,"Eureka, CA",NCA
2005-01-01T00:00:00Z,-0.08,"Fields Landing, CA",NCA
2006-01-01T00:00:00Z,-0.099,"Fields Landing, CA",NCA
2007-01-01T00:00:00Z,1.828,"Fields Landing, CA",NCA
2008-01-01T00:00:00Z,2.12,"Fields Landing, CA",NCA
2009-01-01T00:00:00Z,1.4402,"Fields Landing, CA",NCA
2010-01-01T00:00:00Z,1.27407,"Fields Landing, CA",NCA
2011-01-01T00:00:00Z,1.02234,"Fields Landing, CA",NCA
2012-01-01T00:00:00Z,3.46615,"Fields Landing, CA",NCA
2013-01-01T00:00:00Z,10.20702,"Fields Landing, CA",NCA
2014-01-01T00:00:00Z,1.29485,"Fields Landing, CA",NCA
2015-01-01T00:00:00Z,0.27526,"Fields Landing, CA",NCA
2016-01-01T00:00:00Z,0.88058,"Fields Landing, CA",NCA
2017-01-01T00:00:00Z,0.539,"Fields Landing, CA",NCA
2005-01-01T00:00:00Z,0.29562,"Fort Bragg, CA",NCA
2006-01-01T00:00:00Z,0.48115,"Fort Bragg, CA",NCA
2007-01-01T00:00:00Z,0.76363,"Fort Bragg, CA",NCA
2008-01-01T00:00:00Z,0.7474,"Fort Bragg, CA",NCA
2009-01-01T00:00:00Z,0.49397,"Fort Bragg, CA",NCA
2010-01-01T00:00:00Z,0.63778,"Fort Bragg, CA",NCA
2011-01-01T00:00:00Z,0.79034,"Fort Bragg, CA",NCA
2012-01-01T00:00:00Z,0.90007,"Fort Bragg, CA",NCA
2013-01-01T00:00:00Z,0.75832,"Fort Bragg, CA",NCA
2014-01-01T00:00:00Z,1.03267,"Fort Bragg, CA",NCA
2015-01-01T00:00:00Z,1.0949,"Fort Bragg, CA",NCA
2016-01-01T00:00:00Z,0.985,"Fort Bragg, CA",NCA
2017-01-01T00:00:00Z,0.78364,"Fort Bragg, CA",NCA
2018-01-01T00:00:00Z,0.1703295,"Fort Bragg, CA",NCA
2005-01-01T00:00:00Z,2.55261,"Garibaldi, OR",OR
2006-01-01T00:00:00Z,2.01265,"Garibaldi, OR",OR
2007-01-01T00:00:00Z,0.0,"Garibaldi, OR",OR
2008-01-01T00:00:00Z,1.70186,"Garibaldi, OR",OR
2009-01-01T00:00:00Z,2.4371,"Garibaldi, OR",OR
2010-01-01T00:00:00Z,3.69658,"Garibaldi, OR",OR
2011-01-01T00:00:00Z,4.16609,"Garibaldi, OR",OR
2012-01-01T00:00:00Z,2.66998,"Garibaldi, OR",OR
2013-01-01T00:00:00Z,3.22876,"Garibaldi, OR",OR
2014-01-01T00:00:00Z,4.24261,"Garibaldi, OR",OR
2015-01-01T00:00:00Z,2.11676,"Garibaldi, OR",OR
2015-01-01T00:00:00Z,2.11676,"Garibaldi, OR",OR
2017-01-01T00:00:00Z,1.82683,"Garibaldi, OR",OR
2005-01-01T00:00:00Z,3.41021,"Ilwaco, WA",WA
2006-01-01T00:00:00Z,4.5907,"Ilwaco, WA",WA
2007-01-01T00:00:00Z,3.40496,"Ilwaco, WA",WA
2008-01-01T00:00:00Z,3.50426,"Ilwaco, WA",WA
2009-01-01T00:00:00Z,3.99387,"Ilwaco, WA",WA
2010-01-01T00:00:00Z,4.54193,"Ilwaco, WA",WA
2011-01-01T00:00:00Z,7.69529,"Ilwaco, WA",WA
2012-01-01T00:00:00Z,6.56864,"Ilwaco, WA",WA
2013-01-01T00:00:00Z,6.55385,"Ilwaco, WA",WA
2014-01-01T00:00:00Z,4.8285,"Ilwaco, WA",WA
2015-01-01T00:00:00Z,4.17956,"Ilwaco, WA",WA
2016-01-01T00:00:00Z,3.89666,"Ilwaco, WA",WA
2017-01-01T00:00:00Z,5.8329,"Ilwaco, WA",WA
2005-01-01T00:00:00Z,1.42628,"La Conner, WA",WA
2006-01-01T00:00:00Z,1.84794,"La Conner, WA",WA
2007-01-01T00:00:00Z,1.55703,"La Conner, WA",WA
2008-01-01T00:00:00Z,1.42707,"La Conner, WA",WA
2009-01-01T00:00:00Z,2.18392,"La Conner, WA",WA
2010-01-01T00:00:00Z,2.79919,"La Conner, WA",WA
2011-01-01T00:00:00Z,0.83047,"La Conner, WA",WA
2012-01-01T00:00:00Z,0.37918,"La Conner, WA",WA
2013-01-01T00:00:00Z,0.74928,"La Conner, WA",WA
2014-01-01T00:00:00Z,0.53066,"La Conner, WA",WA
2015-01-01T00:00:00Z,0.84227,"La Conner, WA",WA
2016-01-01T00:00:00Z,2.19319,"La Conner, WA",WA
2017-01-01T00:00:00Z,1.50342,"La Conner, WA",WA
2005-01-01T00:00:00Z,3.08627,"La Push, WA",WA
2006-01-01T00:00:00Z,2.4137,"La Push, WA",WA
2007-01-01T00:00:00Z,3.43663,"La Push, WA",WA
2008-01-01T00:00:00Z,1.34869,"La Push, WA",WA
2009-01-01T00:00:00Z,0.9613,"La Push, WA",WA
2010-01-01T00:00:00Z,1.93226,"La Push, WA",WA
