time,social_vulnerability_index,location
2009-01-01T00:00:00Z,NA,"Albion, CA"
2014-01-01T00:00:00Z,9.73835,"Albion, CA"
2017-01-01T00:00:00Z,NA,"Albion, CA"
2009-01-01T00:00:00Z,-0.77,"Anacortes, WA"
2014-01-01T00:00:00Z,-1.13575,"Anacortes, WA"
2017-01-01T00:00:00Z,NA,"Anacortes, WA"
2009-01-01T00:00:00Z,1.51,"Astoria, OR"
2014-01-01T00:00:00Z,1.03756,"Astoria, OR"
2017-01-01T00:00:00Z,NA,"Astoria, OR"
2009-01-01T00:00:00Z,-0.52,"Avalon, CA"
2014-01-01T00:00:00Z,-1.80513,"Avalon, CA"
2017-01-01T00:00:00Z,NA,"Avalon, CA"
2009-01-01T00:00:00Z,NA,"Avila Beach, CA"
2014-01-01T00:00:00Z,-3.12257,"Avila Beach, CA"
2017-01-01T00:00:00Z,NA,"Avila Beach, CA"
2009-01-01T00:00:00Z,-3.2,"Bay Center, WA"
2014-01-01T00:00:00Z,4.99827,"Bay Center, WA"
2017-01-01T00:00:00Z,NA,"Bay Center, WA"
2009-01-01T00:00:00Z,1.63,"Beaver, OR"
2014-01-01T00:00:00Z,4.89299,"Beaver, OR"
2017-01-01T00:00:00Z,NA,"Beaver, OR"
2009-01-01T00:00:00Z,0.57,"Bellingham, WA"
2014-01-01T00:00:00Z,0.34477,"Bellingham, WA"
2017-01-01T00:00:00Z,NA,"Bellingham, WA"
2009-01-01T00:00:00Z,-1.07,"Bodega Bay, CA"
2014-01-01T00:00:00Z,-4.03962,"Bodega Bay, CA"
2017-01-01T00:00:00Z,-3.436,"Bodega Bay, CA"
2009-01-01T00:00:00Z,-0.1,"Bolinas, CA"
2014-01-01T00:00:00Z,-2.56549,"Bolinas, CA"
2017-01-01T00:00:00Z,NA,"Bolinas, CA"
2009-01-01T00:00:00Z,0.77,"Brookings, OR"
2014-01-01T00:00:00Z,-0.00472,"Brookings, OR"
2017-01-01T00:00:00Z,NA,"Brookings, OR"
2009-01-01T00:00:00Z,5.73,"Chinook, WA"
2014-01-01T00:00:00Z,-0.63008,"Chinook, WA"
2017-01-01T00:00:00Z,-4.126,"Chinook, WA"
2009-01-01T00:00:00Z,1.65,Cloverdale
2014-01-01T00:00:00Z,1.97175,Cloverdale
2017-01-01T00:00:00Z,NA,Cloverdale
2009-01-01T00:00:00Z,3.7,"Coos Bay, OR"
2014-01-01T00:00:00Z,2.92868,"Coos Bay, OR"
2017-01-01T00:00:00Z,NA,"Coos Bay, OR"
2009-01-01T00:00:00Z,10.4,"Crescent City, CA"
2014-01-01T00:00:00Z,6.20591,"Crescent City, CA"
2017-01-01T00:00:00Z,6.803,"Crescent City, CA"
2009-01-01T00:00:00Z,-3.46,"Dana Point, CA"
2014-01-01T00:00:00Z,-4.2896,"Dana Point, CA"
2017-01-01T00:00:00Z,NA,"Dana Point, CA"
2009-01-01T00:00:00Z,-5.13,"Del Mar, CA"
2014-01-01T00:00:00Z,-6.8948,"Del Mar, CA"
2017-01-01T00:00:00Z,NA,"Del Mar, CA"
2009-01-01T00:00:00Z,1.36,"Dillon Beach, CA"
2014-01-01T00:00:00Z,1.78643,"Dillon Beach, CA"
2017-01-01T00:00:00Z,NA,"Dillon Beach, CA"
2009-01-01T00:00:00Z,-5.62,"El Granada, CA"
2014-01-01T00:00:00Z,-6.75092,"El Granada, CA"
2017-01-01T00:00:00Z,NA,"El Granada, CA"
2009-01-01T00:00:00Z,2.72,"Eureka, CA"
2014-01-01T00:00:00Z,2.13734,"Eureka, CA"
2017-01-01T00:00:00Z,1.776,"Eureka, CA"
2009-01-01T00:00:00Z,NA,"Fields Landing, CA"
2014-01-01T00:00:00Z,11.29542,"Fields Landing, CA"
2017-01-01T00:00:00Z,NA,"Fields Landing, CA"
2009-01-01T00:00:00Z,2.19,"Florence, OR"
2014-01-01T00:00:00Z,3.34814,"Florence, OR"
2017-01-01T00:00:00Z,NA,"Florence, OR"
2009-01-01T00:00:00Z,4.81,"Fort Bragg, CA"
2014-01-01T00:00:00Z,3.32795,"Fort Bragg, CA"
2017-01-01T00:00:00Z,2.209,"Fort Bragg, CA"
2009-01-01T00:00:00Z,4.69,"Garibaldi, OR"
2014-01-01T00:00:00Z,4.92135,"Garibaldi, OR"
2017-01-01T00:00:00Z,NA,"Garibaldi, OR"
2009-01-01T00:00:00Z,-2.06,"Half Moon Bay, CA"
2014-01-01T00:00:00Z,-4.03191,"Half Moon Bay, CA"
2017-01-01T00:00:00Z,-2.875,"Half Moon Bay, CA"
2009-01-01T00:00:00Z,1.73,"Ilwaco, WA"
2014-01-01T00:00:00Z,3.73981,"Ilwaco, WA"
2017-01-01T00:00:00Z,1.003,"Ilwaco, WA"
2009-01-01T00:00:00Z,NA,"La Push, WA"
2014-01-01T00:00:00Z,NA,"La Push, WA"
2017-01-01T00:00:00Z,NA,"La Push, WA"
2009-01-01T00:00:00Z,NA,"Little River, CA"
2014-01-01T00:00:00Z,4.24327,"Little River, CA"
2017-01-01T00:00:00Z,NA,"Little River, CA"
2009-01-01T00:00:00Z,3.07,"Los Angeles, CA"
2014-01-01T00:00:00Z,2.27843,"Los Angeles, CA"
2017-01-01T00:00:00Z,2.235,"Los Angeles, CA"
2009-01-01T00:00:00Z,-4.14,"Marina del Rey, CA"
2014-01-01T00:00:00Z,-4.46959,"Marina del Rey, CA"
2017-01-01T00:00:00Z,NA,"Marina del Rey, CA"
2009-01-01T00:00:00Z,-0.9,"Monterey, CA"
2014-01-01T00:00:00Z,-2.60594,"Monterey, CA"
2017-01-01T00:00:00Z,-1.96,"Monterey, CA"
2009-01-01T00:00:00Z,0.61,"Morro Bay, CA"
2014-01-01T00:00:00Z,-1.12063,"Morro Bay, CA"
2017-01-01T00:00:00Z,-0.717,"Morro Bay, CA"
2009-01-01T00:00:00Z,3.08,"Moss Landing, CA"
2014-01-01T00:00:00Z,9.87286,"Moss Landing, CA"
2017-01-01T00:00:00Z,NA,"Moss Landing, CA"
2009-01-01T00:00:00Z,13.67,"Neah Bay, WA"
2014-01-01T00:00:00Z,8.75057,"Neah Bay, WA"
2017-01-01T00:00:00Z,NA,"Neah Bay, WA"
2009-01-01T00:00:00Z,2.43,"Newport, OR"
2014-01-01T00:00:00Z,1.86331,"Newport, OR"
2017-01-01T00:00:00Z,NA,"Newport, OR"
2009-01-01T00:00:00Z,-0.28,"Olympia, WA"
2014-01-01T00:00:00Z,-0.50051,"Olympia, WA"
2017-01-01T00:00:00Z,NA,"Olympia, WA"
2009-01-01T00:00:00Z,4.44,"Oxnard, CA"
2014-01-01T00:00:00Z,3.94676,"Oxnard, CA"
2017-01-01T00:00:00Z,NA,"Oxnard, CA"
2009-01-01T00:00:00Z,3.79,"Point Arena, CA"
2014-01-01T00:00:00Z,1.7975,"Point Arena, CA"
2017-01-01T00:00:00Z,NA,"Point Arena, CA"
2009-01-01T00:00:00Z,2.81,"Port Hueneme, CA"
2014-01-01T00:00:00Z,2.76217,"Port Hueneme, CA"
2017-01-01T00:00:00Z,0.553,"Port Hueneme, CA"
2009-01-01T00:00:00Z,5.83,"Port Orford, OR"
2014-01-01T00:00:00Z,8.97602,"Port Orford, OR"
2017-01-01T00:00:00Z,NA,"Port Orford, OR"
2009-01-01T00:00:00Z,NA,"Redcrest, CA"
2014-01-01T00:00:00Z,-2.14978,"Redcrest, CA"
2017-01-01T00:00:00Z,NA,"Redcrest, CA"
2009-01-01T00:00:00Z,-0.52,"San Buenaventura (Ventura), CA"
2014-01-01T00:00:00Z,-1.2797,"San Buenaventura (Ventura), CA"
2017-01-01T00:00:00Z,-0.624,"San Buenaventura (Ventura), CA"
2009-01-01T00:00:00Z,-0.12,"San Diego, CA"
2014-01-01T00:00:00Z,-0.57948,"San Diego, CA"
2017-01-01T00:00:00Z,-0.135,"San Diego, CA"
2009-01-01T00:00:00Z,-0.75,"San Francisco, CA"
2014-01-01T00:00:00Z,-2.49473,"San Francisco, CA"
2017-01-01T00:00:00Z,-1.428,"San Francisco, CA"
2009-01-01T00:00:00Z,-0.92,"Santa Barbara, CA"
2014-01-01T00:00:00Z,-2.02681,"Santa Barbara, CA"
2017-01-01T00:00:00Z,-1.133,"Santa Barbara, CA"
2009-01-01T00:00:00Z,-1.27,"Seattle, WA"
2014-01-01T00:00:00Z,-2.56114,"Seattle, WA"
2017-01-01T00:00:00Z,NA,"Seattle, WA"
2009-01-01T00:00:00Z,NA,"Shelter Cove, CA"
2014-01-01T00:00:00Z,5.07058,"Shelter Cove, CA"
2017-01-01T00:00:00Z,0.021,"Shelter Cove, CA"
2009-01-01T00:00:00Z,5.84,"Shelton, WA"
2014-01-01T00:00:00Z,5.81908,"Shelton, WA"
2017-01-01T00:00:00Z,NA,"Shelton, WA"
2009-01-01T00:00:00Z,-4.24,"Summerland, CA"
2014-01-01T00:00:00Z,-4.98937,"Summerland, CA"
2017-01-01T00:00:00Z,NA,"Summerland, CA"
2009-01-01T00:00:00Z,NA,"Taholah, WA"
2014-01-01T00:00:00Z,NA,"Taholah, WA"
2017-01-01T00:00:00Z,8.074,"Taholah, WA"
2009-01-01T00:00:00Z,0.93,"Tillamook, OR"
2014-01-01T00:00:00Z,-0.60291,"Tillamook, OR"
2017-01-01T00:00:00Z,NA,"Tillamook, OR"
2009-01-01T00:00:00Z,-2.01,"Tokeland, WA"
2014-01-01T00:00:00Z,3.75441,"Tokeland, WA"
