time,albacore_tuna_recruitment,albacore_tuna_spawning_stock_biomass,bigeye_tuna_recruitment,bigeye_tuna_spawning_stock_biomass,bluefin_tuna_recruitment,bluefin_tuna_spawning_stock_biomass,blue_marlin_recruitment,blue_marlin_spawning_stock_biomass,skipjack_tuna_recruitment_relative_index,skipjack_tuna_relative_biomass_index,swordfish_eastern_pacific_exploitable_total_biomass,swordfish_western_central_pacific_exploitable_total_biomass,yellowfin_tuna_recruitment,yellowfin_tuna_spawning_stock_biomass_index,albacore_tuna_recruitment_se,albacore_tuna_spawning_stock_biomass_se,bigeye_tuna_recruitment_se,bigeye_tuna_spawning_stock_biomass_se,bluefin_tuna_recruitment_se,bluefin_tuna_spawning_stock_biomass_se,blue_marlin_recruitment_se,blue_marlin_spawning_stock_biomass_se,skipjack_tuna_recruitment_relative_index_se,skipjack_tuna_relative_biomass_index_se,swordfish_eastern_pacific_exploitable_total_biomass_se,swordfish_western_central_pacific_exploitable_total_biomass_se,yellowfin_tuna_recruitment_se,yellowfin_tuna_spawning_stock_biomass_index_se
1951-01-01T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57210,104600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14460,22560,NA,NA
1952-01-01T00:00:00Z,NA,NA,NA,NA,8179,108212,NA,NA,NA,NA,55010,87010,NA,NA,NA,NA,NA,NA,NA,51499,NA,NA,NA,NA,15680,20480,NA,NA
1953-01-01T00:00:00Z,NA,NA,NA,NA,26042,101450,NA,NA,NA,NA,51470,79610,NA,NA,NA,NA,NA,NA,3105,46448,NA,NA,NA,NA,16980,19290,NA,NA
1954-01-01T00:00:00Z,NA,NA,NA,NA,32226,91087,NA,NA,NA,NA,45550,81830,NA,NA,NA,NA,NA,NA,4144,41170,NA,NA,NA,NA,17060,19850,NA,NA
1955-01-01T00:00:00Z,NA,NA,NA,NA,14217,77809,NA,NA,NA,NA,38360,78770,NA,NA,NA,NA,NA,NA,2513,36124,NA,NA,NA,NA,14450,19210,NA,NA
1956-01-01T00:00:00Z,NA,NA,NA,NA,34011,71864,NA,NA,NA,NA,37030,74860,NA,NA,NA,NA,NA,NA,3487,32832,NA,NA,NA,NA,13820,18180,NA,NA
1957-01-01T00:00:00Z,NA,NA,NA,NA,12514,78794,NA,NA,NA,NA,41690,75760,NA,NA,NA,NA,NA,NA,1802,33194,NA,NA,NA,NA,14470,18340,NA,NA
1958-01-01T00:00:00Z,NA,NA,NA,NA,3465,106048,NA,NA,NA,NA,40890,81880,NA,NA,NA,NA,NA,NA,974,39701,NA,NA,NA,NA,14290,19450,NA,NA
1959-01-01T00:00:00Z,NA,NA,NA,NA,7935,140043,NA,NA,NA,NA,39680,76980,NA,NA,NA,NA,NA,NA,1702,49517,NA,NA,NA,NA,14150,18600,NA,NA
1960-01-01T00:00:00Z,NA,NA,NA,NA,7357,147553,NA,NA,NA,NA,42920,77210,NA,NA,NA,NA,NA,NA,988,53490,NA,NA,NA,NA,14850,18510,NA,NA
1961-01-01T00:00:00Z,NA,NA,NA,NA,24081,160005,NA,NA,NA,NA,49290,73290,NA,NA,NA,NA,NA,NA,1981,58187,NA,NA,NA,NA,16160,18400,NA,NA
1962-01-01T00:00:00Z,NA,NA,NA,NA,10908,144257,NA,NA,NA,NA,54920,68930,NA,NA,NA,NA,NA,NA,1918,55540,NA,NA,NA,NA,17730,18200,NA,NA
1963-01-01T00:00:00Z,NA,NA,NA,NA,27698,122736,NA,NA,NA,NA,59320,73500,NA,NA,NA,NA,NA,NA,2743,50030,NA,NA,NA,NA,19060,19010,NA,NA
1964-01-01T00:00:00Z,NA,NA,NA,NA,5845,108050,NA,NA,NA,NA,60010,74680,NA,NA,NA,NA,NA,NA,1771,44642,NA,NA,NA,NA,19450,19100,NA,NA
1965-01-01T00:00:00Z,NA,NA,NA,NA,11670,95211,NA,NA,NA,NA,58080,80050,NA,NA,NA,NA,NA,NA,3763,39257,NA,NA,NA,NA,19450,19780,NA,NA
1966-01-01T00:00:00Z,NA,NA,NA,NA,8706,91202,NA,NA,NA,NA,60160,78820,NA,NA,NA,NA,NA,NA,3797,36562,NA,NA,NA,NA,20000,19310,NA,NA
1967-01-01T00:00:00Z,NA,NA,NA,NA,11000,84992,NA,NA,NA,NA,62370,72970,NA,NA,NA,NA,NA,NA,4165,33830,NA,NA,NA,NA,20700,18070,NA,NA
1968-01-01T00:00:00Z,NA,NA,NA,NA,13737,79336,NA,NA,NA,NA,64250,68540,NA,NA,NA,NA,NA,NA,3327,32471,NA,NA,NA,NA,21370,17120,NA,NA
1969-01-01T00:00:00Z,NA,NA,NA,NA,6413,65606,NA,NA,NA,NA,67070,68850,NA,NA,NA,NA,NA,NA,1882,28055,NA,NA,NA,NA,22310,17290,NA,NA
1970-01-01T00:00:00Z,NA,NA,NA,NA,6995,55050,NA,NA,NA,NA,64850,70630,NA,NA,NA,NA,NA,NA,2823,24126,NA,NA,NA,NA,22520,17820,NA,NA
1971-01-01T00:00:00Z,NA,NA,NA,NA,12485,47572,891.36,71806.5,NA,NA,60990,72230,NA,NA,NA,NA,NA,NA,5302,20601,168.41,19780.7,NA,NA,21470,18000,NA,NA
1972-01-01T00:00:00Z,NA,NA,NA,NA,22863,40944,841.41,69410.4,NA,NA,61350,74620,NA,NA,NA,NA,NA,NA,4853,17224,163.75,17793.1,NA,NA,20650,18450,NA,NA
1973-01-01T00:00:00Z,NA,NA,NA,NA,11200,35166,825.18,67252.4,NA,NA,62890,81010,NA,NA,NA,NA,NA,NA,3007,13932,150.42,16063.4,NA,NA,20720,19570,NA,NA
1974-01-01T00:00:00Z,NA,NA,NA,NA,13638,28028,589.3,65101.3,NA,NA,59700,86160,NA,NA,NA,NA,NA,NA,2299,10892,115.84,14553.2,NA,NA,19690,20670,NA,NA
1975-01-01T00:00:00Z,NA,NA,17170,157460,10846,25821,636.27,63538.2,0.71123105,0.89015245,56520,85990,437821,3860.62,NA,NA,3807,71332,1962,8703,118.48,13194.7,0,0,17910,20550,25626,266.73
1976-01-01T00:00:00Z,NA,NA,17331,182960,8952,28298,663.81,61014,0.6707782,0.7101779,55920,85850,286403,4885.67,NA,NA,3488,54244,2739,7469,128.59,11904.1,0,0,17680,20820,21845,261.46
1977-01-01T00:00:00Z,NA,NA,19905,201100,25189,33742,1176.94,57275,0.47605246,0.4711875,54950,81040,564035,4039.79,NA,NA,4454,56233,3803,7610,212.03,10713.3,0,0,17630,20040,26235,213.68
1978-01-01T00:00:00Z,NA,NA,15479,206860,15862,30621,1063.48,53483.6,0.9276613,0.76160413,52230,77990,502900,2982.36,NA,NA,3408,59884,3771,6984,221.6,9673.9,0,0,16910,19310,22197,170.62
1979-01-01T00:00:00Z,NA,NA,22151,199640,11428,25123,1048.29,52426.7,0.6499882,0.5342769,49500,79280,399155,2492.62,NA,NA,4564,59663,2285,6404,206.08,8804.21,0,0,16150,19820,22609,128.5
