time,albacore_tuna_recruitment,albacore_tuna_recruitment_SEup,albacore_tuna_recruitment_SElo,albacore_tuna_recruitment_SEtype,albacore_tuna_spawning_stock_biomass,albacore_tuna_spawning_stock_biomass_SEup,albacore_tuna_spawning_stock_biomass_SElo,albacore_tuna_spawning_stock_biomass_SEtype,bigeye_tuna_recruitment_optimistic,bigeye_tuna_recruitment_optimistic_SEup,bigeye_tuna_recruitment_optimistic_SElo,bigeye_tuna_recruitment_optimistic_SEtype,bigeye_tuna_recruitment_pessimistic,bigeye_tuna_recruitment_pessimistic_SEup,bigeye_tuna_recruitment_pessimistic_SElo,bigeye_tuna_recruitment_pessimistic_SEtype,bigeye_tuna_spawning_stock_biomass_optimistic,bigeye_tuna_spawning_stock_biomass_optimistic_SEup,bigeye_tuna_spawning_stock_biomass_optimistic_SElo,bigeye_tuna_spawning_stock_biomass_optimistic_SEtype,bigeye_tuna_spawning_stock_biomass_pessimistic,bigeye_tuna_spawning_stock_biomass_pessimistic_SEup,bigeye_tuna_spawning_stock_biomass_pessimistic_SElo,bigeye_tuna_spawning_stock_biomass_pessimistic_SEtype,bluefin_tuna_recruitment,bluefin_tuna_recruitment_SEup,bluefin_tuna_recruitment_SElo,bluefin_tuna_recruitment_SEtype,bluefin_tuna_spawning_stock_biomass,bluefin_tuna_spawning_stock_biomass_SEup,bluefin_tuna_spawning_stock_biomass_SElo,bluefin_tuna_spawning_stock_biomass_SEtype,blue_marlin_recruitment,blue_marlin_recruitment_SEup,blue_marlin_recruitment_SElo,blue_marlin_recruitment_SEtype,blue_marlin_spawning_stock_biomass,blue_marlin_spawning_stock_biomass_SEup,blue_marlin_spawning_stock_biomass_SElo,blue_marlin_spawning_stock_biomass_SEtype,skipjack_tuna_biomass,skipjack_tuna_biomass_SEup,skipjack_tuna_biomass_SElo,skipjack_tuna_biomass_SEtype,skipjack_tuna_recruitment,skipjack_tuna_recruitment_SEup,skipjack_tuna_recruitment_SElo,skipjack_tuna_recruitment_SEtype,swordfish_eastern_pacific_exploitable_total_biomass,swordfish_eastern_pacific_exploitable_total_biomass_SEup,swordfish_eastern_pacific_exploitable_total_biomass_SElo,swordfish_eastern_pacific_exploitable_total_biomass_SEtype,swordfish_western_central_pacific_exploitable_recruitment,swordfish_western_central_pacific_exploitable_recruitment_SEup,swordfish_western_central_pacific_exploitable_recruitment_SElo,swordfish_western_central_pacific_exploitable_recruitment_SEtype,swordfish_western_central_pacific_spawning_stock_biomass,swordfish_western_central_pacific_spawning_stock_biomass_SEup,swordfish_western_central_pacific_spawning_stock_biomass_SElo,swordfish_western_central_pacific_spawning_stock_biomass_SEtype,yellowfin_tuna_recruitment,yellowfin_tuna_recruitment_SEup,yellowfin_tuna_recruitment_SElo,yellowfin_tuna_recruitment_SEtype,yellowfin_tuna_spawning_stock_biomass_index,yellowfin_tuna_spawning_stock_biomass_index_SEup,yellowfin_tuna_spawning_stock_biomass_index_SElo,yellowfin_tuna_spawning_stock_biomass_index_SEtype
1951-01-01T00:00:00Z,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NA,NaN,NaN,NaN,NA,57210.0,71670.0,42750.0,SE,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
1952-01-01T00:00:00Z,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,4857.0,NaN,NaN,SD,103502.0,151642.5,55361.5,SD,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NA,NaN,NaN,NaN,NA,55010.0,70690.0,39330.0,SE,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
1953-01-01T00:00:00Z,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,20954.0,24790.35,17117.65,SD,97940.6,141954.1,53927.1,SD,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NA,NaN,NaN,NaN,NA,51470.0,68450.0,34490.0,SE,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
1954-01-01T00:00:00Z,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,34812.8,39464.52,30161.08,SD,87974.0,127374.6,48573.4,SD,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NA,NaN,NaN,NaN,NA,45550.0,62610.0,28490.0,SE,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
1955-01-01T00:00:00Z,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,13442.2,16048.96,10835.44,SD,75359.6,109975.1,40744.1,SD,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NA,NaN,NaN,NaN,NA,38360.0,52810.0,23910.0,SE,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
1956-01-01T00:00:00Z,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,33581.7,36968.67,30194.73,SD,67700.3,98624.3,36776.3,SD,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NA,NaN,NaN,NaN,NA,37030.0,50850.0,23210.0,SE,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
1957-01-01T00:00:00Z,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,11689.9,13591.47,9788.33,SD,76817.0,108705.7,44928.3,SD,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NA,NaN,NaN,NaN,NA,41690.0,56160.0,27220.0,SE,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
1958-01-01T00:00:00Z,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,3194.88,4149.436,2240.324,SD,100683.0,138177.1,63188.9,SD,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NA,NaN,NaN,NaN,NA,40890.0,55180.0,26600.0,SE,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
1959-01-01T00:00:00Z,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,7757.75,9477.18,6038.32,SD,136430.0,184363.4,88496.6,SD,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NA,NaN,NaN,NaN,NA,39680.0,53830.0,25530.0,SE,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
1960-01-01T00:00:00Z,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,7730.86,9354.02,6107.7,SD,144411.0,196423.6,92398.4,SD,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NA,NaN,NaN,NaN,NA,42920.0,57770.0,28070.0,SE,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
