time,beuti,latitude
1988-01-01T00:00:00Z,-0.442,45
1988-01-01T00:00:00Z,2.16,39
1988-01-01T00:00:00Z,0.614,33
1988-02-01T00:00:00Z,3.258,45
1988-02-01T00:00:00Z,9.58,39
1988-02-01T00:00:00Z,0.596,33
1988-03-01T00:00:00Z,0.762,45
1988-03-01T00:00:00Z,25.179,39
1988-03-01T00:00:00Z,0.579,33
1988-04-01T00:00:00Z,0.902,45
1988-04-01T00:00:00Z,10.962,39
1988-04-01T00:00:00Z,0.17,33
1988-05-01T00:00:00Z,0.068,45
1988-05-01T00:00:00Z,19.798,39
1988-05-01T00:00:00Z,0.735,33
1988-06-01T00:00:00Z,0.297,45
1988-06-01T00:00:00Z,21.401,39
1988-06-01T00:00:00Z,0.288,33
1988-07-01T00:00:00Z,1.198,45
1988-07-01T00:00:00Z,19.794,39
1988-07-01T00:00:00Z,0.03,33
1988-08-01T00:00:00Z,1.712,45
1988-08-01T00:00:00Z,9.025,39
1988-08-01T00:00:00Z,0.008,33
1988-09-01T00:00:00Z,1.252,45
1988-09-01T00:00:00Z,12.575,39
1988-09-01T00:00:00Z,0.003,33
1988-10-01T00:00:00Z,0.462,45
1988-10-01T00:00:00Z,4.547,39
1988-10-01T00:00:00Z,0.01,33
1988-11-01T00:00:00Z,-0.401,45
1988-11-01T00:00:00Z,3.881,39
1988-11-01T00:00:00Z,0.207,33
1988-12-01T00:00:00Z,1.051,45
1988-12-01T00:00:00Z,12.411,39
1988-12-01T00:00:00Z,0.912,33
1989-01-01T00:00:00Z,0.949,45
1989-01-01T00:00:00Z,13.414,39
1989-01-01T00:00:00Z,1.434,33
1989-02-01T00:00:00Z,-1.359,45
1989-02-01T00:00:00Z,19.26,39
1989-02-01T00:00:00Z,1.679,33
1989-03-01T00:00:00Z,-10.264,45
1989-03-01T00:00:00Z,-0.148,39
1989-03-01T00:00:00Z,2.018,33
1989-04-01T00:00:00Z,2.079,45
1989-04-01T00:00:00Z,9.998,39
1989-04-01T00:00:00Z,0.286,33
1989-05-01T00:00:00Z,1.16,45
1989-05-01T00:00:00Z,25.379,39
1989-05-01T00:00:00Z,0.328,33
1989-06-01T00:00:00Z,0.739,45
1989-06-01T00:00:00Z,18.102,39
1989-06-01T00:00:00Z,0.163,33
1989-07-01T00:00:00Z,0.125,45
