time,biomass_anomaly
1996-05-01T00:00:00Z,0.375
1996-06-01T00:00:00Z,0.086
1996-07-01T00:00:00Z,-0.084
1996-08-01T00:00:00Z,-0.028
1996-09-01T00:00:00Z,0.042
1996-10-01T00:00:00Z,-0.041
1996-11-01T00:00:00Z,-0.074
1996-12-01T00:00:00Z,0.024
1997-02-01T00:00:00Z,0.046
1997-03-01T00:00:00Z,-0.041
1997-04-01T00:00:00Z,0.145
1997-05-01T00:00:00Z,-0.104
1997-06-01T00:00:00Z,-0.093
1997-07-01T00:00:00Z,0.089
1997-08-01T00:00:00Z,0.198
1997-09-01T00:00:00Z,0.423
1997-10-01T00:00:00Z,0.358
1997-11-01T00:00:00Z,0.345
1997-12-01T00:00:00Z,0.072
1998-01-01T00:00:00Z,0.14
1998-03-01T00:00:00Z,0.284
1998-04-01T00:00:00Z,0.282
1998-05-01T00:00:00Z,0.439
1998-06-01T00:00:00Z,0.596
1998-07-01T00:00:00Z,0.714
1998-08-01T00:00:00Z,0.701
1998-09-01T00:00:00Z,0.554
1998-10-01T00:00:00Z,0.202
1998-11-01T00:00:00Z,0.26
1998-12-01T00:00:00Z,-0.103
1999-02-01T00:00:00Z,-0.023
1999-03-01T00:00:00Z,-0.023
1999-04-01T00:00:00Z,-0.021
1999-05-01T00:00:00Z,-0.176
1999-06-01T00:00:00Z,-0.229
1999-07-01T00:00:00Z,-0.175
1999-08-01T00:00:00Z,-0.239
1999-09-01T00:00:00Z,-0.331
1999-10-01T00:00:00Z,-0.219
1999-11-01T00:00:00Z,-0.548
1999-12-01T00:00:00Z,-0.154
2000-01-01T00:00:00Z,-0.371
2000-02-01T00:00:00Z,-0.249
2000-03-01T00:00:00Z,-0.331
2000-04-01T00:00:00Z,-0.347
2000-05-01T00:00:00Z,-0.322
2000-06-01T00:00:00Z,-0.219
2000-07-01T00:00:00Z,-0.209
2000-08-01T00:00:00Z,-0.133
2000-09-01T00:00:00Z,-0.147
2000-10-01T00:00:00Z,-0.3
2000-11-01T00:00:00Z,-0.231
2000-12-01T00:00:00Z,0.022
2001-01-01T00:00:00Z,-0.045
2001-02-01T00:00:00Z,-0.136
2001-03-01T00:00:00Z,-0.084
2001-04-01T00:00:00Z,-0.283
2001-05-01T00:00:00Z,-0.312
2001-06-01T00:00:00Z,-0.208
2001-07-01T00:00:00Z,-0.177
2001-08-01T00:00:00Z,-0.131
2001-09-01T00:00:00Z,-0.241
2001-10-01T00:00:00Z,-0.245
2001-11-01T00:00:00Z,-0.086
2002-01-01T00:00:00Z,0.132
2002-02-01T00:00:00Z,0.075
2002-03-01T00:00:00Z,-0.017
2002-04-01T00:00:00Z,-0.083
2002-05-01T00:00:00Z,-0.309
2002-06-01T00:00:00Z,-0.211
2002-07-01T00:00:00Z,-0.183
2002-08-01T00:00:00Z,-0.194
2002-09-01T00:00:00Z,-0.251
2002-10-01T00:00:00Z,-0.306
2002-11-01T00:00:00Z,0.072
2002-12-01T00:00:00Z,0.154
2003-01-01T00:00:00Z,0.066
2003-02-01T00:00:00Z,0.08
2003-03-01T00:00:00Z,0.64
2003-04-01T00:00:00Z,0.431
2003-05-01T00:00:00Z,0.358
2003-06-01T00:00:00Z,0.059
2003-07-01T00:00:00Z,0.15
2003-08-01T00:00:00Z,-0.043
2003-09-01T00:00:00Z,-0.071
2003-10-01T00:00:00Z,0.15
2003-11-01T00:00:00Z,-0.153
2004-01-01T00:00:00Z,0.175
2004-02-01T00:00:00Z,0.217
2004-03-01T00:00:00Z,0.343
2004-04-01T00:00:00Z,0.394
2004-05-01T00:00:00Z,0.221
2004-06-01T00:00:00Z,0.264
2004-07-01T00:00:00Z,0.11
2004-08-01T00:00:00Z,0.254
2004-09-01T00:00:00Z,0.176
