time,cuti,latitude
1988-01-01T00:00:00Z,-0.062,45
1988-01-01T00:00:00Z,0.201,39
1988-01-01T00:00:00Z,0.182,33
1988-02-01T00:00:00Z,0.23,45
1988-02-01T00:00:00Z,0.751,39
1988-02-01T00:00:00Z,0.16,33
1988-03-01T00:00:00Z,0.068,45
1988-03-01T00:00:00Z,1.473,39
1988-03-01T00:00:00Z,0.328,33
1988-04-01T00:00:00Z,0.065,45
1988-04-01T00:00:00Z,0.629,39
1988-04-01T00:00:00Z,0.279,33
1988-05-01T00:00:00Z,-0.004,45
1988-05-01T00:00:00Z,1.371,39
1988-05-01T00:00:00Z,0.627,33
1988-06-01T00:00:00Z,0.379,45
1988-06-01T00:00:00Z,1.663,39
1988-06-01T00:00:00Z,0.414,33
1988-07-01T00:00:00Z,0.726,45
1988-07-01T00:00:00Z,1.351,39
1988-07-01T00:00:00Z,0.192,33
1988-08-01T00:00:00Z,0.633,45
1988-08-01T00:00:00Z,0.976,39
1988-08-01T00:00:00Z,0.275,33
1988-09-01T00:00:00Z,0.451,45
1988-09-01T00:00:00Z,1.058,39
1988-09-01T00:00:00Z,0.161,33
1988-10-01T00:00:00Z,0.271,45
1988-10-01T00:00:00Z,0.525,39
1988-10-01T00:00:00Z,0.247,33
1988-11-01T00:00:00Z,-0.378,45
1988-11-01T00:00:00Z,0.434,39
1988-11-01T00:00:00Z,0.318,33
1988-12-01T00:00:00Z,0.204,45
1988-12-01T00:00:00Z,0.833,39
1988-12-01T00:00:00Z,0.23,33
1989-01-01T00:00:00Z,0.076,45
1989-01-01T00:00:00Z,0.732,39
1989-01-01T00:00:00Z,0.17,33
1989-02-01T00:00:00Z,0.004,45
1989-02-01T00:00:00Z,0.965,39
1989-02-01T00:00:00Z,0.195,33
1989-03-01T00:00:00Z,-0.437,45
1989-03-01T00:00:00Z,0.028,39
1989-03-01T00:00:00Z,0.433,33
1989-04-01T00:00:00Z,0.2,45
1989-04-01T00:00:00Z,0.622,39
1989-04-01T00:00:00Z,0.258,33
1989-05-01T00:00:00Z,0.319,45
1989-05-01T00:00:00Z,1.681,39
1989-05-01T00:00:00Z,0.548,33
1989-06-01T00:00:00Z,0.362,45
1989-06-01T00:00:00Z,1.179,39
1989-06-01T00:00:00Z,0.279,33
1989-07-01T00:00:00Z,0.406,45
1989-07-01T00:00:00Z,2.149,39
1989-07-01T00:00:00Z,0.223,33
1989-08-01T00:00:00Z,0.494,45
1989-08-01T00:00:00Z,1.173,39
1989-08-01T00:00:00Z,0.285,33
1989-09-01T00:00:00Z,0.484,45
1989-09-01T00:00:00Z,0.352,39
1989-09-01T00:00:00Z,0.426,33
1989-10-01T00:00:00Z,-0.06,45
1989-10-01T00:00:00Z,0.578,39
1989-10-01T00:00:00Z,0.317,33
1989-11-01T00:00:00Z,0.08,45
