time,location,dissolved_oxygen
1950-01-01T00:00:00Z,CalCOFI 80.80,NaN
1950-02-01T00:00:00Z,CalCOFI 80.80,3.3
1950-03-01T00:00:00Z,CalCOFI 80.80,2.31
1950-04-01T00:00:00Z,CalCOFI 80.80,2.79
1950-05-01T00:00:00Z,CalCOFI 80.80,2.79
1950-06-01T00:00:00Z,CalCOFI 80.80,3.8
1950-07-01T00:00:00Z,CalCOFI 80.80,3.97
1950-08-01T00:00:00Z,CalCOFI 80.80,3.6
1950-09-01T00:00:00Z,CalCOFI 80.80,NaN
1950-10-01T00:00:00Z,CalCOFI 80.80,NaN
1950-11-01T00:00:00Z,CalCOFI 80.80,NaN
1950-12-01T00:00:00Z,CalCOFI 80.80,NaN
1951-01-01T00:00:00Z,CalCOFI 80.80,4.59
1951-02-01T00:00:00Z,CalCOFI 80.80,3.63
1951-03-01T00:00:00Z,CalCOFI 80.80,3.85
1951-04-01T00:00:00Z,CalCOFI 80.80,4.34
1951-05-01T00:00:00Z,CalCOFI 80.80,NaN
1951-06-01T00:00:00Z,CalCOFI 80.80,NaN
1951-07-01T00:00:00Z,CalCOFI 80.80,NaN
1951-08-01T00:00:00Z,CalCOFI 80.80,3.49
1951-09-01T00:00:00Z,CalCOFI 80.80,3.61
1951-10-01T00:00:00Z,CalCOFI 80.80,NaN
1951-11-01T00:00:00Z,CalCOFI 80.80,3.11
1951-12-01T00:00:00Z,CalCOFI 80.80,NaN
1952-01-01T00:00:00Z,CalCOFI 80.80,NaN
1952-02-01T00:00:00Z,CalCOFI 80.80,3.62
1952-03-01T00:00:00Z,CalCOFI 80.80,2.87
1952-04-01T00:00:00Z,CalCOFI 80.80,2.85
1952-05-01T00:00:00Z,CalCOFI 80.80,2.68
1952-06-01T00:00:00Z,CalCOFI 80.80,2.7
1952-07-01T00:00:00Z,CalCOFI 80.80,3.2
1952-08-01T00:00:00Z,CalCOFI 80.80,3.55
1952-09-01T00:00:00Z,CalCOFI 80.80,4.35
1952-10-01T00:00:00Z,CalCOFI 80.80,4.36
1952-11-01T00:00:00Z,CalCOFI 80.80,3.73
1952-12-01T00:00:00Z,CalCOFI 80.80,NaN
1953-01-01T00:00:00Z,CalCOFI 80.80,3.61
1953-02-01T00:00:00Z,CalCOFI 80.80,3.09
1953-03-01T00:00:00Z,CalCOFI 80.80,3.94
1953-04-01T00:00:00Z,CalCOFI 80.80,3.2
1953-05-01T00:00:00Z,CalCOFI 80.80,NaN
