time,blob_id,max_area,duration,max_intensity,mean_intensity,min_dist_to_coast,max_index
1982-04-12T00:00:00Z,1982.01,454460.0,2,1.85468,1.83034,1184.84,0
1983-03-18T00:00:00Z,1983.01,769268.0,2,2.19884,2.08726,5.95226,0
1983-07-21T00:00:00Z,1983.02,760418.0,13,1.87778,1.75545,1393.31,0.0459028
1983-08-29T00:00:00Z,1983.03,697691.0,3,2.28067,2.09518,1762.7,0
1983-09-12T00:00:00Z,1983.04,432950.0,1,2.05564,2.05564,1014.65,0
1983-09-27T00:00:00Z,1983.05,585402.0,12,2.0219,1.79389,617.487,0.052384
1983-09-29T00:00:00Z,1983.06,451423.0,1,1.68263,1.68263,2137.51,0
1983-10-28T00:00:00Z,1983.07,1536120.0,31,1.92841,1.76,495.297,0.161844
1984-01-28T00:00:00Z,1984.01,831695.0,12,2.0941,1.86668,1243.72,0.062328
1984-03-03T00:00:00Z,1984.02,636363.0,2,1.61236,1.60256,1170.26,0
1984-03-08T00:00:00Z,1984.03,1394900.0,15,2.15298,1.89258,1458.53,0.0839367
1984-05-01T00:00:00Z,1984.04,1890510.0,13,1.91068,1.79254,1385.36,0.100798
1984-05-16T00:00:00Z,1984.05,2320020.0,16,2.30975,1.97132,1340.17,0.142809
1984-06-01T00:00:00Z,1984.06,2476220.0,43,1.99833,1.72091,1556.61,0.115443
1984-06-07T00:00:00Z,1984.07,554488.0,3,1.85189,1.76871,1956.31,0
1984-06-19T00:00:00Z,1984.08,455886.0,2,1.71308,1.66993,1427.04,0
1984-07-06T00:00:00Z,1984.09,499329.0,2,1.88611,1.87941,1918.05,0
1984-07-16T00:00:00Z,1984.1,1782220.0,28,1.7149,1.58024,1804.91,0.0487508
1984-08-06T00:00:00Z,1984.11,580572.0,8,2.03238,1.91418,1953.19,0.0198726
1984-08-24T00:00:00Z,1984.12,645253.0,3,2.10109,1.92331,1500.28,0
1984-09-15T00:00:00Z,1984.13,945165.0,4,1.93752,1.7488,1358.62,0
1984-09-30T00:00:00Z,1984.14,840839.0,11,1.96316,1.78795,2005.39,0.0243345
1984-10-19T00:00:00Z,1984.15,687105.0,8,2.09706,1.91679,1155.88,0.0486787
1984-10-22T00:00:00Z,1984.16,440577.0,1,1.8514,1.8514,2607.06,0
1984-10-29T00:00:00Z,1984.17,1740980.0,18,2.08805,1.92973,2097.49,0.101021
1984-11-03T00:00:00Z,1984.18,1166910.0,5,2.0338,1.87132,1145.53,0.0748272
1985-04-25T00:00:00Z,1985.01,458571.0,2,1.81299,1.79253,2117.22,0
1985-07-09T00:00:00Z,1985.02,588965.0,3,1.72751,1.64653,1134.91,0
1985-09-06T00:00:00Z,1985.03,1666990.0,103,2.05394,1.73403,1737.91,0.0685132
1986-03-06T00:00:00Z,1986.01,557573.0,3,1.89207,1.82589,1299.69,0
1986-05-29T00:00:00Z,1986.02,1009330.0,10,1.82935,1.71145,897.697,0.0689313
1986-06-15T00:00:00Z,1986.03,1033450.0,5,1.9285,1.75902,834.39,0
1986-06-26T00:00:00Z,1986.04,556899.0,3,1.82777,1.74658,1564.46,0
1986-08-07T00:00:00Z,1986.05,551342.0,3,1.79508,1.73714,847.672,0
1986-08-16T00:00:00Z,1986.06,2973530.0,104,2.01155,1.75144,905.923,0.218737
1986-12-07T00:00:00Z,1986.07,733560.0,21,1.8136,1.71665,1396.71,0.037069
1987-01-07T00:00:00Z,1987.01,505318.0,3,1.7429,1.72856,1380.25,0
1987-01-16T00:00:00Z,1987.02,484469.0,2,1.70454,1.68763,1231.71,0
1988-06-18T00:00:00Z,1988.01,1039950.0,7,1.98751,1.80676,1656.44,0.0480614
1988-07-25T00:00:00Z,1988.02,1122430.0,7,1.79331,1.70109,2438.77,0.0195564
1988-07-26T00:00:00Z,1988.03,464444.0,1,1.63449,1.63449,1142.6,0
1988-09-28T00:00:00Z,1988.04,552462.0,4,1.82473,1.76529,2528.79,0
1988-10-28T00:00:00Z,1988.05,445183.0,1,1.80196,1.80196,2388.21,0
1988-11-27T00:00:00Z,1988.06,642777.0,4,1.84468,1.79304,2122.54,0
1988-12-21T00:00:00Z,1988.07,752069.0,6,1.75101,1.70801,1707.01,0.0357157
1989-02-16T00:00:00Z,1989.01,680591.0,4,1.87236,1.74328,2295.71,0
1989-03-27T00:00:00Z,1989.02,2257590.0,43,1.94169,1.71461,1204.8,0.102663
1989-06-15T00:00:00Z,1989.03,450991.0,2,1.64789,1.64688,1453.26,0
1989-06-30T00:00:00Z,1989.04,478493.0,1,1.68784,1.68784,1094.76,0
