time,sti,latitude
1967-01-01T00:00:00Z,19.0,33
1968-01-01T00:00:00Z,24.0,33
1969-01-01T00:00:00Z,7.0,33
1970-01-01T00:00:00Z,10.0,33
1971-01-01T00:00:00Z,1.0,33
1972-01-01T00:00:00Z,16.0,33
1973-01-01T00:00:00Z,1.0,33
1974-01-01T00:00:00Z,16.0,33
1975-01-01T00:00:00Z,3.0,33
1976-01-01T00:00:00Z,22.0,33
1977-01-01T00:00:00Z,2.0,33
1978-01-01T00:00:00Z,16.0,33
1979-01-01T00:00:00Z,8.0,33
1980-01-01T00:00:00Z,48.0,33
1981-01-01T00:00:00Z,23.0,33
1982-01-01T00:00:00Z,11.0,33
1983-01-01T00:00:00Z,35.0,33
1984-01-01T00:00:00Z,5.0,33
1985-01-01T00:00:00Z,7.0,33
1986-01-01T00:00:00Z,13.0,33
1987-01-01T00:00:00Z,1.0,33
1988-01-01T00:00:00Z,5.0,33
1989-01-01T00:00:00Z,3.0,33
1990-01-01T00:00:00Z,1.0,33
1991-01-01T00:00:00Z,6.0,33
1992-01-01T00:00:00Z,5.0,33
1993-01-01T00:00:00Z,18.0,33
1994-01-01T00:00:00Z,1.0,33
1995-01-01T00:00:00Z,25.0,33
1996-01-01T00:00:00Z,1.0,33
1997-01-01T00:00:00Z,1.0,33
1998-01-01T00:00:00Z,39.0,33
1999-01-01T00:00:00Z,11.0,33
2000-01-01T00:00:00Z,1.0,33
2001-01-01T00:00:00Z,6.0,33
2002-01-01T00:00:00Z,7.0,33
2003-01-01T00:00:00Z,44.0,33
2004-01-01T00:00:00Z,14.0,33
2005-01-01T00:00:00Z,10.0,33
2006-01-01T00:00:00Z,1.0,33
2007-01-01T00:00:00Z,2.0,33
2008-01-01T00:00:00Z,27.0,33
2009-01-01T00:00:00Z,1.0,33
2010-01-01T00:00:00Z,21.0,33
2011-01-01T00:00:00Z,6.0,33
2012-01-01T00:00:00Z,1.0,33
2013-01-01T00:00:00Z,4.0,33
2014-01-01T00:00:00Z,6.0,33
2015-01-01T00:00:00Z,29.0,33
2016-01-01T00:00:00Z,5.0,33
2017-01-01T00:00:00Z,1.0,33
2018-01-01T00:00:00Z,1.0,33
2019-01-01T00:00:00Z,16.0,33
2020-01-01T00:00:00Z,1.0,33
1967-01-01T00:00:00Z,43.0,36
1968-01-01T00:00:00Z,51.0,36
1969-01-01T00:00:00Z,59.0,36
1970-01-01T00:00:00Z,60.0,36
1971-01-01T00:00:00Z,1.0,36
1972-01-01T00:00:00Z,43.0,36
1973-01-01T00:00:00Z,59.0,36
1974-01-01T00:00:00Z,18.0,36
1975-01-01T00:00:00Z,44.0,36
1976-01-01T00:00:00Z,2.0,36
1977-01-01T00:00:00Z,2.0,36
1978-01-01T00:00:00Z,67.0,36
1979-01-01T00:00:00Z,16.0,36
1980-01-01T00:00:00Z,70.0,36
1981-01-01T00:00:00Z,28.0,36
1982-01-01T00:00:00Z,5.0,36
1983-01-01T00:00:00Z,82.0,36
1984-01-01T00:00:00Z,1.0,36
1985-01-01T00:00:00Z,7.0,36
1986-01-01T00:00:00Z,75.0,36
1987-01-01T00:00:00Z,3.0,36
1988-01-01T00:00:00Z,10.0,36
1989-01-01T00:00:00Z,1.0,36
1990-01-01T00:00:00Z,1.0,36
1991-01-01T00:00:00Z,35.0,36
1992-01-01T00:00:00Z,66.0,36
