time,upwelling_index,nobs,stdev
1967-01-01T00:00:00Z,-68.84,124,258.724
1967-02-01T00:00:00Z,44.2844,112,89.951
1967-03-01T00:00:00Z,-12.4303,124,232.955
1967-04-01T00:00:00Z,26.5021,120,39.227
1967-05-01T00:00:00Z,134.257,124,158.497
1967-06-01T00:00:00Z,126.4749,120,111.485
1967-07-01T00:00:00Z,146.5136,124,103.256
1967-08-01T00:00:00Z,107.6051,124,95.421
1967-09-01T00:00:00Z,47.2139,120,52.007
1967-10-01T00:00:00Z,25.4366,124,75.287
1967-11-01T00:00:00Z,-6.9136,120,132.949
1967-12-01T00:00:00Z,-5.335,124,186.324
1968-01-01T00:00:00Z,-85.0752,124,317.902
1968-02-01T00:00:00Z,-89.1373,116,166.199
1968-03-01T00:00:00Z,-21.0614,124,138.977
1968-04-01T00:00:00Z,172.6257,120,185.043
1968-05-01T00:00:00Z,103.7212,124,128.935
1968-06-01T00:00:00Z,162.9103,120,150.596
1968-07-01T00:00:00Z,141.1205,124,115.751
1968-08-01T00:00:00Z,54.686,123,77.028
1968-09-01T00:00:00Z,65.2335,120,75.316
1968-10-01T00:00:00Z,25.4955,123,90.754
1968-11-01T00:00:00Z,-22.5253,120,118.785
1968-12-01T00:00:00Z,-142.0652,124,329.255
1969-01-01T00:00:00Z,-20.2183,123,120.644
1969-02-01T00:00:00Z,-109.3653,112,247.928
1969-03-01T00:00:00Z,33.6582,124,103.586
1969-04-01T00:00:00Z,45.1824,120,133.026
1969-05-01T00:00:00Z,131.1985,123,178.21
1969-06-01T00:00:00Z,97.9639,120,98.986
1969-07-01T00:00:00Z,215.3717,124,129.303
1969-08-01T00:00:00Z,251.8397,123,165.718
1969-09-01T00:00:00Z,101.802,120,127.646
1969-10-01T00:00:00Z,25.803,123,104.383
1969-11-01T00:00:00Z,3.8031,120,59.25
1969-12-01T00:00:00Z,-117.6068,124,262.079
1970-01-01T00:00:00Z,-160.3199,124,227.111
1970-02-01T00:00:00Z,-63.0902,112,111.046
1970-03-01T00:00:00Z,90.3448,124,162.849
1970-04-01T00:00:00Z,145.7541,120,146.852
1970-05-01T00:00:00Z,137.7623,124,116.116
1970-06-01T00:00:00Z,120.4419,120,143.488
1970-07-01T00:00:00Z,132.5883,124,110.306
1970-08-01T00:00:00Z,131.7207,123,94.28
1970-09-01T00:00:00Z,102.5228,120,91.799
1970-10-01T00:00:00Z,21.6436,124,81.815
1970-11-01T00:00:00Z,-38.8052,120,92.025
1970-12-01T00:00:00Z,-35.9905,123,99.157
1971-01-01T00:00:00Z,14.1866,124,212.501
1971-02-01T00:00:00Z,50.3412,112,75.596
1971-03-01T00:00:00Z,-12.9031,124,135.699
1971-04-01T00:00:00Z,79.0014,120,125.352
1971-05-01T00:00:00Z,141.6763,124,160.45
1971-06-01T00:00:00Z,123.1918,120,118.724
1971-07-01T00:00:00Z,111.9237,124,104.334
1971-08-01T00:00:00Z,55.0463,124,48.535
1971-09-01T00:00:00Z,58.0964,120,71.357
1971-10-01T00:00:00Z,66.0043,124,97.386
1971-11-01T00:00:00Z,-5.3305,120,147.185
1971-12-01T00:00:00Z,-29.0347,124,209.062
1972-01-01T00:00:00Z,7.8602,124,67.47
1972-02-01T00:00:00Z,-46.5972,116,109.094
1972-03-01T00:00:00Z,20.818,124,80.793
1972-04-01T00:00:00Z,117.6202,120,255.713
1972-05-01T00:00:00Z,138.093,124,118.455
