time,population,abundance_anomaly
1983-01-01T00:00:00Z,Central Valley Fall,-0.76315516
1984-01-01T00:00:00Z,Central Valley Fall,-0.4660447
1985-01-01T00:00:00Z,Central Valley Fall,0.02345698
1986-01-01T00:00:00Z,Central Valley Fall,0.02771881
1987-01-01T00:00:00Z,Central Valley Fall,-0.24625601
1988-01-01T00:00:00Z,Central Valley Fall,-0.04899414
1989-01-01T00:00:00Z,Central Valley Fall,-0.50501
1990-01-01T00:00:00Z,Central Valley Fall,-0.79420567
1991-01-01T00:00:00Z,Central Valley Fall,-0.71262205
1992-01-01T00:00:00Z,Central Valley Fall,-0.9445874
1993-01-01T00:00:00Z,Central Valley Fall,-0.5975526
1994-01-01T00:00:00Z,Central Valley Fall,-0.42586172
1995-01-01T00:00:00Z,Central Valley Fall,0.3637946
1996-01-01T00:00:00Z,Central Valley Fall,0.4027599
1997-01-01T00:00:00Z,Central Valley Fall,0.6651669
1998-01-01T00:00:00Z,Central Valley Fall,0.06303112
1999-01-01T00:00:00Z,Central Valley Fall,1.000025
2000-01-01T00:00:00Z,Central Valley Fall,1.1077884
2001-01-01T00:00:00Z,Central Valley Fall,2.199426
2002-01-01T00:00:00Z,Central Valley Fall,3.2533157
2003-01-01T00:00:00Z,Central Valley Fall,1.7501072
2004-01-01T00:00:00Z,Central Valley Fall,0.31265262
2005-01-01T00:00:00Z,Central Valley Fall,0.9768894
2006-01-01T00:00:00Z,Central Valley Fall,0.2402015
2007-01-01T00:00:00Z,Central Valley Fall,-0.87761575
2008-01-01T00:00:00Z,Central Valley Fall,-1.0359123
2009-01-01T00:00:00Z,Central Valley Fall,-1.1844676
2010-01-01T00:00:00Z,Central Valley Fall,-0.6791362
2011-01-01T00:00:00Z,Central Valley Fall,-0.7077514
2012-01-01T00:00:00Z,Central Valley Fall,0.3035201
2013-01-01T00:00:00Z,Central Valley Fall,1.0389903
2014-01-01T00:00:00Z,Central Valley Fall,-0.14031908
2015-01-01T00:00:00Z,Central Valley Fall,-0.7467167
2016-01-01T00:00:00Z,Central Valley Fall,-0.8879659
2017-01-01T00:00:00Z,Central Valley Fall,-1.1741174
2018-01-01T00:00:00Z,Central Valley Fall,-0.7905527
1995-01-01T00:00:00Z,Central Valley Spr,0.60307944
1996-01-01T00:00:00Z,Central Valley Spr,-0.3289241
1997-01-01T00:00:00Z,Central Valley Spr,-0.884433
1998-01-01T00:00:00Z,Central Valley Spr,3.0022979
1999-01-01T00:00:00Z,Central Valley Spr,-0.15601432
2000-01-01T00:00:00Z,Central Valley Spr,-0.25322837
2001-01-01T00:00:00Z,Central Valley Spr,0.91700304
2002-01-01T00:00:00Z,Central Valley Spr,0.97087514
2003-01-01T00:00:00Z,Central Valley Spr,1.0424503
2004-01-01T00:00:00Z,Central Valley Spr,0.41994464
2005-01-01T00:00:00Z,Central Valley Spr,0.7990337
2006-01-01T00:00:00Z,Central Valley Spr,0.013385374
2007-01-01T00:00:00Z,Central Valley Spr,-0.17905878
2008-01-01T00:00:00Z,Central Valley Spr,-0.6855791
2009-01-01T00:00:00Z,Central Valley Spr,-1.077335
2010-01-01T00:00:00Z,Central Valley Spr,-1.0787085
2011-01-01T00:00:00Z,Central Valley Spr,-0.8893166
2012-01-01T00:00:00Z,Central Valley Spr,0.58964956
2013-01-01T00:00:00Z,Central Valley Spr,1.1482106
2014-01-01T00:00:00Z,Central Valley Spr,-0.37028202
2015-01-01T00:00:00Z,Central Valley Spr,-0.7191538
2016-01-01T00:00:00Z,Central Valley Spr,-0.6149196
2017-01-01T00:00:00Z,Central Valley Spr,-1.3196834
2018-01-01T00:00:00Z,Central Valley Spr,-0.94929326
1971-01-01T00:00:00Z,Central Valley Late,0.6646486
1972-01-01T00:00:00Z,Central Valley Late,2.12612
