time,population,condition
1983-01-01T00:00:00Z,CVFall-PctNatural,0.8294
1984-01-01T00:00:00Z,CVFall-PctNatural,0.75157
1985-01-01T00:00:00Z,CVFall-PctNatural,0.8751
1986-01-01T00:00:00Z,CVFall-PctNatural,0.90087
1987-01-01T00:00:00Z,CVFall-PctNatural,0.89595
1988-01-01T00:00:00Z,CVFall-PctNatural,0.87033
1989-01-01T00:00:00Z,CVFall-PctNatural,0.83028
1990-01-01T00:00:00Z,CVFall-PctNatural,0.79163
1991-01-01T00:00:00Z,CVFall-PctNatural,0.76793
1992-01-01T00:00:00Z,CVFall-PctNatural,0.72512
1993-01-01T00:00:00Z,CVFall-PctNatural,0.80495
1994-01-01T00:00:00Z,CVFall-PctNatural,0.80314
1995-01-01T00:00:00Z,CVFall-PctNatural,0.85845
1996-01-01T00:00:00Z,CVFall-PctNatural,0.88532
1997-01-01T00:00:00Z,CVFall-PctNatural,0.8109
1998-01-01T00:00:00Z,CVFall-PctNatural,0.68361
1999-01-01T00:00:00Z,CVFall-PctNatural,0.88469
2000-01-01T00:00:00Z,CVFall-PctNatural,0.88431
2001-01-01T00:00:00Z,CVFall-PctNatural,0.90047
2002-01-01T00:00:00Z,CVFall-PctNatural,0.88674
2003-01-01T00:00:00Z,CVFall-PctNatural,0.79044
2004-01-01T00:00:00Z,CVFall-PctNatural,0.70931
2005-01-01T00:00:00Z,CVFall-PctNatural,0.53207
2006-01-01T00:00:00Z,CVFall-PctNatural,0.70945
2007-01-01T00:00:00Z,CVFall-PctNatural,0.76586
2008-01-01T00:00:00Z,CVFall-PctNatural,0.71713
2009-01-01T00:00:00Z,CVFall-PctNatural,0.57317
2010-01-01T00:00:00Z,CVFall-PctNatural,0.68145
2011-01-01T00:00:00Z,CVFall-PctNatural,0.62696
2012-01-01T00:00:00Z,CVFall-PctNatural,0.571
2013-01-01T00:00:00Z,CVFall-PctNatural,0.7422
2014-01-01T00:00:00Z,CVFall-PctNatural,0.78965
2015-01-01T00:00:00Z,CVFall-PctNatural,0.6475
2016-01-01T00:00:00Z,CVFall-PctNatural,0.6132
1987-01-01T00:00:00Z,CVFall-PopGR,0.35848
1988-01-01T00:00:00Z,CVFall-PopGR,0.279
1989-01-01T00:00:00Z,CVFall-PopGR,-0.49026
1990-01-01T00:00:00Z,CVFall-PopGR,-0.7878
1991-01-01T00:00:00Z,CVFall-PopGR,-0.63541
1992-01-01T00:00:00Z,CVFall-PopGR,-1.12803
1993-01-01T00:00:00Z,CVFall-PopGR,-0.27738
1994-01-01T00:00:00Z,CVFall-PopGR,0.4097
1995-01-01T00:00:00Z,CVFall-PopGR,1.3806
1996-01-01T00:00:00Z,CVFall-PopGR,1.24444
1997-01-01T00:00:00Z,CVFall-PopGR,0.68457
1998-01-01T00:00:00Z,CVFall-PopGR,0.02077
1999-01-01T00:00:00Z,CVFall-PopGR,0.259
