time,population,abundance_anomaly
1987-01-01T00:00:00Z,SONCC-Abundance,-0.5703826
1988-01-01T00:00:00Z,SONCC-Abundance,0.616165
1989-01-01T00:00:00Z,SONCC-Abundance,-0.65128404
1990-01-01T00:00:00Z,SONCC-Abundance,-0.7445566
1991-01-01T00:00:00Z,SONCC-Abundance,-0.57390505
1992-01-01T00:00:00Z,SONCC-Abundance,-0.6098317
1993-01-01T00:00:00Z,SONCC-Abundance,-0.86391014
1994-01-01T00:00:00Z,SONCC-Abundance,-0.65474004
1995-01-01T00:00:00Z,SONCC-Abundance,-0.6903531
1996-01-01T00:00:00Z,SONCC-Abundance,-0.25109193
1997-01-01T00:00:00Z,SONCC-Abundance,1.5023457
1998-01-01T00:00:00Z,SONCC-Abundance,-0.5696299
1999-01-01T00:00:00Z,SONCC-Abundance,-0.7417821
2000-01-01T00:00:00Z,SONCC-Abundance,0.4889079
2001-01-01T00:00:00Z,SONCC-Abundance,1.5644163
2002-01-01T00:00:00Z,SONCC-Abundance,0.7583248
2003-01-01T00:00:00Z,SONCC-Abundance,0.24791689
2004-01-01T00:00:00Z,SONCC-Abundance,3.8207724
2005-01-01T00:00:00Z,SONCC-Abundance,0.7414627
2006-01-01T00:00:00Z,SONCC-Abundance,0.2763542
2007-01-01T00:00:00Z,SONCC-Abundance,0.5256327
2008-01-01T00:00:00Z,SONCC-Abundance,-0.5828049
2009-01-01T00:00:00Z,SONCC-Abundance,-0.6551195
2010-01-01T00:00:00Z,SONCC-Abundance,-0.39533034
2011-01-01T00:00:00Z,SONCC-Abundance,-0.2757766
2012-01-01T00:00:00Z,SONCC-Abundance,-0.20113242
2013-01-01T00:00:00Z,SONCC-Abundance,-0.24733506
2014-01-01T00:00:00Z,SONCC-Abundance,-0.482849
2015-01-01T00:00:00Z,SONCC-Abundance,-0.78048325
2016-01-01T00:00:00Z,SONCC-Abundance,NaN
1995-01-01T00:00:00Z,CaCoastal-Abundance,-1.0248924
1996-01-01T00:00:00Z,CaCoastal-Abundance,0.5056136
1997-01-01T00:00:00Z,CaCoastal-Abundance,0.49650347
1998-01-01T00:00:00Z,CaCoastal-Abundance,-0.13209726
1999-01-01T00:00:00Z,CaCoastal-Abundance,0.0409957
2000-01-01T00:00:00Z,CaCoastal-Abundance,0.050105855
2001-01-01T00:00:00Z,CaCoastal-Abundance,0.7971386
2002-01-01T00:00:00Z,CaCoastal-Abundance,-0.3689613
2003-01-01T00:00:00Z,CaCoastal-Abundance,1.6808237
2004-01-01T00:00:00Z,CaCoastal-Abundance,2.7102711
2005-01-01T00:00:00Z,CaCoastal-Abundance,-0.07743632
2006-01-01T00:00:00Z,CaCoastal-Abundance,1.2708666
2007-01-01T00:00:00Z,CaCoastal-Abundance,-0.46006286
2008-01-01T00:00:00Z,CaCoastal-Abundance,-1.5715019
2009-01-01T00:00:00Z,CaCoastal-Abundance,-1.343748
2010-01-01T00:00:00Z,CaCoastal-Abundance,-1.0795534
2011-01-01T00:00:00Z,CaCoastal-Abundance,-0.62404567
2012-01-01T00:00:00Z,CaCoastal-Abundance,0.16853787
2013-01-01T00:00:00Z,CaCoastal-Abundance,-0.09565663
2014-01-01T00:00:00Z,CaCoastal-Abundance,-0.5329441
2015-01-01T00:00:00Z,CaCoastal-Abundance,0.25052926
2016-01-01T00:00:00Z,CaCoastal-Abundance,-0.6604863
