time,population,abundance_anomaly
1997-01-01T00:00:00Z,Lower Columbia R,-0.22225708
1998-01-01T00:00:00Z,Lower Columbia R,-0.7733466
1999-01-01T00:00:00Z,Lower Columbia R,-0.99144083
2000-01-01T00:00:00Z,Lower Columbia R,-0.7882958
2001-01-01T00:00:00Z,Lower Columbia R,0.44924873
2002-01-01T00:00:00Z,Lower Columbia R,2.2753768
2003-01-01T00:00:00Z,Lower Columbia R,3.3219197
2004-01-01T00:00:00Z,Lower Columbia R,1.7812299
2005-01-01T00:00:00Z,Lower Columbia R,0.25021595
2006-01-01T00:00:00Z,Lower Columbia R,0.044797108
2007-01-01T00:00:00Z,Lower Columbia R,-0.8376428
2008-01-01T00:00:00Z,Lower Columbia R,-0.5868441
2009-01-01T00:00:00Z,Lower Columbia R,-0.35950938
2010-01-01T00:00:00Z,Lower Columbia R,-0.8095344
2011-01-01T00:00:00Z,Lower Columbia R,-0.85210824
2012-01-01T00:00:00Z,Lower Columbia R,-0.9260803
2013-01-01T00:00:00Z,Lower Columbia R,-0.19864793
2014-01-01T00:00:00Z,Lower Columbia R,-0.091439225
2015-01-01T00:00:00Z,Lower Columbia R,0.35582814
2016-01-01T00:00:00Z,Lower Columbia R,-0.23619033
2017-01-01T00:00:00Z,Lower Columbia R,-0.58713436
2018-01-01T00:00:00Z,Lower Columbia R,-0.21814482
2019-01-01T00:00:00Z,Lower Columbia R,NaN
1974-01-01T00:00:00Z,Willamette Spr,0.27868062
1975-01-01T00:00:00Z,Willamette Spr,-0.96313024
1976-01-01T00:00:00Z,Willamette Spr,-1.2429531
1977-01-01T00:00:00Z,Willamette Spr,-0.7565079
1978-01-01T00:00:00Z,Willamette Spr,-1.109531
1979-01-01T00:00:00Z,Willamette Spr,-1.228936
1980-01-01T00:00:00Z,Willamette Spr,-0.5888219
1981-01-01T00:00:00Z,Willamette Spr,-0.76948667
1982-01-01T00:00:00Z,Willamette Spr,-0.7315886
1983-01-01T00:00:00Z,Willamette Spr,-0.6443711
1984-01-01T00:00:00Z,Willamette Spr,-0.8473594
1985-01-01T00:00:00Z,Willamette Spr,-1.0986289
1986-01-01T00:00:00Z,Willamette Spr,-0.9543047
1987-01-01T00:00:00Z,Willamette Spr,-0.1605217
1988-01-01T00:00:00Z,Willamette Spr,1.6030366
1989-01-01T00:00:00Z,Willamette Spr,0.055964556
1990-01-01T00:00:00Z,Willamette Spr,1.7795482
1991-01-01T00:00:00Z,Willamette Spr,0.27919978
1992-01-01T00:00:00Z,Willamette Spr,0.044024065
1993-01-01T00:00:00Z,Willamette Spr,0.22884206
1994-01-01T00:00:00Z,Willamette Spr,-0.84476364
1995-01-01T00:00:00Z,Willamette Spr,-0.89979374
1996-01-01T00:00:00Z,Willamette Spr,-0.9646877
1997-01-01T00:00:00Z,Willamette Spr,-0.9672835
1998-01-01T00:00:00Z,Willamette Spr,-0.6957671
1999-01-01T00:00:00Z,Willamette Spr,-0.83957213
2000-01-01T00:00:00Z,Willamette Spr,-0.2877139
2001-01-01T00:00:00Z,Willamette Spr,0.7916025
2002-01-01T00:00:00Z,Willamette Spr,1.0335273
2003-01-01T00:00:00Z,Willamette Spr,2.2114825
2004-01-01T00:00:00Z,Willamette Spr,3.051989
2005-01-01T00:00:00Z,Willamette Spr,0.58705676
2006-01-01T00:00:00Z,Willamette Spr,-0.11743212
2007-01-01T00:00:00Z,Willamette Spr,0.40120044
2008-01-01T00:00:00Z,Willamette Spr,0.090228565
2009-01-01T00:00:00Z,Willamette Spr,-0.5914176
2010-01-01T00:00:00Z,Willamette Spr,-0.22333907
2011-01-01T00:00:00Z,Willamette Spr,0.64727837
2012-01-01T00:00:00Z,Willamette Spr,0.3565534
2013-01-01T00:00:00Z,Willamette Spr,0.33371073
2014-01-01T00:00:00Z,Willamette Spr,-0.53015774
2015-01-01T00:00:00Z,Willamette Spr,0.73397666
2016-01-01T00:00:00Z,Willamette Spr,1.4291208
2017-01-01T00:00:00Z,Willamette Spr,1.4182186
2018-01-01T00:00:00Z,Willamette Spr,0.7028276
2019-01-01T00:00:00Z,Willamette Spr,1.2993329
1975-01-01T00:00:00Z,Snake Fall,-0.4993117
1976-01-01T00:00:00Z,Snake Fall,-0.615203
1977-01-01T00:00:00Z,Snake Fall,-0.58677685
1978-01-01T00:00:00Z,Snake Fall,-0.57803035
1979-01-01T00:00:00Z,Snake Fall,-0.6086431
1980-01-01T00:00:00Z,Snake Fall,-0.6195763
1981-01-01T00:00:00Z,Snake Fall,-0.6436292
1982-01-01T00:00:00Z,Snake Fall,-0.5605373
1983-01-01T00:00:00Z,Snake Fall,-0.62438685
1984-01-01T00:00:00Z,Snake Fall,-0.6471278
1985-01-01T00:00:00Z,Snake Fall,-0.62220025
1986-01-01T00:00:00Z,Snake Fall,-0.61979496
1987-01-01T00:00:00Z,Snake Fall,-0.66265285
1988-01-01T00:00:00Z,Snake Fall,-0.63750666
1989-01-01T00:00:00Z,Snake Fall,-0.653469
1990-01-01T00:00:00Z,Snake Fall,-0.70091885
1991-01-01T00:00:00Z,Snake Fall,-0.64843976
1992-01-01T00:00:00Z,Snake Fall,-0.59792864
1993-01-01T00:00:00Z,Snake Fall,-0.5557267
1994-01-01T00:00:00Z,Snake Fall,-0.6291974
1995-01-01T00:00:00Z,Snake Fall,-0.64144254
1996-01-01T00:00:00Z,Snake Fall,-0.578249
1997-01-01T00:00:00Z,Snake Fall,-0.5437003
1998-01-01T00:00:00Z,Snake Fall,-0.65106374
1999-01-01T00:00:00Z,Snake Fall,-0.5200847
2000-01-01T00:00:00Z,Snake Fall,-0.46694958
2001-01-01T00:00:00Z,Snake Fall,0.41098183
2002-01-01T00:00:00Z,Snake Fall,-0.25528392
2003-01-01T00:00:00Z,Snake Fall,0.037505653
2004-01-01T00:00:00Z,Snake Fall,0.612589
2005-01-01T00:00:00Z,Snake Fall,0.28437603
2006-01-01T00:00:00Z,Snake Fall,0.15317832
2007-01-01T00:00:00Z,Snake Fall,-0.102219924
2008-01-01T00:00:00Z,Snake Fall,-0.06307927
2009-01-01T00:00:00Z,Snake Fall,0.21637188
2010-01-01T00:00:00Z,Snake Fall,0.8885416
2011-01-01T00:00:00Z,Snake Fall,1.0470722
2012-01-01T00:00:00Z,Snake Fall,1.7561958
2013-01-01T00:00:00Z,Snake Fall,3.7482145
2014-01-01T00:00:00Z,Snake Fall,2.1554742
2015-01-01T00:00:00Z,Snake Fall,2.6542442
2016-01-01T00:00:00Z,Snake Fall,1.1979495
2017-01-01T00:00:00Z,Snake Fall,0.6233035
2018-01-01T00:00:00Z,Snake Fall,0.34713227
2019-01-01T00:00:00Z,Snake Fall,NaN
1985-01-01T00:00:00Z,Snake Spr-Sum,0.44749185
1986-01-01T00:00:00Z,Snake Spr-Sum,0.067453675
1987-01-01T00:00:00Z,Snake Spr-Sum,0.23979044
1988-01-01T00:00:00Z,Snake Spr-Sum,0.715366
1989-01-01T00:00:00Z,Snake Spr-Sum,-0.66095287
1990-01-01T00:00:00Z,Snake Spr-Sum,-0.6372005
1991-01-01T00:00:00Z,Snake Spr-Sum,-0.77707565
1992-01-01T00:00:00Z,Snake Spr-Sum,-0.82933086
1993-01-01T00:00:00Z,Snake Spr-Sum,0.037895147
1994-01-01T00:00:00Z,Snake Spr-Sum,-1.3286588
1995-01-01T00:00:00Z,Snake Spr-Sum,-1.4381838
1996-01-01T00:00:00Z,Snake Spr-Sum,-1.0497003
1997-01-01T00:00:00Z,Snake Spr-Sum,-0.79950845
1998-01-01T00:00:00Z,Snake Spr-Sum,-0.75649023
1999-01-01T00:00:00Z,Snake Spr-Sum,-1.1428624
2000-01-01T00:00:00Z,Snake Spr-Sum,-0.48412952
2001-01-01T00:00:00Z,Snake Spr-Sum,1.8889978
2002-01-01T00:00:00Z,Snake Spr-Sum,1.6673089
2003-01-01T00:00:00Z,Snake Spr-Sum,1.8599671
2004-01-01T00:00:00Z,Snake Spr-Sum,0.1175976
2005-01-01T00:00:00Z,Snake Spr-Sum,-0.5651516
2006-01-01T00:00:00Z,Snake Spr-Sum,-0.68391347
2007-01-01T00:00:00Z,Snake Spr-Sum,-0.7066102
2008-01-01T00:00:00Z,Snake Spr-Sum,0.03895081
2009-01-01T00:00:00Z,Snake Spr-Sum,0.21049583
2010-01-01T00:00:00Z,Snake Spr-Sum,1.4540652
2011-01-01T00:00:00Z,Snake Spr-Sum,1.2574482
2012-01-01T00:00:00Z,Snake Spr-Sum,1.0756105
2013-01-01T00:00:00Z,Snake Spr-Sum,-0.17112586
2014-01-01T00:00:00Z,Snake Spr-Sum,2.0420687
2015-01-01T00:00:00Z,Snake Spr-Sum,0.32292378
2016-01-01T00:00:00Z,Snake Spr-Sum,0.49130183
2017-01-01T00:00:00Z,Snake Spr-Sum,-1.0913988
2018-01-01T00:00:00Z,Snake Spr-Sum,-0.8124403
2019-01-01T00:00:00Z,Snake Spr-Sum,NaN
1970-01-01T00:00:00Z,UpperColumbia Spr,1.2519077
1971-01-01T00:00:00Z,UpperColumbia Spr,0.6239674
1972-01-01T00:00:00Z,UpperColumbia Spr,1.129115
1973-01-01T00:00:00Z,UpperColumbia Spr,3.3473716
1974-01-01T00:00:00Z,UpperColumbia Spr,0.5600753
1975-01-01T00:00:00Z,UpperColumbia Spr,2.0350862
1976-01-01T00:00:00Z,UpperColumbia Spr,0.43478668
1977-01-01T00:00:00Z,UpperColumbia Spr,1.7001513
1978-01-01T00:00:00Z,UpperColumbia Spr,2.6355727
1979-01-01T00:00:00Z,UpperColumbia Spr,-0.18916038
1980-01-01T00:00:00Z,UpperColumbia Spr,0.04793951
1981-01-01T00:00:00Z,UpperColumbia Spr,-0.095817894
1982-01-01T00:00:00Z,UpperColumbia Spr,0.13030052
1983-01-01T00:00:00Z,UpperColumbia Spr,0.7876911
1984-01-01T00:00:00Z,UpperColumbia Spr,0.54260474
1985-01-01T00:00:00Z,UpperColumbia Spr,1.3187948
1986-01-01T00:00:00Z,UpperColumbia Spr,0.5505913
1987-01-01T00:00:00Z,UpperColumbia Spr,0.6329523
1988-01-01T00:00:00Z,UpperColumbia Spr,0.49867886
1989-01-01T00:00:00Z,UpperColumbia Spr,0.14876935
1990-01-01T00:00:00Z,UpperColumbia Spr,-0.001477099
1991-01-01T00:00:00Z,UpperColumbia Spr,-0.54755557
1992-01-01T00:00:00Z,UpperColumbia Spr,0.06241508
1993-01-01T00:00:00Z,UpperColumbia Spr,-0.20613174
1994-01-01T00:00:00Z,UpperColumbia Spr,-0.93889517
1995-01-01T00:00:00Z,UpperColumbia Spr,-1.1590236
1996-01-01T00:00:00Z,UpperColumbia Spr,-1.112602
1997-01-01T00:00:00Z,UpperColumbia Spr,-0.9368985
1998-01-01T00:00:00Z,UpperColumbia Spr,-1.1011214
1999-01-01T00:00:00Z,UpperColumbia Spr,-1.1066121
2000-01-01T00:00:00Z,UpperColumbia Spr,-0.8415594
2001-01-01T00:00:00Z,UpperColumbia Spr,0.33146104
2002-01-01T00:00:00Z,UpperColumbia Spr,-0.5176061
2003-01-01T00:00:00Z,UpperColumbia Spr,-0.8630232
2004-01-01T00:00:00Z,UpperColumbia Spr,-0.40978804
2005-01-01T00:00:00Z,UpperColumbia Spr,-0.6803315
2006-01-01T00:00:00Z,UpperColumbia Spr,-0.84355605
2007-01-01T00:00:00Z,UpperColumbia Spr,-0.7886487
2008-01-01T00:00:00Z,UpperColumbia Spr,-0.83307374
2009-01-01T00:00:00Z,UpperColumbia Spr,-0.5720143
2010-01-01T00:00:00Z,UpperColumbia Spr,-0.4751777
2011-01-01T00:00:00Z,UpperColumbia Spr,-0.012458567
2012-01-01T00:00:00Z,UpperColumbia Spr,-0.48266506
2013-01-01T00:00:00Z,UpperColumbia Spr,-0.73374134
2014-01-01T00:00:00Z,UpperColumbia Spr,-0.46519455
2015-01-01T00:00:00Z,UpperColumbia Spr,-0.43175098
2016-01-01T00:00:00Z,UpperColumbia Spr,-0.56302947
2017-01-01T00:00:00Z,UpperColumbia Spr,-0.93789685
2018-01-01T00:00:00Z,UpperColumbia Spr,-0.92342126
2019-01-01T00:00:00Z,UpperColumbia Spr,NaN
