time,population,abundance_anomaly
1970-01-01T00:00:00Z,LowerCR,-0.3720752
1971-01-01T00:00:00Z,LowerCR,0.0859493
1972-01-01T00:00:00Z,LowerCR,-0.9367676
1973-01-01T00:00:00Z,LowerCR,-1.057408
1974-01-01T00:00:00Z,LowerCR,-0.65179753
1975-01-01T00:00:00Z,LowerCR,-0.49898726
1976-01-01T00:00:00Z,LowerCR,-0.44841483
1977-01-01T00:00:00Z,LowerCR,-0.7821848
1978-01-01T00:00:00Z,LowerCR,-0.7588277
1979-01-01T00:00:00Z,LowerCR,-0.56310695
1980-01-01T00:00:00Z,LowerCR,1.1009231
1981-01-01T00:00:00Z,LowerCR,-0.37326866
1982-01-01T00:00:00Z,LowerCR,0.60235786
1983-01-01T00:00:00Z,LowerCR,-0.19675817
1984-01-01T00:00:00Z,LowerCR,-0.49233225
1985-01-01T00:00:00Z,LowerCR,1.0718913
1986-01-01T00:00:00Z,LowerCR,1.8442073
1987-01-01T00:00:00Z,LowerCR,-0.21327549
1988-01-01T00:00:00Z,LowerCR,0.051870078
1989-01-01T00:00:00Z,LowerCR,0.5505541
1990-01-01T00:00:00Z,LowerCR,-0.8108282
1991-01-01T00:00:00Z,LowerCR,0.8853476
1992-01-01T00:00:00Z,LowerCR,0.89245355
1993-01-01T00:00:00Z,LowerCR,-1.171238
1994-01-01T00:00:00Z,LowerCR,0.49959353
1995-01-01T00:00:00Z,LowerCR,0.041157648
1996-01-01T00:00:00Z,LowerCR,-1.2143048
1997-01-01T00:00:00Z,LowerCR,-0.9519598
1998-01-01T00:00:00Z,LowerCR,-0.87859106
1999-01-01T00:00:00Z,LowerCR,0.00369212
2000-01-01T00:00:00Z,LowerCR,0.53739494
2001-01-01T00:00:00Z,LowerCR,1.5693728
2002-01-01T00:00:00Z,LowerCR,1.8430959
2003-01-01T00:00:00Z,LowerCR,0.20527887
2004-01-01T00:00:00Z,LowerCR,0.58480394
2005-01-01T00:00:00Z,LowerCR,0.18756418
2006-01-01T00:00:00Z,LowerCR,0.5087607
2007-01-01T00:00:00Z,LowerCR,-0.6547144
2008-01-01T00:00:00Z,LowerCR,-0.3445032
2009-01-01T00:00:00Z,LowerCR,0.19075187
2010-01-01T00:00:00Z,LowerCR,0.037690066
2011-01-01T00:00:00Z,LowerCR,-0.18517715
2012-01-01T00:00:00Z,LowerCR,-0.80593896
2013-01-01T00:00:00Z,LowerCR,-0.5271002
1990-01-01T00:00:00Z,ORCoast,-0.9141336
1991-01-01T00:00:00Z,ORCoast,-0.6993258
1992-01-01T00:00:00Z,ORCoast,-0.69254774
1993-01-01T00:00:00Z,ORCoast,-0.44143716
1994-01-01T00:00:00Z,ORCoast,-0.67285514
1995-01-01T00:00:00Z,ORCoast,-0.55868846
1996-01-01T00:00:00Z,ORCoast,-0.27218705
1997-01-01T00:00:00Z,ORCoast,-0.91886175
1998-01-01T00:00:00Z,ORCoast,-0.80779755
1999-01-01T00:00:00Z,ORCoast,-0.72629744
2000-01-01T00:00:00Z,ORCoast,-0.43841526
2001-01-01T00:00:00Z,ORCoast,0.4519622
2002-01-01T00:00:00Z,ORCoast,0.95539564
2003-01-01T00:00:00Z,ORCoast,0.791452
2004-01-01T00:00:00Z,ORCoast,0.30391002
2005-01-01T00:00:00Z,ORCoast,0.17276704
2006-01-01T00:00:00Z,ORCoast,0.032928824
2007-01-01T00:00:00Z,ORCoast,-0.58074826
2008-01-01T00:00:00Z,ORCoast,0.25544107
2009-01-01T00:00:00Z,ORCoast,0.9304376
2010-01-01T00:00:00Z,ORCoast,1.2082815
2011-01-01T00:00:00Z,ORCoast,1.4725186
2012-01-01T00:00:00Z,ORCoast,-0.3569879
2013-01-01T00:00:00Z,ORCoast,-0.2049203
2014-01-01T00:00:00Z,ORCoast,1.6553268
