time,station,depth,temperature,salinity,density,oxygen,dissolved_oxygen,aragonite_saturation
1998-08-01T00:00:00Z,NH05,40,8.086,33.734,26.267,2.41,104.87583,0.76358277
1998-09-01T00:00:00Z,NH05,40,8.8,33.695,26.129,3.27,142.31953,0.93636364
1998-11-01T00:00:00Z,NH05,40,12.195,32.353,24.499,4.69,204.44667,1.467827
1999-02-01T00:00:00Z,NH05,40,9.253,32.607,25.206,5.85,254.83755,1.5753083
1999-04-01T00:00:00Z,NH05,40,8.319,33.497,26.047,3.78,164.5293,1.041741
1999-07-01T00:00:00Z,NH05,40,7.337,33.9095,26.514,1.705,74.17853,0.6696954
1999-09-01T00:00:00Z,NH05,40,8.082,33.73,26.265,2.62,114.0146,0.80547065
1999-11-01T00:00:00Z,NH05,40,9.954,33.063,25.449,6,261.30994,1.6919415
2000-02-01T00:00:00Z,NH05,40,9.729,31.953,24.619,6.2,270.23898,1.7209057
2000-04-01T00:00:00Z,NH05,40,8.184,33.763,26.276,2.93,127.50352,0.86590445
2000-07-01T00:00:00Z,NH05,40,7.331,33.927,26.529,1.43,62.21334,0.62369925
2000-09-01T00:00:00Z,NH05,40,8.154,33.698,26.229,1.97,85.73155,0.6725702
2001-01-01T00:00:00Z,NH05,40,10.231,32.688,25.109,5.65,246.14847,1.6236271
2001-03-01T00:00:00Z,NH05,40,9.692,32.669,25.184,6.9,300.5841,1.9009496
2001-06-01T00:00:00Z,NH05,40,7.564,33.841,26.427,2.95,128.35497,0.8766631
2001-07-01T00:00:00Z,NH05,40,7.218,33.935,26.551,2.04,88.75,0.73165786
2001-09-01T00:00:00Z,NH05,40,7.702,33.721,26.314,1.59,69.18877,0.6259516
2001-11-01T00:00:00Z,NH05,40,11.497,32.622,24.837,6.09,265.38797,1.8996155
2002-02-01T00:00:00Z,NH05,40,9.74,32.457,25.011,6.55,285.38522,1.8150625
2002-04-01T00:00:00Z,NH05,40,7.87,33.874,26.41,1.98,86.151535,0.688893
2002-05-01T00:00:00Z,NH05,40,8.526,33.718,26.189,3.31,144.05202,0.94440514
2002-06-01T00:00:00Z,NH05,40,7.447375,33.89325,26.485125,1.35375,58.89893,0.6032091
2002-07-01T00:00:00Z,NH05,40,7.312,33.939,26.54,0.54,23.492899,0.4761976
2002-09-01T00:00:00Z,NH05,40,7.81,33.674,26.261,2.71,117.9316,0.8290102
2002-12-01T00:00:00Z,NH05,40,9.408,32.532,25.123,6.2,270.1061,1.6808348
2003-02-01T00:00:00Z,NH05,40,10.451,32.711,25.09,5.37,233.95428,1.5627077
2003-04-01T00:00:00Z,NH05,40,10.591,32.174,24.648,6.04,263.25763,1.7780721
2003-07-01T00:00:00Z,NH05,40,7.522,33.908,26.486,2.83,123.12666,0.8559865
2003-09-01T00:00:00Z,NH05,40,7.722,33.731,26.319,1.64,71.36417,0.63382375
2004-06-01T00:00:00Z,NH05,40,7.825,33.641,26.233,2.33,101.39783,0.7571491
2004-07-01T00:00:00Z,NH05,40,7.6234,33.7884,26.3779,1.3237,57.59715,0.5832173
2004-08-01T00:00:00Z,NH05,40,8.344,33.256,25.855,2.93,127.55585,0.86427695
2004-09-01T00:00:00Z,NH05,40,8.02574,33.48032,26.07766,2.1519916,93.66571,0.71449894
2005-06-01T00:00:00Z,NH05,40,11.3564,32.2137,24.5442,4.98892,217.4676,1.516596
2005-09-01T00:00:00Z,NH05,40,7.7878003,33.8817,26.4272,1.3567699,59.033257,0.5770081
