time,variable,value_character,value_numeric,value_type
1993-01-01T00:00:00Z,fork_length,NA,89,numeric
1994-01-01T00:00:00Z,fork_length,NA,97,numeric
1995-01-01T00:00:00Z,fork_length,NA,135,numeric
1996-01-01T00:00:00Z,fork_length,NA,93,numeric
1997-01-01T00:00:00Z,fork_length,NA,152,numeric
1998-01-01T00:00:00Z,fork_length,NA,89,numeric
1999-01-01T00:00:00Z,fork_length,NA,118,numeric
2000-01-01T00:00:00Z,fork_length,NA,122,numeric
2001-01-01T00:00:00Z,fork_length,NA,139,numeric
2002-01-01T00:00:00Z,fork_length,NA,135,numeric
2003-01-01T00:00:00Z,fork_length,NA,143,numeric
2004-01-01T00:00:00Z,fork_length,NA,127,numeric
2005-01-01T00:00:00Z,fork_length,NA,136,numeric
2007-01-01T00:00:00Z,fork_length,NA,130,numeric
2008-01-01T00:00:00Z,fork_length,NA,137,numeric
2009-01-01T00:00:00Z,fork_length,NA,94,numeric
2010-01-01T00:00:00Z,fork_length,NA,105,numeric
2011-01-01T00:00:00Z,fork_length,NA,125,numeric
2012-01-01T00:00:00Z,fork_length,NA,97,numeric
2013-01-01T00:00:00Z,fork_length,NA,123,numeric
2014-01-01T00:00:00Z,fork_length,NA,90,numeric
2015-01-01T00:00:00Z,fork_length,NA,88,numeric
2016-01-01T00:00:00Z,fork_length,NA,86,numeric
2017-01-01T00:00:00Z,fork_length,NA,120,numeric
2018-01-01T00:00:00Z,fork_length,NA,125,numeric
2019-01-01T00:00:00Z,fork_length,NA,120,numeric
2020-01-01T00:00:00Z,fork_length,NA,122,numeric
