time,variable,value_character,value_numeric,value_type
1998-01-01T00:00:00Z,species_number,NA,3.586207,numeric
1999-01-01T00:00:00Z,species_number,NA,2.8837209,numeric
2000-01-01T00:00:00Z,species_number,NA,3.0192308,numeric
2001-01-01T00:00:00Z,species_number,NA,3.4698796,numeric
2002-01-01T00:00:00Z,species_number,NA,3.8850574,numeric
2003-01-01T00:00:00Z,species_number,NA,4.4574466,numeric
2004-01-01T00:00:00Z,species_number,NA,4.763441,numeric
2005-01-01T00:00:00Z,species_number,NA,3.368932,numeric
2006-01-01T00:00:00Z,species_number,NA,3.5619047,numeric
2007-01-01T00:00:00Z,species_number,NA,3.9324324,numeric
2008-01-01T00:00:00Z,species_number,NA,4.3292685,numeric
2009-01-01T00:00:00Z,species_number,NA,3.6547618,numeric
2010-01-01T00:00:00Z,species_number,NA,3.5357144,numeric
2011-01-01T00:00:00Z,species_number,NA,3.5930233,numeric
2012-01-01T00:00:00Z,species_number,NA,2.5308642,numeric
