time,variable,value_character,value_type,value_numeric
2003-01-01T00:00:00Z,population,Coastwide,character,NA
2004-01-01T00:00:00Z,population,Coastwide,character,NA
2005-01-01T00:00:00Z,population,Coastwide,character,NA
2006-01-01T00:00:00Z,population,Coastwide,character,NA
2007-01-01T00:00:00Z,population,Coastwide,character,NA
2008-01-01T00:00:00Z,population,Coastwide,character,NA
2009-01-01T00:00:00Z,population,Coastwide,character,NA
2010-01-01T00:00:00Z,population,Coastwide,character,NA
2011-01-01T00:00:00Z,population,Coastwide,character,NA
2012-01-01T00:00:00Z,population,Coastwide,character,NA
2013-01-01T00:00:00Z,population,Coastwide,character,NA
2014-01-01T00:00:00Z,population,Coastwide,character,NA
2015-01-01T00:00:00Z,population,Coastwide,character,NA
2016-01-01T00:00:00Z,population,Coastwide,character,NA
2017-01-01T00:00:00Z,population,Coastwide,character,NA
2018-01-01T00:00:00Z,population,Coastwide,character,NA
2019-01-01T00:00:00Z,population,Coastwide,character,NA
2003-01-01T00:00:00Z,population,North,character,NA
2004-01-01T00:00:00Z,population,North,character,NA
2005-01-01T00:00:00Z,population,North,character,NA
2006-01-01T00:00:00Z,population,North,character,NA
2007-01-01T00:00:00Z,population,North,character,NA
2008-01-01T00:00:00Z,population,North,character,NA
2009-01-01T00:00:00Z,population,North,character,NA
2010-01-01T00:00:00Z,population,North,character,NA
2011-01-01T00:00:00Z,population,North,character,NA
2012-01-01T00:00:00Z,population,North,character,NA
2013-01-01T00:00:00Z,population,North,character,NA
2014-01-01T00:00:00Z,population,North,character,NA
2015-01-01T00:00:00Z,population,North,character,NA
2016-01-01T00:00:00Z,population,North,character,NA
2017-01-01T00:00:00Z,population,North,character,NA
2018-01-01T00:00:00Z,population,North,character,NA
2019-01-01T00:00:00Z,population,North,character,NA
2003-01-01T00:00:00Z,population,South,character,NA
2004-01-01T00:00:00Z,population,South,character,NA
2005-01-01T00:00:00Z,population,South,character,NA
2006-01-01T00:00:00Z,population,South,character,NA
2007-01-01T00:00:00Z,population,South,character,NA
2008-01-01T00:00:00Z,population,South,character,NA
2009-01-01T00:00:00Z,population,South,character,NA
2010-01-01T00:00:00Z,population,South,character,NA
2011-01-01T00:00:00Z,population,South,character,NA
2012-01-01T00:00:00Z,population,South,character,NA
2013-01-01T00:00:00Z,population,South,character,NA
2014-01-01T00:00:00Z,population,South,character,NA
2015-01-01T00:00:00Z,population,South,character,NA
2016-01-01T00:00:00Z,population,South,character,NA
2017-01-01T00:00:00Z,population,South,character,NA
2018-01-01T00:00:00Z,population,South,character,NA
2019-01-01T00:00:00Z,population,South,character,NA
2003-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.05307506
2003-01-01T00:00:00Z,Seup,NA,numeric,0.060021784
2003-01-01T00:00:00Z,Selo,NA,numeric,0.04612834
2004-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.055876132
2004-01-01T00:00:00Z,Seup,NA,numeric,0.06253383
2004-01-01T00:00:00Z,Selo,NA,numeric,0.049218435
2005-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.12751661
2005-01-01T00:00:00Z,Seup,NA,numeric,0.15386564
2005-01-01T00:00:00Z,Selo,NA,numeric,0.10116761
2006-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.08805152
2006-01-01T00:00:00Z,Seup,NA,numeric,0.10094806
2006-01-01T00:00:00Z,Selo,NA,numeric,0.075154975
2007-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.079358734
2007-01-01T00:00:00Z,Seup,NA,numeric,0.08890685
2007-01-01T00:00:00Z,Selo,NA,numeric,0.069810613999999993
2008-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.09513026
2008-01-01T00:00:00Z,Seup,NA,numeric,0.10439884
2008-01-01T00:00:00Z,Selo,NA,numeric,0.08586167
2009-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.18906839
2009-01-01T00:00:00Z,Seup,NA,numeric,0.22078337
2009-01-01T00:00:00Z,Selo,NA,numeric,0.1573534
2010-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.29050463
2010-01-01T00:00:00Z,Seup,NA,numeric,0.32259265
2010-01-01T00:00:00Z,Selo,NA,numeric,0.2584166
2011-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.25212666
2011-01-01T00:00:00Z,Seup,NA,numeric,0.30673653
2011-01-01T00:00:00Z,Selo,NA,numeric,0.19751681
2012-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.15207429
2012-01-01T00:00:00Z,Seup,NA,numeric,0.16691732
2012-01-01T00:00:00Z,Selo,NA,numeric,0.13723125
2013-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.10231512
2013-01-01T00:00:00Z,Seup,NA,numeric,0.11430435
2013-01-01T00:00:00Z,Selo,NA,numeric,0.0903259
2014-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.12911767
2014-01-01T00:00:00Z,Seup,NA,numeric,0.14726274
2014-01-01T00:00:00Z,Selo,NA,numeric,0.11097259
2015-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.1931518
2015-01-01T00:00:00Z,Seup,NA,numeric,0.23573491
2015-01-01T00:00:00Z,Selo,NA,numeric,0.15056868
2016-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.17622842
2016-01-01T00:00:00Z,Seup,NA,numeric,0.19346547
2016-01-01T00:00:00Z,Selo,NA,numeric,0.15899135
2017-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.2050827
2017-01-01T00:00:00Z,Seup,NA,numeric,0.22175299
2017-01-01T00:00:00Z,Selo,NA,numeric,0.1884124
2018-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.14617099
2018-01-01T00:00:00Z,Seup,NA,numeric,0.16621806
2018-01-01T00:00:00Z,Selo,NA,numeric,0.12612393
2019-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.098530896
2019-01-01T00:00:00Z,Seup,NA,numeric,0.11460676
2019-01-01T00:00:00Z,Selo,NA,numeric,0.08245504
2003-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.04885039
2003-01-01T00:00:00Z,Seup,NA,numeric,0.05625623
2003-01-01T00:00:00Z,Selo,NA,numeric,0.041444555
2004-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.0546845
2004-01-01T00:00:00Z,Seup,NA,numeric,0.06367193
2004-01-01T00:00:00Z,Selo,NA,numeric,0.045697074
2005-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.1735597
2005-01-01T00:00:00Z,Seup,NA,numeric,0.21653911
2005-01-01T00:00:00Z,Selo,NA,numeric,0.13058026
2006-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.11588074
2006-01-01T00:00:00Z,Seup,NA,numeric,0.13793363
2006-01-01T00:00:00Z,Selo,NA,numeric,0.09382785
2007-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.10113608
2007-01-01T00:00:00Z,Seup,NA,numeric,0.11642089
2007-01-01T00:00:00Z,Selo,NA,numeric,0.085851274
2008-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.09832917
2008-01-01T00:00:00Z,Seup,NA,numeric,0.1103087
2008-01-01T00:00:00Z,Selo,NA,numeric,0.08634964
2009-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.15250418
2009-01-01T00:00:00Z,Seup,NA,numeric,0.17970748
2009-01-01T00:00:00Z,Selo,NA,numeric,0.12530087
2010-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.30543345
2010-01-01T00:00:00Z,Seup,NA,numeric,0.35277286
2010-01-01T00:00:00Z,Selo,NA,numeric,0.25809407
2011-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.31296605
2011-01-01T00:00:00Z,Seup,NA,numeric,0.40403444
2011-01-01T00:00:00Z,Selo,NA,numeric,0.22189766
2012-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.17305289
2012-01-01T00:00:00Z,Seup,NA,numeric,0.19119017
2012-01-01T00:00:00Z,Selo,NA,numeric,0.1549156
2013-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.1243576
2013-01-01T00:00:00Z,Seup,NA,numeric,0.14115447
2013-01-01T00:00:00Z,Selo,NA,numeric,0.10756073
2014-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.16364823
2014-01-01T00:00:00Z,Seup,NA,numeric,0.19332822
2014-01-01T00:00:00Z,Selo,NA,numeric,0.13396826
2015-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.21592297
2015-01-01T00:00:00Z,Seup,NA,numeric,0.27843052
2015-01-01T00:00:00Z,Selo,NA,numeric,0.15341541
2016-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.2144195
2016-01-01T00:00:00Z,Seup,NA,numeric,0.24021907
2016-01-01T00:00:00Z,Selo,NA,numeric,0.18861993
2017-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.2654612
2017-01-01T00:00:00Z,Seup,NA,numeric,0.29181203
2017-01-01T00:00:00Z,Selo,NA,numeric,0.23911041
2018-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.17460155
2018-01-01T00:00:00Z,Seup,NA,numeric,0.20622984
2018-01-01T00:00:00Z,Selo,NA,numeric,0.14297326
2019-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.10344891
2019-01-01T00:00:00Z,Seup,NA,numeric,0.119543605
2019-01-01T00:00:00Z,Selo,NA,numeric,0.08735421
2003-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.06218741
2003-01-01T00:00:00Z,Seup,NA,numeric,0.07655097
2003-01-01T00:00:00Z,Selo,NA,numeric,0.047823854
2004-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.05801951
2004-01-01T00:00:00Z,Seup,NA,numeric,0.06802763
2004-01-01T00:00:00Z,Selo,NA,numeric,0.048011392
2005-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.04128546
2005-01-01T00:00:00Z,Seup,NA,numeric,0.053404372
2005-01-01T00:00:00Z,Selo,NA,numeric,0.029166548
2006-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.039699387
2006-01-01T00:00:00Z,Seup,NA,numeric,0.044323727
2006-01-01T00:00:00Z,Selo,NA,numeric,0.03507505
2007-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.035983816
2007-01-01T00:00:00Z,Seup,NA,numeric,0.04058898
2007-01-01T00:00:00Z,Selo,NA,numeric,0.031378653
2008-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.08991695
2008-01-01T00:00:00Z,Seup,NA,numeric,0.104692325
2008-01-01T00:00:00Z,Selo,NA,numeric,0.07514157
2009-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.24886574
2009-01-01T00:00:00Z,Seup,NA,numeric,0.31350327
2009-01-01T00:00:00Z,Selo,NA,numeric,0.18422821
2010-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.2662684
2010-01-01T00:00:00Z,Seup,NA,numeric,0.30754077
2010-01-01T00:00:00Z,Selo,NA,numeric,0.22499608
2011-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.1495831
2011-01-01T00:00:00Z,Seup,NA,numeric,0.18655498
2011-01-01T00:00:00Z,Selo,NA,numeric,0.112611204
2012-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.11878029
2012-01-01T00:00:00Z,Seup,NA,numeric,0.14369424
