time,variable,value_character,value_type,value_numeric
2003-10-15T00:00:00Z,region,CCA,character,NA
2004-04-15T00:00:00Z,region,CCA,character,NA
2012-06-15T00:00:00Z,region,CCA,character,NA
2012-07-15T00:00:00Z,region,CCA,character,NA
2014-11-15T00:00:00Z,region,CCA,character,NA
2014-12-15T00:00:00Z,region,CCA,character,NA
2015-01-15T00:00:00Z,region,CCA,character,NA
2015-05-15T00:00:00Z,region,CCA,character,NA
2015-07-15T00:00:00Z,region,CCA,character,NA
1991-12-15T00:00:00Z,region,NCA,character,NA
1992-05-15T00:00:00Z,region,NCA,character,NA
1992-06-15T00:00:00Z,region,NCA,character,NA
1992-07-15T00:00:00Z,region,NCA,character,NA
1992-12-15T00:00:00Z,region,NCA,character,NA
2004-05-15T00:00:00Z,region,NCA,character,NA
2004-06-15T00:00:00Z,region,NCA,character,NA
2004-07-15T00:00:00Z,region,NCA,character,NA
2004-08-15T00:00:00Z,region,NCA,character,NA
2005-05-15T00:00:00Z,region,NCA,character,NA
2005-06-15T00:00:00Z,region,NCA,character,NA
2005-07-15T00:00:00Z,region,NCA,character,NA
2006-04-15T00:00:00Z,region,NCA,character,NA
2006-05-15T00:00:00Z,region,NCA,character,NA
2007-04-15T00:00:00Z,region,NCA,character,NA
2007-05-15T00:00:00Z,region,NCA,character,NA
2007-07-15T00:00:00Z,region,NCA,character,NA
2008-05-15T00:00:00Z,region,NCA,character,NA
2008-06-15T00:00:00Z,region,NCA,character,NA
2011-04-15T00:00:00Z,region,NCA,character,NA
2011-05-15T00:00:00Z,region,NCA,character,NA
2011-06-15T00:00:00Z,region,NCA,character,NA
2011-07-15T00:00:00Z,region,NCA,character,NA
2013-02-15T00:00:00Z,region,NCA,character,NA
2013-04-15T00:00:00Z,region,NCA,character,NA
2014-05-15T00:00:00Z,region,NCA,character,NA
2014-07-15T00:00:00Z,region,NCA,character,NA
2015-04-15T00:00:00Z,region,NCA,character,NA
2015-05-15T00:00:00Z,region,NCA,character,NA
2015-06-15T00:00:00Z,region,NCA,character,NA
2015-07-15T00:00:00Z,region,NCA,character,NA
2015-08-15T00:00:00Z,region,NCA,character,NA
2015-10-15T00:00:00Z,region,NCA,character,NA
2016-01-15T00:00:00Z,region,NCA,character,NA
2016-02-15T00:00:00Z,region,NCA,character,NA
2016-04-15T00:00:00Z,region,NCA,character,NA
2016-05-15T00:00:00Z,region,NCA,character,NA
2016-06-15T00:00:00Z,region,NCA,character,NA
2016-07-15T00:00:00Z,region,NCA,character,NA
2016-08-15T00:00:00Z,region,NCA,character,NA
2016-11-15T00:00:00Z,region,NCA,character,NA
2016-12-15T00:00:00Z,region,NCA,character,NA
