time,variable,value_character,value_numeric,value_type
1980-01-01T00:00:00Z,hci_regn1,NA,0.20615034,numeric
1980-01-01T00:00:00Z,hci_regn2,NA,0.20150375,numeric
1980-01-01T00:00:00Z,hci_regn3,NA,0.22489083,numeric
1980-01-01T00:00:00Z,hci_regn4,NA,0.399361,numeric
1980-02-01T00:00:00Z,hci_regn1,NA,0.37699318,numeric
1980-02-01T00:00:00Z,hci_regn2,NA,0.120300755,numeric
1980-02-01T00:00:00Z,hci_regn3,NA,0.04585153,numeric
1980-02-01T00:00:00Z,hci_regn4,NA,0.18290734,numeric
1980-03-01T00:00:00Z,hci_regn1,NA,0.08997722,numeric
1980-03-01T00:00:00Z,hci_regn2,NA,0,numeric
1980-03-01T00:00:00Z,hci_regn3,NA,0,numeric
1980-03-01T00:00:00Z,hci_regn4,NA,0.23003195,numeric
1980-04-01T00:00:00Z,hci_regn1,NA,0.1287016,numeric
1980-04-01T00:00:00Z,hci_regn2,NA,0.09774436,numeric
1980-04-01T00:00:00Z,hci_regn3,NA,0.049126636,numeric
1980-04-01T00:00:00Z,hci_regn4,NA,0.35623002,numeric
1980-05-01T00:00:00Z,hci_regn1,NA,0.48405465,numeric
1980-05-01T00:00:00Z,hci_regn2,NA,0.16541353,numeric
1980-05-01T00:00:00Z,hci_regn3,NA,0.2871179,numeric
1980-05-01T00:00:00Z,hci_regn4,NA,0.4464856,numeric
1980-06-01T00:00:00Z,hci_regn1,NA,0.31435078,numeric
1980-06-01T00:00:00Z,hci_regn2,NA,0.09774436,numeric
1980-06-01T00:00:00Z,hci_regn3,NA,0.09606987,numeric
1980-06-01T00:00:00Z,hci_regn4,NA,0.60942495,numeric
1980-07-01T00:00:00Z,hci_regn1,NA,0.2574032,numeric
1980-07-01T00:00:00Z,hci_regn2,NA,0.15338346,numeric
1980-07-01T00:00:00Z,hci_regn3,NA,0.029475983,numeric
1980-07-01T00:00:00Z,hci_regn4,NA,0.5071885,numeric
1980-08-01T00:00:00Z,hci_regn1,NA,0.47494304,numeric
1980-08-01T00:00:00Z,hci_regn2,NA,0.7263158,numeric
1980-08-01T00:00:00Z,hci_regn3,NA,0.25873363,numeric
1980-08-01T00:00:00Z,hci_regn4,NA,0.4464856,numeric
1980-09-01T00:00:00Z,hci_regn1,NA,0.3861048,numeric
1980-09-01T00:00:00Z,hci_regn2,NA,0.30075186,numeric
1980-09-01T00:00:00Z,hci_regn3,NA,0.18777293,numeric
1980-09-01T00:00:00Z,hci_regn4,NA,0.53194886,numeric
1980-10-01T00:00:00Z,hci_regn1,NA,0.06719818,numeric
1980-10-01T00:00:00Z,hci_regn2,NA,0.1112782,numeric
1980-10-01T00:00:00Z,hci_regn3,NA,0.21506551,numeric
1980-10-01T00:00:00Z,hci_regn4,NA,0.5439297,numeric
1980-11-01T00:00:00Z,hci_regn1,NA,0,numeric
1980-11-01T00:00:00Z,hci_regn2,NA,0,numeric
1980-11-01T00:00:00Z,hci_regn3,NA,0.13100436,numeric
1980-11-01T00:00:00Z,hci_regn4,NA,0.6046326,numeric
1980-12-01T00:00:00Z,hci_regn1,NA,0,numeric
1980-12-01T00:00:00Z,hci_regn2,NA,0,numeric
1980-12-01T00:00:00Z,hci_regn3,NA,0.026200874,numeric
1980-12-01T00:00:00Z,hci_regn4,NA,0.43290734,numeric
1981-01-01T00:00:00Z,hci_regn1,NA,0,numeric
1981-01-01T00:00:00Z,hci_regn2,NA,0,numeric
1981-01-01T00:00:00Z,hci_regn3,NA,0,numeric
1981-01-01T00:00:00Z,hci_regn4,NA,0.28354633,numeric
1981-02-01T00:00:00Z,hci_regn1,NA,0,numeric
1981-02-01T00:00:00Z,hci_regn2,NA,0,numeric
1981-02-01T00:00:00Z,hci_regn3,NA,0,numeric
1981-02-01T00:00:00Z,hci_regn4,NA,0.29872206,numeric
1981-03-01T00:00:00Z,hci_regn1,NA,0,numeric
1981-03-01T00:00:00Z,hci_regn2,NA,0,numeric
1981-03-01T00:00:00Z,hci_regn3,NA,0.033842795,numeric
1981-03-01T00:00:00Z,hci_regn4,NA,0.18370607,numeric
1981-04-01T00:00:00Z,hci_regn1,NA,0.0261959,numeric
1981-04-01T00:00:00Z,hci_regn2,NA,0.075187966,numeric
1981-04-01T00:00:00Z,hci_regn3,NA,0.24017467,numeric
1981-04-01T00:00:00Z,hci_regn4,NA,0.46645367,numeric
1981-05-01T00:00:00Z,hci_regn1,NA,0.17653759,numeric
1981-05-01T00:00:00Z,hci_regn2,NA,0.1518797,numeric
1981-05-01T00:00:00Z,hci_regn3,NA,0.38100436,numeric
1981-05-01T00:00:00Z,hci_regn4,NA,0.38099042,numeric
1981-06-01T00:00:00Z,hci_regn1,NA,0.12072893,numeric
1981-06-01T00:00:00Z,hci_regn2,NA,0.043609023,numeric
1981-06-01T00:00:00Z,hci_regn3,NA,0.18995634,numeric
1981-06-01T00:00:00Z,hci_regn4,NA,0.35223642,numeric
1981-07-01T00:00:00Z,hci_regn1,NA,0.38154897,numeric
1981-07-01T00:00:00Z,hci_regn2,NA,0.3413534,numeric
1981-07-01T00:00:00Z,hci_regn3,NA,0.470524,numeric
1981-07-01T00:00:00Z,hci_regn4,NA,0.34105432,numeric
1981-08-01T00:00:00Z,hci_regn1,NA,0.25512528,numeric
1981-08-01T00:00:00Z,hci_regn2,NA,0.19398496,numeric
1981-08-01T00:00:00Z,hci_regn3,NA,0.27510917,numeric
1981-08-01T00:00:00Z,hci_regn4,NA,0.41054314,numeric
1981-09-01T00:00:00Z,hci_regn1,NA,0.12528473,numeric
1981-09-01T00:00:00Z,hci_regn2,NA,0.18646617,numeric
1981-09-01T00:00:00Z,hci_regn3,NA,0.65502185,numeric
1981-09-01T00:00:00Z,hci_regn4,NA,0.4752396,numeric
1981-10-01T00:00:00Z,hci_regn1,NA,0.018223235,numeric
1981-10-01T00:00:00Z,hci_regn2,NA,0.02556391,numeric
1981-10-01T00:00:00Z,hci_regn3,NA,0.44541484,numeric
1981-10-01T00:00:00Z,hci_regn4,NA,0.53115016,numeric
1981-11-01T00:00:00Z,hci_regn1,NA,0.10250569,numeric
1981-11-01T00:00:00Z,hci_regn2,NA,0.3443609,numeric
1981-11-01T00:00:00Z,hci_regn3,NA,0.026200874,numeric
1981-11-01T00:00:00Z,hci_regn4,NA,0.51677316,numeric
1981-12-01T00:00:00Z,hci_regn1,NA,0.048974942,numeric
1981-12-01T00:00:00Z,hci_regn2,NA,0.1518797,numeric
1981-12-01T00:00:00Z,hci_regn3,NA,0.009825327,numeric
1981-12-01T00:00:00Z,hci_regn4,NA,0.4680511,numeric
1982-01-01T00:00:00Z,hci_regn1,NA,0.58428246,numeric
1982-01-01T00:00:00Z,hci_regn2,NA,0.74887216,numeric
1982-01-01T00:00:00Z,hci_regn3,NA,0.94213974,numeric
1982-01-01T00:00:00Z,hci_regn4,NA,0.7348243,numeric
1982-02-01T00:00:00Z,hci_regn1,NA,0.64350796,numeric
