time,variable,value_character,value_type,value_numeric
1999-01-01T00:00:00Z,species_group,Aequorea,character,NA
2000-01-01T00:00:00Z,species_group,Aequorea,character,NA
2001-01-01T00:00:00Z,species_group,Aequorea,character,NA
2002-01-01T00:00:00Z,species_group,Aequorea,character,NA
2003-01-01T00:00:00Z,species_group,Aequorea,character,NA
2004-01-01T00:00:00Z,species_group,Aequorea,character,NA
2005-01-01T00:00:00Z,species_group,Aequorea,character,NA
2006-01-01T00:00:00Z,species_group,Aequorea,character,NA
2007-01-01T00:00:00Z,species_group,Aequorea,character,NA
2008-01-01T00:00:00Z,species_group,Aequorea,character,NA
2009-01-01T00:00:00Z,species_group,Aequorea,character,NA
2010-01-01T00:00:00Z,species_group,Aequorea,character,NA
2011-01-01T00:00:00Z,species_group,Aequorea,character,NA
2012-01-01T00:00:00Z,species_group,Aequorea,character,NA
2013-01-01T00:00:00Z,species_group,Aequorea,character,NA
2014-01-01T00:00:00Z,species_group,Aequorea,character,NA
2015-01-01T00:00:00Z,species_group,Aequorea,character,NA
2016-01-01T00:00:00Z,species_group,Aequorea,character,NA
1999-01-01T00:00:00Z,species_group,Chrysaora,character,NA
2000-01-01T00:00:00Z,species_group,Chrysaora,character,NA
2001-01-01T00:00:00Z,species_group,Chrysaora,character,NA
2002-01-01T00:00:00Z,species_group,Chrysaora,character,NA
2003-01-01T00:00:00Z,species_group,Chrysaora,character,NA
2004-01-01T00:00:00Z,species_group,Chrysaora,character,NA
2005-01-01T00:00:00Z,species_group,Chrysaora,character,NA
2006-01-01T00:00:00Z,species_group,Chrysaora,character,NA
2007-01-01T00:00:00Z,species_group,Chrysaora,character,NA
2008-01-01T00:00:00Z,species_group,Chrysaora,character,NA
2009-01-01T00:00:00Z,species_group,Chrysaora,character,NA
2010-01-01T00:00:00Z,species_group,Chrysaora,character,NA
2011-01-01T00:00:00Z,species_group,Chrysaora,character,NA
2012-01-01T00:00:00Z,species_group,Chrysaora,character,NA
2013-01-01T00:00:00Z,species_group,Chrysaora,character,NA
2014-01-01T00:00:00Z,species_group,Chrysaora,character,NA
2015-01-01T00:00:00Z,species_group,Chrysaora,character,NA
2016-01-01T00:00:00Z,species_group,Chrysaora,character,NA
1999-01-01T00:00:00Z,mean_cpue,NA,numeric,2873.656
2000-01-01T00:00:00Z,mean_cpue,NA,numeric,735.459
2001-01-01T00:00:00Z,mean_cpue,NA,numeric,86.197
2002-01-01T00:00:00Z,mean_cpue,NA,numeric,651.493
2003-01-01T00:00:00Z,mean_cpue,NA,numeric,176.657
2004-01-01T00:00:00Z,mean_cpue,NA,numeric,348.493
2005-01-01T00:00:00Z,mean_cpue,NA,numeric,14.565
2006-01-01T00:00:00Z,mean_cpue,NA,numeric,1359.337
2007-01-01T00:00:00Z,mean_cpue,NA,numeric,11.074
2008-01-01T00:00:00Z,mean_cpue,NA,numeric,189.805
2009-01-01T00:00:00Z,mean_cpue,NA,numeric,242.846
2010-01-01T00:00:00Z,mean_cpue,NA,numeric,57.195
2011-01-01T00:00:00Z,mean_cpue,NA,numeric,48.463
2012-01-01T00:00:00Z,mean_cpue,NA,numeric,2099.585
2013-01-01T00:00:00Z,mean_cpue,NA,numeric,32.07
2014-01-01T00:00:00Z,mean_cpue,NA,numeric,697.339
2015-01-01T00:00:00Z,mean_cpue,NA,numeric,2503.31
2016-01-01T00:00:00Z,mean_cpue,NA,numeric,173.176
1999-01-01T00:00:00Z,mean_cpue,NA,numeric,15.65
2000-01-01T00:00:00Z,mean_cpue,NA,numeric,74.25
2001-01-01T00:00:00Z,mean_cpue,NA,numeric,3703.19
2002-01-01T00:00:00Z,mean_cpue,NA,numeric,3432.01
2003-01-01T00:00:00Z,mean_cpue,NA,numeric,1279.25
2004-01-01T00:00:00Z,mean_cpue,NA,numeric,10919.47
2005-01-01T00:00:00Z,mean_cpue,NA,numeric,611.97
2006-01-01T00:00:00Z,mean_cpue,NA,numeric,3093.27
2007-01-01T00:00:00Z,mean_cpue,NA,numeric,4104.27
2008-01-01T00:00:00Z,mean_cpue,NA,numeric,3209.17
2009-01-01T00:00:00Z,mean_cpue,NA,numeric,1569.31
2010-01-01T00:00:00Z,mean_cpue,NA,numeric,222.27
2011-01-01T00:00:00Z,mean_cpue,NA,numeric,394.59
2012-01-01T00:00:00Z,mean_cpue,NA,numeric,617.34
2013-01-01T00:00:00Z,mean_cpue,NA,numeric,1787.69
2014-01-01T00:00:00Z,mean_cpue,NA,numeric,942.73
2015-01-01T00:00:00Z,mean_cpue,NA,numeric,0.48
2016-01-01T00:00:00Z,mean_cpue,NA,numeric,4.631
