time,variable,value_character,value_type,value_numeric
2003-01-01T00:00:00Z,population,Coastwide,character,NA
2004-01-01T00:00:00Z,population,Coastwide,character,NA
2005-01-01T00:00:00Z,population,Coastwide,character,NA
2006-01-01T00:00:00Z,population,Coastwide,character,NA
2007-01-01T00:00:00Z,population,Coastwide,character,NA
2008-01-01T00:00:00Z,population,Coastwide,character,NA
2009-01-01T00:00:00Z,population,Coastwide,character,NA
2010-01-01T00:00:00Z,population,Coastwide,character,NA
2011-01-01T00:00:00Z,population,Coastwide,character,NA
2012-01-01T00:00:00Z,population,Coastwide,character,NA
2013-01-01T00:00:00Z,population,Coastwide,character,NA
2014-01-01T00:00:00Z,population,Coastwide,character,NA
2015-01-01T00:00:00Z,population,Coastwide,character,NA
2016-01-01T00:00:00Z,population,Coastwide,character,NA
2017-01-01T00:00:00Z,population,Coastwide,character,NA
2018-01-01T00:00:00Z,population,Coastwide,character,NA
2003-01-01T00:00:00Z,population,North,character,NA
2004-01-01T00:00:00Z,population,North,character,NA
2005-01-01T00:00:00Z,population,North,character,NA
2006-01-01T00:00:00Z,population,North,character,NA
2007-01-01T00:00:00Z,population,North,character,NA
2008-01-01T00:00:00Z,population,North,character,NA
2009-01-01T00:00:00Z,population,North,character,NA
2010-01-01T00:00:00Z,population,North,character,NA
2011-01-01T00:00:00Z,population,North,character,NA
2012-01-01T00:00:00Z,population,North,character,NA
2013-01-01T00:00:00Z,population,North,character,NA
2014-01-01T00:00:00Z,population,North,character,NA
2015-01-01T00:00:00Z,population,North,character,NA
2016-01-01T00:00:00Z,population,North,character,NA
2017-01-01T00:00:00Z,population,North,character,NA
2018-01-01T00:00:00Z,population,North,character,NA
2003-01-01T00:00:00Z,population,South,character,NA
2004-01-01T00:00:00Z,population,South,character,NA
2005-01-01T00:00:00Z,population,South,character,NA
2006-01-01T00:00:00Z,population,South,character,NA
2007-01-01T00:00:00Z,population,South,character,NA
2008-01-01T00:00:00Z,population,South,character,NA
2009-01-01T00:00:00Z,population,South,character,NA
2010-01-01T00:00:00Z,population,South,character,NA
2011-01-01T00:00:00Z,population,South,character,NA
2012-01-01T00:00:00Z,population,South,character,NA
2013-01-01T00:00:00Z,population,South,character,NA
2014-01-01T00:00:00Z,population,South,character,NA
2015-01-01T00:00:00Z,population,South,character,NA
2016-01-01T00:00:00Z,population,South,character,NA
2017-01-01T00:00:00Z,population,South,character,NA
2018-01-01T00:00:00Z,population,South,character,NA
2003-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.7168715
2003-01-01T00:00:00Z,Seup,NA,numeric,3.7262635
2003-01-01T00:00:00Z,Selo,NA,numeric,3.7074795
2004-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.724248
2004-01-01T00:00:00Z,Seup,NA,numeric,3.734052
2004-01-01T00:00:00Z,Selo,NA,numeric,3.7144442
2005-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6962895
2005-01-01T00:00:00Z,Seup,NA,numeric,3.7044058
2005-01-01T00:00:00Z,Selo,NA,numeric,3.6881735
2006-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.7079413
2006-01-01T00:00:00Z,Seup,NA,numeric,3.7165406
2006-01-01T00:00:00Z,Selo,NA,numeric,3.699342
2007-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6866584
2007-01-01T00:00:00Z,Seup,NA,numeric,3.6943045
2007-01-01T00:00:00Z,Selo,NA,numeric,3.6790123
2008-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.666538
2008-01-01T00:00:00Z,Seup,NA,numeric,3.6738918
2008-01-01T00:00:00Z,Selo,NA,numeric,3.6591842
2009-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6549437
2009-01-01T00:00:00Z,Seup,NA,numeric,3.6616569
2009-01-01T00:00:00Z,Selo,NA,numeric,3.6482306
2010-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6484945
2010-01-01T00:00:00Z,Seup,NA,numeric,3.654946
2010-01-01T00:00:00Z,Selo,NA,numeric,3.6420429
2011-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6627483
2011-01-01T00:00:00Z,Seup,NA,numeric,3.6694424
2011-01-01T00:00:00Z,Selo,NA,numeric,3.6560543
2012-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6491964
2012-01-01T00:00:00Z,Seup,NA,numeric,3.6561756
2012-01-01T00:00:00Z,Selo,NA,numeric,3.6422172
2013-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6515296
2013-01-01T00:00:00Z,Seup,NA,numeric,3.6594908
2013-01-01T00:00:00Z,Selo,NA,numeric,3.643568
2014-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6563776
2014-01-01T00:00:00Z,Seup,NA,numeric,3.6632726
2014-01-01T00:00:00Z,Selo,NA,numeric,3.6494825
2015-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6560047
2015-01-01T00:00:00Z,Seup,NA,numeric,3.6628325
2015-01-01T00:00:00Z,Selo,NA,numeric,3.6491768
2016-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6549728
2016-01-01T00:00:00Z,Seup,NA,numeric,3.6615696
2016-01-01T00:00:00Z,Selo,NA,numeric,3.648376
2017-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6438818
2017-01-01T00:00:00Z,Seup,NA,numeric,3.6500375
2017-01-01T00:00:00Z,Selo,NA,numeric,3.6377258
2018-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6248186
2018-01-01T00:00:00Z,Seup,NA,numeric,3.6314182
2018-01-01T00:00:00Z,Selo,NA,numeric,3.6182191
2003-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.7619321
2003-01-01T00:00:00Z,Seup,NA,numeric,3.7742064
2003-01-01T00:00:00Z,Selo,NA,numeric,3.7496576
2004-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.773371
2004-01-01T00:00:00Z,Seup,NA,numeric,3.7866328
2004-01-01T00:00:00Z,Selo,NA,numeric,3.7601092
2005-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.7291534
2005-01-01T00:00:00Z,Seup,NA,numeric,3.7399752
2005-01-01T00:00:00Z,Selo,NA,numeric,3.7183316
2006-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.7349937
2006-01-01T00:00:00Z,Seup,NA,numeric,3.74737
2006-01-01T00:00:00Z,Selo,NA,numeric,3.7226171
2007-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.712589
2007-01-01T00:00:00Z,Seup,NA,numeric,3.723304
2007-01-01T00:00:00Z,Selo,NA,numeric,3.701874
2008-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6813354
2008-01-01T00:00:00Z,Seup,NA,numeric,3.6914475
2008-01-01T00:00:00Z,Selo,NA,numeric,3.6712234
2009-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.679215
2009-01-01T00:00:00Z,Seup,NA,numeric,3.6890504
2009-01-01T00:00:00Z,Selo,NA,numeric,3.6693795
2010-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6607633
2010-01-01T00:00:00Z,Seup,NA,numeric,3.6699002
2010-01-01T00:00:00Z,Selo,NA,numeric,3.651626
2011-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6863332
2011-01-01T00:00:00Z,Seup,NA,numeric,3.695941
2011-01-01T00:00:00Z,Selo,NA,numeric,3.6767256
2012-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6679723
2012-01-01T00:00:00Z,Seup,NA,numeric,3.67787
2012-01-01T00:00:00Z,Selo,NA,numeric,3.6580749
2013-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6426105
2013-01-01T00:00:00Z,Seup,NA,numeric,3.652985
2013-01-01T00:00:00Z,Selo,NA,numeric,3.6322358
2014-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6670625
2014-01-01T00:00:00Z,Seup,NA,numeric,3.6764526
2014-01-01T00:00:00Z,Selo,NA,numeric,3.6576724
2015-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6790628
2015-01-01T00:00:00Z,Seup,NA,numeric,3.6890967
2015-01-01T00:00:00Z,Selo,NA,numeric,3.6690288
2016-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.67327
2016-01-01T00:00:00Z,Seup,NA,numeric,3.6826901
2016-01-01T00:00:00Z,Selo,NA,numeric,3.66385
2017-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6572514
2017-01-01T00:00:00Z,Seup,NA,numeric,3.665559
2017-01-01T00:00:00Z,Selo,NA,numeric,3.6489437
2018-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6310484
2018-01-01T00:00:00Z,Seup,NA,numeric,3.6403344
2018-01-01T00:00:00Z,Selo,NA,numeric,3.6217625
2003-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6184657
2003-01-01T00:00:00Z,Seup,NA,numeric,3.6302223
2003-01-01T00:00:00Z,Selo,NA,numeric,3.606709
2004-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.635367
2004-01-01T00:00:00Z,Seup,NA,numeric,3.6479955
2004-01-01T00:00:00Z,Selo,NA,numeric,3.6227384
2005-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.633964
2005-01-01T00:00:00Z,Seup,NA,numeric,3.6454272
2005-01-01T00:00:00Z,Selo,NA,numeric,3.622501
2006-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6597972
2006-01-01T00:00:00Z,Seup,NA,numeric,3.6707566
2006-01-01T00:00:00Z,Selo,NA,numeric,3.6488376
2007-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6335473
2007-01-01T00:00:00Z,Seup,NA,numeric,3.6431255
2007-01-01T00:00:00Z,Selo,NA,numeric,3.6239693
2008-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6423705
2008-01-01T00:00:00Z,Seup,NA,numeric,3.6530738
2008-01-01T00:00:00Z,Selo,NA,numeric,3.6316671
2009-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.614844
2009-01-01T00:00:00Z,Seup,NA,numeric,3.6231294
2009-01-01T00:00:00Z,Selo,NA,numeric,3.6065586
2010-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.628354
2010-01-01T00:00:00Z,Seup,NA,numeric,3.637256
2010-01-01T00:00:00Z,Selo,NA,numeric,3.6194522
2011-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6224244
2011-01-01T00:00:00Z,Seup,NA,numeric,3.6309674
2011-01-01T00:00:00Z,Selo,NA,numeric,3.6138816
2012-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.619477
2012-01-01T00:00:00Z,Seup,NA,numeric,3.628911
2012-01-01T00:00:00Z,Selo,NA,numeric,3.6100428
2013-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6700406
2013-01-01T00:00:00Z,Seup,NA,numeric,3.6824245
2013-01-01T00:00:00Z,Selo,NA,numeric,3.6576567
2014-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.636117
2014-01-01T00:00:00Z,Seup,NA,numeric,3.6462538
2014-01-01T00:00:00Z,Selo,NA,numeric,3.62598
2015-01-01T00:00:00Z,mean_trophic_level,NA,numeric,3.6185105
