time,variable,value_character,value_type,value_numeric
2003-01-01T00:00:00Z,population,Coastwide,character,NA
2004-01-01T00:00:00Z,population,Coastwide,character,NA
2005-01-01T00:00:00Z,population,Coastwide,character,NA
2006-01-01T00:00:00Z,population,Coastwide,character,NA
2007-01-01T00:00:00Z,population,Coastwide,character,NA
2008-01-01T00:00:00Z,population,Coastwide,character,NA
2009-01-01T00:00:00Z,population,Coastwide,character,NA
2010-01-01T00:00:00Z,population,Coastwide,character,NA
2011-01-01T00:00:00Z,population,Coastwide,character,NA
2012-01-01T00:00:00Z,population,Coastwide,character,NA
2013-01-01T00:00:00Z,population,Coastwide,character,NA
2014-01-01T00:00:00Z,population,Coastwide,character,NA
2015-01-01T00:00:00Z,population,Coastwide,character,NA
2003-01-01T00:00:00Z,population,North,character,NA
2004-01-01T00:00:00Z,population,North,character,NA
2005-01-01T00:00:00Z,population,North,character,NA
2006-01-01T00:00:00Z,population,North,character,NA
2007-01-01T00:00:00Z,population,North,character,NA
2008-01-01T00:00:00Z,population,North,character,NA
2009-01-01T00:00:00Z,population,North,character,NA
2010-01-01T00:00:00Z,population,North,character,NA
2011-01-01T00:00:00Z,population,North,character,NA
2012-01-01T00:00:00Z,population,North,character,NA
2013-01-01T00:00:00Z,population,North,character,NA
2014-01-01T00:00:00Z,population,North,character,NA
2015-01-01T00:00:00Z,population,North,character,NA
2003-01-01T00:00:00Z,population,South,character,NA
2004-01-01T00:00:00Z,population,South,character,NA
2005-01-01T00:00:00Z,population,South,character,NA
2006-01-01T00:00:00Z,population,South,character,NA
2007-01-01T00:00:00Z,population,South,character,NA
2008-01-01T00:00:00Z,population,South,character,NA
2009-01-01T00:00:00Z,population,South,character,NA
2010-01-01T00:00:00Z,population,South,character,NA
2011-01-01T00:00:00Z,population,South,character,NA
2012-01-01T00:00:00Z,population,South,character,NA
2013-01-01T00:00:00Z,population,South,character,NA
2014-01-01T00:00:00Z,population,South,character,NA
2015-01-01T00:00:00Z,population,South,character,NA
2003-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.22007976
2003-01-01T00:00:00Z,Seup,NA,numeric,0.23286378
2003-01-01T00:00:00Z,Selo,NA,numeric,0.20729573
2004-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.13535354
2004-01-01T00:00:00Z,Seup,NA,numeric,0.14288504
2004-01-01T00:00:00Z,Selo,NA,numeric,0.12782203
2005-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.218356
2005-01-01T00:00:00Z,Seup,NA,numeric,0.22909047
2005-01-01T00:00:00Z,Selo,NA,numeric,0.20762153
2006-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.21786803
2006-01-01T00:00:00Z,Seup,NA,numeric,0.2290935
2006-01-01T00:00:00Z,Selo,NA,numeric,0.20664255
2007-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.22447413
2007-01-01T00:00:00Z,Seup,NA,numeric,0.23515704
2007-01-01T00:00:00Z,Selo,NA,numeric,0.2137912
2008-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.2233178
2008-01-01T00:00:00Z,Seup,NA,numeric,0.23402373
2008-01-01T00:00:00Z,Selo,NA,numeric,0.21261187
2009-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.22789246
2009-01-01T00:00:00Z,Seup,NA,numeric,0.23798628
2009-01-01T00:00:00Z,Selo,NA,numeric,0.21779865
2010-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.27207184
2010-01-01T00:00:00Z,Seup,NA,numeric,0.28270584
2010-01-01T00:00:00Z,Selo,NA,numeric,0.26143786
2011-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.2728814
2011-01-01T00:00:00Z,Seup,NA,numeric,0.28322157
2011-01-01T00:00:00Z,Selo,NA,numeric,0.2625412
2012-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.2475798
2012-01-01T00:00:00Z,Seup,NA,numeric,0.25804695
2012-01-01T00:00:00Z,Selo,NA,numeric,0.23711264
2013-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.20848492
2013-01-01T00:00:00Z,Seup,NA,numeric,0.22084361
2013-01-01T00:00:00Z,Selo,NA,numeric,0.19612622
2014-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.21554576
2014-01-01T00:00:00Z,Seup,NA,numeric,0.22624049
2014-01-01T00:00:00Z,Selo,NA,numeric,0.20485103
2015-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.22570351
2015-01-01T00:00:00Z,Seup,NA,numeric,0.2365928
2015-01-01T00:00:00Z,Selo,NA,numeric,0.2148142
2003-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.21211307
2003-01-01T00:00:00Z,Seup,NA,numeric,0.22865047
2003-01-01T00:00:00Z,Selo,NA,numeric,0.19557568
2004-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.10959648
2004-01-01T00:00:00Z,Seup,NA,numeric,0.1182098
2004-01-01T00:00:00Z,Selo,NA,numeric,0.10098316
2005-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.19296823
2005-01-01T00:00:00Z,Seup,NA,numeric,0.20690778
2005-01-01T00:00:00Z,Selo,NA,numeric,0.1790287
2006-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.17498039
2006-01-01T00:00:00Z,Seup,NA,numeric,0.18896903
2006-01-01T00:00:00Z,Selo,NA,numeric,0.16099174
2007-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.19260669
2007-01-01T00:00:00Z,Seup,NA,numeric,0.20581079
2007-01-01T00:00:00Z,Selo,NA,numeric,0.17940257
2008-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.18709709
2008-01-01T00:00:00Z,Seup,NA,numeric,0.20097703
2008-01-01T00:00:00Z,Selo,NA,numeric,0.17321716
2009-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.18767701
2009-01-01T00:00:00Z,Seup,NA,numeric,0.20010905
2009-01-01T00:00:00Z,Selo,NA,numeric,0.17524497
2010-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.22660583
2010-01-01T00:00:00Z,Seup,NA,numeric,0.24045625
2010-01-01T00:00:00Z,Selo,NA,numeric,0.21275541
2011-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.24191742
2011-01-01T00:00:00Z,Seup,NA,numeric,0.255363
2011-01-01T00:00:00Z,Selo,NA,numeric,0.22847183
2012-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.22414388
2012-01-01T00:00:00Z,Seup,NA,numeric,0.23782802
2012-01-01T00:00:00Z,Selo,NA,numeric,0.21045972
2013-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.18889624
2013-01-01T00:00:00Z,Seup,NA,numeric,0.20400284
2013-01-01T00:00:00Z,Selo,NA,numeric,0.17378965
2014-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.18613167
2014-01-01T00:00:00Z,Seup,NA,numeric,0.19994986
2014-01-01T00:00:00Z,Selo,NA,numeric,0.17231348
2015-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.17597483
2015-01-01T00:00:00Z,Seup,NA,numeric,0.18967073
2015-01-01T00:00:00Z,Selo,NA,numeric,0.16227892
2003-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.23645866
2003-01-01T00:00:00Z,Seup,NA,numeric,0.25663018
2003-01-01T00:00:00Z,Selo,NA,numeric,0.21628715
2004-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.19730605
2004-01-01T00:00:00Z,Seup,NA,numeric,0.21143845
2004-01-01T00:00:00Z,Selo,NA,numeric,0.18317366
2005-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.2637231
2005-01-01T00:00:00Z,Seup,NA,numeric,0.28047597
2005-01-01T00:00:00Z,Selo,NA,numeric,0.24697022
2006-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.29238352
2006-01-01T00:00:00Z,Seup,NA,numeric,0.31035885
2006-01-01T00:00:00Z,Selo,NA,numeric,0.27440822
2007-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.29289377
2007-01-01T00:00:00Z,Seup,NA,numeric,0.31072083
2007-01-01T00:00:00Z,Selo,NA,numeric,0.27506667
2008-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.28500018
2008-01-01T00:00:00Z,Seup,NA,numeric,0.30155155
2008-01-01T00:00:00Z,Selo,NA,numeric,0.2684488
2009-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.30973324
2009-01-01T00:00:00Z,Seup,NA,numeric,0.32626832
2009-01-01T00:00:00Z,Selo,NA,numeric,0.29319817
2010-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.35130918
2010-01-01T00:00:00Z,Seup,NA,numeric,0.3672911
2010-01-01T00:00:00Z,Selo,NA,numeric,0.33532724
2011-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.3309678
2011-01-01T00:00:00Z,Seup,NA,numeric,0.34695113
2011-01-01T00:00:00Z,Selo,NA,numeric,0.31498447
2012-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.28477368
2012-01-01T00:00:00Z,Seup,NA,numeric,0.30096045
2012-01-01T00:00:00Z,Selo,NA,numeric,0.26858693
2013-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.24831244
2013-01-01T00:00:00Z,Seup,NA,numeric,0.26959428
2013-01-01T00:00:00Z,Selo,NA,numeric,0.22703062
2014-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.26889455
2014-01-01T00:00:00Z,Seup,NA,numeric,0.2857013
2014-01-01T00:00:00Z,Selo,NA,numeric,0.2520878
2015-01-01T00:00:00Z,biomass_ratio,NA,numeric,0.30488417
2015-01-01T00:00:00Z,Seup,NA,numeric,0.32181504
2015-01-01T00:00:00Z,Selo,NA,numeric,0.2879533
