time,variable,value_character,value_type,value_numeric
2003-01-01T00:00:00Z,population,Coastwide,character,NA
2004-01-01T00:00:00Z,population,Coastwide,character,NA
2005-01-01T00:00:00Z,population,Coastwide,character,NA
2006-01-01T00:00:00Z,population,Coastwide,character,NA
2007-01-01T00:00:00Z,population,Coastwide,character,NA
2008-01-01T00:00:00Z,population,Coastwide,character,NA
2009-01-01T00:00:00Z,population,Coastwide,character,NA
2010-01-01T00:00:00Z,population,Coastwide,character,NA
2011-01-01T00:00:00Z,population,Coastwide,character,NA
2012-01-01T00:00:00Z,population,Coastwide,character,NA
2013-01-01T00:00:00Z,population,Coastwide,character,NA
2014-01-01T00:00:00Z,population,Coastwide,character,NA
2015-01-01T00:00:00Z,population,Coastwide,character,NA
2016-01-01T00:00:00Z,population,Coastwide,character,NA
2017-01-01T00:00:00Z,population,Coastwide,character,NA
2018-01-01T00:00:00Z,population,Coastwide,character,NA
2003-01-01T00:00:00Z,population,North,character,NA
2004-01-01T00:00:00Z,population,North,character,NA
2005-01-01T00:00:00Z,population,North,character,NA
2006-01-01T00:00:00Z,population,North,character,NA
2007-01-01T00:00:00Z,population,North,character,NA
2008-01-01T00:00:00Z,population,North,character,NA
2009-01-01T00:00:00Z,population,North,character,NA
2010-01-01T00:00:00Z,population,North,character,NA
2011-01-01T00:00:00Z,population,North,character,NA
2012-01-01T00:00:00Z,population,North,character,NA
2013-01-01T00:00:00Z,population,North,character,NA
2014-01-01T00:00:00Z,population,North,character,NA
2015-01-01T00:00:00Z,population,North,character,NA
2016-01-01T00:00:00Z,population,North,character,NA
2017-01-01T00:00:00Z,population,North,character,NA
2018-01-01T00:00:00Z,population,North,character,NA
2003-01-01T00:00:00Z,population,South,character,NA
2004-01-01T00:00:00Z,population,South,character,NA
2005-01-01T00:00:00Z,population,South,character,NA
2006-01-01T00:00:00Z,population,South,character,NA
2007-01-01T00:00:00Z,population,South,character,NA
2008-01-01T00:00:00Z,population,South,character,NA
2009-01-01T00:00:00Z,population,South,character,NA
2010-01-01T00:00:00Z,population,South,character,NA
2011-01-01T00:00:00Z,population,South,character,NA
2012-01-01T00:00:00Z,population,South,character,NA
2013-01-01T00:00:00Z,population,South,character,NA
2014-01-01T00:00:00Z,population,South,character,NA
2015-01-01T00:00:00Z,population,South,character,NA
2016-01-01T00:00:00Z,population,South,character,NA
2017-01-01T00:00:00Z,population,South,character,NA
2018-01-01T00:00:00Z,population,South,character,NA
2003-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.6502635
2003-01-01T00:00:00Z,Seup,NA,numeric,0.6589223
2003-01-01T00:00:00Z,Selo,NA,numeric,0.6416046
2004-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.66209257
2004-01-01T00:00:00Z,Seup,NA,numeric,0.6706699
2004-01-01T00:00:00Z,Selo,NA,numeric,0.6535153
2005-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.6721203
2005-01-01T00:00:00Z,Seup,NA,numeric,0.6791782
2005-01-01T00:00:00Z,Selo,NA,numeric,0.66506237
2006-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.6530576
2006-01-01T00:00:00Z,Seup,NA,numeric,0.6607731
2006-01-01T00:00:00Z,Selo,NA,numeric,0.6453421
2007-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.65794396
2007-01-01T00:00:00Z,Seup,NA,numeric,0.66514415
2007-01-01T00:00:00Z,Selo,NA,numeric,0.6507438
2008-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.6327913
2008-01-01T00:00:00Z,Seup,NA,numeric,0.64029306
2008-01-01T00:00:00Z,Selo,NA,numeric,0.62528944
2009-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.63069016
2009-01-01T00:00:00Z,Seup,NA,numeric,0.6384886
2009-01-01T00:00:00Z,Selo,NA,numeric,0.6228918
2010-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.66382116
2010-01-01T00:00:00Z,Seup,NA,numeric,0.6709117
2010-01-01T00:00:00Z,Selo,NA,numeric,0.6567306
2011-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.675265
2011-01-01T00:00:00Z,Seup,NA,numeric,0.68264264
2011-01-01T00:00:00Z,Selo,NA,numeric,0.6678874
2012-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.65079165
2012-01-01T00:00:00Z,Seup,NA,numeric,0.6585736
2012-01-01T00:00:00Z,Selo,NA,numeric,0.64300966
2013-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.66260904
2013-01-01T00:00:00Z,Seup,NA,numeric,0.6711463
2013-01-01T00:00:00Z,Selo,NA,numeric,0.65407187
2014-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.67201847
2014-01-01T00:00:00Z,Seup,NA,numeric,0.6793648
2014-01-01T00:00:00Z,Selo,NA,numeric,0.66467214
2015-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.69607127
2015-01-01T00:00:00Z,Seup,NA,numeric,0.7030466
2015-01-01T00:00:00Z,Selo,NA,numeric,0.689096
2016-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.69769543
2016-01-01T00:00:00Z,Seup,NA,numeric,0.70431525
2016-01-01T00:00:00Z,Selo,NA,numeric,0.6910757
2017-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.6672762
2017-01-01T00:00:00Z,Seup,NA,numeric,0.67429423
2017-01-01T00:00:00Z,Selo,NA,numeric,0.6602581
2018-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.65474844
2018-01-01T00:00:00Z,Seup,NA,numeric,0.66161495
2018-01-01T00:00:00Z,Selo,NA,numeric,0.64788187
2003-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.66262424
2003-01-01T00:00:00Z,Seup,NA,numeric,0.67373526
2003-01-01T00:00:00Z,Selo,NA,numeric,0.6515132
2004-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.6968598
2004-01-01T00:00:00Z,Seup,NA,numeric,0.70723087
2004-01-01T00:00:00Z,Selo,NA,numeric,0.6864887
2005-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.70313334
2005-01-01T00:00:00Z,Seup,NA,numeric,0.71161693
2005-01-01T00:00:00Z,Selo,NA,numeric,0.69464976
2006-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.66662806
2006-01-01T00:00:00Z,Seup,NA,numeric,0.6773945
2006-01-01T00:00:00Z,Selo,NA,numeric,0.65586156
2007-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.66664577
2007-01-01T00:00:00Z,Seup,NA,numeric,0.6764154
2007-01-01T00:00:00Z,Selo,NA,numeric,0.65687615
2008-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.6498668
2008-01-01T00:00:00Z,Seup,NA,numeric,0.66045076
2008-01-01T00:00:00Z,Selo,NA,numeric,0.6392828
2009-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.6490369
2009-01-01T00:00:00Z,Seup,NA,numeric,0.6597795
2009-01-01T00:00:00Z,Selo,NA,numeric,0.63829434
2010-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.69085115
2010-01-01T00:00:00Z,Seup,NA,numeric,0.7005161
2010-01-01T00:00:00Z,Selo,NA,numeric,0.68118626
2011-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.7018724
2011-01-01T00:00:00Z,Seup,NA,numeric,0.71187925
2011-01-01T00:00:00Z,Selo,NA,numeric,0.6918655
2012-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.67451024
2012-01-01T00:00:00Z,Seup,NA,numeric,0.68461686
2012-01-01T00:00:00Z,Selo,NA,numeric,0.66440356
2013-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.6769684
2013-01-01T00:00:00Z,Seup,NA,numeric,0.6879293
2013-01-01T00:00:00Z,Selo,NA,numeric,0.6660076
2014-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.69063467
2014-01-01T00:00:00Z,Seup,NA,numeric,0.7002239
2014-01-01T00:00:00Z,Selo,NA,numeric,0.68104535
2015-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.72655386
2015-01-01T00:00:00Z,Seup,NA,numeric,0.7355888
2015-01-01T00:00:00Z,Selo,NA,numeric,0.7175189
2016-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.72541773
2016-01-01T00:00:00Z,Seup,NA,numeric,0.73428494
2016-01-01T00:00:00Z,Selo,NA,numeric,0.7165505
2017-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.69352084
2017-01-01T00:00:00Z,Seup,NA,numeric,0.7026459
2017-01-01T00:00:00Z,Selo,NA,numeric,0.68439585
2018-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.6667273
2018-01-01T00:00:00Z,Seup,NA,numeric,0.67664456
2018-01-01T00:00:00Z,Selo,NA,numeric,0.65681005
2003-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.62544096
2003-01-01T00:00:00Z,Seup,NA,numeric,0.6391379
2003-01-01T00:00:00Z,Selo,NA,numeric,0.611744
2004-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.6046611
2004-01-01T00:00:00Z,Seup,NA,numeric,0.61836255
2004-01-01T00:00:00Z,Selo,NA,numeric,0.59095967
2005-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.6138339
2005-01-01T00:00:00Z,Seup,NA,numeric,0.6254018
2005-01-01T00:00:00Z,Selo,NA,numeric,0.6022661
2006-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.6288516
2006-01-01T00:00:00Z,Seup,NA,numeric,0.63972545
2006-01-01T00:00:00Z,Selo,NA,numeric,0.61797774
2007-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.6405637
2007-01-01T00:00:00Z,Seup,NA,numeric,0.65106666
2007-01-01T00:00:00Z,Selo,NA,numeric,0.6300608
2008-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.60431236
2008-01-01T00:00:00Z,Seup,NA,numeric,0.6147153
2008-01-01T00:00:00Z,Selo,NA,numeric,0.59390944
2009-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.6001309
2009-01-01T00:00:00Z,Seup,NA,numeric,0.6113339
2009-01-01T00:00:00Z,Selo,NA,numeric,0.588928
2010-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.6196735
2010-01-01T00:00:00Z,Seup,NA,numeric,0.62969214
2010-01-01T00:00:00Z,Selo,NA,numeric,0.60965484
2011-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.6323094
2011-01-01T00:00:00Z,Seup,NA,numeric,0.64290655
2011-01-01T00:00:00Z,Selo,NA,numeric,0.62171215
2012-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.61159724
2012-01-01T00:00:00Z,Seup,NA,numeric,0.6235584
2012-01-01T00:00:00Z,Selo,NA,numeric,0.5996361
2013-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.63346386
2013-01-01T00:00:00Z,Seup,NA,numeric,0.64698696
2013-01-01T00:00:00Z,Selo,NA,numeric,0.6199408
2014-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.63913697
2014-01-01T00:00:00Z,Seup,NA,numeric,0.6505305
2014-01-01T00:00:00Z,Selo,NA,numeric,0.6277434
2015-01-01T00:00:00Z,simpson_diversity,NA,numeric,0.6490213
