time,variable,value_character,value_type,value_numeric
2003-01-01T00:00:00Z,population,Coastwide,character,NA
2004-01-01T00:00:00Z,population,Coastwide,character,NA
2005-01-01T00:00:00Z,population,Coastwide,character,NA
2006-01-01T00:00:00Z,population,Coastwide,character,NA
2007-01-01T00:00:00Z,population,Coastwide,character,NA
2008-01-01T00:00:00Z,population,Coastwide,character,NA
2009-01-01T00:00:00Z,population,Coastwide,character,NA
2010-01-01T00:00:00Z,population,Coastwide,character,NA
2011-01-01T00:00:00Z,population,Coastwide,character,NA
2012-01-01T00:00:00Z,population,Coastwide,character,NA
2013-01-01T00:00:00Z,population,Coastwide,character,NA
2014-01-01T00:00:00Z,population,Coastwide,character,NA
2015-01-01T00:00:00Z,population,Coastwide,character,NA
2016-01-01T00:00:00Z,population,Coastwide,character,NA
2017-01-01T00:00:00Z,population,Coastwide,character,NA
2018-01-01T00:00:00Z,population,Coastwide,character,NA
2003-01-01T00:00:00Z,population,North,character,NA
2004-01-01T00:00:00Z,population,North,character,NA
2005-01-01T00:00:00Z,population,North,character,NA
2006-01-01T00:00:00Z,population,North,character,NA
2007-01-01T00:00:00Z,population,North,character,NA
2008-01-01T00:00:00Z,population,North,character,NA
2009-01-01T00:00:00Z,population,North,character,NA
2010-01-01T00:00:00Z,population,North,character,NA
2011-01-01T00:00:00Z,population,North,character,NA
2012-01-01T00:00:00Z,population,North,character,NA
2013-01-01T00:00:00Z,population,North,character,NA
2014-01-01T00:00:00Z,population,North,character,NA
2015-01-01T00:00:00Z,population,North,character,NA
2016-01-01T00:00:00Z,population,North,character,NA
2017-01-01T00:00:00Z,population,North,character,NA
2018-01-01T00:00:00Z,population,North,character,NA
2003-01-01T00:00:00Z,population,South,character,NA
2004-01-01T00:00:00Z,population,South,character,NA
2005-01-01T00:00:00Z,population,South,character,NA
2006-01-01T00:00:00Z,population,South,character,NA
2007-01-01T00:00:00Z,population,South,character,NA
2008-01-01T00:00:00Z,population,South,character,NA
2009-01-01T00:00:00Z,population,South,character,NA
2010-01-01T00:00:00Z,population,South,character,NA
2011-01-01T00:00:00Z,population,South,character,NA
2012-01-01T00:00:00Z,population,South,character,NA
2013-01-01T00:00:00Z,population,South,character,NA
2014-01-01T00:00:00Z,population,South,character,NA
2015-01-01T00:00:00Z,population,South,character,NA
2016-01-01T00:00:00Z,population,South,character,NA
2017-01-01T00:00:00Z,population,South,character,NA
2018-01-01T00:00:00Z,population,South,character,NA
2003-01-01T00:00:00Z,species_richness,NA,numeric,31.844467
2003-01-01T00:00:00Z,Seup,NA,numeric,34.266556
2003-01-01T00:00:00Z,Selo,NA,numeric,29.422377
2004-01-01T00:00:00Z,species_richness,NA,numeric,32.624172
2004-01-01T00:00:00Z,Seup,NA,numeric,33.98079
2004-01-01T00:00:00Z,Selo,NA,numeric,31.267557
2005-01-01T00:00:00Z,species_richness,NA,numeric,33.576115
2005-01-01T00:00:00Z,Seup,NA,numeric,35.77528
2005-01-01T00:00:00Z,Selo,NA,numeric,31.376945
2006-01-01T00:00:00Z,species_richness,NA,numeric,35.391285
2006-01-01T00:00:00Z,Seup,NA,numeric,37.4569
2006-01-01T00:00:00Z,Selo,NA,numeric,33.32567
2007-01-01T00:00:00Z,species_richness,NA,numeric,35.279217
2007-01-01T00:00:00Z,Seup,NA,numeric,36.84814
2007-01-01T00:00:00Z,Selo,NA,numeric,33.71029
2008-01-01T00:00:00Z,species_richness,NA,numeric,35.162136
2008-01-01T00:00:00Z,Seup,NA,numeric,37.17318
2008-01-01T00:00:00Z,Selo,NA,numeric,33.151096
2009-01-01T00:00:00Z,species_richness,NA,numeric,36.97578
2009-01-01T00:00:00Z,Seup,NA,numeric,38.7872
2009-01-01T00:00:00Z,Selo,NA,numeric,35.16436
2010-01-01T00:00:00Z,species_richness,NA,numeric,36.76255
2010-01-01T00:00:00Z,Seup,NA,numeric,38.540173
2010-01-01T00:00:00Z,Selo,NA,numeric,34.98493
2011-01-01T00:00:00Z,species_richness,NA,numeric,35.729042
2011-01-01T00:00:00Z,Seup,NA,numeric,37.834694
2011-01-01T00:00:00Z,Selo,NA,numeric,33.62339
2012-01-01T00:00:00Z,species_richness,NA,numeric,33.230637
2012-01-01T00:00:00Z,Seup,NA,numeric,34.997375
2012-01-01T00:00:00Z,Selo,NA,numeric,31.4639
2013-01-01T00:00:00Z,species_richness,NA,numeric,33.027905
2013-01-01T00:00:00Z,Seup,NA,numeric,34.60613
2013-01-01T00:00:00Z,Selo,NA,numeric,31.449678
2014-01-01T00:00:00Z,species_richness,NA,numeric,34.615135
2014-01-01T00:00:00Z,Seup,NA,numeric,36.019753
2014-01-01T00:00:00Z,Selo,NA,numeric,33.210518
2015-01-01T00:00:00Z,species_richness,NA,numeric,37.257847
2015-01-01T00:00:00Z,Seup,NA,numeric,39.37135
2015-01-01T00:00:00Z,Selo,NA,numeric,35.14434
2016-01-01T00:00:00Z,species_richness,NA,numeric,34.156624
2016-01-01T00:00:00Z,Seup,NA,numeric,35.56017
2016-01-01T00:00:00Z,Selo,NA,numeric,32.75308
2017-01-01T00:00:00Z,species_richness,NA,numeric,34.823803
2017-01-01T00:00:00Z,Seup,NA,numeric,36.693314
2017-01-01T00:00:00Z,Selo,NA,numeric,32.95429
2018-01-01T00:00:00Z,species_richness,NA,numeric,33.9063
2018-01-01T00:00:00Z,Seup,NA,numeric,35.60863
2018-01-01T00:00:00Z,Selo,NA,numeric,32.203968
2003-01-01T00:00:00Z,species_richness,NA,numeric,28.58534
2003-01-01T00:00:00Z,Seup,NA,numeric,31.001034
2003-01-01T00:00:00Z,Selo,NA,numeric,26.16965
2004-01-01T00:00:00Z,species_richness,NA,numeric,31.64249
2004-01-01T00:00:00Z,Seup,NA,numeric,33.673183
2004-01-01T00:00:00Z,Selo,NA,numeric,29.611797
2005-01-01T00:00:00Z,species_richness,NA,numeric,33.00336
2005-01-01T00:00:00Z,Seup,NA,numeric,35.82838
2005-01-01T00:00:00Z,Selo,NA,numeric,30.178337
2006-01-01T00:00:00Z,species_richness,NA,numeric,31.742296
2006-01-01T00:00:00Z,Seup,NA,numeric,34.354294
2006-01-01T00:00:00Z,Selo,NA,numeric,29.130297
2007-01-01T00:00:00Z,species_richness,NA,numeric,32.022392
2007-01-01T00:00:00Z,Seup,NA,numeric,34.527542
2007-01-01T00:00:00Z,Selo,NA,numeric,29.517242
2008-01-01T00:00:00Z,species_richness,NA,numeric,32.85321
2008-01-01T00:00:00Z,Seup,NA,numeric,35.45266
2008-01-01T00:00:00Z,Selo,NA,numeric,30.253765
2009-01-01T00:00:00Z,species_richness,NA,numeric,33.642994
2009-01-01T00:00:00Z,Seup,NA,numeric,36.08954
2009-01-01T00:00:00Z,Selo,NA,numeric,31.196447
2010-01-01T00:00:00Z,species_richness,NA,numeric,34.55927
2010-01-01T00:00:00Z,Seup,NA,numeric,37.38558
2010-01-01T00:00:00Z,Selo,NA,numeric,31.732964
2011-01-01T00:00:00Z,species_richness,NA,numeric,31.555302
2011-01-01T00:00:00Z,Seup,NA,numeric,33.783096
2011-01-01T00:00:00Z,Selo,NA,numeric,29.327507
2012-01-01T00:00:00Z,species_richness,NA,numeric,31.890467
2012-01-01T00:00:00Z,Seup,NA,numeric,33.853863
2012-01-01T00:00:00Z,Selo,NA,numeric,29.92707
2013-01-01T00:00:00Z,species_richness,NA,numeric,32.57431
2013-01-01T00:00:00Z,Seup,NA,numeric,34.857647
2013-01-01T00:00:00Z,Selo,NA,numeric,30.290976
2014-01-01T00:00:00Z,species_richness,NA,numeric,33.07327
2014-01-01T00:00:00Z,Seup,NA,numeric,35.34717
2014-01-01T00:00:00Z,Selo,NA,numeric,30.799364
2015-01-01T00:00:00Z,species_richness,NA,numeric,33.87096
2015-01-01T00:00:00Z,Seup,NA,numeric,36.850338
2015-01-01T00:00:00Z,Selo,NA,numeric,30.891582
2016-01-01T00:00:00Z,species_richness,NA,numeric,32.548244
2016-01-01T00:00:00Z,Seup,NA,numeric,34.923126
2016-01-01T00:00:00Z,Selo,NA,numeric,30.173365
2017-01-01T00:00:00Z,species_richness,NA,numeric,32.07025
2017-01-01T00:00:00Z,Seup,NA,numeric,34.42029
2017-01-01T00:00:00Z,Selo,NA,numeric,29.720211
2018-01-01T00:00:00Z,species_richness,NA,numeric,31.445175
2018-01-01T00:00:00Z,Seup,NA,numeric,33.917572
2018-01-01T00:00:00Z,Selo,NA,numeric,28.972778
2003-01-01T00:00:00Z,species_richness,NA,numeric,34.700306
2003-01-01T00:00:00Z,Seup,NA,numeric,38.69447
2003-01-01T00:00:00Z,Selo,NA,numeric,30.706144
2004-01-01T00:00:00Z,species_richness,NA,numeric,33.484383
2004-01-01T00:00:00Z,Seup,NA,numeric,35.51409
2004-01-01T00:00:00Z,Selo,NA,numeric,31.454672
2005-01-01T00:00:00Z,species_richness,NA,numeric,34.077995
2005-01-01T00:00:00Z,Seup,NA,numeric,37.77616
2005-01-01T00:00:00Z,Selo,NA,numeric,30.37983
2006-01-01T00:00:00Z,species_richness,NA,numeric,38.58875
2006-01-01T00:00:00Z,Seup,NA,numeric,41.38318
2006-01-01T00:00:00Z,Selo,NA,numeric,35.79432
2007-01-01T00:00:00Z,species_richness,NA,numeric,38.133038
2007-01-01T00:00:00Z,Seup,NA,numeric,39.470963
2007-01-01T00:00:00Z,Selo,NA,numeric,36.79511
2008-01-01T00:00:00Z,species_richness,NA,numeric,37.185356
2008-01-01T00:00:00Z,Seup,NA,numeric,40.29344
2008-01-01T00:00:00Z,Selo,NA,numeric,34.077267
2009-01-01T00:00:00Z,species_richness,NA,numeric,39.896168
2009-01-01T00:00:00Z,Seup,NA,numeric,42.16922
2009-01-01T00:00:00Z,Selo,NA,numeric,37.62311
2010-01-01T00:00:00Z,species_richness,NA,numeric,38.693195
2010-01-01T00:00:00Z,Seup,NA,numeric,40.999695
2010-01-01T00:00:00Z,Selo,NA,numeric,36.386696
2011-01-01T00:00:00Z,species_richness,NA,numeric,39.386322
2011-01-01T00:00:00Z,Seup,NA,numeric,42.29574
2011-01-01T00:00:00Z,Selo,NA,numeric,36.476902
2012-01-01T00:00:00Z,species_richness,NA,numeric,34.404972
2012-01-01T00:00:00Z,Seup,NA,numeric,37.445293
2012-01-01T00:00:00Z,Selo,NA,numeric,31.364655
2013-01-01T00:00:00Z,species_richness,NA,numeric,33.42537
2013-01-01T00:00:00Z,Seup,NA,numeric,35.919098
2013-01-01T00:00:00Z,Selo,NA,numeric,30.93164
2014-01-01T00:00:00Z,species_richness,NA,numeric,35.966213
2014-01-01T00:00:00Z,Seup,NA,numeric,37.812378
2014-01-01T00:00:00Z,Selo,NA,numeric,34.12005
2015-01-01T00:00:00Z,species_richness,NA,numeric,40.225636
2015-01-01T00:00:00Z,Seup,NA,numeric,43.006912
2015-01-01T00:00:00Z,Selo,NA,numeric,37.444355
2016-01-01T00:00:00Z,species_richness,NA,numeric,35.56598
2016-01-01T00:00:00Z,Seup,NA,numeric,37.292072
2016-01-01T00:00:00Z,Selo,NA,numeric,33.83989
2017-01-01T00:00:00Z,species_richness,NA,numeric,37.236626
2017-01-01T00:00:00Z,Seup,NA,numeric,39.98848
2017-01-01T00:00:00Z,Selo,NA,numeric,34.48477
2018-01-01T00:00:00Z,species_richness,NA,numeric,36.062885
