time,variable,value_character,value_type,value_numeric
2003-01-01T00:00:00Z,species_group,Spotted ratfish,character,NA
2004-01-01T00:00:00Z,species_group,Spotted ratfish,character,NA
2005-01-01T00:00:00Z,species_group,Spotted ratfish,character,NA
2006-01-01T00:00:00Z,species_group,Spotted ratfish,character,NA
2007-01-01T00:00:00Z,species_group,Spotted ratfish,character,NA
2008-01-01T00:00:00Z,species_group,Spotted ratfish,character,NA
2009-01-01T00:00:00Z,species_group,Spotted ratfish,character,NA
2010-01-01T00:00:00Z,species_group,Spotted ratfish,character,NA
2011-01-01T00:00:00Z,species_group,Spotted ratfish,character,NA
2012-01-01T00:00:00Z,species_group,Spotted ratfish,character,NA
2013-01-01T00:00:00Z,species_group,Spotted ratfish,character,NA
2014-01-01T00:00:00Z,species_group,Spotted ratfish,character,NA
2015-01-01T00:00:00Z,species_group,Spotted ratfish,character,NA
2003-01-01T00:00:00Z,species_group,Longnose skate,character,NA
2004-01-01T00:00:00Z,species_group,Longnose skate,character,NA
2005-01-01T00:00:00Z,species_group,Longnose skate,character,NA
2006-01-01T00:00:00Z,species_group,Longnose skate,character,NA
2007-01-01T00:00:00Z,species_group,Longnose skate,character,NA
2008-01-01T00:00:00Z,species_group,Longnose skate,character,NA
2009-01-01T00:00:00Z,species_group,Longnose skate,character,NA
2010-01-01T00:00:00Z,species_group,Longnose skate,character,NA
2011-01-01T00:00:00Z,species_group,Longnose skate,character,NA
2012-01-01T00:00:00Z,species_group,Longnose skate,character,NA
2013-01-01T00:00:00Z,species_group,Longnose skate,character,NA
2014-01-01T00:00:00Z,species_group,Longnose skate,character,NA
2015-01-01T00:00:00Z,species_group,Longnose skate,character,NA
2003-01-01T00:00:00Z,species_group,Arrowtooth flounder,character,NA
2004-01-01T00:00:00Z,species_group,Arrowtooth flounder,character,NA
2005-01-01T00:00:00Z,species_group,Arrowtooth flounder,character,NA
2006-01-01T00:00:00Z,species_group,Arrowtooth flounder,character,NA
2007-01-01T00:00:00Z,species_group,Arrowtooth flounder,character,NA
2008-01-01T00:00:00Z,species_group,Arrowtooth flounder,character,NA
2009-01-01T00:00:00Z,species_group,Arrowtooth flounder,character,NA
2010-01-01T00:00:00Z,species_group,Arrowtooth flounder,character,NA
2011-01-01T00:00:00Z,species_group,Arrowtooth flounder,character,NA
2012-01-01T00:00:00Z,species_group,Arrowtooth flounder,character,NA
2013-01-01T00:00:00Z,species_group,Arrowtooth flounder,character,NA
2014-01-01T00:00:00Z,species_group,Arrowtooth flounder,character,NA
2015-01-01T00:00:00Z,species_group,Arrowtooth flounder,character,NA
2003-01-01T00:00:00Z,species_group,English sole,character,NA
2004-01-01T00:00:00Z,species_group,English sole,character,NA
2005-01-01T00:00:00Z,species_group,English sole,character,NA
2006-01-01T00:00:00Z,species_group,English sole,character,NA
2007-01-01T00:00:00Z,species_group,English sole,character,NA
2008-01-01T00:00:00Z,species_group,English sole,character,NA
2009-01-01T00:00:00Z,species_group,English sole,character,NA
2010-01-01T00:00:00Z,species_group,English sole,character,NA
2011-01-01T00:00:00Z,species_group,English sole,character,NA
2012-01-01T00:00:00Z,species_group,English sole,character,NA
2013-01-01T00:00:00Z,species_group,English sole,character,NA
2014-01-01T00:00:00Z,species_group,English sole,character,NA
2015-01-01T00:00:00Z,species_group,English sole,character,NA
2003-01-01T00:00:00Z,species_group,Flathead sole,character,NA
2004-01-01T00:00:00Z,species_group,Flathead sole,character,NA
2005-01-01T00:00:00Z,species_group,Flathead sole,character,NA
2006-01-01T00:00:00Z,species_group,Flathead sole,character,NA
2007-01-01T00:00:00Z,species_group,Flathead sole,character,NA
2008-01-01T00:00:00Z,species_group,Flathead sole,character,NA
2009-01-01T00:00:00Z,species_group,Flathead sole,character,NA
2010-01-01T00:00:00Z,species_group,Flathead sole,character,NA
2011-01-01T00:00:00Z,species_group,Flathead sole,character,NA
2012-01-01T00:00:00Z,species_group,Flathead sole,character,NA
2013-01-01T00:00:00Z,species_group,Flathead sole,character,NA
2014-01-01T00:00:00Z,species_group,Flathead sole,character,NA
2015-01-01T00:00:00Z,species_group,Flathead sole,character,NA
2003-01-01T00:00:00Z,species_group,Pacific sanddab,character,NA
2004-01-01T00:00:00Z,species_group,Pacific sanddab,character,NA
2005-01-01T00:00:00Z,species_group,Pacific sanddab,character,NA
2006-01-01T00:00:00Z,species_group,Pacific sanddab,character,NA
2007-01-01T00:00:00Z,species_group,Pacific sanddab,character,NA
2008-01-01T00:00:00Z,species_group,Pacific sanddab,character,NA
2009-01-01T00:00:00Z,species_group,Pacific sanddab,character,NA
2010-01-01T00:00:00Z,species_group,Pacific sanddab,character,NA
2011-01-01T00:00:00Z,species_group,Pacific sanddab,character,NA
2012-01-01T00:00:00Z,species_group,Pacific sanddab,character,NA
2013-01-01T00:00:00Z,species_group,Pacific sanddab,character,NA
2014-01-01T00:00:00Z,species_group,Pacific sanddab,character,NA
2015-01-01T00:00:00Z,species_group,Pacific sanddab,character,NA
2003-01-01T00:00:00Z,species_group,Chilipepper,character,NA
2004-01-01T00:00:00Z,species_group,Chilipepper,character,NA
2005-01-01T00:00:00Z,species_group,Chilipepper,character,NA
2006-01-01T00:00:00Z,species_group,Chilipepper,character,NA
2007-01-01T00:00:00Z,species_group,Chilipepper,character,NA
2008-01-01T00:00:00Z,species_group,Chilipepper,character,NA
2009-01-01T00:00:00Z,species_group,Chilipepper,character,NA
2010-01-01T00:00:00Z,species_group,Chilipepper,character,NA
2011-01-01T00:00:00Z,species_group,Chilipepper,character,NA
2012-01-01T00:00:00Z,species_group,Chilipepper,character,NA
2013-01-01T00:00:00Z,species_group,Chilipepper,character,NA
2014-01-01T00:00:00Z,species_group,Chilipepper,character,NA
2015-01-01T00:00:00Z,species_group,Chilipepper,character,NA
2003-01-01T00:00:00Z,species_group,Shortbelly rockfish,character,NA
2004-01-01T00:00:00Z,species_group,Shortbelly rockfish,character,NA
2005-01-01T00:00:00Z,species_group,Shortbelly rockfish,character,NA
2006-01-01T00:00:00Z,species_group,Shortbelly rockfish,character,NA
2007-01-01T00:00:00Z,species_group,Shortbelly rockfish,character,NA
2008-01-01T00:00:00Z,species_group,Shortbelly rockfish,character,NA
2009-01-01T00:00:00Z,species_group,Shortbelly rockfish,character,NA
2010-01-01T00:00:00Z,species_group,Shortbelly rockfish,character,NA
2011-01-01T00:00:00Z,species_group,Shortbelly rockfish,character,NA
2012-01-01T00:00:00Z,species_group,Shortbelly rockfish,character,NA
2013-01-01T00:00:00Z,species_group,Shortbelly rockfish,character,NA
2014-01-01T00:00:00Z,species_group,Shortbelly rockfish,character,NA
2015-01-01T00:00:00Z,species_group,Shortbelly rockfish,character,NA
2003-01-01T00:00:00Z,species_group,Redstripe rockfish,character,NA
2004-01-01T00:00:00Z,species_group,Redstripe rockfish,character,NA
2005-01-01T00:00:00Z,species_group,Redstripe rockfish,character,NA
2006-01-01T00:00:00Z,species_group,Redstripe rockfish,character,NA
2007-01-01T00:00:00Z,species_group,Redstripe rockfish,character,NA
2008-01-01T00:00:00Z,species_group,Redstripe rockfish,character,NA
2009-01-01T00:00:00Z,species_group,Redstripe rockfish,character,NA
2010-01-01T00:00:00Z,species_group,Redstripe rockfish,character,NA
2011-01-01T00:00:00Z,species_group,Redstripe rockfish,character,NA
2012-01-01T00:00:00Z,species_group,Redstripe rockfish,character,NA
2013-01-01T00:00:00Z,species_group,Redstripe rockfish,character,NA
2014-01-01T00:00:00Z,species_group,Redstripe rockfish,character,NA
2015-01-01T00:00:00Z,species_group,Redstripe rockfish,character,NA
2003-01-01T00:00:00Z,species_group,Stripetail rockfish,character,NA
2004-01-01T00:00:00Z,species_group,Stripetail rockfish,character,NA
2005-01-01T00:00:00Z,species_group,Stripetail rockfish,character,NA
2006-01-01T00:00:00Z,species_group,Stripetail rockfish,character,NA
2007-01-01T00:00:00Z,species_group,Stripetail rockfish,character,NA
2008-01-01T00:00:00Z,species_group,Stripetail rockfish,character,NA
2009-01-01T00:00:00Z,species_group,Stripetail rockfish,character,NA
2010-01-01T00:00:00Z,species_group,Stripetail rockfish,character,NA
2011-01-01T00:00:00Z,species_group,Stripetail rockfish,character,NA
2012-01-01T00:00:00Z,species_group,Stripetail rockfish,character,NA
2013-01-01T00:00:00Z,species_group,Stripetail rockfish,character,NA
2014-01-01T00:00:00Z,species_group,Stripetail rockfish,character,NA
2015-01-01T00:00:00Z,species_group,Stripetail rockfish,character,NA
2003-01-01T00:00:00Z,abundance_index,NA,numeric,29980.135
2004-01-01T00:00:00Z,abundance_index,NA,numeric,22119.275
2005-01-01T00:00:00Z,abundance_index,NA,numeric,39347.06
2006-01-01T00:00:00Z,abundance_index,NA,numeric,20958.863
2007-01-01T00:00:00Z,abundance_index,NA,numeric,26108.34
2008-01-01T00:00:00Z,abundance_index,NA,numeric,24047.268
2009-01-01T00:00:00Z,abundance_index,NA,numeric,18172.98
2010-01-01T00:00:00Z,abundance_index,NA,numeric,17014.18
2011-01-01T00:00:00Z,abundance_index,NA,numeric,24490.084
2012-01-01T00:00:00Z,abundance_index,NA,numeric,72155.766
2013-01-01T00:00:00Z,abundance_index,NA,numeric,25001.41
2014-01-01T00:00:00Z,abundance_index,NA,numeric,40445.562
2015-01-01T00:00:00Z,abundance_index,NA,numeric,32493.121
2003-01-01T00:00:00Z,abundance_index,NA,numeric,47995.61
2004-01-01T00:00:00Z,abundance_index,NA,numeric,54672.883
2005-01-01T00:00:00Z,abundance_index,NA,numeric,48744.465
2006-01-01T00:00:00Z,abundance_index,NA,numeric,53898.496
2007-01-01T00:00:00Z,abundance_index,NA,numeric,51019.164
2008-01-01T00:00:00Z,abundance_index,NA,numeric,54702.62
2009-01-01T00:00:00Z,abundance_index,NA,numeric,48511.633
2010-01-01T00:00:00Z,abundance_index,NA,numeric,55865.387
2011-01-01T00:00:00Z,abundance_index,NA,numeric,52281.203
2012-01-01T00:00:00Z,abundance_index,NA,numeric,55690.95
2013-01-01T00:00:00Z,abundance_index,NA,numeric,60361.574
2014-01-01T00:00:00Z,abundance_index,NA,numeric,54410.37
2015-01-01T00:00:00Z,abundance_index,NA,numeric,54060.88
2003-01-01T00:00:00Z,abundance_index,NA,numeric,44127.14
2004-01-01T00:00:00Z,abundance_index,NA,numeric,35960.465
2005-01-01T00:00:00Z,abundance_index,NA,numeric,42154.895
2006-01-01T00:00:00Z,abundance_index,NA,numeric,44570.086
2007-01-01T00:00:00Z,abundance_index,NA,numeric,34006.773
2008-01-01T00:00:00Z,abundance_index,NA,numeric,37056.457
2009-01-01T00:00:00Z,abundance_index,NA,numeric,51416.22
2010-01-01T00:00:00Z,abundance_index,NA,numeric,52163.887
2011-01-01T00:00:00Z,abundance_index,NA,numeric,56857.844
2012-01-01T00:00:00Z,abundance_index,NA,numeric,55239.457
2013-01-01T00:00:00Z,abundance_index,NA,numeric,60916.855
2014-01-01T00:00:00Z,abundance_index,NA,numeric,69198.414
2015-01-01T00:00:00Z,abundance_index,NA,numeric,39054.867
