time,variable,value_character,value_type,value_numeric
1969-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1970-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1971-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1972-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1973-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1974-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1975-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1976-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1977-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1978-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1979-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1980-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1981-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1982-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1983-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1984-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1985-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1986-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1987-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1988-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1989-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1990-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1991-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1992-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1993-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1994-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1995-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1996-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1997-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1998-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1999-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
2000-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
2001-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
2002-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
2003-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
2004-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
2005-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
2006-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
2007-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
2008-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
2009-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
2010-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
2011-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
2012-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
2013-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
2014-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
2015-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
2016-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
2017-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
2018-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
2019-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
2020-01-01T00:00:00Z,location,Columbia Glaciated,character,NA
1966-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1967-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1968-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1969-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1970-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1971-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1972-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1973-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1974-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1975-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1976-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1977-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1978-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1979-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1980-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1981-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1982-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1983-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1984-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1985-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1986-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1987-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1988-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1989-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1990-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1991-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1992-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1993-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1994-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1995-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1996-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1997-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1998-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1999-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
2000-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
2001-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
2002-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
2003-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
2004-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
2005-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
2006-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
2007-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
2008-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
2009-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
2010-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
2011-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
2012-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
2013-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
2014-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
2015-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
2016-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
2017-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
2018-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
2019-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
2020-01-01T00:00:00Z,location,Columbia Unglaciated,character,NA
1937-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1938-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1939-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1940-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1941-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1942-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1943-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1944-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1945-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1946-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1947-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1948-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1949-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1950-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1951-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1952-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1953-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1954-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1955-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1956-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1957-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1958-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1959-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1960-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1961-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1962-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1963-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1964-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1965-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1966-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1967-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1968-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1969-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1970-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1971-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1972-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1973-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1974-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1975-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1976-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1977-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1978-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1979-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1980-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1981-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1982-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1983-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1984-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1985-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1986-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1987-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1988-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1989-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1990-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1991-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1992-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1993-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1994-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1995-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1996-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1997-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1998-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1999-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
2000-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
2001-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
2002-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
2003-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
2004-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
2005-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
2006-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
2007-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
2008-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
2009-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
2010-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
2011-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
2012-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
2013-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
2014-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
2015-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
2016-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
2017-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
2018-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
2019-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
2020-01-01T00:00:00Z,location,OR & N CA Coast,character,NA
1919-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1920-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1921-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1922-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1923-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1924-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1925-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1926-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1927-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1928-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1929-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1930-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1931-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1932-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1933-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1934-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1935-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1936-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1937-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1938-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1939-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1940-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1941-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1942-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1943-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1944-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1945-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1946-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1947-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1948-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1949-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1950-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1951-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1952-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1953-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1954-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1955-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1956-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1957-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1958-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1959-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1960-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1961-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1962-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1963-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1964-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1965-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1966-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1967-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1968-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1969-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1970-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1971-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1972-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1973-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1974-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1975-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1976-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1977-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1978-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1979-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1980-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1981-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1982-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1983-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1984-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1985-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1986-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1987-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1988-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1989-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1990-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1991-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1992-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1993-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1994-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1995-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1996-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1997-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1998-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1999-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
2000-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
2001-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
2002-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
2003-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
2004-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
2005-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
2006-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
2007-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
2008-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
2009-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
2010-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
2011-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
2012-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
2013-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
2014-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
2015-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
2016-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
2017-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
2018-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
2019-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
2020-01-01T00:00:00Z,location,Sacramento - San Joaquin,character,NA
1981-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
1982-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
1983-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
1984-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
1985-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
1986-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
1987-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
1988-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
1989-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
1990-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
1991-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
1992-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
1993-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
1994-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
1995-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
1996-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
1997-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
1998-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
1999-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
2000-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
2001-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
2002-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
2003-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
2004-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
2005-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
2006-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
2007-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
2008-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
2009-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
2010-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
2011-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
2012-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
2013-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
2014-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
2015-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
2016-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
2017-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
2018-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
2019-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
2020-01-01T00:00:00Z,location,Salish Sea & WA Coast,character,NA
1969-01-01T00:00:00Z,SWE_anomaly,NA,numeric,0.784506
1969-01-01T00:00:00Z,Seup,NA,numeric,1.5634912
1969-01-01T00:00:00Z,Selo,NA,numeric,0.0048244474
