time,variable,value_character,value_type,value_numeric
2000-01-01T00:00:00Z,location,"Astoria city, Oregon",character,NA
2005-01-01T00:00:00Z,location,"Astoria city, Oregon",character,NA
2010-01-01T00:00:00Z,location,"Astoria city, Oregon",character,NA
2014-01-01T00:00:00Z,location,"Astoria city, Oregon",character,NA
2000-01-01T00:00:00Z,location,"Bellingham city, Washington",character,NA
2005-01-01T00:00:00Z,location,"Bellingham city, Washington",character,NA
2010-01-01T00:00:00Z,location,"Bellingham city, Washington",character,NA
2014-01-01T00:00:00Z,location,"Bellingham city, Washington",character,NA
2000-01-01T00:00:00Z,location,"Bodega Bay CDP, California",character,NA
2005-01-01T00:00:00Z,location,"Bodega Bay CDP, California",character,NA
2010-01-01T00:00:00Z,location,"Bodega Bay CDP, California",character,NA
2014-01-01T00:00:00Z,location,"Bodega Bay CDP, California",character,NA
2000-01-01T00:00:00Z,location,"Coos Bay city, Oregon",character,NA
2005-01-01T00:00:00Z,location,"Coos Bay city, Oregon",character,NA
2010-01-01T00:00:00Z,location,"Coos Bay city, Oregon",character,NA
2014-01-01T00:00:00Z,location,"Coos Bay city, Oregon",character,NA
2000-01-01T00:00:00Z,location,"Crescent City city, California",character,NA
2005-01-01T00:00:00Z,location,"Crescent City city, California",character,NA
2010-01-01T00:00:00Z,location,"Crescent City city, California",character,NA
2014-01-01T00:00:00Z,location,"Crescent City city, California",character,NA
2000-01-01T00:00:00Z,location,"El Granada CDP, California",character,NA
2005-01-01T00:00:00Z,location,"El Granada CDP, California",character,NA
2010-01-01T00:00:00Z,location,"El Granada CDP, California",character,NA
2014-01-01T00:00:00Z,location,"El Granada CDP, California",character,NA
2000-01-01T00:00:00Z,location,"Eureka city, California",character,NA
2005-01-01T00:00:00Z,location,"Eureka city, California",character,NA
2010-01-01T00:00:00Z,location,"Eureka city, California",character,NA
2014-01-01T00:00:00Z,location,"Eureka city, California",character,NA
2000-01-01T00:00:00Z,location,"Fort Bragg city, California",character,NA
2005-01-01T00:00:00Z,location,"Fort Bragg city, California",character,NA
2010-01-01T00:00:00Z,location,"Fort Bragg city, California",character,NA
2014-01-01T00:00:00Z,location,"Fort Bragg city, California",character,NA
2000-01-01T00:00:00Z,location,"Garibaldi city, Oregon",character,NA
2005-01-01T00:00:00Z,location,"Garibaldi city, Oregon",character,NA
2010-01-01T00:00:00Z,location,"Garibaldi city, Oregon",character,NA
2014-01-01T00:00:00Z,location,"Garibaldi city, Oregon",character,NA
2000-01-01T00:00:00Z,location,"Half Moon Bay city, California",character,NA
2005-01-01T00:00:00Z,location,"Half Moon Bay city, California",character,NA
2010-01-01T00:00:00Z,location,"Half Moon Bay city, California",character,NA
2014-01-01T00:00:00Z,location,"Half Moon Bay city, California",character,NA
2000-01-01T00:00:00Z,location,"Ilwaco city, Washington",character,NA
2005-01-01T00:00:00Z,location,"Ilwaco city, Washington",character,NA
2010-01-01T00:00:00Z,location,"Ilwaco city, Washington",character,NA
2014-01-01T00:00:00Z,location,"Ilwaco city, Washington",character,NA
2000-01-01T00:00:00Z,location,"Los Angeles city, California",character,NA
2005-01-01T00:00:00Z,location,"Los Angeles city, California",character,NA
2010-01-01T00:00:00Z,location,"Los Angeles city, California",character,NA
2014-01-01T00:00:00Z,location,"Los Angeles city, California",character,NA
2000-01-01T00:00:00Z,location,"Moss Landing CDP, California",character,NA
2005-01-01T00:00:00Z,location,"Moss Landing CDP, California",character,NA
2010-01-01T00:00:00Z,location,"Moss Landing CDP, California",character,NA
2014-01-01T00:00:00Z,location,"Moss Landing CDP, California",character,NA
2000-01-01T00:00:00Z,location,"Neah Bay CDP, Washington",character,NA
2005-01-01T00:00:00Z,location,"Neah Bay CDP, Washington",character,NA
2010-01-01T00:00:00Z,location,"Neah Bay CDP, Washington",character,NA
2014-01-01T00:00:00Z,location,"Neah Bay CDP, Washington",character,NA
2000-01-01T00:00:00Z,location,"Newport city, Oregon",character,NA
2005-01-01T00:00:00Z,location,"Newport city, Oregon",character,NA
2010-01-01T00:00:00Z,location,"Newport city, Oregon",character,NA
2014-01-01T00:00:00Z,location,"Newport city, Oregon",character,NA
