time,variable,value_character,value_type,value_numeric
2009-01-01T00:00:00Z,location,"Bodega Bay, CA",character,NA
2009-01-01T00:00:00Z,region,CCA,character,NA
2010-01-01T00:00:00Z,location,"Bodega Bay, CA",character,NA
2010-01-01T00:00:00Z,region,CCA,character,NA
2011-01-01T00:00:00Z,location,"Bodega Bay, CA",character,NA
2011-01-01T00:00:00Z,region,CCA,character,NA
2012-01-01T00:00:00Z,location,"Bodega Bay, CA",character,NA
2012-01-01T00:00:00Z,region,CCA,character,NA
2013-01-01T00:00:00Z,location,"Bodega Bay, CA",character,NA
2013-01-01T00:00:00Z,region,CCA,character,NA
2014-01-01T00:00:00Z,location,"Bodega Bay, CA",character,NA
2014-01-01T00:00:00Z,region,CCA,character,NA
2015-01-01T00:00:00Z,location,"Bodega Bay, CA",character,NA
2015-01-01T00:00:00Z,region,CCA,character,NA
2016-01-01T00:00:00Z,location,"Bodega Bay, CA",character,NA
2016-01-01T00:00:00Z,region,CCA,character,NA
2017-01-01T00:00:00Z,location,"Bodega Bay, CA",character,NA
2017-01-01T00:00:00Z,region,CCA,character,NA
2018-01-01T00:00:00Z,location,"Bodega Bay, CA",character,NA
2018-01-01T00:00:00Z,region,CCA,character,NA
2009-01-01T00:00:00Z,location,"Bolinas, CA",character,NA
2009-01-01T00:00:00Z,region,CCA,character,NA
2010-01-01T00:00:00Z,location,"Bolinas, CA",character,NA
2010-01-01T00:00:00Z,region,CCA,character,NA
2011-01-01T00:00:00Z,location,"Bolinas, CA",character,NA
2011-01-01T00:00:00Z,region,CCA,character,NA
2012-01-01T00:00:00Z,location,"Bolinas, CA",character,NA
2012-01-01T00:00:00Z,region,CCA,character,NA
2013-01-01T00:00:00Z,location,"Bolinas, CA",character,NA
2013-01-01T00:00:00Z,region,CCA,character,NA
2014-01-01T00:00:00Z,location,"Bolinas, CA",character,NA
2014-01-01T00:00:00Z,region,CCA,character,NA
2015-01-01T00:00:00Z,location,"Bolinas, CA",character,NA
2015-01-01T00:00:00Z,region,CCA,character,NA
2016-01-01T00:00:00Z,location,"Bolinas, CA",character,NA
2016-01-01T00:00:00Z,region,CCA,character,NA
2017-01-01T00:00:00Z,location,"Bolinas, CA",character,NA
2017-01-01T00:00:00Z,region,CCA,character,NA
2018-01-01T00:00:00Z,location,"Bolinas, CA",character,NA
2018-01-01T00:00:00Z,region,CCA,character,NA
2009-01-01T00:00:00Z,location,"Dillon Beach, CA",character,NA
2009-01-01T00:00:00Z,region,CCA,character,NA
2010-01-01T00:00:00Z,location,"Dillon Beach, CA",character,NA
2010-01-01T00:00:00Z,region,CCA,character,NA
2011-01-01T00:00:00Z,location,"Dillon Beach, CA",character,NA
2011-01-01T00:00:00Z,region,CCA,character,NA
2012-01-01T00:00:00Z,location,"Dillon Beach, CA",character,NA
2012-01-01T00:00:00Z,region,CCA,character,NA
2013-01-01T00:00:00Z,location,"Dillon Beach, CA",character,NA
2013-01-01T00:00:00Z,region,CCA,character,NA
2014-01-01T00:00:00Z,location,"Dillon Beach, CA",character,NA
2014-01-01T00:00:00Z,region,CCA,character,NA
2015-01-01T00:00:00Z,location,"Dillon Beach, CA",character,NA
2015-01-01T00:00:00Z,region,CCA,character,NA
2016-01-01T00:00:00Z,location,"Dillon Beach, CA",character,NA
2016-01-01T00:00:00Z,region,CCA,character,NA
2017-01-01T00:00:00Z,location,"Dillon Beach, CA",character,NA
2017-01-01T00:00:00Z,region,CCA,character,NA
2018-01-01T00:00:00Z,location,"Dillon Beach, CA",character,NA
2018-01-01T00:00:00Z,region,CCA,character,NA
2009-01-01T00:00:00Z,location,"El Granada, CA",character,NA
2009-01-01T00:00:00Z,region,CCA,character,NA
2010-01-01T00:00:00Z,location,"El Granada, CA",character,NA
2010-01-01T00:00:00Z,region,CCA,character,NA
2011-01-01T00:00:00Z,location,"El Granada, CA",character,NA
2011-01-01T00:00:00Z,region,CCA,character,NA
2012-01-01T00:00:00Z,location,"El Granada, CA",character,NA
2012-01-01T00:00:00Z,region,CCA,character,NA
2013-01-01T00:00:00Z,location,"El Granada, CA",character,NA
2013-01-01T00:00:00Z,region,CCA,character,NA
2014-01-01T00:00:00Z,location,"El Granada, CA",character,NA
2014-01-01T00:00:00Z,region,CCA,character,NA
2015-01-01T00:00:00Z,location,"El Granada, CA",character,NA
2015-01-01T00:00:00Z,region,CCA,character,NA
2016-01-01T00:00:00Z,location,"El Granada, CA",character,NA
2016-01-01T00:00:00Z,region,CCA,character,NA
2017-01-01T00:00:00Z,location,"El Granada, CA",character,NA
2017-01-01T00:00:00Z,region,CCA,character,NA
2018-01-01T00:00:00Z,location,"El Granada, CA",character,NA
2018-01-01T00:00:00Z,region,CCA,character,NA
2009-01-01T00:00:00Z,location,"Half Moon Bay, CA",character,NA
2009-01-01T00:00:00Z,region,CCA,character,NA
2010-01-01T00:00:00Z,location,"Half Moon Bay, CA",character,NA
2010-01-01T00:00:00Z,region,CCA,character,NA
2011-01-01T00:00:00Z,location,"Half Moon Bay, CA",character,NA
2011-01-01T00:00:00Z,region,CCA,character,NA
2012-01-01T00:00:00Z,location,"Half Moon Bay, CA",character,NA
2012-01-01T00:00:00Z,region,CCA,character,NA
2013-01-01T00:00:00Z,location,"Half Moon Bay, CA",character,NA
2013-01-01T00:00:00Z,region,CCA,character,NA
2014-01-01T00:00:00Z,location,"Half Moon Bay, CA",character,NA
2014-01-01T00:00:00Z,region,CCA,character,NA
2015-01-01T00:00:00Z,location,"Half Moon Bay, CA",character,NA
2015-01-01T00:00:00Z,region,CCA,character,NA
2016-01-01T00:00:00Z,location,"Half Moon Bay, CA",character,NA
2016-01-01T00:00:00Z,region,CCA,character,NA
2017-01-01T00:00:00Z,location,"Half Moon Bay, CA",character,NA
2017-01-01T00:00:00Z,region,CCA,character,NA
2018-01-01T00:00:00Z,location,"Half Moon Bay, CA",character,NA
2018-01-01T00:00:00Z,region,CCA,character,NA
2009-01-01T00:00:00Z,location,"Monterey, CA",character,NA
2009-01-01T00:00:00Z,region,CCA,character,NA
2010-01-01T00:00:00Z,location,"Monterey, CA",character,NA
2010-01-01T00:00:00Z,region,CCA,character,NA
2011-01-01T00:00:00Z,location,"Monterey, CA",character,NA
2011-01-01T00:00:00Z,region,CCA,character,NA
2012-01-01T00:00:00Z,location,"Monterey, CA",character,NA
2012-01-01T00:00:00Z,region,CCA,character,NA
2013-01-01T00:00:00Z,location,"Monterey, CA",character,NA
2013-01-01T00:00:00Z,region,CCA,character,NA
2014-01-01T00:00:00Z,location,"Monterey, CA",character,NA
2014-01-01T00:00:00Z,region,CCA,character,NA
2015-01-01T00:00:00Z,location,"Monterey, CA",character,NA
2015-01-01T00:00:00Z,region,CCA,character,NA
2016-01-01T00:00:00Z,location,"Monterey, CA",character,NA
2016-01-01T00:00:00Z,region,CCA,character,NA
2017-01-01T00:00:00Z,location,"Monterey, CA",character,NA
2017-01-01T00:00:00Z,region,CCA,character,NA
2018-01-01T00:00:00Z,location,"Monterey, CA",character,NA
2018-01-01T00:00:00Z,region,CCA,character,NA
2009-01-01T00:00:00Z,location,"Morro Bay, CA",character,NA
2009-01-01T00:00:00Z,region,CCA,character,NA
2010-01-01T00:00:00Z,location,"Morro Bay, CA",character,NA
2010-01-01T00:00:00Z,region,CCA,character,NA
2011-01-01T00:00:00Z,location,"Morro Bay, CA",character,NA
2011-01-01T00:00:00Z,region,CCA,character,NA
2012-01-01T00:00:00Z,location,"Morro Bay, CA",character,NA
2012-01-01T00:00:00Z,region,CCA,character,NA
2013-01-01T00:00:00Z,location,"Morro Bay, CA",character,NA
2013-01-01T00:00:00Z,region,CCA,character,NA
2014-01-01T00:00:00Z,location,"Morro Bay, CA",character,NA
2014-01-01T00:00:00Z,region,CCA,character,NA
2015-01-01T00:00:00Z,location,"Morro Bay, CA",character,NA
2015-01-01T00:00:00Z,region,CCA,character,NA
2016-01-01T00:00:00Z,location,"Morro Bay, CA",character,NA
2016-01-01T00:00:00Z,region,CCA,character,NA
2017-01-01T00:00:00Z,location,"Morro Bay, CA",character,NA
2017-01-01T00:00:00Z,region,CCA,character,NA
2018-01-01T00:00:00Z,location,"Morro Bay, CA",character,NA
2018-01-01T00:00:00Z,region,CCA,character,NA
2009-01-01T00:00:00Z,location,"Moss Landing, CA",character,NA
2009-01-01T00:00:00Z,region,CCA,character,NA
2010-01-01T00:00:00Z,location,"Moss Landing, CA",character,NA
2010-01-01T00:00:00Z,region,CCA,character,NA
2011-01-01T00:00:00Z,location,"Moss Landing, CA",character,NA
2011-01-01T00:00:00Z,region,CCA,character,NA
2012-01-01T00:00:00Z,location,"Moss Landing, CA",character,NA
2012-01-01T00:00:00Z,region,CCA,character,NA
2013-01-01T00:00:00Z,location,"Moss Landing, CA",character,NA
2013-01-01T00:00:00Z,region,CCA,character,NA
2014-01-01T00:00:00Z,location,"Moss Landing, CA",character,NA
2014-01-01T00:00:00Z,region,CCA,character,NA
2015-01-01T00:00:00Z,location,"Moss Landing, CA",character,NA
2015-01-01T00:00:00Z,region,CCA,character,NA
2016-01-01T00:00:00Z,location,"Moss Landing, CA",character,NA
2016-01-01T00:00:00Z,region,CCA,character,NA
2017-01-01T00:00:00Z,location,"Moss Landing, CA",character,NA
2017-01-01T00:00:00Z,region,CCA,character,NA
2018-01-01T00:00:00Z,location,"Moss Landing, CA",character,NA
2018-01-01T00:00:00Z,region,CCA,character,NA
2009-01-01T00:00:00Z,location,"Point Arena, CA",character,NA
2009-01-01T00:00:00Z,region,CCA,character,NA
2010-01-01T00:00:00Z,location,"Point Arena, CA",character,NA
2010-01-01T00:00:00Z,region,CCA,character,NA
2011-01-01T00:00:00Z,location,"Point Arena, CA",character,NA
2011-01-01T00:00:00Z,region,CCA,character,NA
2012-01-01T00:00:00Z,location,"Point Arena, CA",character,NA
2012-01-01T00:00:00Z,region,CCA,character,NA
2013-01-01T00:00:00Z,location,"Point Arena, CA",character,NA
2013-01-01T00:00:00Z,region,CCA,character,NA
2014-01-01T00:00:00Z,location,"Point Arena, CA",character,NA
2014-01-01T00:00:00Z,region,CCA,character,NA
2015-01-01T00:00:00Z,location,"Point Arena, CA",character,NA
2015-01-01T00:00:00Z,region,CCA,character,NA
2016-01-01T00:00:00Z,location,"Point Arena, CA",character,NA
2016-01-01T00:00:00Z,region,CCA,character,NA
2017-01-01T00:00:00Z,location,"Point Arena, CA",character,NA
2017-01-01T00:00:00Z,region,CCA,character,NA
2018-01-01T00:00:00Z,location,"Point Arena, CA",character,NA
2018-01-01T00:00:00Z,region,CCA,character,NA
2009-01-01T00:00:00Z,location,"San Francisco, CA",character,NA
2009-01-01T00:00:00Z,region,CCA,character,NA
2010-01-01T00:00:00Z,location,"San Francisco, CA",character,NA
2010-01-01T00:00:00Z,region,CCA,character,NA
2011-01-01T00:00:00Z,location,"San Francisco, CA",character,NA
2011-01-01T00:00:00Z,region,CCA,character,NA
2012-01-01T00:00:00Z,location,"San Francisco, CA",character,NA
2012-01-01T00:00:00Z,region,CCA,character,NA
2013-01-01T00:00:00Z,location,"San Francisco, CA",character,NA
2013-01-01T00:00:00Z,region,CCA,character,NA
2014-01-01T00:00:00Z,location,"San Francisco, CA",character,NA
2014-01-01T00:00:00Z,region,CCA,character,NA
2015-01-01T00:00:00Z,location,"San Francisco, CA",character,NA
2015-01-01T00:00:00Z,region,CCA,character,NA
2016-01-01T00:00:00Z,location,"San Francisco, CA",character,NA
2016-01-01T00:00:00Z,region,CCA,character,NA
2017-01-01T00:00:00Z,location,"San Francisco, CA",character,NA
2017-01-01T00:00:00Z,region,CCA,character,NA
2018-01-01T00:00:00Z,location,"San Francisco, CA",character,NA
2018-01-01T00:00:00Z,region,CCA,character,NA
2009-01-01T00:00:00Z,location,"Tomales, CA",character,NA
2009-01-01T00:00:00Z,region,CCA,character,NA
2010-01-01T00:00:00Z,location,"Tomales, CA",character,NA
2010-01-01T00:00:00Z,region,CCA,character,NA
2011-01-01T00:00:00Z,location,"Tomales, CA",character,NA
2011-01-01T00:00:00Z,region,CCA,character,NA
2012-01-01T00:00:00Z,location,"Tomales, CA",character,NA
