time,variable,value_character,value_numeric,value_type
1996-01-01T00:00:00Z,humpback_rate,NA,0,numeric
1996-01-01T00:00:00Z,humpback_anomaly,NA,-6.3381,numeric
1997-01-01T00:00:00Z,humpback_rate,NA,4.9,numeric
1997-01-01T00:00:00Z,humpback_anomaly,NA,-1.4381,numeric
2000-01-01T00:00:00Z,humpback_rate,NA,7.1,numeric
2000-01-01T00:00:00Z,humpback_anomaly,NA,0.7619,numeric
2001-01-01T00:00:00Z,humpback_rate,NA,3.7,numeric
2001-01-01T00:00:00Z,humpback_anomaly,NA,-2.6381,numeric
2002-01-01T00:00:00Z,humpback_rate,NA,3,numeric
2002-01-01T00:00:00Z,humpback_anomaly,NA,-3.3381,numeric
2003-01-01T00:00:00Z,humpback_rate,NA,10.6,numeric
2003-01-01T00:00:00Z,humpback_anomaly,NA,4.2619,numeric
2004-01-01T00:00:00Z,humpback_rate,NA,2.3,numeric
2004-01-01T00:00:00Z,humpback_anomaly,NA,-4.0381,numeric
2005-01-01T00:00:00Z,humpback_rate,NA,1.8,numeric
2005-01-01T00:00:00Z,humpback_anomaly,NA,-4.5381,numeric
2006-01-01T00:00:00Z,humpback_rate,NA,3.6,numeric
2006-01-01T00:00:00Z,humpback_anomaly,NA,-2.7381,numeric
2007-01-01T00:00:00Z,humpback_rate,NA,2.7,numeric
2007-01-01T00:00:00Z,humpback_anomaly,NA,-3.6381,numeric
2008-01-01T00:00:00Z,humpback_rate,NA,3.1,numeric
2008-01-01T00:00:00Z,humpback_anomaly,NA,-3.2381,numeric
2009-01-01T00:00:00Z,humpback_rate,NA,7.4,numeric
2009-01-01T00:00:00Z,humpback_anomaly,NA,1.0619,numeric
2010-01-01T00:00:00Z,humpback_rate,NA,2.6,numeric
2010-01-01T00:00:00Z,humpback_anomaly,NA,-3.7381,numeric
2012-01-01T00:00:00Z,humpback_rate,NA,11.9,numeric
2012-01-01T00:00:00Z,humpback_anomaly,NA,5.5619,numeric
2013-01-01T00:00:00Z,humpback_rate,NA,7.4,numeric
2013-01-01T00:00:00Z,humpback_anomaly,NA,1.0619,numeric
2014-01-01T00:00:00Z,humpback_rate,NA,4.7,numeric
2014-01-01T00:00:00Z,humpback_anomaly,NA,-1.6381,numeric
2015-01-01T00:00:00Z,humpback_rate,NA,13.4,numeric
2015-01-01T00:00:00Z,humpback_anomaly,NA,7.0619,numeric
2016-01-01T00:00:00Z,humpback_rate,NA,11.5,numeric
2016-01-01T00:00:00Z,humpback_anomaly,NA,5.1619,numeric
2017-01-01T00:00:00Z,humpback_rate,NA,1.3,numeric
2017-01-01T00:00:00Z,humpback_anomaly,NA,-5.0381,numeric
2018-01-01T00:00:00Z,humpback_rate,NA,17.2,numeric
2018-01-01T00:00:00Z,humpback_anomaly,NA,10.8619,numeric
2019-01-01T00:00:00Z,humpback_rate,NA,12.9,numeric
2019-01-01T00:00:00Z,humpback_anomaly,NA,6.5619,numeric
