time,variable,value_character,value_type,value_numeric
1974-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1974-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1975-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1975-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1976-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1976-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1977-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1977-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1978-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1978-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1979-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1979-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1980-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1980-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1981-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1981-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1982-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1982-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1983-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1983-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1984-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1984-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1985-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1985-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1986-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1986-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1987-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1987-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1988-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1988-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1989-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1989-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1990-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1990-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1991-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1991-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1992-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1992-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1993-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1993-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1994-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1994-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1995-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1995-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1996-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1996-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1997-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1997-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1998-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1998-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1999-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
1999-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
2000-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
2000-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
2001-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
2001-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
2002-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
2002-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
2003-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
2003-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
2004-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
2004-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
2005-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
2005-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
2006-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
2006-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
2007-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
2007-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
2008-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
2008-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
2009-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
2009-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
2010-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
2010-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
2011-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
2011-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
2012-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
2012-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
2013-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
2013-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
2014-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
2014-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
2015-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
2015-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
2016-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
2016-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
2017-01-01T00:00:00Z,common_name,Southern Resident Killer whale,character,NA
2017-01-01T00:00:00Z,scientific_name,Orcinus orca,character,NA
1967-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
1967-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
1968-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
1968-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
1969-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
1969-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
1970-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
1970-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
1971-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
1971-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
1972-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
1972-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
1973-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
1973-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
1974-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
1974-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
1975-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
1975-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
1976-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
1976-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
1977-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
1977-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
1978-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
1978-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
1979-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
1979-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
1984-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
1984-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
1985-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
1985-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
1987-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
1987-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
1992-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
1992-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
1993-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
1993-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
1995-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
1995-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
1997-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
1997-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
2000-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
2000-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
2001-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
2001-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
2006-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
2006-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
2007-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
2007-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
2009-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
2009-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
2010-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
2010-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
2014-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
2014-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
2015-01-01T00:00:00Z,common_name,Eastern North Pacific Gray whale,character,NA
2015-01-01T00:00:00Z,scientific_name,Eschrichtius robustus,character,NA
1986-01-01T00:00:00Z,common_name,Bottlenose dolphins - coastal CA stock,character,NA
1986-01-01T00:00:00Z,scientific_name,Tursiops truncatus,character,NA
1989-01-01T00:00:00Z,common_name,Bottlenose dolphins - coastal CA stock,character,NA
1989-01-01T00:00:00Z,scientific_name,Tursiops truncatus,character,NA
1998-01-01T00:00:00Z,common_name,Bottlenose dolphins - coastal CA stock,character,NA
1998-01-01T00:00:00Z,scientific_name,Tursiops truncatus,character,NA
2005-01-01T00:00:00Z,common_name,Bottlenose dolphins - coastal CA stock,character,NA
2005-01-01T00:00:00Z,scientific_name,Tursiops truncatus,character,NA
2011-01-01T00:00:00Z,common_name,Bottlenose dolphins - coastal CA stock,character,NA
2011-01-01T00:00:00Z,scientific_name,Tursiops truncatus,character,NA
1996-01-01T00:00:00Z,common_name,Short-beaked common dolphin,character,NA
1996-01-01T00:00:00Z,scientific_name,Delphinus delphis delphis,character,NA
2001-01-01T00:00:00Z,common_name,Short-beaked common dolphin,character,NA
2001-01-01T00:00:00Z,scientific_name,Delphinus delphis delphis,character,NA
2005-01-01T00:00:00Z,common_name,Short-beaked common dolphin,character,NA
2005-01-01T00:00:00Z,scientific_name,Delphinus delphis delphis,character,NA
2008-01-01T00:00:00Z,common_name,Short-beaked common dolphin,character,NA
2008-01-01T00:00:00Z,scientific_name,Delphinus delphis delphis,character,NA
2014-01-01T00:00:00Z,common_name,Short-beaked common dolphin,character,NA
2014-01-01T00:00:00Z,scientific_name,Delphinus delphis delphis,character,NA
1996-01-01T00:00:00Z,common_name,Dalls porpoise,character,NA
1996-01-01T00:00:00Z,scientific_name,Phocoenoides dalli dalli,character,NA
2001-01-01T00:00:00Z,common_name,Dalls porpoise,character,NA
2001-01-01T00:00:00Z,scientific_name,Phocoenoides dalli dalli,character,NA
2005-01-01T00:00:00Z,common_name,Dalls porpoise,character,NA
2005-01-01T00:00:00Z,scientific_name,Phocoenoides dalli dalli,character,NA
2008-01-01T00:00:00Z,common_name,Dalls porpoise,character,NA
2008-01-01T00:00:00Z,scientific_name,Phocoenoides dalli dalli,character,NA
2014-01-01T00:00:00Z,common_name,Dalls porpoise,character,NA
2014-01-01T00:00:00Z,scientific_name,Phocoenoides dalli dalli,character,NA
1996-01-01T00:00:00Z,common_name,Fin whale,character,NA
