time,variable,value_character,value_numeric,value_type
1997-01-01T00:00:00Z,live_pup_count,NA,19506,numeric
1997-01-01T00:00:00Z,live_pup_count_se,NA,84.02083,numeric
1997-01-01T00:00:00Z,mean_weight,NA,14.67228,numeric
1997-01-01T00:00:00Z,mean_weight_se,NA,0.14265397,numeric
1997-01-01T00:00:00Z,mean_growth_rate,NA,0.014053785,numeric
1997-01-01T00:00:00Z,mean_growth_rate_se,NA,0.002836337,numeric
1998-01-01T00:00:00Z,live_pup_count,NA,9428,numeric
1998-01-01T00:00:00Z,live_pup_count_se,NA,55.569775,numeric
1998-01-01T00:00:00Z,mean_weight,NA,13.02117,numeric
1998-01-01T00:00:00Z,mean_weight_se,NA,0.16808628,numeric
1998-01-01T00:00:00Z,mean_growth_rate,NA,0.078084394,numeric
1998-01-01T00:00:00Z,mean_growth_rate_se,NA,0.002937578,numeric
1999-01-01T00:00:00Z,live_pup_count,NA,20071,numeric
1999-01-01T00:00:00Z,live_pup_count_se,NA,140.06248,numeric
1999-01-01T00:00:00Z,mean_weight,NA,18.18332,numeric
1999-01-01T00:00:00Z,mean_weight_se,NA,0.13710004,numeric
1999-01-01T00:00:00Z,mean_growth_rate,NA,0.07610649,numeric
1999-01-01T00:00:00Z,mean_growth_rate_se,NA,0.006792762,numeric
2000-01-01T00:00:00Z,live_pup_count,NA,19880,numeric
2000-01-01T00:00:00Z,live_pup_count_se,NA,83.636116,numeric
2000-01-01T00:00:00Z,mean_weight,NA,17.13036,numeric
2000-01-01T00:00:00Z,mean_weight_se,NA,0.13264957,numeric
2000-01-01T00:00:00Z,mean_growth_rate,NA,0.07803073,numeric
2000-01-01T00:00:00Z,mean_growth_rate_se,NA,0.00347624,numeric
2001-01-01T00:00:00Z,live_pup_count,NA,19806,numeric
2001-01-01T00:00:00Z,live_pup_count_se,NA,84.0595,numeric
2001-01-01T00:00:00Z,mean_weight,NA,16.06002,numeric
2001-01-01T00:00:00Z,mean_weight_se,NA,0.15234305,numeric
2001-01-01T00:00:00Z,mean_growth_rate,NA,0.09302123,numeric
2001-01-01T00:00:00Z,mean_growth_rate_se,NA,0.003212752,numeric
2002-01-01T00:00:00Z,live_pup_count,NA,21447,numeric
2002-01-01T00:00:00Z,live_pup_count_se,NA,77.48548,numeric
2002-01-01T00:00:00Z,mean_weight,NA,17.01042,numeric
2002-01-01T00:00:00Z,mean_weight_se,NA,0.114657044,numeric
2002-01-01T00:00:00Z,mean_growth_rate,NA,0.0435491,numeric
2002-01-01T00:00:00Z,mean_growth_rate_se,NA,0.003768428,numeric
2003-01-01T00:00:00Z,live_pup_count,NA,16302,numeric
2003-01-01T00:00:00Z,live_pup_count_se,NA,104.686035,numeric
2003-01-01T00:00:00Z,mean_weight,NA,18.26605,numeric
2003-01-01T00:00:00Z,mean_weight_se,NA,0.104449324,numeric
2003-01-01T00:00:00Z,mean_growth_rate,NA,0.07959174,numeric
2003-01-01T00:00:00Z,mean_growth_rate_se,NA,0.005723092,numeric
2004-01-01T00:00:00Z,live_pup_count,NA,18961,numeric
2004-01-01T00:00:00Z,live_pup_count_se,NA,121.47222,numeric
2004-01-01T00:00:00Z,mean_weight,NA,20.63407,numeric
2004-01-01T00:00:00Z,mean_weight_se,NA,0.19370125,numeric
2004-01-01T00:00:00Z,mean_growth_rate,NA,0.07197844,numeric
2004-01-01T00:00:00Z,mean_growth_rate_se,NA,0.003157285,numeric
2005-01-01T00:00:00Z,live_pup_count,NA,21486,numeric
2005-01-01T00:00:00Z,live_pup_count_se,NA,51.990383,numeric
2005-01-01T00:00:00Z,mean_weight,NA,19.98707,numeric
2005-01-01T00:00:00Z,mean_weight_se,NA,0.1678959,numeric
2005-01-01T00:00:00Z,mean_growth_rate,NA,0.082767464,numeric
2005-01-01T00:00:00Z,mean_growth_rate_se,NA,0.004171266,numeric
2006-01-01T00:00:00Z,live_pup_count,NA,20477,numeric
2006-01-01T00:00:00Z,live_pup_count_se,NA,88.29213,numeric
2006-01-01T00:00:00Z,mean_weight,NA,18.717,numeric
2006-01-01T00:00:00Z,mean_weight_se,NA,0.1389661,numeric
2006-01-01T00:00:00Z,mean_growth_rate,NA,0.06645113,numeric
2006-01-01T00:00:00Z,mean_growth_rate_se,NA,0.003090695,numeric
2007-01-01T00:00:00Z,live_pup_count,NA,25290,numeric
2007-01-01T00:00:00Z,live_pup_count_se,NA,215.03023,numeric
2007-01-01T00:00:00Z,mean_weight,NA,18.92533,numeric
2007-01-01T00:00:00Z,mean_weight_se,NA,0.11682875,numeric
2007-01-01T00:00:00Z,mean_growth_rate,NA,0.07592508,numeric
2007-01-01T00:00:00Z,mean_growth_rate_se,NA,0.003380025,numeric
2008-01-01T00:00:00Z,live_pup_count,NA,25733,numeric
2008-01-01T00:00:00Z,live_pup_count_se,NA,644.0699,numeric
