time,variable,value_character,value_numeric,value_type
1988-01-15T00:00:00Z,beuti,NA,0.614,numeric
1988-01-15T00:00:00Z,latitude,NA,33,numeric
1988-01-15T00:00:00Z,beuti,NA,2.16,numeric
1988-01-15T00:00:00Z,latitude,NA,39,numeric
1988-01-15T00:00:00Z,beuti,NA,-0.442,numeric
1988-01-15T00:00:00Z,latitude,NA,45,numeric
1988-02-15T00:00:00Z,beuti,NA,0.596,numeric
1988-02-15T00:00:00Z,latitude,NA,33,numeric
1988-02-15T00:00:00Z,beuti,NA,9.58,numeric
1988-02-15T00:00:00Z,latitude,NA,39,numeric
1988-02-15T00:00:00Z,beuti,NA,3.258,numeric
1988-02-15T00:00:00Z,latitude,NA,45,numeric
1988-03-15T00:00:00Z,beuti,NA,0.579,numeric
1988-03-15T00:00:00Z,latitude,NA,33,numeric
1988-03-15T00:00:00Z,beuti,NA,25.179,numeric
1988-03-15T00:00:00Z,latitude,NA,39,numeric
1988-03-15T00:00:00Z,beuti,NA,0.762,numeric
1988-03-15T00:00:00Z,latitude,NA,45,numeric
1988-04-15T00:00:00Z,beuti,NA,0.17,numeric
1988-04-15T00:00:00Z,latitude,NA,33,numeric
1988-04-15T00:00:00Z,beuti,NA,10.962,numeric
1988-04-15T00:00:00Z,latitude,NA,39,numeric
1988-04-15T00:00:00Z,beuti,NA,0.902,numeric
1988-04-15T00:00:00Z,latitude,NA,45,numeric
1988-05-15T00:00:00Z,beuti,NA,0.735,numeric
1988-05-15T00:00:00Z,latitude,NA,33,numeric
1988-05-15T00:00:00Z,beuti,NA,19.798,numeric
1988-05-15T00:00:00Z,latitude,NA,39,numeric
1988-05-15T00:00:00Z,beuti,NA,0.068,numeric
1988-05-15T00:00:00Z,latitude,NA,45,numeric
1988-06-15T00:00:00Z,beuti,NA,0.288,numeric
1988-06-15T00:00:00Z,latitude,NA,33,numeric
1988-06-15T00:00:00Z,beuti,NA,21.401,numeric
1988-06-15T00:00:00Z,latitude,NA,39,numeric
1988-06-15T00:00:00Z,beuti,NA,0.297,numeric
1988-06-15T00:00:00Z,latitude,NA,45,numeric
1988-07-15T00:00:00Z,beuti,NA,0.03,numeric
1988-07-15T00:00:00Z,latitude,NA,33,numeric
1988-07-15T00:00:00Z,beuti,NA,19.794,numeric
1988-07-15T00:00:00Z,latitude,NA,39,numeric
1988-07-15T00:00:00Z,beuti,NA,1.198,numeric
1988-07-15T00:00:00Z,latitude,NA,45,numeric
1988-08-15T00:00:00Z,beuti,NA,0.008,numeric
1988-08-15T00:00:00Z,latitude,NA,33,numeric
1988-08-15T00:00:00Z,beuti,NA,9.025,numeric
1988-08-15T00:00:00Z,latitude,NA,39,numeric
1988-08-15T00:00:00Z,beuti,NA,1.712,numeric
1988-08-15T00:00:00Z,latitude,NA,45,numeric
1988-09-15T00:00:00Z,beuti,NA,0.003,numeric
1988-09-15T00:00:00Z,latitude,NA,33,numeric
1988-09-15T00:00:00Z,beuti,NA,12.575,numeric
1988-09-15T00:00:00Z,latitude,NA,39,numeric
1988-09-15T00:00:00Z,beuti,NA,1.252,numeric
1988-09-15T00:00:00Z,latitude,NA,45,numeric
1988-10-15T00:00:00Z,beuti,NA,0.01,numeric
1988-10-15T00:00:00Z,latitude,NA,33,numeric
1988-10-15T00:00:00Z,beuti,NA,4.547,numeric
1988-10-15T00:00:00Z,latitude,NA,39,numeric
1988-10-15T00:00:00Z,beuti,NA,0.462,numeric
1988-10-15T00:00:00Z,latitude,NA,45,numeric
1988-11-15T00:00:00Z,beuti,NA,0.207,numeric
1988-11-15T00:00:00Z,latitude,NA,33,numeric
1988-11-15T00:00:00Z,beuti,NA,3.881,numeric
1988-11-15T00:00:00Z,latitude,NA,39,numeric
1988-11-15T00:00:00Z,beuti,NA,-0.401,numeric
1988-11-15T00:00:00Z,latitude,NA,45,numeric
1988-12-15T00:00:00Z,beuti,NA,0.912,numeric
1988-12-15T00:00:00Z,latitude,NA,33,numeric
1988-12-15T00:00:00Z,beuti,NA,12.411,numeric
1988-12-15T00:00:00Z,latitude,NA,39,numeric
1988-12-15T00:00:00Z,beuti,NA,1.051,numeric
1988-12-15T00:00:00Z,latitude,NA,45,numeric
1989-01-15T00:00:00Z,beuti,NA,1.434,numeric
1989-01-15T00:00:00Z,latitude,NA,33,numeric
1989-01-15T00:00:00Z,beuti,NA,13.414,numeric
1989-01-15T00:00:00Z,latitude,NA,39,numeric
1989-01-15T00:00:00Z,beuti,NA,0.949,numeric
1989-01-15T00:00:00Z,latitude,NA,45,numeric
1989-02-15T00:00:00Z,beuti,NA,1.679,numeric
1989-02-15T00:00:00Z,latitude,NA,33,numeric
1989-02-15T00:00:00Z,beuti,NA,19.26,numeric
1989-02-15T00:00:00Z,latitude,NA,39,numeric
1989-02-15T00:00:00Z,beuti,NA,-1.359,numeric
1989-02-15T00:00:00Z,latitude,NA,45,numeric
1989-03-15T00:00:00Z,beuti,NA,2.018,numeric
1989-03-15T00:00:00Z,latitude,NA,33,numeric
1989-03-15T00:00:00Z,beuti,NA,-0.148,numeric
1989-03-15T00:00:00Z,latitude,NA,39,numeric
1989-03-15T00:00:00Z,beuti,NA,-10.264,numeric
1989-03-15T00:00:00Z,latitude,NA,45,numeric
1989-04-15T00:00:00Z,beuti,NA,0.286,numeric
1989-04-15T00:00:00Z,latitude,NA,33,numeric
1989-04-15T00:00:00Z,beuti,NA,9.998,numeric
1989-04-15T00:00:00Z,latitude,NA,39,numeric
1989-04-15T00:00:00Z,beuti,NA,2.079,numeric
1989-04-15T00:00:00Z,latitude,NA,45,numeric
1989-05-15T00:00:00Z,beuti,NA,0.328,numeric
1989-05-15T00:00:00Z,latitude,NA,33,numeric
1989-05-15T00:00:00Z,beuti,NA,25.379,numeric
1989-05-15T00:00:00Z,latitude,NA,39,numeric
1989-05-15T00:00:00Z,beuti,NA,1.16,numeric
1989-05-15T00:00:00Z,latitude,NA,45,numeric
1989-06-15T00:00:00Z,beuti,NA,0.163,numeric
1989-06-15T00:00:00Z,latitude,NA,33,numeric
1989-06-15T00:00:00Z,beuti,NA,18.102,numeric
1989-06-15T00:00:00Z,latitude,NA,39,numeric
1989-06-15T00:00:00Z,beuti,NA,0.739,numeric
1989-06-15T00:00:00Z,latitude,NA,45,numeric
1989-07-15T00:00:00Z,beuti,NA,0.04,numeric
1989-07-15T00:00:00Z,latitude,NA,33,numeric
1989-07-15T00:00:00Z,beuti,NA,24.146,numeric
1989-07-15T00:00:00Z,latitude,NA,39,numeric
1989-07-15T00:00:00Z,beuti,NA,0.125,numeric
1989-07-15T00:00:00Z,latitude,NA,45,numeric
1989-08-15T00:00:00Z,beuti,NA,0.009,numeric
1989-08-15T00:00:00Z,latitude,NA,33,numeric
1989-08-15T00:00:00Z,beuti,NA,11.219,numeric
1989-08-15T00:00:00Z,latitude,NA,39,numeric
1989-08-15T00:00:00Z,beuti,NA,0.726,numeric
1989-08-15T00:00:00Z,latitude,NA,45,numeric
1989-09-15T00:00:00Z,beuti,NA,0.005,numeric
1989-09-15T00:00:00Z,latitude,NA,33,numeric
1989-09-15T00:00:00Z,beuti,NA,3.538,numeric
1989-09-15T00:00:00Z,latitude,NA,39,numeric
1989-09-15T00:00:00Z,beuti,NA,1.485,numeric
1989-09-15T00:00:00Z,latitude,NA,45,numeric
1989-10-15T00:00:00Z,beuti,NA,0.015,numeric
1989-10-15T00:00:00Z,latitude,NA,33,numeric
1989-10-15T00:00:00Z,beuti,NA,4.236,numeric
1989-10-15T00:00:00Z,latitude,NA,39,numeric
1989-10-15T00:00:00Z,beuti,NA,0.31,numeric
1989-10-15T00:00:00Z,latitude,NA,45,numeric
1989-11-15T00:00:00Z,beuti,NA,0.008,numeric
1989-11-15T00:00:00Z,latitude,NA,33,numeric
1989-11-15T00:00:00Z,beuti,NA,3.162,numeric
1989-11-15T00:00:00Z,latitude,NA,39,numeric
1989-11-15T00:00:00Z,beuti,NA,0.222,numeric
1989-11-15T00:00:00Z,latitude,NA,45,numeric
1989-12-15T00:00:00Z,beuti,NA,0.093,numeric
1989-12-15T00:00:00Z,latitude,NA,33,numeric
1989-12-15T00:00:00Z,beuti,NA,4.571,numeric
1989-12-15T00:00:00Z,latitude,NA,39,numeric
1989-12-15T00:00:00Z,beuti,NA,1.228,numeric
1989-12-15T00:00:00Z,latitude,NA,45,numeric
1990-01-15T00:00:00Z,beuti,NA,0.444,numeric
1990-01-15T00:00:00Z,latitude,NA,33,numeric
1990-01-15T00:00:00Z,beuti,NA,8.789,numeric
1990-01-15T00:00:00Z,latitude,NA,39,numeric
1990-01-15T00:00:00Z,beuti,NA,-4.569,numeric
1990-01-15T00:00:00Z,latitude,NA,45,numeric
1990-02-15T00:00:00Z,beuti,NA,1.925,numeric
1990-02-15T00:00:00Z,latitude,NA,33,numeric
1990-02-15T00:00:00Z,beuti,NA,16.87,numeric
1990-02-15T00:00:00Z,latitude,NA,39,numeric
1990-02-15T00:00:00Z,beuti,NA,-1.89,numeric
1990-02-15T00:00:00Z,latitude,NA,45,numeric
1990-03-15T00:00:00Z,beuti,NA,1.588,numeric
1990-03-15T00:00:00Z,latitude,NA,33,numeric
1990-03-15T00:00:00Z,beuti,NA,21.018,numeric
1990-03-15T00:00:00Z,latitude,NA,39,numeric
1990-03-15T00:00:00Z,beuti,NA,1.17,numeric
1990-03-15T00:00:00Z,latitude,NA,45,numeric
1990-04-15T00:00:00Z,beuti,NA,0.35,numeric
1990-04-15T00:00:00Z,latitude,NA,33,numeric
1990-04-15T00:00:00Z,beuti,NA,21.164,numeric
1990-04-15T00:00:00Z,latitude,NA,39,numeric
1990-04-15T00:00:00Z,beuti,NA,3.576,numeric
1990-04-15T00:00:00Z,latitude,NA,45,numeric
1990-05-15T00:00:00Z,beuti,NA,0.197,numeric
1990-05-15T00:00:00Z,latitude,NA,33,numeric
1990-05-15T00:00:00Z,beuti,NA,28.566,numeric
1990-05-15T00:00:00Z,latitude,NA,39,numeric
1990-05-15T00:00:00Z,beuti,NA,2.684,numeric
1990-05-15T00:00:00Z,latitude,NA,45,numeric
1990-06-15T00:00:00Z,beuti,NA,0.063,numeric
1990-06-15T00:00:00Z,latitude,NA,33,numeric
1990-06-15T00:00:00Z,beuti,NA,13.908,numeric
1990-06-15T00:00:00Z,latitude,NA,39,numeric
1990-06-15T00:00:00Z,beuti,NA,0.115,numeric
1990-06-15T00:00:00Z,latitude,NA,45,numeric
1990-07-15T00:00:00Z,beuti,NA,0.009,numeric
1990-07-15T00:00:00Z,latitude,NA,33,numeric
1990-07-15T00:00:00Z,beuti,NA,5.738,numeric
1990-07-15T00:00:00Z,latitude,NA,39,numeric
1990-07-15T00:00:00Z,beuti,NA,0.828,numeric
1990-07-15T00:00:00Z,latitude,NA,45,numeric
1990-08-15T00:00:00Z,beuti,NA,0.005,numeric
1990-08-15T00:00:00Z,latitude,NA,33,numeric
1990-08-15T00:00:00Z,beuti,NA,3.273,numeric
1990-08-15T00:00:00Z,latitude,NA,39,numeric
1990-08-15T00:00:00Z,beuti,NA,1.119,numeric
1990-08-15T00:00:00Z,latitude,NA,45,numeric
1990-09-15T00:00:00Z,beuti,NA,0.005,numeric
1990-09-15T00:00:00Z,latitude,NA,33,numeric
1990-09-15T00:00:00Z,beuti,NA,1.901,numeric
1990-09-15T00:00:00Z,latitude,NA,39,numeric
1990-09-15T00:00:00Z,beuti,NA,0.161,numeric
1990-09-15T00:00:00Z,latitude,NA,45,numeric
1990-10-15T00:00:00Z,beuti,NA,0.002,numeric
1990-10-15T00:00:00Z,latitude,NA,33,numeric
1990-10-15T00:00:00Z,beuti,NA,7.678,numeric
1990-10-15T00:00:00Z,latitude,NA,39,numeric
1990-10-15T00:00:00Z,beuti,NA,0.015,numeric
1990-10-15T00:00:00Z,latitude,NA,45,numeric
1990-11-15T00:00:00Z,beuti,NA,0.015,numeric
1990-11-15T00:00:00Z,latitude,NA,33,numeric
1990-11-15T00:00:00Z,beuti,NA,10.493,numeric
1990-11-15T00:00:00Z,latitude,NA,39,numeric
1990-11-15T00:00:00Z,beuti,NA,-0.011,numeric
1990-11-15T00:00:00Z,latitude,NA,45,numeric
1990-12-15T00:00:00Z,beuti,NA,0.213,numeric
1990-12-15T00:00:00Z,latitude,NA,33,numeric
1990-12-15T00:00:00Z,beuti,NA,17.36,numeric
1990-12-15T00:00:00Z,latitude,NA,39,numeric
1990-12-15T00:00:00Z,beuti,NA,5.267,numeric
1990-12-15T00:00:00Z,latitude,NA,45,numeric
1991-01-15T00:00:00Z,beuti,NA,0.345,numeric
1991-01-15T00:00:00Z,latitude,NA,33,numeric
1991-01-15T00:00:00Z,beuti,NA,3.311,numeric
1991-01-15T00:00:00Z,latitude,NA,39,numeric
1991-01-15T00:00:00Z,beuti,NA,-0.597,numeric
1991-01-15T00:00:00Z,latitude,NA,45,numeric
1991-02-15T00:00:00Z,beuti,NA,0.462,numeric
1991-02-15T00:00:00Z,latitude,NA,33,numeric
1991-02-15T00:00:00Z,beuti,NA,6.623,numeric
1991-02-15T00:00:00Z,latitude,NA,39,numeric
1991-02-15T00:00:00Z,beuti,NA,-5.348,numeric
1991-02-15T00:00:00Z,latitude,NA,45,numeric
