time,variable,value_character,value_numeric,value_type
1996-05-01T00:00:00Z,biomass_anomaly,NA,-1.2368094,numeric
1996-06-01T00:00:00Z,biomass_anomaly,NA,-0.41074377,numeric
1996-07-01T00:00:00Z,biomass_anomaly,NA,-0.031152017,numeric
1996-08-01T00:00:00Z,biomass_anomaly,NA,-0.2545291,numeric
1996-09-01T00:00:00Z,biomass_anomaly,NA,0.106130734,numeric
1996-10-01T00:00:00Z,biomass_anomaly,NA,0.2679829,numeric
1996-11-01T00:00:00Z,biomass_anomaly,NA,-0.04427719,numeric
1996-12-01T00:00:00Z,biomass_anomaly,NA,0.31062445,numeric
1997-02-01T00:00:00Z,biomass_anomaly,NA,-0.02049477,numeric
1997-03-01T00:00:00Z,biomass_anomaly,NA,0.30729413,numeric
1997-04-01T00:00:00Z,biomass_anomaly,NA,-0.22698334,numeric
1997-05-01T00:00:00Z,biomass_anomaly,NA,0.011090643,numeric
1997-06-01T00:00:00Z,biomass_anomaly,NA,-0.8060771,numeric
1997-07-01T00:00:00Z,biomass_anomaly,NA,-0.3447209,numeric
1997-08-01T00:00:00Z,biomass_anomaly,NA,-0.3285902,numeric
1997-09-01T00:00:00Z,biomass_anomaly,NA,-0.6923526,numeric
1997-10-01T00:00:00Z,biomass_anomaly,NA,-1.3371671,numeric
1997-11-01T00:00:00Z,biomass_anomaly,NA,-0.6201272,numeric
1997-12-01T00:00:00Z,biomass_anomaly,NA,-1.0114422,numeric
1998-01-01T00:00:00Z,biomass_anomaly,NA,-0.93043464,numeric
1998-03-01T00:00:00Z,biomass_anomaly,NA,-1.0050892,numeric
1998-04-01T00:00:00Z,biomass_anomaly,NA,-1.2265834,numeric
1998-05-01T00:00:00Z,biomass_anomaly,NA,-1.022876,numeric
1998-06-01T00:00:00Z,biomass_anomaly,NA,-1.1605883,numeric
1998-07-01T00:00:00Z,biomass_anomaly,NA,-0.5624965,numeric
1998-08-01T00:00:00Z,biomass_anomaly,NA,-0.84282357,numeric
1998-09-01T00:00:00Z,biomass_anomaly,NA,-0.25926092,numeric
1998-10-01T00:00:00Z,biomass_anomaly,NA,-0.2618671,numeric
1998-11-01T00:00:00Z,biomass_anomaly,NA,0.35263947,numeric
1998-12-01T00:00:00Z,biomass_anomaly,NA,-0.52357554,numeric
1999-02-01T00:00:00Z,biomass_anomaly,NA,0.09620523,numeric
1999-03-01T00:00:00Z,biomass_anomaly,NA,-0.6321725,numeric
1999-04-01T00:00:00Z,biomass_anomaly,NA,-0.5621833,numeric
1999-05-01T00:00:00Z,biomass_anomaly,NA,0.00615731,numeric
1999-06-01T00:00:00Z,biomass_anomaly,NA,0.32430622,numeric
1999-07-01T00:00:00Z,biomass_anomaly,NA,-0.16551425,numeric
1999-08-01T00:00:00Z,biomass_anomaly,NA,0.022487573,numeric
1999-09-01T00:00:00Z,biomass_anomaly,NA,-0.03251927,numeric
1999-10-01T00:00:00Z,biomass_anomaly,NA,0.6034329,numeric
1999-11-01T00:00:00Z,biomass_anomaly,NA,-0.023210526,numeric
1999-12-01T00:00:00Z,biomass_anomaly,NA,0.30905777,numeric
2000-01-01T00:00:00Z,biomass_anomaly,NA,0.19993205,numeric
2000-02-01T00:00:00Z,biomass_anomaly,NA,-0.4051281,numeric
2000-03-01T00:00:00Z,biomass_anomaly,NA,-0.8508392,numeric
2000-04-01T00:00:00Z,biomass_anomaly,NA,0.097116664,numeric
2000-05-01T00:00:00Z,biomass_anomaly,NA,-0.25317603,numeric
2000-06-01T00:00:00Z,biomass_anomaly,NA,-0.29179713,numeric
2000-07-01T00:00:00Z,biomass_anomaly,NA,0.19012576,numeric
2000-08-01T00:00:00Z,biomass_anomaly,NA,0.2927209,numeric
2000-09-01T00:00:00Z,biomass_anomaly,NA,0.7439196,numeric
2000-10-01T00:00:00Z,biomass_anomaly,NA,0.4381829,numeric
2000-11-01T00:00:00Z,biomass_anomaly,NA,0.13098948,numeric
2000-12-01T00:00:00Z,biomass_anomaly,NA,0.28715777,numeric
2001-01-01T00:00:00Z,biomass_anomaly,NA,-0.041567948,numeric
2001-02-01T00:00:00Z,biomass_anomaly,NA,-0.14329477,numeric
2001-03-01T00:00:00Z,biomass_anomaly,NA,-0.05942255,numeric
2001-04-01T00:00:00Z,biomass_anomaly,NA,0.026572222,numeric
2001-05-01T00:00:00Z,biomass_anomaly,NA,0.10079064,numeric
2001-06-01T00:00:00Z,biomass_anomaly,NA,0.18484788,numeric
2001-07-01T00:00:00Z,biomass_anomaly,NA,0.05600076,numeric
2001-08-01T00:00:00Z,biomass_anomaly,NA,0.2654209,numeric
2001-09-01T00:00:00Z,biomass_anomaly,NA,0.0678474,numeric
2001-10-01T00:00:00Z,biomass_anomaly,NA,0.53964955,numeric
2001-11-01T00:00:00Z,biomass_anomaly,NA,0.71053946,numeric
2002-01-01T00:00:00Z,biomass_anomaly,NA,0.2861654,numeric
2002-02-01T00:00:00Z,biomass_anomaly,NA,-0.29226145,numeric
2002-03-01T00:00:00Z,biomass_anomaly,NA,0.18839411,numeric
2002-04-01T00:00:00Z,biomass_anomaly,NA,0.36307222,numeric
2002-05-01T00:00:00Z,biomass_anomaly,NA,0.7894462,numeric
2002-06-01T00:00:00Z,biomass_anomaly,NA,0.4422687,numeric
2002-07-01T00:00:00Z,biomass_anomaly,NA,0.08309243,numeric
2002-08-01T00:00:00Z,biomass_anomaly,NA,-0.24635687,numeric
2002-09-01T00:00:00Z,biomass_anomaly,NA,0.29666406,numeric
2002-10-01T00:00:00Z,biomass_anomaly,NA,0.64136624,numeric
2002-11-01T00:00:00Z,biomass_anomaly,NA,0.59860617,numeric
2002-12-01T00:00:00Z,biomass_anomaly,NA,0.2156911,numeric
2003-01-01T00:00:00Z,biomass_anomaly,NA,-0.3763013,numeric
2003-02-01T00:00:00Z,biomass_anomaly,NA,-0.446517,numeric
2003-03-01T00:00:00Z,biomass_anomaly,NA,0.26162747,numeric
2003-04-01T00:00:00Z,biomass_anomaly,NA,0.1568389,numeric
2003-05-01T00:00:00Z,biomass_anomaly,NA,-0.45307603,numeric
2003-06-01T00:00:00Z,biomass_anomaly,NA,0.31663954,numeric
2003-07-01T00:00:00Z,biomass_anomaly,NA,0.031984095,numeric
2003-08-01T00:00:00Z,biomass_anomaly,NA,-0.1743791,numeric
2003-09-01T00:00:00Z,biomass_anomaly,NA,-0.44078037,numeric
2003-10-01T00:00:00Z,biomass_anomaly,NA,-0.047417104,numeric
2003-11-01T00:00:00Z,biomass_anomaly,NA,-0.09147719,numeric
2004-01-01T00:00:00Z,biomass_anomaly,NA,-0.9493846,numeric
2004-02-01T00:00:00Z,biomass_anomaly,NA,-0.40596142,numeric
2004-03-01T00:00:00Z,biomass_anomaly,NA,-0.45050588,numeric
2004-04-01T00:00:00Z,biomass_anomaly,NA,0.26008335,numeric
2004-05-01T00:00:00Z,biomass_anomaly,NA,0.518124,numeric
2004-06-01T00:00:00Z,biomass_anomaly,NA,0.39641455,numeric
2004-07-01T00:00:00Z,biomass_anomaly,NA,-0.11897424,numeric
2004-08-01T00:00:00Z,biomass_anomaly,NA,-0.023379095,numeric
2004-09-01T00:00:00Z,biomass_anomaly,NA,-0.5619693,numeric
2004-10-01T00:00:00Z,biomass_anomaly,NA,-0.6042338,numeric
2004-11-01T00:00:00Z,biomass_anomaly,NA,-0.11689386,numeric
2004-12-01T00:00:00Z,biomass_anomaly,NA,-0.3050422,numeric
2005-01-01T00:00:00Z,biomass_anomaly,NA,-0.52796793,numeric
2005-02-01T00:00:00Z,biomass_anomaly,NA,-0.4594781,numeric
2005-03-01T00:00:00Z,biomass_anomaly,NA,-0.7344059,numeric
2005-04-01T00:00:00Z,biomass_anomaly,NA,-0.8437167,numeric
2005-05-01T00:00:00Z,biomass_anomaly,NA,-1.2254261,numeric
2005-06-01T00:00:00Z,biomass_anomaly,NA,-1.5411882,numeric
2005-07-01T00:00:00Z,biomass_anomaly,NA,-1.139491,numeric
2005-08-01T00:00:00Z,biomass_anomaly,NA,-0.21239576,numeric
2005-09-01T00:00:00Z,biomass_anomaly,NA,-0.16815816,numeric
2005-10-01T00:00:00Z,biomass_anomaly,NA,0.08719956,numeric
2005-11-01T00:00:00Z,biomass_anomaly,NA,-0.015777193,numeric
2005-12-01T00:00:00Z,biomass_anomaly,NA,0.43052444,numeric
2006-02-01T00:00:00Z,biomass_anomaly,NA,-0.4409281,numeric
2006-03-01T00:00:00Z,biomass_anomaly,NA,0.090627454,numeric
2006-04-01T00:00:00Z,biomass_anomaly,NA,-0.42461666,numeric
2006-05-01T00:00:00Z,biomass_anomaly,NA,-0.65420103,numeric
2006-06-01T00:00:00Z,biomass_anomaly,NA,0.17417622,numeric
2006-07-01T00:00:00Z,biomass_anomaly,NA,0.16192576,numeric
2006-08-01T00:00:00Z,biomass_anomaly,NA,-0.13823743,numeric
2006-09-01T00:00:00Z,biomass_anomaly,NA,0.3524974,numeric
2006-10-01T00:00:00Z,biomass_anomaly,NA,0.076182894,numeric
2006-11-01T00:00:00Z,biomass_anomaly,NA,-0.18584386,numeric
2006-12-01T00:00:00Z,biomass_anomaly,NA,-0.26184222,numeric
2007-01-01T00:00:00Z,biomass_anomaly,NA,0.14019872,numeric
